SubscriptionID,CustomerID,PlanID,StartDate,EndDate,Status,MRR,BillingCycle
SUB000138,CU000138,PL04,2022-07-17,,Active,1241.94,Annual
SUB000139,CU000139,PL01,2022-04-30,,Active,55.42,Monthly
SUB000140,CU000140,PL03,2023-01-27,,Active,385.74,Monthly
SUB000141,CU000141,PL03,2023-03-11,,Active,449.34,Annual
SUB000142,CU000142,PL02,2025-03-16,2025-06-28,Churned,174.51,Monthly
SUB000143,CU000143,PL03,2022-10-26,,Active,446.15,Annual
SUB000144,CU000144,PL02,2024-10-07,,Active,142.9,Monthly
SUB000145,CU000145,PL03,2023-03-23,,Active,426.74,Annual
SUB000146,CU000146,PL03,2026-02-14,2026-07-07,Churned,384.57,Monthly
SUB000147,CU000147,PL02,2023-06-12,,Active,131.59,Annual
SUB000148,CU000148,PL03,2023-05-21,2026-06-14,Churned,372.95,Monthly
SUB000149,CU000149,PL03,2024-08-01,,Active,346.87,Annual
SUB000150,CU000150,PL02,2023-01-18,2024-11-08,Churned,132.92,Annual
SUB000151,CU000151,PL03,2022-11-22,,Active,410.18,Monthly
SUB000152,CU000152,PL02,2026-03-07,,Active,183.69,Annual
SUB000153,CU000153,PL04,2023-02-27,,Active,1469.97,Monthly
SUB000154,CU000154,PL04,2022-08-01,,Active,1332.47,Annual
SUB000155,CU000155,PL01,2023-04-10,2024-09-29,Churned,60.5,Annual
SUB000156,CU000156,PL03,2023-04-23,,Active,422.26,Monthly
SUB000157,CU000157,PL02,2022-08-19,2024-08-16,Churned,135.69,Annual
SUB000158,CU000158,PL01,2024-05-20,,Active,42.53,Annual
SUB000159,CU000159,PL01,2022-05-04,,Active,42.29,Annual
SUB000160,CU000160,PL01,2026-01-30,2026-07-15,Churned,56.06,Annual
SUB000161,CU000161,PL01,2025-11-10,,Active,50.9,Annual
SUB000162,CU000162,PL03,2024-11-03,2025-10-02,Churned,429.78,Annual
SUB000163,CU000163,PL03,2022-09-16,,Active,444.43,Annual
SUB000164,CU000164,PL02,2024-05-20,,Active,146.95,Annual
SUB000165,CU000165,PL01,2023-03-02,,Active,57.76,Annual
SUB000166,CU000166,PL02,2024-07-30,2024-10-30,Churned,143.29,Annual
SUB000167,CU000167,PL03,2025-06-14,,Active,436.01,Monthly
SUB000168,CU000168,PL02,2023-04-16,,Active,144.73,Monthly
SUB000169,CU000169,PL01,2023-03-25,2026-04-22,Churned,58.37,Annual
SUB000170,CU000170,PL02,2025-07-08,,Active,139.5,Monthly
SUB000171,CU000171,PL02,2025-05-31,,Active,144.81,Monthly
SUB000172,CU000172,PL03,2025-11-10,,Active,380.63,Monthly
SUB000173,CU000173,PL01,2022-06-30,,Active,59.65,Annual
SUB000174,CU000174,PL02,2025-01-14,,Active,151.18,Monthly
SUB000175,CU000175,PL03,2022-02-26,,Active,434.76,Monthly
SUB000176,CU000176,PL04,2022-04-13,,Active,1181.73,Annual
SUB000177,CU000177,PL02,2025-05-29,,Active,180.01,Annual
SUB000178,CU000178,PL03,2025-10-07,,Active,445.4,Monthly
SUB000179,CU000179,PL03,2026-04-10,,Active,426.29,Monthly
SUB000180,CU000180,PL01,2022-10-26,,Active,49.43,Annual
SUB000181,CU000181,PL02,2026-03-04,,Active,184.85,Annual
SUB000182,CU000182,PL02,2024-09-26,,Active,140.54,Annual
SUB000183,CU000183,PL02,2025-06-15,,Active,146.83,Annual
SUB000184,CU000184,PL01,2022-05-01,,Active,43.19,Annual
SUB000185,CU000185,PL01,2023-07-04,2024-08-03,Churned,56.17,Annual
SUB000186,CU000186,PL01,2024-08-20,2025-05-08,Churned,55.19,Monthly
SUB000187,CU000187,PL03,2022-01-10,,Active,460.29,Annual
SUB000188,CU000188,PL04,2025-08-09,2026-06-16,Churned,1185.9,Monthly
SUB000189,CU000189,PL01,2022-05-22,2023-06-02,Churned,58.55,Monthly
SUB000190,CU000190,PL01,2025-09-08,,Active,56.34,Annual
SUB000191,CU000191,PL02,2024-10-25,,Active,148.23,Annual
SUB000192,CU000192,PL02,2024-05-31,,Active,164.78,Monthly
SUB000193,CU000193,PL02,2023-09-12,,Active,184.69,Monthly
SUB000194,CU000194,PL01,2025-12-20,,Active,61.22,Monthly
SUB000195,CU000195,PL03,2023-07-26,2024-05-31,Churned,398.49,Annual
SUB000196,CU000196,PL02,2022-03-26,,Active,141.5,Annual
SUB000197,CU000197,PL01,2022-09-18,2024-06-07,Churned,42.2,Monthly
SUB000198,CU000198,PL03,2026-04-16,,Active,446.55,Annual
SUB000199,CU000199,PL01,2023-09-22,2026-03-09,Churned,52.08,Annual
SUB000200,CU000200,PL03,2022-05-21,,Active,358.2,Annual
SUB000201,CU000201,PL01,2022-11-15,,Active,55.97,Annual
SUB000202,CU000202,PL03,2023-11-22,,Active,477.2,Monthly
SUB000203,CU000203,PL01,2024-03-03,,Active,51.2,Monthly
SUB000204,CU000204,PL03,2024-09-17,,Active,445.84,Monthly
SUB000205,CU000205,PL03,2025-08-10,2026-04-17,Churned,391.65,Monthly
SUB000206,CU000206,PL02,2022-09-27,2026-03-08,Churned,173.63,Monthly
SUB000207,CU000207,PL04,2022-07-28,,Active,1466.87,Annual
SUB000208,CU000208,PL01,2023-03-03,2025-09-26,Churned,47.53,Annual
SUB000209,CU000209,PL03,2023-01-27,,Active,398.39,Annual
SUB000210,CU000210,PL01,2026-02-21,2026-07-02,Churned,57.31,Monthly
SUB000211,CU000211,PL02,2024-03-27,,Active,132.44,Monthly
SUB000212,CU000212,PL01,2024-03-30,,Active,48.23,Annual
SUB000213,CU000213,PL01,2022-11-25,2025-11-02,Churned,53.37,Monthly
SUB000214,CU000214,PL02,2024-12-12,,Active,158.2,Monthly
SUB000215,CU000215,PL03,2025-10-20,,Active,435.72,Monthly
SUB000216,CU000216,PL01,2023-04-27,,Active,52.86,Annual
SUB000217,CU000217,PL01,2025-07-10,,Active,49.19,Annual
SUB000218,CU000218,PL04,2023-09-01,,Active,1105.34,Monthly
SUB000219,CU000219,PL01,2023-07-02,2023-11-12,Churned,48.37,Monthly
SUB000220,CU000220,PL01,2022-02-02,,Active,57.68,Monthly
SUB000221,CU000221,PL01,2025-12-11,2026-07-02,Churned,43.76,Annual
SUB000222,CU000222,PL03,2026-03-24,,Active,353.66,Monthly
SUB000223,CU000223,PL03,2024-08-05,,Active,486.23,Monthly
SUB000224,CU000224,PL02,2023-01-04,,Active,144.07,Monthly
SUB000225,CU000225,PL01,2023-05-08,,Active,47.82,Monthly
SUB000226,CU000226,PL02,2026-03-24,,Active,126.97,Annual
SUB000227,CU000227,PL02,2025-12-15,,Active,142.59,Monthly
SUB000228,CU000228,PL01,2025-03-27,,Active,48.64,Monthly
SUB000229,CU000229,PL03,2026-03-15,,Active,469.82,Monthly
SUB000230,CU000230,PL02,2022-08-23,,Active,142.87,Monthly
SUB000231,CU000231,PL01,2022-03-17,2026-02-13,Churned,44.77,Monthly
SUB000232,CU000232,PL01,2024-07-21,2025-04-11,Churned,48.19,Monthly
SUB000233,CU000233,PL03,2023-08-12,,Active,349.32,Annual
SUB000234,CU000234,PL04,2024-03-24,,Active,1417.98,Annual
SUB000235,CU000235,PL02,2023-02-08,,Active,154.9,Monthly
SUB000236,CU000236,PL04,2025-05-08,,Active,1039.65,Monthly
SUB000237,CU000237,PL02,2025-03-27,,Active,151.27,Monthly
SUB000238,CU000238,PL03,2023-05-25,,Active,436.44,Monthly
SUB000239,CU000239,PL02,2022-02-18,,Active,178.8,Annual
SUB000240,CU000240,PL02,2025-10-06,,Active,166.26,Monthly
SUB000241,CU000241,PL01,2026-01-03,,Active,53.89,Monthly
SUB000242,CU000242,PL02,2025-09-01,,Active,142.63,Annual
SUB000243,CU000243,PL01,2026-03-18,,Active,49.9,Annual
SUB000244,CU000244,PL03,2022-01-05,,Active,463.82,Annual
SUB000245,CU000245,PL03,2024-10-17,,Active,384.46,Monthly
SUB000246,CU000246,PL02,2024-05-08,,Active,143.26,Annual
SUB000247,CU000247,PL04,2022-01-10,,Active,1041.4,Annual
SUB000248,CU000248,PL03,2024-03-10,,Active,380.38,Monthly
SUB000249,CU000249,PL01,2025-04-19,,Active,51.61,Monthly
SUB000250,CU000250,PL01,2024-06-01,,Active,42.62,Annual
SUB000251,CU000251,PL04,2022-06-27,,Active,1239.7,Annual
SUB000252,CU000252,PL03,2025-09-08,2026-02-11,Churned,348.79,Monthly
SUB000253,CU000253,PL02,2026-03-02,,Active,175.78,Monthly
SUB000254,CU000254,PL04,2025-05-18,,Active,1478.21,Annual
SUB000255,CU000255,PL02,2025-12-18,,Active,183.42,Annual
SUB000256,CU000256,PL01,2022-01-08,,Active,44.44,Monthly
SUB000257,CU000257,PL02,2026-01-26,,Active,164.39,Monthly
SUB000258,CU000258,PL01,2022-04-06,,Active,54.53,Annual
SUB000259,CU000259,PL02,2025-02-28,,Active,179.42,Monthly
SUB000260,CU000260,PL03,2025-06-15,,Active,348.7,Monthly
SUB000261,CU000261,PL03,2022-06-27,,Active,341.23,Annual
SUB000262,CU000262,PL02,2024-11-03,,Active,178.33,Annual
SUB000263,CU000263,PL03,2024-05-05,,Active,496.06,Monthly
SUB000264,CU000264,PL02,2022-03-20,,Active,141.43,Annual
SUB000265,CU000265,PL03,2025-06-20,,Active,403.5,Monthly
SUB000266,CU000266,PL01,2024-04-01,,Active,50.98,Monthly
SUB000267,CU000267,PL03,2022-03-15,,Active,393.92,Monthly
SUB000268,CU000268,PL01,2023-04-30,,Active,44.56,Annual
SUB000269,CU000269,PL02,2022-03-06,,Active,139.15,Monthly
SUB000270,CU000270,PL01,2025-01-06,2026-06-08,Churned,47.87,Monthly
SUB000271,CU000271,PL01,2024-06-21,,Active,42.81,Annual
SUB000272,CU000272,PL02,2026-03-04,,Active,164.21,Monthly
SUB000273,CU000273,PL01,2024-04-07,,Active,44.01,Monthly
SUB000274,CU000274,PL01,2025-06-08,,Active,48.4,Monthly
SUB000275,CU000275,PL01,2024-04-06,2026-02-13,Churned,41.94,Annual
SUB000276,CU000276,PL03,2024-01-15,,Active,397.81,Annual
SUB000277,CU000277,PL02,2024-09-03,,Active,127.73,Monthly
SUB000278,CU000278,PL01,2025-01-25,,Active,47.35,Annual
SUB000279,CU000279,PL02,2024-04-01,,Active,146.01,Annual
SUB000280,CU000280,PL01,2025-04-09,,Active,46.85,Monthly
SUB000281,CU000281,PL03,2025-02-09,,Active,439.35,Monthly
SUB000282,CU000282,PL01,2025-03-11,2026-04-26,Churned,47.74,Monthly
SUB000283,CU000283,PL01,2022-10-23,,Active,44.16,Annual
SUB000284,CU000284,PL01,2022-12-20,,Active,44.11,Monthly
SUB000285,CU000285,PL01,2024-04-30,,Active,46.37,Monthly
SUB000286,CU000286,PL04,2026-01-17,,Active,1386.73,Annual
SUB000287,CU000287,PL01,2023-11-12,,Active,53.13,Monthly
SUB000288,CU000288,PL01,2026-04-25,,Active,51.45,Monthly
SUB000289,CU000289,PL02,2024-04-23,,Active,161.81,Monthly
SUB000290,CU000290,PL03,2024-03-16,,Active,382.59,Monthly
SUB000291,CU000291,PL02,2022-02-13,,Active,132.76,Annual
SUB000292,CU000292,PL03,2024-06-24,,Active,339.88,Annual
SUB000293,CU000293,PL02,2023-05-26,,Active,158.04,Annual
SUB000294,CU000294,PL03,2025-01-24,,Active,441.84,Annual
SUB000295,CU000295,PL03,2023-10-28,,Active,459.38,Monthly
SUB000296,CU000296,PL01,2025-12-17,,Active,43.55,Monthly
SUB000297,CU000297,PL03,2026-03-21,,Active,469.11,Monthly
SUB000298,CU000298,PL01,2024-06-10,,Active,47.06,Monthly
SUB000299,CU000299,PL01,2025-04-03,,Active,51.07,Annual
SUB000300,CU000300,PL01,2024-11-26,,Active,49.62,Annual
SUB000301,CU000301,PL03,2023-04-14,,Active,455.64,Monthly
SUB000302,CU000302,PL03,2023-07-27,2025-11-15,Churned,472.54,Annual
SUB000303,CU000303,PL03,2023-05-13,,Active,419.84,Monthly
SUB000304,CU000304,PL03,2023-05-03,,Active,473.76,Monthly
SUB000305,CU000305,PL02,2024-11-12,,Active,167.75,Annual
SUB000306,CU000306,PL02,2023-08-16,,Active,155.66,Annual
SUB000307,CU000307,PL01,2022-01-10,,Active,41.69,Monthly
SUB000308,CU000308,PL03,2025-04-17,,Active,401.81,Annual
SUB000309,CU000309,PL02,2024-12-19,2025-11-21,Churned,175.72,Monthly
SUB000310,CU000310,PL01,2022-07-11,,Active,56.51,Monthly
SUB000311,CU000311,PL01,2025-11-17,,Active,48.2,Annual
SUB000312,CU000312,PL04,2023-01-09,,Active,1296.39,Monthly
SUB000313,CU000313,PL01,2024-07-02,2026-01-05,Churned,52.24,Monthly
SUB000314,CU000314,PL02,2026-02-26,,Active,156.78,Monthly
SUB000315,CU000315,PL01,2022-04-16,,Active,55.22,Annual
SUB000316,CU000316,PL04,2023-06-01,,Active,1255.02,Annual
SUB000317,CU000317,PL03,2025-11-18,2026-05-01,Churned,471.46,Monthly
SUB000318,CU000318,PL01,2023-01-26,,Active,47.17,Monthly
SUB000319,CU000319,PL02,2024-08-25,,Active,158.26,Annual
SUB000320,CU000320,PL03,2022-11-07,,Active,384.45,Monthly
SUB000321,CU000321,PL04,2024-12-20,,Active,1260.49,Monthly
SUB000322,CU000322,PL01,2025-05-03,,Active,48.67,Monthly
SUB000323,CU000323,PL02,2023-11-04,,Active,168.15,Monthly
SUB000324,CU000324,PL02,2022-10-03,,Active,139.74,Annual
SUB000325,CU000325,PL02,2023-12-29,,Active,138.0,Annual
SUB000326,CU000326,PL02,2023-10-25,,Active,159.53,Monthly
SUB000327,CU000327,PL02,2026-03-12,,Active,163.25,Monthly
SUB000328,CU000328,PL01,2022-04-09,,Active,47.58,Annual
SUB000329,CU000329,PL03,2024-05-25,,Active,438.49,Monthly
SUB000330,CU000330,PL02,2025-01-16,,Active,169.72,Annual
SUB000331,CU000331,PL02,2023-01-04,,Active,129.4,Monthly
SUB000332,CU000332,PL04,2025-04-22,,Active,1242.2,Annual
SUB000333,CU000333,PL03,2024-01-02,,Active,432.72,Annual
SUB000334,CU000334,PL04,2023-01-14,,Active,1288.1,Annual
SUB000335,CU000335,PL03,2023-03-03,2025-01-05,Churned,391.69,Monthly
SUB000336,CU000336,PL02,2026-02-18,2026-07-06,Churned,169.58,Monthly
SUB000337,CU000337,PL01,2024-04-16,2025-03-03,Churned,45.9,Monthly
SUB000338,CU000338,PL02,2026-05-21,,Active,149.35,Monthly
SUB000339,CU000339,PL01,2023-06-20,,Active,56.41,Monthly
SUB000340,CU000340,PL01,2022-03-05,2025-02-13,Churned,43.25,Monthly
SUB000341,CU000341,PL03,2022-08-15,,Active,417.22,Monthly
SUB000342,CU000342,PL02,2022-05-18,2022-10-30,Churned,175.59,Monthly
SUB000343,CU000343,PL01,2024-04-11,,Active,47.03,Monthly
SUB000344,CU000344,PL03,2022-12-02,2025-03-16,Churned,423.9,Monthly
SUB000345,CU000345,PL03,2025-05-08,,Active,446.28,Annual
SUB000346,CU000346,PL02,2022-09-16,,Active,140.75,Annual
SUB000347,CU000347,PL03,2024-02-17,,Active,350.28,Annual
SUB000348,CU000348,PL03,2024-11-26,,Active,422.51,Monthly
SUB000349,CU000349,PL03,2025-07-01,2026-05-29,Churned,380.73,Monthly
SUB000350,CU000350,PL01,2022-03-28,,Active,47.75,Annual
SUB000351,CU000351,PL03,2024-04-24,,Active,436.64,Annual
SUB000352,CU000352,PL02,2023-07-06,,Active,143.88,Annual
SUB000353,CU000353,PL04,2023-02-09,,Active,1480.19,Monthly
SUB000354,CU000354,PL01,2022-09-18,2025-01-20,Churned,53.81,Monthly
SUB000355,CU000355,PL01,2022-03-16,,Active,53.26,Annual
SUB000356,CU000356,PL01,2022-05-07,,Active,53.04,Monthly
SUB000357,CU000357,PL02,2026-04-13,,Active,175.95,Monthly
SUB000358,CU000358,PL01,2024-07-11,,Active,48.88,Monthly
SUB000359,CU000359,PL01,2025-08-04,,Active,48.94,Annual
SUB000360,CU000360,PL01,2022-05-18,2024-09-16,Churned,43.38,Monthly
SUB000361,CU000361,PL04,2022-09-11,,Active,1208.36,Annual
SUB000362,CU000362,PL02,2022-04-06,2023-04-04,Churned,138.61,Annual
SUB000363,CU000363,PL04,2023-07-16,,Active,1492.93,Annual
SUB000364,CU000364,PL01,2024-12-15,,Active,48.82,Annual
SUB000365,CU000365,PL03,2022-01-06,2022-07-25,Churned,400.32,Monthly
SUB000366,CU000366,PL01,2023-05-08,,Active,43.58,Annual
SUB000367,CU000367,PL02,2026-05-29,,Active,158.85,Monthly
SUB000368,CU000368,PL02,2025-09-21,,Active,177.97,Monthly
SUB000369,CU000369,PL02,2025-03-31,,Active,153.01,Monthly
SUB000370,CU000370,PL02,2024-08-12,,Active,140.96,Annual
SUB000371,CU000371,PL03,2026-01-14,,Active,375.09,Annual
SUB000372,CU000372,PL03,2024-08-28,,Active,370.59,Monthly
SUB000373,CU000373,PL02,2024-03-20,,Active,154.48,Monthly
SUB000374,CU000374,PL02,2025-03-17,,Active,150.26,Annual
SUB000375,CU000375,PL03,2024-12-08,,Active,424.56,Monthly
SUB000376,CU000376,PL04,2025-05-04,,Active,1171.59,Annual
SUB000377,CU000377,PL04,2023-09-10,,Active,1146.16,Monthly
SUB000378,CU000378,PL01,2022-03-22,,Active,48.67,Annual
SUB000379,CU000379,PL02,2026-01-09,,Active,161.29,Annual
SUB000380,CU000380,PL01,2025-03-07,,Active,49.03,Annual
SUB000381,CU000381,PL02,2026-01-21,,Active,173.15,Annual
SUB000382,CU000382,PL03,2023-11-13,,Active,411.12,Monthly
SUB000383,CU000383,PL01,2025-03-10,,Active,42.93,Annual
SUB000384,CU000384,PL02,2024-09-19,,Active,127.15,Monthly
SUB000385,CU000385,PL01,2024-06-27,,Active,57.59,Annual
SUB000386,CU000386,PL03,2024-06-04,,Active,351.88,Annual
SUB000387,CU000387,PL01,2024-08-02,,Active,51.43,Monthly
