CustomerID,CustomerName,SignupDate,Industry,Country,Segment
CU000127,Account 000127,2025-08-10,Professional Services,United States,Enterprise
CU000128,Account 000128,2022-05-31,Finance,Canada,SMB
CU000129,Account 000129,2023-03-27,Professional Services,Singapore,Enterprise
CU000130,Account 000130,2022-05-10,Healthcare,Australia,SMB
CU000131,Account 000131,2022-08-31,Professional Services,Canada,SMB
CU000132,Account 000132,2024-06-25,Finance,United Kingdom,Enterprise
CU000133,Account 000133,2022-11-26,Professional Services,United Kingdom,Enterprise
CU000134,Account 000134,2022-11-26,Education,Australia,Mid-Market
CU000135,Account 000135,2022-06-08,Healthcare,Singapore,SMB
CU000136,Account 000136,2024-04-20,Finance,United Kingdom,Enterprise
CU000137,Account 000137,2023-10-20,Software,Germany,SMB
CU000138,Account 000138,2022-07-17,Software,Germany,SMB
CU000139,Account 000139,2022-04-30,Professional Services,Germany,SMB
CU000140,Account 000140,2023-01-27,Finance,Australia,Mid-Market
CU000141,Account 000141,2023-03-11,Finance,Canada,Mid-Market
CU000142,Account 000142,2025-03-16,Education,Australia,Mid-Market
CU000143,Account 000143,2022-10-26,Software,Singapore,Mid-Market
CU000144,Account 000144,2024-10-07,Education,Singapore,Enterprise
CU000145,Account 000145,2023-03-23,Education,Germany,SMB
CU000146,Account 000146,2026-02-14,Manufacturing,Singapore,SMB
CU000147,Account 000147,2023-06-12,Manufacturing,Canada,Enterprise
CU000148,Account 000148,2023-05-21,Retail,United States,Enterprise
CU000149,Account 000149,2024-08-01,Professional Services,Germany,Mid-Market
CU000150,Account 000150,2023-01-18,Finance,Canada,Mid-Market
CU000151,Account 000151,2022-11-22,Professional Services,United States,Enterprise
CU000152,Account 000152,2026-03-07,Education,Canada,Mid-Market
CU000153,Account 000153,2023-02-27,Education,Singapore,Mid-Market
CU000154,Account 000154,2022-08-01,Retail,United Kingdom,Enterprise
CU000155,Account 000155,2023-04-10,Healthcare,Germany,Enterprise
CU000156,Account 000156,2023-04-23,Professional Services,United States,Mid-Market
CU000157,Account 000157,2022-08-19,Professional Services,United States,Mid-Market
CU000158,Account 000158,2024-05-20,Education,United States,Enterprise
CU000159,Account 000159,2022-05-04,Software,Canada,Enterprise
CU000160,Account 000160,2026-01-30,Manufacturing,Singapore,Enterprise
CU000161,Account 000161,2025-11-10,Finance,Australia,Mid-Market
CU000162,Account 000162,2024-11-03,Professional Services,Australia,Mid-Market
CU000163,Account 000163,2022-09-16,Finance,Singapore,SMB
CU000164,Account 000164,2024-05-20,Professional Services,Germany,SMB
CU000165,Account 000165,2023-03-02,Retail,United Kingdom,SMB
CU000166,Account 000166,2024-07-30,Healthcare,Canada,SMB
CU000167,Account 000167,2025-06-14,Manufacturing,Canada,Mid-Market
CU000168,Account 000168,2023-04-16,Education,Germany,SMB
CU000169,Account 000169,2023-03-25,Retail,Germany,Enterprise
CU000170,Account 000170,2025-07-08,Professional Services,Germany,Mid-Market
CU000171,Account 000171,2025-05-31,Retail,Germany,SMB
CU000172,Account 000172,2025-11-10,Finance,Singapore,SMB
CU000173,Account 000173,2022-06-30,Professional Services,Canada,Enterprise
CU000174,Account 000174,2025-01-14,Education,Canada,SMB
CU000175,Account 000175,2022-02-26,Healthcare,Canada,Enterprise
CU000176,Account 000176,2022-04-13,Retail,United States,Mid-Market
CU000177,Account 000177,2025-05-29,Retail,United States,Enterprise
CU000178,Account 000178,2025-10-07,Healthcare,Canada,Enterprise
CU000179,Account 000179,2026-04-10,Healthcare,Australia,Enterprise
CU000180,Account 000180,2022-10-26,Manufacturing,Singapore,Mid-Market
CU000181,Account 000181,2026-03-04,Finance,United States,Mid-Market
CU000182,Account 000182,2024-09-26,Education,United States,SMB
CU000183,Account 000183,2025-06-15,Software,United Kingdom,Mid-Market
CU000184,Account 000184,2022-05-01,Healthcare,Germany,Mid-Market
CU000185,Account 000185,2023-07-04,Retail,Germany,Mid-Market
CU000186,Account 000186,2024-08-20,Retail,Germany,Mid-Market
CU000187,Account 000187,2022-01-10,Education,United Kingdom,Mid-Market
CU000188,Account 000188,2025-08-09,Manufacturing,Australia,SMB
CU000189,Account 000189,2022-05-22,Healthcare,United Kingdom,Enterprise
CU000190,Account 000190,2025-09-08,Manufacturing,Canada,SMB
CU000191,Account 000191,2024-10-25,Manufacturing,United Kingdom,Mid-Market
CU000192,Account 000192,2024-05-31,Manufacturing,United Kingdom,Enterprise
CU000193,Account 000193,2023-09-12,Manufacturing,United Kingdom,Mid-Market
CU000194,Account 000194,2025-12-20,Professional Services,Germany,SMB
CU000195,Account 000195,2023-07-26,Software,United Kingdom,Enterprise
CU000196,Account 000196,2022-03-26,Healthcare,Singapore,Enterprise
CU000197,Account 000197,2022-09-18,Retail,Germany,Mid-Market
CU000198,Account 000198,2026-04-16,Professional Services,United States,SMB
CU000199,Account 000199,2023-09-22,Professional Services,Canada,SMB
CU000200,Account 000200,2022-05-21,Software,Australia,Mid-Market
CU000201,Account 000201,2022-11-15,Retail,United Kingdom,SMB
CU000202,Account 000202,2023-11-22,Education,Singapore,Enterprise
CU000203,Account 000203,2024-03-03,Software,United States,Mid-Market
CU000204,Account 000204,2024-09-17,Professional Services,Canada,SMB
CU000205,Account 000205,2025-08-10,Retail,Canada,Enterprise
CU000206,Account 000206,2022-09-27,Software,United Kingdom,SMB
CU000207,Account 000207,2022-07-28,Healthcare,Australia,Enterprise
CU000208,Account 000208,2023-03-03,Manufacturing,Germany,SMB
CU000209,Account 000209,2023-01-27,Software,Singapore,SMB
CU000210,Account 000210,2026-02-21,Retail,United Kingdom,SMB
CU000211,Account 000211,2024-03-27,Healthcare,Australia,Enterprise
CU000212,Account 000212,2024-03-30,Professional Services,United Kingdom,Enterprise
CU000213,Account 000213,2022-11-25,Manufacturing,Canada,Enterprise
CU000214,Account 000214,2024-12-12,Finance,Singapore,SMB
CU000215,Account 000215,2025-10-20,Education,United Kingdom,SMB
CU000216,Account 000216,2023-04-27,Software,Germany,Mid-Market
CU000217,Account 000217,2025-07-10,Healthcare,Australia,Enterprise
CU000218,Account 000218,2023-09-01,Healthcare,Singapore,Mid-Market
CU000219,Account 000219,2023-07-02,Education,Australia,SMB
CU000220,Account 000220,2022-02-02,Healthcare,Canada,Mid-Market
CU000221,Account 000221,2025-12-11,Manufacturing,Singapore,Mid-Market
CU000222,Account 000222,2026-03-24,Finance,United Kingdom,Enterprise
CU000223,Account 000223,2024-08-05,Manufacturing,United States,SMB
CU000224,Account 000224,2023-01-04,Education,United Kingdom,Enterprise
CU000225,Account 000225,2023-05-08,Manufacturing,Singapore,Enterprise
CU000226,Account 000226,2026-03-24,Education,Germany,SMB
CU000227,Account 000227,2025-12-15,Retail,Germany,SMB
CU000228,Account 000228,2025-03-27,Finance,United Kingdom,SMB
CU000229,Account 000229,2026-03-15,Finance,United Kingdom,SMB
CU000230,Account 000230,2022-08-23,Manufacturing,United Kingdom,Enterprise
CU000231,Account 000231,2022-03-17,Finance,Germany,SMB
CU000232,Account 000232,2024-07-21,Professional Services,United States,SMB
CU000233,Account 000233,2023-08-12,Healthcare,Australia,Enterprise
CU000234,Account 000234,2024-03-24,Professional Services,Singapore,SMB
CU000235,Account 000235,2023-02-08,Healthcare,Singapore,Enterprise
CU000236,Account 000236,2025-05-08,Finance,Germany,Mid-Market
CU000237,Account 000237,2025-03-27,Healthcare,Australia,Enterprise
CU000238,Account 000238,2023-05-25,Retail,United Kingdom,Enterprise
CU000239,Account 000239,2022-02-18,Healthcare,Australia,Enterprise
CU000240,Account 000240,2025-10-06,Education,Singapore,Mid-Market
CU000241,Account 000241,2026-01-03,Education,Germany,Enterprise
CU000242,Account 000242,2025-09-01,Retail,Canada,Enterprise
CU000243,Account 000243,2026-03-18,Healthcare,Germany,SMB
CU000244,Account 000244,2022-01-05,Retail,United Kingdom,SMB
CU000245,Account 000245,2024-10-17,Retail,Australia,Mid-Market
CU000246,Account 000246,2024-05-08,Retail,Germany,SMB
CU000247,Account 000247,2022-01-10,Healthcare,Australia,Enterprise
CU000248,Account 000248,2024-03-10,Professional Services,United Kingdom,Mid-Market
CU000249,Account 000249,2025-04-19,Manufacturing,Germany,SMB
CU000250,Account 000250,2024-06-01,Software,Germany,Mid-Market
CU000251,Account 000251,2022-06-27,Retail,Singapore,SMB
CU000252,Account 000252,2025-09-08,Retail,Singapore,Mid-Market
CU000253,Account 000253,2026-03-02,Retail,Singapore,Mid-Market
CU000254,Account 000254,2025-05-18,Healthcare,United States,Enterprise
CU000255,Account 000255,2025-12-18,Healthcare,Germany,SMB
CU000256,Account 000256,2022-01-08,Software,Germany,Mid-Market
CU000257,Account 000257,2026-01-26,Manufacturing,Germany,Enterprise
CU000258,Account 000258,2022-04-06,Manufacturing,United States,Mid-Market
CU000259,Account 000259,2025-02-28,Finance,Australia,SMB
CU000260,Account 000260,2025-06-15,Healthcare,United States,Enterprise
CU000261,Account 000261,2022-06-27,Professional Services,Canada,Mid-Market
CU000262,Account 000262,2024-11-03,Software,Canada,SMB
CU000263,Account 000263,2024-05-05,Retail,Singapore,Mid-Market
CU000264,Account 000264,2022-03-20,Finance,Germany,Enterprise
CU000265,Account 000265,2025-06-20,Finance,Germany,SMB
CU000266,Account 000266,2024-04-01,Professional Services,Singapore,Enterprise
CU000267,Account 000267,2022-03-15,Professional Services,United States,SMB
CU000268,Account 000268,2023-04-30,Retail,United States,Mid-Market
CU000269,Account 000269,2022-03-06,Retail,Singapore,SMB
CU000270,Account 000270,2025-01-06,Education,Singapore,Enterprise
CU000271,Account 000271,2024-06-21,Healthcare,United States,Enterprise
CU000272,Account 000272,2026-03-04,Healthcare,United States,Mid-Market
CU000273,Account 000273,2024-04-07,Retail,Australia,SMB
CU000274,Account 000274,2025-06-08,Manufacturing,Germany,Enterprise
CU000275,Account 000275,2024-04-06,Software,United Kingdom,SMB
CU000276,Account 000276,2024-01-15,Manufacturing,Canada,SMB
CU000277,Account 000277,2024-09-03,Healthcare,United Kingdom,SMB
CU000278,Account 000278,2025-01-25,Finance,Singapore,Enterprise
CU000279,Account 000279,2024-04-01,Education,Singapore,SMB
CU000280,Account 000280,2025-04-09,Retail,Canada,Enterprise
CU000281,Account 000281,2025-02-09,Retail,Germany,SMB
CU000282,Account 000282,2025-03-11,Professional Services,Canada,Mid-Market
CU000283,Account 000283,2022-10-23,Retail,Singapore,Mid-Market
CU000284,Account 000284,2022-12-20,Healthcare,Singapore,Enterprise
CU000285,Account 000285,2024-04-30,Retail,United Kingdom,Mid-Market
CU000286,Account 000286,2026-01-17,Professional Services,Canada,Enterprise
CU000287,Account 000287,2023-11-12,Manufacturing,Germany,SMB
CU000288,Account 000288,2026-04-25,Healthcare,Canada,Enterprise
CU000289,Account 000289,2024-04-23,Manufacturing,Australia,Mid-Market
CU000290,Account 000290,2024-03-16,Professional Services,United Kingdom,SMB
CU000291,Account 000291,2022-02-13,Finance,Singapore,SMB
CU000292,Account 000292,2024-06-24,Healthcare,Germany,SMB
CU000293,Account 000293,2023-05-26,Retail,Canada,SMB
CU000294,Account 000294,2025-01-24,Finance,Canada,Mid-Market
CU000295,Account 000295,2023-10-28,Professional Services,Singapore,Mid-Market
CU000296,Account 000296,2025-12-17,Healthcare,Canada,Mid-Market
CU000297,Account 000297,2026-03-21,Finance,Canada,Enterprise
CU000298,Account 000298,2024-06-10,Manufacturing,United Kingdom,SMB
CU000299,Account 000299,2025-04-03,Finance,Singapore,Enterprise
CU000300,Account 000300,2024-11-26,Manufacturing,Germany,SMB
CU000301,Account 000301,2023-04-14,Retail,United States,SMB
CU000302,Account 000302,2023-07-27,Healthcare,Singapore,Enterprise
CU000303,Account 000303,2023-05-13,Manufacturing,United Kingdom,SMB
CU000304,Account 000304,2023-05-03,Professional Services,Singapore,Enterprise
CU000305,Account 000305,2024-11-12,Education,Australia,SMB
CU000306,Account 000306,2023-08-16,Software,United Kingdom,SMB
CU000307,Account 000307,2022-01-10,Professional Services,Germany,SMB
CU000308,Account 000308,2025-04-17,Retail,Singapore,Mid-Market
CU000309,Account 000309,2024-12-19,Finance,United States,SMB
CU000310,Account 000310,2022-07-11,Professional Services,Singapore,SMB
CU000311,Account 000311,2025-11-17,Education,United States,SMB
CU000312,Account 000312,2023-01-09,Software,Singapore,Mid-Market
CU000313,Account 000313,2024-07-02,Retail,Canada,Mid-Market
CU000314,Account 000314,2026-02-26,Software,United Kingdom,SMB
CU000315,Account 000315,2022-04-16,Retail,Singapore,SMB
CU000316,Account 000316,2023-06-01,Finance,Canada,Mid-Market
CU000317,Account 000317,2025-11-18,Education,Singapore,SMB
CU000318,Account 000318,2023-01-26,Manufacturing,Singapore,SMB
CU000319,Account 000319,2024-08-25,Healthcare,Singapore,SMB
CU000320,Account 000320,2022-11-07,Professional Services,Canada,Mid-Market
CU000321,Account 000321,2024-12-20,Retail,United Kingdom,Enterprise
CU000322,Account 000322,2025-05-03,Software,Germany,SMB
CU000323,Account 000323,2023-11-04,Manufacturing,Australia,Enterprise
CU000324,Account 000324,2022-10-03,Finance,Germany,Mid-Market
CU000325,Account 000325,2023-12-29,Finance,Singapore,SMB
CU000326,Account 000326,2023-10-25,Education,Australia,SMB
CU000327,Account 000327,2026-03-12,Software,United Kingdom,SMB
CU000328,Account 000328,2022-04-09,Professional Services,Canada,Mid-Market
CU000329,Account 000329,2024-05-25,Professional Services,Singapore,Mid-Market
CU000330,Account 000330,2025-01-16,Education,United Kingdom,Enterprise
CU000331,Account 000331,2023-01-04,Education,Germany,Enterprise
CU000332,Account 000332,2025-04-22,Healthcare,Australia,Enterprise
CU000333,Account 000333,2024-01-02,Software,Germany,Enterprise
CU000334,Account 000334,2023-01-14,Education,Australia,SMB
CU000335,Account 000335,2023-03-03,Software,Germany,Mid-Market
CU000336,Account 000336,2026-02-18,Manufacturing,Australia,SMB
CU000337,Account 000337,2024-04-16,Retail,Singapore,SMB
CU000338,Account 000338,2026-05-21,Professional Services,Singapore,Enterprise
CU000339,Account 000339,2023-06-20,Software,Germany,SMB
CU000340,Account 000340,2022-03-05,Retail,United Kingdom,SMB
CU000341,Account 000341,2022-08-15,Retail,Singapore,Enterprise
CU000342,Account 000342,2022-05-18,Retail,Singapore,Enterprise
CU000343,Account 000343,2024-04-11,Healthcare,Singapore,Enterprise
CU000344,Account 000344,2022-12-02,Manufacturing,United States,Mid-Market
CU000345,Account 000345,2025-05-08,Finance,United States,Mid-Market
CU000346,Account 000346,2022-09-16,Healthcare,Germany,SMB
CU000347,Account 000347,2024-02-17,Professional Services,United Kingdom,Mid-Market
CU000348,Account 000348,2024-11-26,Finance,Canada,Mid-Market
CU000349,Account 000349,2025-07-01,Healthcare,Australia,SMB
CU000350,Account 000350,2022-03-28,Retail,Canada,SMB
CU000351,Account 000351,2024-04-24,Manufacturing,United Kingdom,SMB
CU000352,Account 000352,2023-07-06,Professional Services,Singapore,Mid-Market
CU000353,Account 000353,2023-02-09,Healthcare,Canada,SMB
CU000354,Account 000354,2022-09-18,Retail,Germany,Enterprise
CU000355,Account 000355,2022-03-16,Finance,United States,Mid-Market
CU000356,Account 000356,2022-05-07,Retail,Canada,SMB
CU000357,Account 000357,2026-04-13,Finance,Australia,SMB
CU000358,Account 000358,2024-07-11,Retail,Singapore,Enterprise
CU000359,Account 000359,2025-08-04,Finance,Singapore,Mid-Market
CU000360,Account 000360,2022-05-18,Software,United Kingdom,Mid-Market
CU000361,Account 000361,2022-09-11,Finance,United Kingdom,Mid-Market
CU000362,Account 000362,2022-04-06,Manufacturing,Singapore,Mid-Market
CU000363,Account 000363,2023-07-16,Professional Services,Australia,SMB
CU000364,Account 000364,2024-12-15,Manufacturing,United Kingdom,Enterprise
CU000365,Account 000365,2022-01-06,Retail,Australia,Enterprise
CU000366,Account 000366,2023-05-08,Education,Canada,Enterprise
CU000367,Account 000367,2026-05-29,Professional Services,Canada,Mid-Market
CU000368,Account 000368,2025-09-21,Education,United States,Mid-Market
CU000369,Account 000369,2025-03-31,Education,United States,Mid-Market
CU000370,Account 000370,2024-08-12,Healthcare,Canada,SMB
CU000371,Account 000371,2026-01-14,Retail,Singapore,Mid-Market
CU000372,Account 000372,2024-08-28,Education,United Kingdom,Enterprise
CU000373,Account 000373,2024-03-20,Professional Services,United Kingdom,Mid-Market
CU000374,Account 000374,2025-03-17,Software,Germany,Mid-Market
CU000375,Account 000375,2024-12-08,Retail,Germany,Mid-Market
CU000376,Account 000376,2025-05-04,Healthcare,Singapore,Enterprise
CU000377,Account 000377,2023-09-10,Software,Singapore,Enterprise
CU000378,Account 000378,2022-03-22,Software,United States,Mid-Market
CU000379,Account 000379,2026-01-09,Retail,Singapore,SMB
CU000380,Account 000380,2025-03-07,Finance,United Kingdom,SMB
CU000381,Account 000381,2026-01-21,Manufacturing,Canada,SMB
CU000382,Account 000382,2023-11-13,Professional Services,Singapore,Mid-Market
CU000383,Account 000383,2025-03-10,Software,United States,Mid-Market
CU000384,Account 000384,2024-09-19,Education,Australia,Mid-Market
CU000385,Account 000385,2024-06-27,Finance,United Kingdom,Enterprise
CU000386,Account 000386,2024-06-04,Software,Germany,Mid-Market
CU000387,Account 000387,2024-08-02,Professional Services,United Kingdom,SMB
CU000388,Account 000388,2022-10-16,Professional Services,Germany,SMB
CU000389,Account 000389,2026-03-09,Education,Germany,SMB
CU000390,Account 000390,2025-11-10,Education,United States,Mid-Market
CU000391,Account 000391,2025-04-17,Retail,Canada,Enterprise
CU000392,Account 000392,2026-02-26,Professional Services,Germany,Mid-Market
CU000393,Account 000393,2024-08-14,Healthcare,Germany,SMB
CU000394,Account 000394,2025-06-29,Retail,Germany,SMB
CU000395,Account 000395,2023-01-19,Education,Singapore,Mid-Market
CU000396,Account 000396,2022-12-14,Finance,Canada,SMB
CU000397,Account 000397,2024-12-10,Retail,Singapore,SMB
CU000398,Account 000398,2023-07-13,Healthcare,Canada,Enterprise
CU000399,Account 000399,2022-11-01,Professional Services,Germany,SMB
CU000400,Account 000400,2022-09-21,Manufacturing,United States,SMB
CU000401,Account 000401,2024-09-04,Software,Canada,SMB
CU000402,Account 000402,2023-10-01,Manufacturing,United Kingdom,Enterprise
CU000403,Account 000403,2022-11-11,Professional Services,Australia,SMB
CU000404,Account 000404,2022-08-02,Finance,United States,Enterprise
CU000405,Account 000405,2023-12-22,Healthcare,Singapore,Enterprise
CU000406,Account 000406,2024-04-24,Retail,United Kingdom,Enterprise
CU000407,Account 000407,2026-05-27,Education,Canada,SMB
CU000408,Account 000408,2025-06-03,Software,Canada,Enterprise
CU000409,Account 000409,2025-07-06,Manufacturing,United States,SMB
CU000410,Account 000410,2022-01-13,Professional Services,Singapore,Mid-Market
CU000411,Account 000411,2023-02-14,Finance,Canada,Mid-Market
CU000412,Account 000412,2026-01-08,Retail,United Kingdom,Mid-Market
CU000413,Account 000413,2025-09-07,Healthcare,United States,Mid-Market
CU000414,Account 000414,2022-02-20,Professional Services,Singapore,Mid-Market
CU000415,Account 000415,2023-10-25,Finance,Germany,Mid-Market
CU000416,Account 000416,2025-01-15,Manufacturing,Germany,Enterprise
CU000417,Account 000417,2024-11-10,Professional Services,Germany,Mid-Market
CU000418,Account 000418,2025-10-18,Education,Singapore,Mid-Market
CU000419,Account 000419,2023-09-27,Education,Canada,Enterprise
CU000420,Account 000420,2023-02-24,Finance,Canada,SMB
CU000421,Account 000421,2025-12-29,Software,Canada,SMB
CU000422,Account 000422,2026-05-20,Retail,Singapore,Enterprise
CU000423,Account 000423,2023-10-31,Manufacturing,United Kingdom,Enterprise
CU000424,Account 000424,2023-11-17,Retail,United Kingdom,SMB
