CustomerID,AcquisitionSource,AcquisitionCost,AttributionType
CU000123,Referral,4548.39,Multi-Touch
CU000124,Outbound,4468.01,First Touch
CU000125,Organic Search,4633.85,Last Touch
CU000126,Outbound,1017.05,Last Touch
CU000127,LinkedIn Ads,4153.91,First Touch
CU000128,Partner,246.8,First Touch
CU000129,Referral,4445.78,First Touch
CU000130,Referral,394.45,First Touch
CU000131,Google Ads,270.16,Multi-Touch
CU000132,Event,4507.05,Last Touch
CU000133,Partner,4458.36,Last Touch
CU000134,Google Ads,1143.39,First Touch
CU000135,Google Ads,306.96,First Touch
CU000136,Outbound,4597.34,First Touch
CU000137,Google Ads,184.56,Multi-Touch
CU000138,Organic Search,83.48,First Touch
CU000139,Outbound,371.46,Multi-Touch
CU000140,Outbound,1401.81,Last Touch
CU000141,Outbound,1146.55,Multi-Touch
CU000142,Organic Search,803.78,Multi-Touch
CU000143,Referral,1158.58,First Touch
CU000144,Outbound,4418.17,Multi-Touch
CU000145,Outbound,185.93,Multi-Touch
CU000146,Organic Search,239.03,Last Touch
CU000147,Referral,4846.8,Multi-Touch
CU000148,Partner,4441.53,Multi-Touch
CU000149,Organic Search,1406.25,Last Touch
CU000150,Event,1176.45,Multi-Touch
CU000151,Referral,4417.46,Multi-Touch
CU000152,Event,1350.19,First Touch
CU000153,Outbound,1342.08,Last Touch
CU000154,Event,4803.26,Multi-Touch
CU000155,Referral,4780.76,Last Touch
CU000156,Outbound,951.17,First Touch
CU000157,Event,1236.08,Multi-Touch
CU000158,Organic Search,4374.2,Last Touch
CU000159,Outbound,4605.43,Last Touch
CU000160,Google Ads,4710.44,Multi-Touch
CU000161,Referral,965.71,First Touch
CU000162,Event,996.79,First Touch
CU000163,Organic Search,459.65,First Touch
CU000164,Event,464.38,First Touch
CU000165,LinkedIn Ads,114.65,First Touch
CU000166,LinkedIn Ads,569.39,Multi-Touch
CU000167,Referral,661.0,Last Touch
CU000168,Outbound,369.85,Last Touch
CU000169,LinkedIn Ads,4473.24,Multi-Touch
CU000170,Referral,1196.85,Multi-Touch
CU000171,Event,343.75,Last Touch
CU000172,Google Ads,397.65,Multi-Touch
CU000173,Outbound,4453.68,Multi-Touch
CU000174,Partner,160.44,Multi-Touch
CU000175,Partner,4693.01,First Touch
CU000176,Outbound,1436.88,Multi-Touch
CU000177,Google Ads,4529.09,First Touch
CU000178,Outbound,4603.71,Last Touch
CU000179,Event,4495.22,Multi-Touch
CU000180,Outbound,1263.97,Multi-Touch
CU000181,Organic Search,1258.34,First Touch
CU000182,Outbound,374.17,Multi-Touch
CU000183,Outbound,1110.73,Last Touch
CU000184,LinkedIn Ads,1243.65,Multi-Touch
CU000185,Google Ads,1200.96,Last Touch
CU000186,Outbound,1118.54,First Touch
CU000187,Partner,1181.59,Multi-Touch
CU000188,Google Ads,317.5,Multi-Touch
CU000189,Outbound,4701.04,First Touch
CU000190,LinkedIn Ads,379.43,Last Touch
CU000191,Referral,1622.14,Multi-Touch
CU000192,Organic Search,4331.72,Multi-Touch
CU000193,Partner,1332.13,First Touch
CU000194,Partner,487.35,First Touch
CU000195,Google Ads,4325.98,Last Touch
CU000196,Referral,4378.07,Multi-Touch
CU000197,Outbound,1267.21,First Touch
CU000198,Event,501.96,First Touch
CU000199,Event,516.01,Multi-Touch
CU000200,Event,1360.31,Multi-Touch
CU000201,Outbound,331.43,Multi-Touch
CU000202,Event,4437.47,Multi-Touch
CU000203,Referral,1355.91,Last Touch
CU000204,Event,320.52,Multi-Touch
CU000205,Google Ads,4565.84,First Touch
CU000206,Google Ads,467.64,Multi-Touch
CU000207,Google Ads,4803.48,Last Touch
CU000208,Outbound,61.63,Last Touch
CU000209,Organic Search,341.91,Multi-Touch
CU000210,Outbound,531.6,Last Touch
CU000211,Organic Search,4414.27,Last Touch
CU000212,Google Ads,4475.8,Last Touch
CU000213,Event,4581.33,Last Touch
CU000214,Organic Search,157.61,Multi-Touch
CU000215,Partner,344.53,First Touch
CU000216,LinkedIn Ads,1173.56,First Touch
CU000217,Organic Search,4629.55,First Touch
CU000218,Google Ads,1032.94,First Touch
CU000219,Google Ads,54.32,Last Touch
CU000220,Referral,1276.55,Last Touch
CU000221,Event,1304.97,Multi-Touch
CU000222,Referral,4312.06,Multi-Touch
CU000223,Referral,346.36,Multi-Touch
CU000224,Organic Search,4300.92,First Touch
CU000225,Organic Search,4299.46,Multi-Touch
CU000226,Outbound,482.5,Last Touch
CU000227,Google Ads,184.94,Last Touch
CU000228,Partner,247.19,Last Touch
CU000229,Referral,102.68,Last Touch
CU000230,Event,4414.01,Multi-Touch
CU000231,Google Ads,301.23,Last Touch
CU000232,Referral,375.79,First Touch
CU000233,Partner,4382.75,First Touch
CU000234,Outbound,86.17,Multi-Touch
CU000235,Event,4335.99,Multi-Touch
CU000236,Google Ads,1094.0,Last Touch
CU000237,LinkedIn Ads,4652.52,Multi-Touch
CU000238,Referral,4852.6,First Touch
CU000239,LinkedIn Ads,4495.91,Multi-Touch
CU000240,LinkedIn Ads,1413.6,Last Touch
CU000241,Outbound,4705.59,Last Touch
CU000242,Referral,4625.03,First Touch
CU000243,Organic Search,587.31,Multi-Touch
CU000244,Google Ads,428.08,Multi-Touch
CU000245,Partner,997.84,First Touch
CU000246,Partner,649.54,Multi-Touch
CU000247,Organic Search,4352.15,First Touch
CU000248,Event,1160.75,First Touch
CU000249,Outbound,226.93,Multi-Touch
CU000250,Event,1231.16,First Touch
CU000251,Outbound,140.68,Last Touch
CU000252,Google Ads,975.48,First Touch
CU000253,LinkedIn Ads,1201.76,Last Touch
CU000254,Event,4499.65,Last Touch
CU000255,Partner,223.97,First Touch
CU000256,Organic Search,1327.34,First Touch
CU000257,Outbound,4491.98,Last Touch
CU000258,Referral,1076.2,First Touch
CU000259,LinkedIn Ads,628.22,First Touch
CU000260,Google Ads,4563.17,First Touch
CU000261,LinkedIn Ads,1388.2,Multi-Touch
CU000262,Partner,177.89,Last Touch
CU000263,Organic Search,1532.65,Last Touch
CU000264,Google Ads,4552.04,Multi-Touch
CU000265,Event,381.58,Multi-Touch
CU000266,Outbound,4954.55,First Touch
CU000267,Organic Search,152.23,Last Touch
CU000268,Organic Search,1059.68,Multi-Touch
CU000269,Google Ads,324.66,First Touch
CU000270,Event,4544.82,First Touch
CU000271,LinkedIn Ads,4664.67,First Touch
CU000272,Referral,1171.96,First Touch
CU000273,Partner,482.97,Multi-Touch
CU000274,Referral,4484.21,Last Touch
CU000275,LinkedIn Ads,539.94,First Touch
CU000276,Partner,87.81,Multi-Touch
CU000277,Google Ads,290.9,Last Touch
CU000278,Event,4428.87,Multi-Touch
CU000279,Google Ads,67.68,First Touch
CU000280,Outbound,4734.79,Multi-Touch
CU000281,Event,88.98,First Touch
CU000282,Google Ads,1364.22,First Touch
CU000283,Google Ads,1154.12,Last Touch
CU000284,Referral,4517.01,Last Touch
CU000285,Event,1271.23,Last Touch
CU000286,Referral,4686.59,Multi-Touch
CU000287,Referral,50.26,Multi-Touch
CU000288,Partner,4739.43,Multi-Touch
CU000289,Partner,1426.94,Multi-Touch
CU000290,Organic Search,428.1,First Touch
CU000291,Google Ads,423.36,First Touch
CU000292,Outbound,379.6,First Touch
CU000293,LinkedIn Ads,372.87,First Touch
CU000294,Partner,1030.06,Multi-Touch
CU000295,Referral,1084.59,Multi-Touch
CU000296,Referral,1234.93,First Touch
CU000297,Partner,3998.9,Multi-Touch
CU000298,Partner,280.27,Last Touch
CU000299,Event,4594.49,First Touch
CU000300,Referral,320.98,First Touch
CU000301,Outbound,660.93,Last Touch
CU000302,Event,4436.49,Multi-Touch
CU000303,Referral,136.98,Last Touch
CU000304,Organic Search,3973.41,First Touch
CU000305,LinkedIn Ads,53.03,Last Touch
CU000306,Organic Search,360.11,Last Touch
CU000307,Referral,459.67,First Touch
CU000308,LinkedIn Ads,1538.97,Last Touch
CU000309,Partner,275.21,First Touch
CU000310,Google Ads,455.31,First Touch
CU000311,Organic Search,345.02,Multi-Touch
CU000312,Event,1009.83,Last Touch
CU000313,Google Ads,1045.06,First Touch
CU000314,Outbound,436.95,First Touch
CU000315,Referral,507.58,Multi-Touch
CU000316,Outbound,1024.28,Multi-Touch
CU000317,Organic Search,224.12,Last Touch
CU000318,Referral,286.31,Multi-Touch
CU000319,Referral,647.98,First Touch
CU000320,Referral,996.2,First Touch
CU000321,Outbound,4433.88,Last Touch
CU000322,Partner,368.47,Last Touch
CU000323,Organic Search,4379.8,Multi-Touch
CU000324,LinkedIn Ads,1305.55,Last Touch
CU000325,Outbound,138.87,Multi-Touch
CU000326,Event,82.02,Multi-Touch
CU000327,LinkedIn Ads,482.87,Last Touch
CU000328,Organic Search,1408.88,Last Touch
CU000329,Google Ads,1340.17,Multi-Touch
CU000330,Google Ads,4528.83,Multi-Touch
CU000331,Google Ads,4685.72,First Touch
CU000332,Partner,4460.79,Last Touch
CU000333,Event,4532.96,Multi-Touch
CU000334,LinkedIn Ads,235.82,Last Touch
CU000335,Google Ads,1220.5,Last Touch
CU000336,Event,538.4,Multi-Touch
CU000337,Event,464.64,Multi-Touch
CU000338,Organic Search,4342.28,Multi-Touch
CU000339,Referral,165.7,Last Touch
CU000340,Event,376.37,Last Touch
CU000341,Outbound,4604.97,Multi-Touch
CU000342,Outbound,4504.17,First Touch
CU000343,Google Ads,4528.97,First Touch
CU000344,Partner,976.55,Multi-Touch
CU000345,Outbound,1409.64,Last Touch
CU000346,Google Ads,315.83,Multi-Touch
CU000347,Partner,1080.73,Last Touch
CU000348,Google Ads,1235.04,First Touch
CU000349,Organic Search,101.58,Multi-Touch
CU000350,Google Ads,271.67,Multi-Touch
CU000351,Organic Search,224.37,First Touch
CU000352,Organic Search,807.78,Last Touch
CU000353,Partner,233.31,Multi-Touch
CU000354,Partner,4499.17,First Touch
CU000355,Organic Search,1281.71,Last Touch
CU000356,Event,447.97,Last Touch
CU000357,Event,193.8,Multi-Touch
CU000358,Referral,4550.52,Last Touch
CU000359,Event,982.16,Multi-Touch
CU000360,Organic Search,1216.31,Last Touch
CU000361,Organic Search,1523.05,Last Touch
CU000362,Outbound,1506.59,Last Touch
CU000363,Organic Search,258.86,Multi-Touch
CU000364,Outbound,4873.27,Multi-Touch
CU000365,LinkedIn Ads,4657.15,First Touch
CU000366,Event,4634.6,First Touch
CU000367,Referral,1167.36,Multi-Touch
CU000368,LinkedIn Ads,1122.98,Multi-Touch
CU000369,Partner,1030.87,Multi-Touch
CU000370,Event,701.51,Last Touch
CU000371,Event,1464.14,First Touch
CU000372,Outbound,4331.54,First Touch
CU000373,Referral,1011.55,Multi-Touch
CU000374,Google Ads,1275.94,Multi-Touch
CU000375,LinkedIn Ads,1103.0,Multi-Touch
CU000376,Event,4493.47,Last Touch
CU000377,Organic Search,4331.34,First Touch
CU000378,Organic Search,1153.1,First Touch
CU000379,Partner,369.78,First Touch
CU000380,Referral,444.22,Multi-Touch
CU000381,Google Ads,323.5,First Touch
CU000382,Partner,955.91,Multi-Touch
CU000383,Organic Search,1545.47,Multi-Touch
CU000384,LinkedIn Ads,1015.25,Last Touch
CU000385,Referral,4495.65,Last Touch
CU000386,Outbound,982.7,First Touch
CU000387,Event,228.53,Last Touch
CU000388,Outbound,236.61,First Touch
CU000389,Google Ads,37.45,Multi-Touch
CU000390,Outbound,892.72,Last Touch
CU000391,Google Ads,4648.0,Last Touch
CU000392,Outbound,1010.55,Last Touch
CU000393,Partner,198.52,First Touch
CU000394,Event,187.83,Last Touch
CU000395,Referral,1304.84,First Touch
CU000396,Referral,478.09,First Touch
CU000397,Outbound,49.7,Last Touch
CU000398,Outbound,4420.97,First Touch
CU000399,LinkedIn Ads,116.34,First Touch
CU000400,Referral,524.67,Multi-Touch
CU000401,Organic Search,293.82,First Touch
CU000402,Organic Search,4418.84,First Touch
CU000403,Google Ads,568.39,First Touch
CU000404,Referral,4457.13,First Touch
CU000405,Referral,4339.66,Multi-Touch
CU000406,LinkedIn Ads,4472.68,Multi-Touch
CU000407,LinkedIn Ads,204.11,Multi-Touch
CU000408,Outbound,4533.23,First Touch
CU000409,Outbound,404.37,Multi-Touch
CU000410,Event,1076.34,Multi-Touch
CU000411,Organic Search,1485.17,Multi-Touch
CU000412,Google Ads,1003.33,Last Touch
CU000413,Event,1269.12,Multi-Touch
CU000414,LinkedIn Ads,1359.45,Last Touch
CU000415,Outbound,1276.3,First Touch
CU000416,Organic Search,4382.55,Multi-Touch
CU000417,Referral,1557.62,Multi-Touch
CU000418,Organic Search,1486.45,Multi-Touch
CU000419,LinkedIn Ads,4140.39,Multi-Touch
CU000420,Partner,329.45,Last Touch
CU000421,Google Ads,477.73,First Touch
CU000422,Event,4526.73,Multi-Touch
CU000423,Organic Search,4576.39,First Touch
CU000424,Partner,757.09,First Touch
CU000425,Google Ads,4305.6,Last Touch
CU000426,Event,1204.92,Last Touch
CU000427,Google Ads,4482.81,Last Touch
CU000428,Outbound,4662.18,Last Touch
CU000429,Partner,1357.11,Last Touch
CU000430,Organic Search,1123.93,First Touch
CU000431,LinkedIn Ads,375.82,Last Touch
CU000432,Outbound,1226.41,First Touch
CU000433,Organic Search,140.52,First Touch
CU000434,Google Ads,322.91,Last Touch
CU000435,Referral,1245.56,Multi-Touch
CU000436,Referral,59.76,Multi-Touch
CU000437,Event,1322.65,Multi-Touch
CU000438,Event,4135.01,Last Touch
CU000439,Outbound,362.22,First Touch
CU000440,Organic Search,1032.56,Multi-Touch
CU000441,Partner,4520.64,Last Touch
CU000442,Google Ads,4337.48,Multi-Touch
CU000443,Event,1108.95,Multi-Touch
CU000444,Event,376.73,Multi-Touch
CU000445,Event,225.76,Multi-Touch
CU000446,LinkedIn Ads,361.53,Last Touch
CU000447,Referral,4791.73,Last Touch
CU000448,Event,1216.5,First Touch
CU000449,Organic Search,417.4,Multi-Touch
CU000450,Referral,936.97,Last Touch
CU000451,LinkedIn Ads,226.73,Multi-Touch
CU000452,Organic Search,4671.18,Multi-Touch
CU000453,Referral,409.33,Last Touch
CU000454,LinkedIn Ads,4261.48,Multi-Touch
CU000455,Google Ads,4678.82,Multi-Touch
CU000456,Event,160.83,First Touch
CU000457,Google Ads,1203.97,Last Touch
CU000458,Outbound,55.46,Multi-Touch
CU000459,Organic Search,4190.38,Last Touch
CU000460,LinkedIn Ads,4382.83,First Touch
CU000461,Event,472.12,First Touch
CU000462,Event,1488.32,First Touch
CU000463,Outbound,1198.77,First Touch
CU000464,Referral,4634.84,First Touch
CU000465,Referral,4250.74,Last Touch
CU000466,Event,1230.59,Multi-Touch
CU000467,Referral,521.02,Last Touch
CU000468,Outbound,981.87,Last Touch
CU000469,Organic Search,58.27,Last Touch
CU000470,Event,4632.07,First Touch
CU000471,Partner,51.68,Last Touch
CU000472,Partner,108.01,Last Touch
CU000473,Event,4516.43,Multi-Touch
CU000474,Organic Search,1289.05,Last Touch
CU000475,Google Ads,147.74,Multi-Touch
CU000476,Referral,444.6,Last Touch
CU000477,Referral,927.24,Last Touch
CU000478,Partner,1065.49,First Touch
CU000479,Partner,30.39,Last Touch
CU000480,Google Ads,4410.78,Last Touch
CU000481,Google Ads,1467.31,Multi-Touch
CU000482,Outbound,344.96,First Touch
CU000483,Partner,4423.99,Last Touch
CU000484,Partner,644.93,Multi-Touch
CU000485,Outbound,4267.72,Multi-Touch
CU000486,Organic Search,1251.65,First Touch
CU000487,Organic Search,4773.55,First Touch
CU000488,LinkedIn Ads,270.37,Last Touch
CU000489,Google Ads,4630.08,First Touch
CU000490,Google Ads,4383.91,Multi-Touch
CU000491,Partner,572.2,First Touch
CU000492,Partner,1386.49,Last Touch
CU000493,Referral,355.7,Last Touch
CU000494,Partner,4622.91,Last Touch
CU000495,Referral,1295.37,First Touch
CU000496,LinkedIn Ads,221.43,Multi-Touch
CU000497,Organic Search,1075.68,Last Touch
CU000498,Referral,442.63,Last Touch
CU000499,Organic Search,680.98,First Touch
CU000500,Outbound,1267.64,Multi-Touch
CU000501,Referral,472.74,Multi-Touch
CU000502,Partner,1262.89,Multi-Touch
CU000503,Outbound,741.66,First Touch
CU000504,Event,20.28,Last Touch
CU000505,Partner,1424.5,First Touch
CU000506,Event,1494.3,Multi-Touch
CU000507,Event,4641.11,First Touch
CU000508,Partner,1065.83,Last Touch
CU000509,Event,1021.27,Multi-Touch
CU000510,Outbound,527.33,Multi-Touch
CU000511,LinkedIn Ads,1078.33,Multi-Touch
CU000512,Event,433.44,Multi-Touch
CU000513,Organic Search,1559.59,Multi-Touch
CU000514,Referral,1179.17,Last Touch
CU000515,Event,340.45,Last Touch
CU000516,Organic Search,1484.6,Last Touch
CU000517,Partner,1260.73,Last Touch
CU000518,LinkedIn Ads,4815.48,First Touch
CU000519,Event,826.33,Last Touch
CU000520,Partner,190.63,Multi-Touch
CU000521,Google Ads,895.4,First Touch
CU000522,Referral,752.89,First Touch
CU000523,Referral,637.91,First Touch
CU000524,Referral,460.69,Last Touch
CU000525,LinkedIn Ads,1065.8,Multi-Touch
CU000526,LinkedIn Ads,864.59,First Touch
CU000527,Outbound,669.1,First Touch
CU000528,Referral,1237.94,First Touch
CU000529,Google Ads,1273.29,First Touch
CU000530,Organic Search,1196.73,Multi-Touch
CU000531,Outbound,1120.37,First Touch
CU000532,Outbound,342.51,First Touch
CU000533,Organic Search,4132.24,First Touch
CU000534,Event,4228.93,Multi-Touch
CU000535,LinkedIn Ads,4423.52,Last Touch
CU000536,LinkedIn Ads,4432.05,First Touch
CU000537,Referral,858.6,Multi-Touch
CU000538,Outbound,4250.47,Last Touch
CU000539,Outbound,21.01,First Touch
CU000540,Partner,1526.04,Last Touch
CU000541,Organic Search,190.3,First Touch
CU000542,Partner,386.38,Last Touch
CU000543,Referral,643.85,Multi-Touch
CU000544,Partner,1325.72,Multi-Touch
CU000545,Partner,430.54,Last Touch
CU000546,LinkedIn Ads,4332.52,First Touch
CU000547,Google Ads,1362.44,Multi-Touch
CU000548,Organic Search,1290.81,Last Touch
CU000549,Event,150.34,Multi-Touch
CU000550,Event,1189.85,Multi-Touch
CU000551,Referral,1192.74,Last Touch
CU000552,Outbound,220.16,First Touch
CU000553,LinkedIn Ads,135.66,Multi-Touch
CU000554,Event,4303.44,First Touch
CU000555,Google Ads,206.87,Last Touch
CU000556,Organic Search,1072.15,Multi-Touch
CU000557,LinkedIn Ads,81.23,Last Touch
CU000558,Referral,459.47,Multi-Touch
CU000559,Outbound,877.78,First Touch
CU000560,Referral,1105.5,First Touch
CU000561,Outbound,4571.62,First Touch
CU000562,LinkedIn Ads,185.81,Last Touch
CU000563,Organic Search,56.02,Last Touch
CU000564,Referral,4327.81,Multi-Touch
CU000565,Outbound,1188.95,First Touch
CU000566,Event,312.53,First Touch
CU000567,Organic Search,322.73,Multi-Touch
CU000568,LinkedIn Ads,4540.82,Last Touch
CU000569,Partner,241.35,Last Touch
CU000570,Referral,402.85,Last Touch
CU000571,Google Ads,328.97,First Touch
CU000572,Referral,1233.45,Multi-Touch
CU000573,Organic Search,1146.31,Multi-Touch
CU000574,Event,684.74,First Touch
CU000575,Outbound,1396.3,Multi-Touch
CU000576,Outbound,1295.64,Last Touch
CU000577,Referral,1298.85,Multi-Touch
CU000578,Google Ads,987.3,Multi-Touch
CU000579,Organic Search,4390.82,Last Touch
CU000580,Referral,4678.56,Last Touch
CU000581,Outbound,742.95,Last Touch
CU000582,Organic Search,440.13,Last Touch
CU000583,Referral,225.63,Multi-Touch
CU000584,Outbound,4840.18,Multi-Touch
CU000585,Event,4806.05,First Touch
CU000586,Referral,1108.68,First Touch
CU000587,Event,543.57,First Touch
CU000588,Organic Search,275.88,First Touch
CU000589,Partner,452.05,Multi-Touch
CU000590,LinkedIn Ads,1057.46,First Touch
CU000591,Event,3972.33,Last Touch
CU000592,LinkedIn Ads,229.8,First Touch
CU000593,Referral,1084.35,Multi-Touch
CU000594,Referral,4141.56,First Touch
CU000595,LinkedIn Ads,1271.48,Multi-Touch
CU000596,LinkedIn Ads,4381.75,Last Touch
CU000597,Referral,1573.22,Last Touch
CU000598,Google Ads,351.8,Last Touch
CU000599,Referral,4801.73,Last Touch
CU000600,Referral,514.99,First Touch
CU000601,Event,833.07,First Touch
CU000602,Event,4229.57,First Touch
CU000603,Outbound,89.02,First Touch
CU000604,Google Ads,976.97,Multi-Touch
CU000605,Event,4352.09,Last Touch
CU000606,Google Ads,4441.06,First Touch
CU000607,Organic Search,1033.41,Multi-Touch
CU000608,LinkedIn Ads,1147.51,Last Touch
CU000609,Organic Search,4379.84,First Touch
CU000610,Outbound,532.28,Last Touch
CU000611,Event,1013.04,First Touch
CU000612,Organic Search,4400.93,Last Touch
CU000613,Google Ads,4811.82,Last Touch
CU000614,Google Ads,4627.14,Last Touch
CU000615,Partner,564.86,Multi-Touch
CU000616,Event,90.83,First Touch
CU000617,Outbound,1365.53,Multi-Touch
CU000618,LinkedIn Ads,955.39,Last Touch
CU000619,Event,563.84,Last Touch
CU000620,LinkedIn Ads,1073.32,Multi-Touch
CU000621,Google Ads,4624.59,First Touch
CU000622,Referral,408.72,Multi-Touch
CU000623,Referral,479.67,Last Touch
CU000624,Organic Search,273.18,Multi-Touch
CU000625,LinkedIn Ads,4398.35,First Touch
CU000626,Event,809.61,Last Touch
CU000627,LinkedIn Ads,4581.31,Multi-Touch
CU000628,Referral,66.29,Last Touch
CU000629,Referral,1123.12,First Touch
CU000630,Organic Search,4069.68,Multi-Touch
CU000631,Outbound,4598.74,Last Touch
CU000632,Partner,1065.83,First Touch
CU000633,Referral,4332.96,Last Touch
CU000634,Event,4560.84,Multi-Touch
CU000635,Event,1185.39,Multi-Touch
CU000636,LinkedIn Ads,1448.71,First Touch
CU000637,Organic Search,4699.8,First Touch
CU000638,Google Ads,1025.94,First Touch
CU000639,Partner,1224.28,First Touch
CU000640,Referral,228.0,Last Touch
CU000641,Event,1098.71,Multi-Touch
CU000642,LinkedIn Ads,4705.2,Multi-Touch
CU000643,Partner,1139.36,First Touch
CU000644,Google Ads,1188.94,Multi-Touch
CU000645,Google Ads,439.92,Last Touch
CU000646,Partner,1127.91,First Touch
CU000647,Event,516.75,Last Touch
CU000648,Google Ads,4124.79,Multi-Touch
CU000649,Partner,840.95,Last Touch
CU000650,Organic Search,243.13,First Touch
CU000651,Outbound,50.02,First Touch
CU000652,Organic Search,4609.27,Last Touch
CU000653,Google Ads,242.57,Multi-Touch
CU000654,Outbound,1494.54,Last Touch
CU000655,Partner,282.71,Multi-Touch
