Month,CustomerID,LicensedSeats,ActiveUsers,Logins,FeatureAdoptionRate,CriticalErrors
2025-09-01,CU000011,100,100,1413,0.5547,3
2025-10-01,CU000011,85,40,968,0.5973,3
2026-02-01,CU000011,13,5,150,0.6299,1
2026-04-01,CU000011,35,20,419,0.5469,5
2026-08-01,CU000011,6,4,44,0.5247,2
2023-03-01,CU000012,67,67,901,0.4244,4
2023-04-01,CU000012,48,28,411,0.6596,5
2023-06-01,CU000012,77,64,1025,0.4471,4
2023-10-01,CU000012,16,9,88,0.7075,3
2024-07-01,CU000012,91,57,798,0.4089,6
2024-10-01,CU000012,86,86,517,0.8265,6
2024-11-01,CU000012,54,51,530,0.6852,0
2024-12-01,CU000012,70,60,464,0.412,6
2025-01-01,CU000012,14,7,191,0.8014,0
2025-02-01,CU000012,106,100,2003,0.6891,2
2025-04-01,CU000012,106,72,1894,0.5915,2
2025-11-01,CU000012,30,20,399,0.5047,5
2025-12-01,CU000012,112,96,1413,0.5381,3
2026-01-01,CU000012,117,69,1439,0.4867,4
2026-02-01,CU000012,78,64,1003,0.3824,4
2026-03-01,CU000012,107,69,1567,0.4656,1
2026-06-01,CU000012,55,55,449,0.964,1
2026-08-01,CU000012,111,85,899,0.9707,2
2024-01-01,CU000013,40,30,667,0.9546,1
2024-07-01,CU000013,27,27,441,0.8831,8
2024-09-01,CU000013,27,23,363,0.8358,2
2025-02-01,CU000013,80,43,696,0.6321,4
2025-05-01,CU000013,106,94,1417,0.586,2
2025-07-01,CU000013,4,2,41,0.3771,0
2026-05-01,CU000013,89,89,1160,0.7509,1
2026-06-01,CU000013,93,43,905,0.5046,1
2026-07-01,CU000013,27,23,389,0.4807,3
2023-10-01,CU000014,52,33,355,0.7874,0
2023-11-01,CU000014,40,34,419,0.3268,0
2024-06-01,CU000014,49,25,819,0.5154,1
2024-07-01,CU000014,22,17,267,0.6524,1
2024-12-01,CU000014,6,5,45,0.7133,4
2025-02-01,CU000014,38,17,423,0.3919,0
2025-04-01,CU000014,96,71,1525,0.7046,3
2025-06-01,CU000014,42,42,450,0.739,0
2025-07-01,CU000014,27,25,419,0.2791,0
2025-09-01,CU000014,45,45,594,0.0788,3
2026-01-01,CU000014,112,53,944,0.5914,1
2026-03-01,CU000014,112,85,1083,0.5011,5
2026-08-01,CU000014,43,22,442,0.6672,0
2023-01-01,CU000015,118,116,569,0.5721,4
2023-06-01,CU000015,22,14,259,0.7318,0
2023-08-01,CU000015,69,32,649,0.549,1
2023-12-01,CU000015,95,68,1086,0.3341,2
2024-01-01,CU000015,3,1,16,0.6212,1
2024-04-01,CU000015,63,35,776,0.8562,0
2024-06-01,CU000015,11,9,42,0.3753,2
2024-07-01,CU000015,48,26,327,0.4483,2
2025-03-01,CU000015,15,11,210,0.328,6
2025-05-01,CU000015,77,51,1223,0.2993,3
2026-01-01,CU000015,26,22,255,0.7681,2
2026-03-01,CU000015,21,13,313,0.4681,5
2026-05-01,CU000015,112,100,659,0.5473,3
2026-06-01,CU000015,100,73,1374,0.8532,0
2026-08-01,CU000015,30,12,557,0.9607,3
2024-12-01,CU000016,39,23,376,0.7419,1
2025-01-01,CU000016,93,71,1074,0.5539,3
2025-03-01,CU000016,96,46,906,0.6052,1
2025-04-01,CU000016,35,35,51,0.3332,1
2025-09-01,CU000016,77,53,1160,0.671,5
2026-03-01,CU000016,97,78,1024,0.4296,6
2026-07-01,CU000017,64,44,1304,0.9264,4
2026-08-01,CU000017,64,52,518,0.1576,1
2025-05-01,CU000018,16,11,243,0.7678,0
2025-10-01,CU000018,29,19,174,0.2697,2
2026-06-01,CU000018,80,63,777,0.786,3
2026-07-01,CU000018,27,18,314,0.8796,4
2026-03-01,CU000019,69,59,669,0.4298,5
2026-08-01,CU000019,111,89,1259,0.3638,1
2024-09-01,CU000020,11,6,144,0.7357,1
2025-02-01,CU000020,33,17,537,0.7471,2
2025-04-01,CU000020,52,30,830,0.5978,0
2025-05-01,CU000020,67,61,626,0.6551,5
2025-06-01,CU000020,36,17,253,0.8143,4
2025-07-01,CU000020,74,63,1127,0.8887,1
2025-12-01,CU000020,50,40,533,0.8588,2
2026-02-01,CU000020,58,29,664,0.765,1
2026-04-01,CU000020,93,47,930,0.3184,5
2026-06-01,CU000020,102,90,1139,0.8968,1
2024-01-01,CU000021,87,69,1520,0.7148,0
2024-08-01,CU000021,104,74,1326,0.4451,3
2024-09-01,CU000021,45,22,304,0.6301,2
2024-10-01,CU000021,103,75,1750,0.3832,1
2025-01-01,CU000021,57,32,1048,0.6751,4
2025-06-01,CU000021,14,13,12,0.8393,0
2025-10-01,CU000021,65,34,754,0.3483,1
2025-12-01,CU000021,49,49,349,0.3486,2
2026-02-01,CU000021,72,56,1250,0.7807,0
2026-04-01,CU000021,118,86,1088,0.3567,1
2026-06-01,CU000021,69,58,881,0.6305,7
2022-03-01,CU000022,104,104,1507,0.6969,7
2022-04-01,CU000022,42,9,282,0.9094,2
2022-11-01,CU000022,108,32,908,0.0976,6
2023-01-01,CU000022,61,33,686,0.5491,2
2023-07-01,CU000022,53,42,331,0.3543,0
2023-08-01,CU000022,115,60,2156,0.4245,0
2023-09-01,CU000022,75,75,992,0.6449,2
2024-05-01,CU000022,50,23,668,0.9209,4
2024-06-01,CU000022,30,25,355,0.6722,3
2024-08-01,CU000022,84,81,934,0.8186,5
2024-10-01,CU000022,107,50,1058,0.7178,4
2025-01-01,CU000022,84,67,794,0.6102,5
2025-07-01,CU000022,31,20,477,0.692,0
2026-02-01,CU000022,32,21,318,0.9046,2
2026-04-01,CU000022,114,90,1248,0.54,5
2026-06-01,CU000022,106,58,1216,0.3493,4
2022-02-01,CU000023,20,14,165,0.7984,0
2022-04-01,CU000023,118,70,1102,0.9377,3
2022-07-01,CU000023,98,72,1100,0.5527,5
2022-08-01,CU000023,72,72,851,0.6669,2
2022-10-01,CU000023,112,75,1829,0.5041,2
2023-03-01,CU000023,25,18,511,0.5606,0
2023-05-01,CU000023,56,55,594,0.6636,0
2023-06-01,CU000023,96,77,983,0.9507,0
2023-09-01,CU000023,1,0,11,0.5858,1
2024-05-01,CU000023,45,44,298,0.6651,4
2024-06-01,CU000023,9,8,104,0.4515,4
2024-07-01,CU000023,40,33,160,0.2297,2
2024-08-01,CU000023,107,61,1473,0.2872,3
2024-12-01,CU000023,36,36,481,0.5996,5
2025-04-01,CU000023,22,13,131,0.2916,1
2025-12-01,CU000023,96,64,1043,0.7135,0
2026-02-01,CU000023,26,25,527,0.9399,1
2026-03-01,CU000023,118,87,1416,0.7799,4
2024-01-01,CU000024,41,30,203,0.3298,2
2024-09-01,CU000024,81,53,915,0.7091,2
2024-11-01,CU000024,26,10,412,0.7123,0
2025-06-01,CU000024,35,20,510,0.7384,6
2025-09-01,CU000024,116,77,2179,0.7737,1
2025-11-01,CU000024,25,15,243,0.7088,1
2026-05-01,CU000024,20,13,305,0.2619,3
2026-07-01,CU000024,59,42,409,0.9539,3
2025-02-01,CU000025,39,32,763,0.5913,0
2025-03-01,CU000025,114,80,660,0.3711,2
2025-04-01,CU000025,67,53,645,0.3796,2
2025-05-01,CU000025,111,71,1568,0.5744,1
2025-06-01,CU000025,15,12,173,0.6199,0
2025-08-01,CU000025,84,55,1333,0.6662,1
2025-11-01,CU000025,97,53,936,0.6056,0
2026-01-01,CU000025,47,30,497,0.6236,4
2026-04-01,CU000025,47,40,624,0.5251,0
2026-05-01,CU000025,99,76,1655,0.5811,0
2026-06-01,CU000025,79,54,1005,0.7291,0
2026-07-01,CU000025,96,78,790,0.6279,0
2026-08-01,CU000025,33,24,462,0.3797,1
2023-06-01,CU000026,84,68,803,0.5893,3
2024-06-01,CU000026,49,44,678,0.4635,6
2024-07-01,CU000026,111,83,799,0.0872,1
2024-09-01,CU000026,95,75,1099,0.796,4
2025-02-01,CU000026,29,22,363,0.6596,2
2025-04-01,CU000026,85,42,920,0.6728,6
2025-05-01,CU000026,112,112,1026,0.6067,6
2025-06-01,CU000026,16,10,134,0.8179,1
2025-10-01,CU000026,1,0,18,0.6001,2
2026-03-01,CU000026,30,20,216,0.4098,4
2026-07-01,CU000026,14,4,186,0.5726,2
2024-02-01,CU000027,26,18,251,0.3391,0
2024-04-01,CU000027,58,47,599,0.6098,3
2024-06-01,CU000027,25,14,286,0.3165,0
2024-08-01,CU000027,40,39,481,0.6009,3
2025-05-01,CU000027,26,26,236,0.6453,0
2025-09-01,CU000027,5,4,79,0.8142,0
2025-11-01,CU000027,83,79,1086,0.9411,0
2025-12-01,CU000027,88,58,926,0.6712,0
2026-02-01,CU000027,39,9,479,0.2584,1
2026-05-01,CU000027,8,5,112,0.4531,2
2026-07-01,CU000027,57,45,765,0.6684,4
2026-08-01,CU000027,41,21,477,0.7451,1
2024-02-01,CU000028,75,60,1314,0.9354,0
2024-07-01,CU000028,37,29,520,0.4912,1
2024-10-01,CU000028,98,51,783,0.3772,2
2025-04-01,CU000028,72,41,495,0.4772,4
2025-05-01,CU000028,49,28,414,0.6595,4
2026-04-01,CU000028,60,32,503,0.2844,3
2026-08-01,CU000028,52,45,851,0.6291,3
2025-01-01,CU000029,51,44,714,0.7852,1
2025-07-01,CU000029,13,6,143,0.5025,1
2025-08-01,CU000029,75,55,726,0.4242,2
2025-12-01,CU000029,104,68,706,0.5655,7
2026-02-01,CU000029,73,68,813,0.4991,2
2024-11-01,CU000030,7,5,97,0.7867,2
2025-01-01,CU000030,109,60,996,0.4184,1
2025-02-01,CU000030,25,21,258,0.7691,1
2025-03-01,CU000030,107,107,1803,0.5216,5
2025-05-01,CU000030,8,3,110,0.5728,2
2025-06-01,CU000030,74,57,1148,0.5935,4
2025-11-01,CU000030,104,71,1149,0.6449,4
2025-12-01,CU000030,76,54,1131,0.4911,3
2026-02-01,CU000030,60,34,866,0.4375,5
2026-05-01,CU000030,60,37,456,0.8359,0
2026-07-01,CU000030,110,70,1717,0.7874,0
2023-04-01,CU000031,97,58,1562,0.3032,0
2023-05-01,CU000031,11,10,171,0.437,0
2023-06-01,CU000031,11,7,139,0.9011,3
2023-08-01,CU000031,112,73,1570,0.8388,2
2023-11-01,CU000031,83,73,742,0.6032,0
2024-02-01,CU000031,5,2,45,0.8333,0
2024-04-01,CU000031,37,27,266,0.9246,5
2024-06-01,CU000031,18,15,254,0.3935,5
2024-08-01,CU000031,21,21,312,0.1803,3
2024-11-01,CU000031,30,22,316,0.6854,0
2025-01-01,CU000031,28,15,544,0.5089,0
2025-05-01,CU000031,3,2,34,0.9571,0
2025-07-01,CU000031,75,49,556,0.6847,1
2025-08-01,CU000031,75,48,1065,0.4926,3
2025-09-01,CU000031,39,20,547,0.5646,2
2025-11-01,CU000031,67,53,1409,0.1769,0
2025-12-01,CU000031,35,29,418,0.8572,0
2026-02-01,CU000031,30,21,422,0.4041,0
2026-08-01,CU000031,118,71,1329,0.7512,1
2023-07-01,CU000032,94,50,1532,0.4764,0
2023-08-01,CU000032,103,76,442,0.774,1
2023-12-01,CU000032,95,70,1189,0.6438,1
2024-01-01,CU000032,62,35,659,0.7185,3
2024-02-01,CU000032,63,51,433,0.6744,2
2024-06-01,CU000032,67,58,1204,0.419,3
2024-12-01,CU000032,4,2,61,0.8762,3
2025-05-01,CU000032,44,25,684,0.2866,0
2025-07-01,CU000032,19,10,300,0.2171,4
2025-11-01,CU000032,9,7,100,0.7803,7
2025-12-01,CU000032,2,1,25,0.8824,7
2026-01-01,CU000032,95,78,1537,0.4784,2
2026-07-01,CU000032,21,12,325,0.834,1
2024-03-01,CU000033,108,63,1199,0.8043,2
2024-06-01,CU000033,15,6,124,0.6481,3
2024-09-01,CU000033,53,28,292,0.8184,0
2024-11-01,CU000033,74,58,874,0.5781,3
2025-01-01,CU000033,118,69,1075,0.557,0
2025-02-01,CU000033,49,18,277,0.176,1
2025-03-01,CU000033,76,54,851,0.626,3
2025-04-01,CU000033,35,20,579,0.6122,2
2025-05-01,CU000033,37,30,414,0.1599,3
2025-09-01,CU000033,58,40,634,0.8254,4
2025-11-01,CU000033,56,52,447,0.3853,4
2026-02-01,CU000033,117,92,2815,0.404,3
2026-04-01,CU000033,54,31,774,0.3102,2
2023-03-01,CU000034,94,59,1147,0.5521,3
2023-06-01,CU000034,73,60,865,0.3934,0
2024-05-01,CU000034,68,42,1041,0.5107,0
2024-07-01,CU000034,77,64,1514,0.6367,2
2024-08-01,CU000034,72,45,1159,0.6688,4
2025-01-01,CU000034,117,117,1616,0.5231,2
2026-03-01,CU000034,5,1,78,0.6564,4
2026-04-01,CU000034,67,42,1031,0.3548,0
2026-05-01,CU000034,115,92,1035,0.8491,1
2026-07-01,CU000034,46,27,366,0.8185,2
2025-02-01,CU000035,95,84,918,0.75,5
2025-03-01,CU000035,97,63,1277,0.514,2
2025-09-01,CU000035,104,87,602,0.7879,1
2026-02-01,CU000035,12,6,97,0.5297,2
2026-03-01,CU000035,72,41,490,0.3417,2
2026-07-01,CU000035,17,15,157,0.7062,1
2026-08-01,CU000035,80,58,431,0.4614,1
2025-04-01,CU000036,73,63,1025,0.5221,3
2025-07-01,CU000036,55,30,946,0.6054,0
2025-09-01,CU000036,81,40,220,0.5479,0
2025-11-01,CU000036,49,40,911,0.584,7
2026-07-01,CU000036,27,26,240,0.9284,1
2026-08-01,CU000036,98,47,1117,0.8287,8
2023-03-01,CU000037,55,54,553,0.3671,2
2023-06-01,CU000037,113,87,1764,0.6508,1
2024-01-01,CU000037,86,56,1565,0.7127,2
2024-04-01,CU000037,58,38,783,0.4761,1
2024-05-01,CU000037,101,44,2014,0.7486,3
2024-06-01,CU000037,40,30,542,0.8629,3
2024-09-01,CU000037,88,28,1140,0.3338,0
2024-12-01,CU000037,84,40,1053,0.7941,1
2025-01-01,CU000037,35,22,710,0.4914,4
2025-05-01,CU000037,81,67,1336,0.7199,3
2026-01-01,CU000037,116,84,1583,0.517,1
2026-04-01,CU000037,10,10,109,0.6959,5
2026-07-01,CU000037,43,35,602,0.6863,0
2026-04-01,CU000038,27,18,235,0.3052,1
2026-05-01,CU000038,76,39,818,0.5513,0
2026-08-01,CU000038,21,13,191,0.6018,0
2025-08-01,CU000039,71,55,810,0.3318,2
2026-02-01,CU000039,5,3,40,0.5694,4
2026-03-01,CU000039,26,23,89,0.0736,3
2026-07-01,CU000039,6,3,64,0.8085,2
2026-08-01,CU000039,73,46,921,0.5015,0
2023-01-01,CU000040,105,82,1796,0.5868,2
2023-02-01,CU000040,43,27,528,0.3518,0
2023-03-01,CU000040,76,36,973,0.6206,2
2023-04-01,CU000040,79,27,1464,0.742,4
2023-05-01,CU000040,116,83,808,0.9711,5
2023-08-01,CU000040,42,35,556,0.3737,2
2023-09-01,CU000040,102,94,1497,0.4385,1
2024-01-01,CU000040,47,35,731,0.3309,0
2024-02-01,CU000040,85,69,521,0.5613,5
2024-06-01,CU000040,101,56,1332,0.5391,3
2024-07-01,CU000040,60,60,809,0.5859,2
2024-09-01,CU000040,64,36,812,0.8967,2
2024-12-01,CU000040,59,32,836,0.9433,0
2025-04-01,CU000040,41,23,341,0.8063,3
2025-08-01,CU000040,5,3,73,0.3482,5
2026-03-01,CU000040,15,8,171,0.5932,4
2026-04-01,CU000040,64,54,1051,0.8948,0
2026-06-01,CU000040,84,60,343,0.4785,7
2026-08-01,CU000040,117,76,1681,0.823,3
2025-10-01,CU000041,104,87,1103,0.4425,7
2026-01-01,CU000041,10,8,112,0.3931,4
2026-05-01,CU000041,18,18,252,0.7153,2
2026-08-01,CU000041,10,8,104,0.5004,2
2025-03-01,CU000042,108,72,1046,0.8338,1
2025-04-01,CU000042,13,9,170,0.7188,1
2025-06-01,CU000042,30,30,270,0.7004,4
2026-02-01,CU000042,22,17,369,0.7489,5
2026-04-01,CU000042,64,48,852,0.3369,0
2025-08-01,CU000043,37,14,541,0.4851,0
2025-09-01,CU000043,58,46,557,0.2477,0
2025-11-01,CU000043,43,42,382,0.5242,0
2026-04-01,CU000043,115,83,961,0.7515,0
2026-05-01,CU000043,99,85,779,0.1382,1
2024-02-01,CU000044,37,24,454,0.6638,7
2024-11-01,CU000044,110,70,1327,0.7627,2
2025-05-01,CU000044,84,60,1560,0.6083,3
2026-01-01,CU000044,97,68,1087,0.4127,0
2026-04-01,CU000044,52,45,455,0.5915,4
2026-05-01,CU000044,47,47,575,0.8286,1
2026-08-01,CU000044,59,29,832,0.7926,1
2024-08-01,CU000045,96,81,1524,0.211,3
2024-10-01,CU000045,5,2,80,0.5373,2
2024-11-01,CU000045,8,7,79,0.2854,3
2024-12-01,CU000045,109,51,1542,0.3926,5
2025-04-01,CU000045,60,41,496,0.5883,2
2025-07-01,CU000045,85,51,1372,0.7174,3
2025-09-01,CU000045,102,69,1063,0.2997,3
2025-10-01,CU000045,86,66,912,0.4174,4
2026-01-01,CU000045,4,3,56,0.4997,0
2026-02-01,CU000045,107,90,737,0.8286,2
2026-04-01,CU000045,12,10,215,0.8171,5
2026-06-01,CU000045,29,22,381,0.6551,1
2023-02-01,CU000046,37,24,451,0.4389,5
2023-03-01,CU000046,114,80,765,0.7884,3
2023-04-01,CU000046,56,36,606,0.2762,3
2023-10-01,CU000046,21,13,168,0.42,6
2023-11-01,CU000046,44,39,559,0.6907,4
2024-02-01,CU000046,55,25,838,0.754,0
2024-03-01,CU000046,33,33,464,0.6393,1
2024-04-01,CU000046,13,6,142,0.2709,4
2024-05-01,CU000046,45,40,355,0.7119,0
2024-11-01,CU000046,76,45,739,0.2685,0
2025-01-01,CU000046,27,15,390,0.7961,3
2025-04-01,CU000046,40,30,527,0.1137,6
2026-02-01,CU000046,114,73,1644,0.7847,5
2026-03-01,CU000046,115,114,1133,0.2317,0
2026-04-01,CU000046,94,82,951,0.7612,3
2026-07-01,CU000046,6,4,114,0.57,1
2023-05-01,CU000047,5,3,62,0.5634,3
2023-06-01,CU000047,61,28,610,0.6285,4
2023-11-01,CU000047,81,67,823,0.8059,3
2023-12-01,CU000047,5,4,53,0.4693,3
2024-01-01,CU000047,23,15,416,0.4726,1
2024-07-01,CU000047,109,67,1157,0.123,1
2024-08-01,CU000047,82,72,848,0.4451,0
2025-06-01,CU000047,81,51,1044,0.588,1
2025-12-01,CU000047,31,18,422,0.4172,0
2026-01-01,CU000047,72,39,1233,0.578,3
2026-08-01,CU000047,89,49,788,0.6597,0
2025-04-01,CU000048,29,19,343,0.2304,9
2025-06-01,CU000048,30,30,412,0.5541,0
2025-11-01,CU000048,41,41,820,0.6133,4
2026-01-01,CU000048,87,79,989,0.5394,3
2026-04-01,CU000048,59,38,839,0.4302,2
2026-08-01,CU000048,96,77,881,0.575,0
2024-05-01,CU000049,33,28,253,0.7604,1
2024-06-01,CU000049,87,56,812,0.2616,1
2024-07-01,CU000049,77,55,734,0.7033,3
2024-11-01,CU000049,72,72,1338,0.5015,3
2025-01-01,CU000049,29,18,415,0.2468,3
2025-04-01,CU000049,10,4,88,0.5314,4
2025-05-01,CU000049,58,50,875,0.4116,0
2025-09-01,CU000049,90,81,633,0.4783,3
2026-01-01,CU000049,41,24,421,0.3334,4
2026-04-01,CU000049,114,84,1405,0.9399,5
2026-08-01,CU000049,61,61,782,0.7219,3
2025-02-01,CU000050,85,79,1196,0.5959,1
2025-03-01,CU000050,26,19,204,0.326,5
2025-04-01,CU000050,58,58,847,0.4868,3
2025-06-01,CU000050,30,27,270,0.8378,0
2025-10-01,CU000050,90,90,1272,0.3545,1
2026-05-01,CU000050,28,14,397,0.5049,1
2026-08-01,CU000050,112,66,1710,0.6436,3
2022-02-01,CU000051,60,45,648,0.4749,0
2022-03-01,CU000051,52,27,829,0.7932,1
2022-05-01,CU000051,87,74,1068,0.8235,5
2022-11-01,CU000051,47,47,606,0.7356,0
2022-12-01,CU000051,110,104,1712,0.8825,0
2023-02-01,CU000051,6,6,61,0.8757,1
2023-06-01,CU000051,87,49,886,0.5347,0
2023-07-01,CU000051,45,11,723,0.5297,4
2023-09-01,CU000051,17,12,271,0.4046,2
2023-11-01,CU000051,98,54,1149,0.5898,0
2024-07-01,CU000051,57,49,468,0.7296,1
2024-08-01,CU000051,106,46,1173,0.5937,0
2024-11-01,CU000051,91,86,921,0.6952,5
2025-08-01,CU000051,16,11,260,0.2713,3
2025-09-01,CU000051,52,47,522,0.7833,8
2026-01-01,CU000051,43,27,685,0.538,1
2026-03-01,CU000051,108,77,445,0.459,2
2024-07-01,CU000052,92,79,1674,0.5878,2
2024-12-01,CU000052,109,107,1501,0.6723,1
2025-01-01,CU000052,7,5,102,0.338,1
2025-07-01,CU000052,54,50,413,0.5182,0
2025-08-01,CU000052,46,41,447,0.6704,0
2025-11-01,CU000052,91,76,358,0.6601,2
2026-05-01,CU000052,93,62,1644,0.8657,4
2024-11-01,CU000053,46,29,316,0.8486,1
2025-01-01,CU000053,110,70,1741,0.7226,5
2025-04-01,CU000053,71,42,1060,0.1108,2
2025-06-01,CU000053,83,66,1226,0.4144,2
2025-07-01,CU000053,2,1,21,0.4934,0
2023-08-01,CU000054,27,18,210,0.5563,1
2023-12-01,CU000054,8,3,81,0.5416,3
2024-02-01,CU000054,76,73,191,0.5775,1
2024-05-01,CU000054,78,28,731,0.9095,1
2024-09-01,CU000054,74,56,1338,0.837,3
2025-03-01,CU000054,16,10,67,0.5375,3
2025-05-01,CU000054,100,74,941,0.6573,4
2025-07-01,CU000054,35,22,505,0.6093,0
2026-03-01,CU000054,109,94,1630,0.8528,1
2026-06-01,CU000054,34,15,292,0.1975,1
2022-07-01,CU000055,11,6,137,0.2651,3
2022-11-01,CU000055,111,68,2041,0.5927,0
2023-01-01,CU000055,104,47,1033,0.8068,3
2023-02-01,CU000055,57,51,482,0.8315,4
2023-11-01,CU000055,65,46,1007,0.6285,3
2024-10-01,CU000055,42,21,465,0.4617,2
2025-05-01,CU000055,15,14,95,0.8391,3
2025-12-01,CU000055,38,25,306,0.6453,3
2026-06-01,CU000055,115,86,807,0.7273,2
2025-10-01,CU000056,33,20,541,0.7564,5
2026-01-01,CU000056,110,103,1276,0.3833,4
2026-05-01,CU000056,86,64,1531,0.2297,1
2026-06-01,CU000056,108,86,1507,0.987,1
2026-07-01,CU000056,97,65,1461,0.5044,1
2023-01-01,CU000057,58,45,585,0.2249,5
2023-02-01,CU000057,74,74,180,0.3665,3
2023-06-01,CU000057,56,25,331,0.3604,1
2023-07-01,CU000057,22,11,218,0.9081,1
2023-09-01,CU000057,51,29,253,0.8783,1
2023-10-01,CU000057,101,49,673,0.8804,5
2023-11-01,CU000057,34,26,640,0.7133,7
2024-01-01,CU000057,63,47,1153,0.7708,0
2024-10-01,CU000057,49,33,701,0.8244,0
2024-11-01,CU000057,38,35,440,0.4552,0
2025-01-01,CU000057,91,50,1193,0.4755,6
2025-02-01,CU000057,33,25,380,0.5263,3
2025-04-01,CU000057,52,28,380,0.7804,4
2025-05-01,CU000057,50,36,913,0.8504,4
2025-08-01,CU000057,34,26,414,0.1069,4
2026-01-01,CU000057,89,57,1238,0.7737,0
2026-02-01,CU000057,91,77,996,0.9296,5
2026-03-01,CU000057,82,64,892,0.8379,0
2026-07-01,CU000057,34,24,492,0.8767,0
