TicketID,CustomerID,OpenedDate,Severity,ResolutionHours,Status,Category
T000142,CU010546,2026-06-17,Low,6.5,Escalated,Performance
T000143,CU009009,2025-04-28,Medium,2.91,Resolved,How-to
T000144,CU006820,2026-07-02,Low,0.6,Escalated,Account
T000145,CU001200,2024-10-24,Medium,2.22,Resolved,How-to
T000146,CU008904,2026-07-08,Medium,6.18,Escalated,Integration
T000147,CU005065,2026-08-26,High,9.04,Resolved,Performance
T000148,CU006121,2026-03-02,Low,4.04,Resolved,Billing
T000149,CU001836,2026-08-10,Low,1.39,Resolved,Performance
T000150,CU011278,2026-04-15,High,3.05,Resolved,How-to
T000151,CU007495,2025-01-23,Medium,3.97,Resolved,Integration
T000152,CU002157,2025-07-05,High,5.45,Open,How-to
T000153,CU002909,2026-08-20,Critical,26.09,Resolved,How-to
T000154,CU001866,2026-02-15,Low,4.29,Resolved,Product Bug
T000155,CU000872,2025-12-18,Low,0.86,Open,Account
T000156,CU002027,2023-09-21,Low,4.92,Escalated,How-to
T000157,CU008698,2024-12-31,High,14.44,Resolved,Integration
T000158,CU006715,2026-04-05,Low,1.28,Resolved,Account
T000159,CU009297,2026-06-02,Critical,15.25,Resolved,Account
T000160,CU000389,2026-07-14,Low,7.29,Open,How-to
T000161,CU005149,2026-07-16,High,5.28,Resolved,Billing
T000162,CU002169,2025-03-19,Medium,2.68,Escalated,Integration
T000163,CU011464,2025-06-12,Medium,2.64,Resolved,Integration
T000164,CU000604,2026-02-05,Low,2.73,Resolved,Performance
T000165,CU000493,2026-02-25,Medium,6.2,Resolved,Performance
T000166,CU008476,2025-06-25,Low,2.24,Resolved,Integration
T000167,CU001151,2026-06-01,Medium,9.71,Open,Performance
T000168,CU001752,2025-06-18,Low,7.5,Escalated,How-to
T000169,CU006559,2026-04-25,Low,6.91,Open,Account
T000170,CU004780,2025-12-06,High,4.78,Resolved,Performance
T000171,CU004720,2026-04-13,Medium,2.5,Resolved,Billing
T000172,CU005379,2026-05-11,High,9.11,Escalated,Integration
T000173,CU010818,2025-05-18,Low,7.44,Resolved,Integration
T000174,CU008055,2024-12-17,High,33.49,Open,Performance
T000175,CU008732,2025-03-15,High,16.4,Escalated,Product Bug
T000176,CU004357,2024-11-02,Critical,5.86,Escalated,Billing
T000177,CU003064,2026-02-08,Critical,5.15,Resolved,Integration
T000178,CU005131,2022-09-18,High,7.49,Open,Account
T000179,CU000597,2026-04-18,Low,7.89,Resolved,Product Bug
T000180,CU007362,2024-11-12,Critical,12.82,Resolved,Product Bug
T000181,CU003524,2026-08-30,High,15.93,Resolved,Performance
T000182,CU005079,2026-02-05,High,5.61,Open,Billing
T000183,CU001096,2022-07-05,High,3.67,Resolved,Account
T000184,CU000887,2024-05-21,Low,2.41,Escalated,Performance
T000185,CU002748,2026-01-08,Medium,10.71,Resolved,Billing
T000186,CU000467,2026-05-12,High,10.98,Resolved,Integration
T000187,CU001867,2026-01-17,High,7.3,Resolved,Account
T000188,CU004205,2023-12-27,Low,6.22,Resolved,Product Bug
T000189,CU005186,2022-11-05,Low,5.15,Escalated,Integration
T000190,CU006590,2024-06-20,Medium,3.44,Open,Product Bug
T000191,CU004960,2026-07-23,High,24.47,Escalated,Product Bug
T000192,CU011400,2025-11-11,Medium,12.49,Resolved,Account
T000193,CU005873,2026-07-08,Low,7.02,Resolved,Performance
T000194,CU009012,2026-06-28,Low,8.9,Resolved,Product Bug
T000195,CU002358,2025-11-15,Medium,2.63,Resolved,Performance
T000196,CU003159,2024-07-10,Medium,1.81,Open,Billing
T000197,CU004925,2025-12-30,Medium,20.98,Resolved,Integration
T000198,CU010845,2025-11-25,Low,5.66,Escalated,Performance
T000199,CU002462,2026-08-20,Low,1.58,Resolved,How-to
T000200,CU006777,2024-07-19,Medium,9.82,Resolved,How-to
T000201,CU005232,2025-03-10,Critical,12.7,Open,Product Bug
T000202,CU006251,2026-06-03,High,6.16,Escalated,Product Bug
T000203,CU007462,2025-08-20,Medium,5.72,Escalated,Performance
T000204,CU002259,2022-08-31,Medium,3.27,Resolved,Product Bug
T000205,CU008400,2023-06-06,Medium,6.34,Resolved,Performance
T000206,CU009106,2026-08-04,Low,1.19,Resolved,Integration
T000207,CU007968,2026-04-28,High,19.21,Resolved,Product Bug
T000208,CU009760,2025-11-08,High,21.07,Resolved,Performance
T000209,CU003417,2025-09-22,Medium,11.35,Resolved,How-to
T000210,CU007093,2026-06-03,Low,8.89,Resolved,Billing
T000211,CU003266,2025-05-08,Medium,8.81,Resolved,Product Bug
T000212,CU000058,2026-07-19,Medium,2.9,Resolved,Integration
T000213,CU004781,2023-11-21,Critical,2.62,Escalated,Account
T000214,CU000930,2026-08-30,High,123.01,Open,Billing
T000215,CU004090,2025-10-29,High,6.31,Escalated,How-to
T000216,CU007237,2024-02-11,Low,6.77,Resolved,Product Bug
T000217,CU005323,2025-04-05,Low,2.94,Resolved,Performance
T000218,CU008540,2026-06-06,Medium,3.75,Escalated,Integration
T000219,CU007762,2026-01-22,Low,11.33,Open,How-to
T000220,CU010002,2024-01-08,Low,3.84,Open,Performance
T000221,CU004252,2026-06-21,Medium,2.48,Open,Integration
T000222,CU000192,2024-11-15,Medium,6.48,Resolved,Billing
T000223,CU002464,2025-01-21,High,8.44,Resolved,Account
T000224,CU011941,2024-10-21,Low,4.74,Resolved,Billing
T000225,CU010432,2026-08-30,Critical,3.49,Escalated,How-to
T000226,CU008069,2026-05-31,Medium,2.75,Open,Billing
T000227,CU010495,2024-03-26,Low,4.41,Escalated,Integration
T000228,CU001222,2024-05-09,Low,2.4,Resolved,How-to
T000229,CU010130,2023-11-17,High,37.73,Resolved,Product Bug
T000230,CU007542,2022-08-09,Low,6.44,Open,Product Bug
T000231,CU009190,2026-05-20,Medium,4.38,Resolved,Billing
T000232,CU003619,2026-06-29,High,9.32,Escalated,Integration
T000233,CU010658,2023-02-26,Medium,7.26,Escalated,Product Bug
T000234,CU007304,2024-10-10,Low,2.07,Resolved,Integration
T000235,CU000317,2026-08-29,Low,2.29,Open,Account
T000236,CU001634,2025-04-22,High,8.08,Open,Account
T000237,CU004166,2025-12-14,Medium,4.64,Open,Integration
T000238,CU008714,2023-04-15,Low,4.2,Resolved,Performance
T000239,CU011197,2026-08-02,High,15.21,Resolved,Account
T000240,CU002031,2024-06-09,Low,5.36,Open,Integration
T000241,CU001770,2026-04-11,Low,4.67,Resolved,Product Bug
T000242,CU007559,2024-02-04,Medium,3.54,Resolved,Product Bug
T000243,CU007731,2025-10-06,Medium,1.62,Escalated,Integration
T000244,CU011067,2025-10-15,High,10.64,Resolved,How-to
T000245,CU007018,2026-07-17,Medium,5.05,Open,Performance
T000246,CU008597,2026-06-29,Medium,3.37,Resolved,Product Bug
T000247,CU010228,2025-09-20,High,13.79,Open,Billing
T000248,CU000146,2026-06-20,High,6.29,Escalated,Integration
T000249,CU003041,2024-02-26,High,12.95,Escalated,How-to
T000250,CU005615,2026-07-17,Medium,12.74,Escalated,How-to
T000251,CU005036,2026-04-18,Medium,1.76,Resolved,How-to
T000252,CU008288,2026-07-21,Low,4.42,Resolved,Performance
T000253,CU010329,2026-01-17,Low,2.51,Resolved,Integration
T000254,CU002891,2024-08-25,Low,7.71,Open,Integration
T000255,CU008347,2024-06-21,High,12.56,Open,How-to
T000256,CU004699,2024-09-04,Medium,5.67,Resolved,Billing
T000257,CU010191,2026-04-28,Low,3.49,Resolved,Billing
T000258,CU002027,2026-02-26,Medium,3.54,Resolved,Billing
T000259,CU011899,2026-08-17,Medium,3.98,Resolved,How-to
T000260,CU000734,2025-07-21,High,3.41,Escalated,How-to
T000261,CU008897,2023-10-10,Medium,3.7,Resolved,Performance
T000262,CU008525,2024-09-02,Low,1.96,Resolved,Billing
T000263,CU006412,2025-06-27,Medium,3.43,Escalated,Integration
T000264,CU001036,2026-01-09,Medium,9.59,Resolved,Account
T000265,CU002796,2025-10-19,Low,22.52,Open,Integration
T000266,CU009836,2025-02-26,Low,2.7,Open,Performance
T000267,CU009159,2026-06-05,High,5.57,Resolved,Account
T000268,CU009022,2026-04-08,High,14.67,Resolved,Performance
T000269,CU011865,2025-12-21,Medium,7.19,Open,Product Bug
T000270,CU007847,2025-06-24,Low,6.4,Resolved,Product Bug
T000271,CU003630,2026-08-14,Medium,2.65,Resolved,Account
T000272,CU001783,2025-09-23,Low,4.67,Resolved,Integration
T000273,CU008473,2026-05-31,Medium,8.37,Resolved,Performance
T000274,CU004990,2025-12-31,Medium,6.47,Resolved,Performance
T000275,CU010780,2026-06-02,Medium,4.43,Resolved,Account
T000276,CU004214,2023-06-21,Medium,4.4,Resolved,Performance
T000277,CU001920,2026-06-10,Medium,4.57,Resolved,Account
T000278,CU010340,2026-06-16,Low,2.12,Resolved,Performance
T000279,CU005864,2023-11-30,Medium,1.69,Resolved,Account
T000280,CU004695,2026-01-08,Medium,1.17,Resolved,Performance
T000281,CU003564,2024-07-21,Low,9.76,Resolved,How-to
T000282,CU011669,2025-06-28,Low,10.39,Resolved,Account
T000283,CU005188,2024-06-18,Medium,11.34,Resolved,How-to
T000284,CU009757,2024-11-06,Medium,3.13,Escalated,How-to
T000285,CU004032,2025-03-31,Low,5.37,Escalated,How-to
T000286,CU010800,2024-10-15,Medium,2.64,Resolved,Account
T000287,CU003701,2026-07-23,High,5.69,Resolved,Integration
T000288,CU006793,2024-02-10,Low,3.54,Resolved,Performance
T000289,CU001165,2026-03-02,Critical,2.28,Open,How-to
T000290,CU004286,2026-03-09,Low,4.53,Open,Performance
T000291,CU004710,2025-10-02,Medium,1.27,Resolved,How-to
T000292,CU006195,2026-02-14,Low,1.14,Escalated,Integration
T000293,CU003760,2025-03-06,Low,2.47,Resolved,Billing
T000294,CU000419,2024-11-30,High,9.9,Open,Billing
T000295,CU010916,2026-04-04,Low,1.71,Resolved,Account
T000296,CU006983,2026-08-28,Medium,3.47,Open,Integration
T000297,CU001802,2025-02-15,High,5.61,Resolved,Integration
T000298,CU004885,2026-07-05,Medium,2.92,Escalated,Billing
T000299,CU009037,2026-04-24,Medium,5.94,Resolved,Performance
T000300,CU004846,2025-05-31,Medium,1.3,Escalated,Integration
T000301,CU007386,2025-09-27,High,3.3,Escalated,Account
T000302,CU006053,2024-03-05,Medium,7.91,Open,Billing
T000303,CU002946,2025-10-10,High,23.16,Open,Performance
T000304,CU010789,2024-07-13,Medium,2.74,Resolved,Performance
T000305,CU000851,2026-05-10,Low,7.34,Open,Account
T000306,CU011344,2026-07-11,Low,4.79,Resolved,How-to
T000307,CU007579,2026-04-22,High,3.59,Open,Billing
T000308,CU008674,2024-11-04,High,17.2,Escalated,Integration
T000309,CU005190,2026-08-21,Medium,3.55,Resolved,How-to
T000310,CU010180,2026-07-20,Medium,3.06,Resolved,Performance
T000311,CU006243,2024-09-25,Medium,5.67,Resolved,Integration
T000312,CU006528,2025-06-11,Critical,10.3,Resolved,Performance
T000313,CU010858,2024-08-20,Medium,8.82,Resolved,Integration
T000314,CU011850,2025-12-11,High,9.25,Escalated,Integration
T000315,CU006324,2023-07-20,Low,2.36,Resolved,Integration
T000316,CU004743,2025-02-17,High,10.44,Resolved,Account
T000317,CU000750,2026-05-05,Critical,6.13,Escalated,How-to
T000318,CU009198,2026-01-28,Medium,6.42,Resolved,Performance
T000319,CU006217,2025-04-09,Critical,6.16,Resolved,Billing
T000320,CU011921,2025-01-01,Medium,1.91,Resolved,Billing
T000321,CU001379,2025-04-18,Low,2.96,Resolved,Account
T000322,CU002097,2024-01-07,High,14.6,Resolved,How-to
T000323,CU002484,2025-10-24,High,7.15,Resolved,Integration
T000324,CU011500,2025-02-18,Medium,2.52,Resolved,Performance
T000325,CU001984,2024-09-14,Low,1.14,Resolved,How-to
T000326,CU000215,2026-02-28,Critical,10.13,Resolved,Account
T000327,CU006822,2026-06-13,Low,7.85,Escalated,Billing
T000328,CU001041,2026-05-07,Low,4.68,Open,Product Bug
T000329,CU011501,2026-05-13,Critical,4.15,Open,Account
T000330,CU009964,2023-08-12,Medium,8.49,Open,Integration
T000331,CU000331,2026-08-28,Medium,6.71,Resolved,Integration
T000332,CU010052,2026-07-01,High,4.52,Open,Account
T000333,CU005233,2023-09-05,Low,4.4,Resolved,Integration
T000334,CU010201,2024-01-05,Low,24.05,Resolved,Performance
T000335,CU003723,2024-10-16,High,14.41,Open,Billing
T000336,CU004065,2026-05-09,Low,1.8,Resolved,How-to
T000337,CU003479,2025-03-24,Low,1.68,Resolved,Product Bug
T000338,CU011688,2026-02-14,Low,11.15,Open,Billing
T000339,CU002025,2024-07-11,Medium,2.86,Open,Billing
T000340,CU000368,2026-01-27,Low,3.7,Open,Product Bug
T000341,CU003853,2025-07-04,Low,10.92,Open,How-to
T000342,CU003175,2026-08-18,Low,1.6,Escalated,Performance
T000343,CU007755,2025-12-31,Critical,3.17,Resolved,Integration
T000344,CU001932,2026-04-09,Low,2.8,Escalated,How-to
T000345,CU006311,2025-04-22,High,6.01,Open,Account
T000346,CU009505,2025-05-12,Medium,4.83,Open,Integration
T000347,CU007511,2026-03-09,Low,2.76,Escalated,Product Bug
T000348,CU005998,2024-11-17,Medium,6.3,Open,Account
T000349,CU000201,2024-06-18,Medium,5.02,Escalated,Performance
T000350,CU000258,2022-10-13,Low,24.88,Open,Integration
T000351,CU010831,2026-07-14,Medium,12.1,Resolved,Account
T000352,CU007543,2026-08-30,Low,6.79,Resolved,Performance
T000353,CU008316,2024-11-23,Low,5.88,Open,How-to
T000354,CU009964,2023-01-23,Low,3.17,Resolved,Product Bug
T000355,CU009751,2026-04-05,Medium,1.92,Resolved,Account
T000356,CU009668,2025-11-18,Low,6.21,Resolved,Integration
T000357,CU000064,2025-07-30,Medium,12.0,Resolved,Account
T000358,CU000936,2023-02-25,Medium,5.66,Open,Integration
T000359,CU010557,2022-09-10,Critical,4.4,Resolved,Integration
T000360,CU006710,2026-07-13,Critical,22.75,Resolved,How-to
T000361,CU006488,2025-06-04,Low,2.13,Resolved,Product Bug
T000362,CU002119,2026-08-23,Medium,6.76,Escalated,Account
T000363,CU007105,2024-09-11,Medium,5.52,Resolved,Product Bug
T000364,CU002603,2025-07-17,Medium,9.41,Open,Performance
T000365,CU004653,2026-01-09,High,6.53,Open,Integration
T000366,CU006550,2025-10-20,Medium,11.85,Open,How-to
T000367,CU009481,2026-01-01,Low,3.89,Resolved,Product Bug
T000368,CU011507,2025-04-23,High,14.17,Resolved,Product Bug
T000369,CU000669,2025-10-07,Medium,3.39,Resolved,Performance
T000370,CU011898,2026-04-18,High,8.37,Resolved,Account
T000371,CU006290,2025-09-10,Low,5.03,Escalated,Account
T000372,CU001048,2025-01-29,Low,2.61,Resolved,Integration
T000373,CU001726,2026-06-03,Low,2.89,Resolved,Product Bug
T000374,CU010899,2025-12-18,Low,7.33,Resolved,How-to
T000375,CU003662,2023-10-27,Critical,4.16,Resolved,Integration
T000376,CU010160,2026-03-26,Low,7.93,Resolved,Account
T000377,CU009535,2025-11-28,Low,4.89,Open,Account
T000378,CU009571,2025-10-27,Low,2.41,Resolved,Integration
T000379,CU002366,2024-10-02,Low,2.95,Resolved,How-to
T000380,CU008272,2024-04-05,Medium,4.26,Escalated,Product Bug
T000381,CU008536,2026-05-24,High,5.68,Resolved,Account
T000382,CU009137,2022-08-02,Low,3.03,Resolved,Account
T000383,CU006751,2024-12-15,Medium,3.59,Resolved,Product Bug
T000384,CU009835,2024-11-13,High,3.72,Resolved,Integration
T000385,CU004953,2026-02-28,Low,4.85,Escalated,Billing
T000386,CU000196,2024-12-04,High,8.51,Open,Product Bug
T000387,CU000426,2022-05-07,Low,2.46,Open,Integration
T000388,CU010344,2026-06-09,Low,2.28,Resolved,Integration
T000389,CU009694,2025-04-29,Low,2.84,Open,Integration
T000390,CU003809,2023-04-05,Low,5.2,Resolved,Account
T000391,CU007273,2024-12-25,Medium,4.56,Escalated,Integration
T000392,CU010889,2026-02-17,Low,10.59,Resolved,Product Bug
T000393,CU005701,2026-07-10,Critical,12.32,Resolved,Integration
T000394,CU008412,2025-06-11,Medium,4.41,Open,Billing
T000395,CU003041,2024-04-22,Low,14.08,Resolved,Billing
T000396,CU011935,2025-10-30,High,18.09,Escalated,Performance
T000397,CU003176,2025-05-01,High,6.11,Resolved,Billing
T000398,CU004911,2023-03-07,Low,9.88,Resolved,Integration
T000399,CU005483,2023-10-23,Medium,2.03,Resolved,How-to
T000400,CU006011,2025-10-29,Medium,2.16,Escalated,Account
T000401,CU006913,2026-03-18,High,12.33,Resolved,How-to
T000402,CU006559,2026-07-24,Medium,9.44,Resolved,How-to
T000403,CU010322,2025-07-19,Medium,3.15,Resolved,How-to
T000404,CU007412,2023-10-29,Low,0.33,Escalated,Integration
T000405,CU009425,2026-07-12,Medium,4.83,Resolved,Integration
T000406,CU001539,2024-10-18,Medium,7.14,Resolved,Billing
T000407,CU002218,2026-07-24,Low,2.55,Resolved,Product Bug
T000408,CU007944,2024-11-24,Low,5.0,Escalated,Integration
T000409,CU006178,2022-04-07,High,5.28,Escalated,Billing
T000410,CU006193,2025-07-10,High,8.08,Resolved,Performance
T000411,CU003745,2026-02-09,High,23.36,Resolved,Integration
T000412,CU002157,2025-01-07,High,17.63,Resolved,Account
T000413,CU004458,2026-04-16,Low,2.09,Resolved,How-to
T000414,CU010693,2026-02-20,High,4.25,Resolved,Product Bug
T000415,CU006199,2026-06-09,Low,1.44,Open,Integration
T000416,CU000552,2024-12-09,Low,7.88,Resolved,Performance
T000417,CU003619,2025-03-08,Medium,2.05,Open,How-to
T000418,CU003075,2025-05-30,High,5.37,Escalated,Integration
T000419,CU003480,2024-10-02,Low,5.62,Open,Product Bug
T000420,CU003489,2025-09-20,Medium,2.74,Open,Integration
T000421,CU009602,2026-05-03,Medium,6.18,Resolved,Product Bug
T000422,CU005507,2026-08-07,Low,11.01,Open,How-to
T000423,CU006052,2025-05-24,Medium,12.57,Escalated,Performance
T000424,CU005883,2026-02-12,Medium,1.9,Resolved,Billing
T000425,CU005662,2024-01-24,Medium,0.55,Open,Performance
T000426,CU010807,2024-08-28,High,5.45,Resolved,How-to
T000427,CU007154,2025-12-19,Low,3.48,Resolved,Billing
T000428,CU010837,2025-05-06,Medium,3.42,Resolved,Account
T000429,CU000341,2024-09-11,Low,2.35,Open,How-to
T000430,CU010892,2025-05-13,Medium,2.53,Resolved,Billing
T000431,CU003714,2022-11-01,Low,10.45,Resolved,Integration
T000432,CU001586,2025-02-12,Medium,11.58,Resolved,Product Bug
T000433,CU006810,2026-04-13,Medium,3.35,Resolved,Performance
T000434,CU008150,2026-05-20,High,34.79,Escalated,Integration
T000435,CU002916,2025-12-21,Medium,9.25,Resolved,How-to
