InvoiceID,InvoiceDate,DueDate,PaidDate,CustomerID,EntityID,InvoiceAmountAUD,PaidAmountAUD,Status
AR000029,2025-10-04,2025-12-03,2026-02-08,C01173,E03,6196.37,6196.37,Paid
AR000030,2023-10-12,2023-11-11,2024-01-05,C00268,E05,30710.94,30710.94,Paid
AR000031,2025-09-19,2025-11-03,2026-01-07,C00743,E06,12423.22,12423.22,Paid
AR000032,2024-05-23,2024-07-07,2024-07-24,C01031,E04,4714.69,4714.69,Paid
AR000033,2024-01-12,2024-02-26,2024-04-18,C00546,E03,3482.38,3482.38,Paid
AR000034,2026-08-29,2026-10-13,,C00605,E05,17299.69,0.0,Open
AR000035,2025-07-11,2025-08-25,2025-09-05,C01319,E03,22301.34,22301.34,Paid
AR000036,2024-06-23,2024-07-07,2024-09-17,C01173,E05,8009.68,8009.68,Paid
AR000037,2026-01-18,2026-03-04,2026-04-01,C00252,E05,5782.01,5782.01,Paid
AR000038,2023-02-12,2023-02-26,2023-05-10,C00576,E05,3252.28,3252.28,Paid
AR000039,2025-12-01,2026-01-30,2026-04-04,C00530,E03,10689.89,10689.89,Paid
AR000040,2023-07-30,2023-09-28,2023-12-15,C01167,E04,2872.89,2872.89,Paid
AR000041,2025-07-30,2025-08-13,2025-08-13,C00357,E05,22111.99,22111.99,Paid
AR000042,2023-06-12,2023-07-27,2023-08-05,C00283,E06,3606.77,3606.77,Paid
AR000043,2026-03-12,2026-04-26,2026-05-17,C00571,E03,6956.73,6956.73,Paid
AR000044,2025-01-08,2025-03-09,2025-04-19,C01312,E02,3222.17,3222.17,Paid
AR000045,2025-01-20,2025-02-19,,C00662,E06,7082.28,0.0,Open
AR000046,2023-04-08,2023-06-07,2023-06-29,C01217,E05,5290.49,5290.49,Paid
AR000047,2024-12-04,2025-01-18,2025-02-07,C00528,E01,4466.12,4466.12,Paid
AR000048,2025-05-08,2025-06-07,,C01293,E05,1638.09,0.0,Open
AR000049,2025-01-03,2025-02-17,2025-05-01,C00498,E01,16139.08,16139.08,Paid
AR000050,2023-12-08,2024-01-22,2024-02-09,C00589,E04,1755.73,1755.73,Paid
AR000051,2024-11-01,2024-12-31,,C01054,E05,9226.92,0.0,Open
AR000052,2024-01-19,2024-03-19,2024-04-21,C00970,E04,4744.27,4744.27,Paid
AR000053,2024-07-10,2024-09-08,2024-09-18,C00484,E06,17821.72,17821.72,Paid
AR000054,2024-03-03,2024-03-17,2024-03-28,C00245,E02,24535.84,24535.84,Paid
AR000055,2025-12-25,2026-02-08,,C00276,E01,5815.84,0.0,Open
AR000056,2026-08-11,2026-09-10,,C01176,E02,5937.79,0.0,Open
AR000057,2025-02-10,2025-03-27,2025-06-08,C00618,E01,2333.41,2333.41,Paid
AR000058,2026-03-12,2026-05-11,2026-07-08,C01406,E04,2420.68,2420.68,Paid
AR000059,2024-07-18,2024-08-01,2024-08-20,C00193,E03,640.71,640.71,Paid
AR000060,2025-07-29,2025-08-28,2025-11-04,C00049,E03,4640.5,4640.5,Paid
AR000061,2023-05-28,2023-07-27,,C01437,E02,5578.33,0.0,Open
AR000062,2024-04-02,2024-05-17,2024-06-28,C00482,E03,6834.32,6834.32,Paid
AR000063,2023-01-18,2023-02-17,2023-04-12,C00364,E04,33656.67,33656.67,Paid
AR000064,2025-01-14,2025-02-28,2025-04-18,C01159,E04,11711.4,11711.4,Paid
AR000065,2023-01-01,2023-01-31,2023-03-17,C00075,E06,6499.52,6499.52,Paid
AR000066,2025-04-27,2025-06-11,2025-06-18,C01156,E03,4314.74,4314.74,Paid
AR000067,2023-11-07,2023-12-22,2024-01-29,C00469,E04,5177.93,5177.93,Paid
AR000068,2025-08-02,2025-08-16,,C01214,E06,5534.34,0.0,Open
AR000069,2023-09-18,2023-11-17,2023-12-09,C00381,E04,3520.78,3520.78,Paid
AR000070,2025-07-31,2025-09-29,2025-11-19,C01217,E01,11867.41,11867.41,Paid
AR000071,2023-02-19,2023-04-20,2023-05-23,C00926,E04,3619.72,3619.72,Paid
AR000072,2023-09-07,2023-09-21,2023-11-09,C00802,E03,3729.29,3729.29,Paid
AR000073,2024-03-09,2024-04-08,2024-04-06,C00902,E05,6046.92,6046.92,Paid
AR000074,2025-12-22,2026-02-05,2026-02-08,C00040,E05,5720.99,5720.99,Paid
AR000075,2026-04-18,2026-06-17,2026-06-25,C00166,E03,7344.31,7344.31,Paid
AR000076,2025-09-15,2025-11-14,2025-12-20,C00534,E01,13331.77,13331.77,Paid
AR000077,2026-03-02,2026-04-01,2026-04-10,C01169,E01,16805.89,16805.89,Paid
AR000078,2024-12-04,2025-02-02,,C00017,E03,3686.32,0.0,Open
AR000079,2025-12-07,2026-01-06,2026-02-08,C00894,E06,9950.93,9950.93,Paid
AR000080,2025-08-09,2025-09-08,2025-10-05,C00450,E05,4092.01,4092.01,Paid
AR000081,2025-03-26,2025-04-09,2025-04-17,C01408,E05,22970.88,22970.88,Paid
AR000082,2023-03-07,2023-04-06,2023-04-25,C00625,E01,1201.06,1201.06,Paid
AR000083,2024-08-04,2024-08-18,2024-09-12,C00082,E03,3658.48,3658.48,Paid
AR000084,2025-10-31,2025-11-30,2026-02-10,C00979,E05,3408.94,3408.94,Paid
AR000085,2025-11-21,2025-12-21,,C01126,E06,871.65,0.0,Open
AR000086,2024-12-29,2025-01-12,,C01379,E06,6779.91,0.0,Open
AR000087,2024-08-28,2024-09-11,2024-11-10,C01344,E01,1295.17,1295.17,Paid
AR000088,2024-09-19,2024-11-18,2024-12-31,C00521,E02,997.9,997.9,Paid
AR000089,2024-08-05,2024-09-04,2024-09-24,C00530,E03,4191.78,4191.78,Paid
AR000090,2025-01-02,2025-01-16,2025-03-04,C01402,E02,3560.55,3560.55,Paid
AR000091,2023-09-29,2023-10-29,2023-12-15,C00446,E06,9977.21,9977.21,Paid
AR000092,2024-04-14,2024-05-29,,C00853,E01,17759.02,0.0,Open
AR000093,2024-07-10,2024-08-24,,C01175,E05,7211.76,0.0,Open
AR000094,2023-01-08,2023-02-07,,C01226,E04,11341.18,0.0,Open
AR000095,2025-06-03,2025-07-18,2025-08-14,C01128,E02,4030.48,4030.48,Paid
AR000096,2024-06-14,2024-07-29,2024-07-31,C00442,E04,5172.63,5172.63,Paid
AR000097,2023-07-22,2023-09-20,2023-09-19,C01136,E04,3300.25,3300.25,Paid
AR000098,2025-06-06,2025-07-06,,C01201,E01,3836.43,0.0,Open
AR000099,2023-07-16,2023-09-14,,C00499,E01,14167.04,0.0,Open
AR000100,2026-04-02,2026-05-17,2026-05-16,C01147,E01,940.77,940.77,Paid
AR000101,2023-09-28,2023-11-12,,C00292,E03,2128.53,0.0,Open
AR000102,2023-08-23,2023-09-06,2023-11-08,C00604,E06,12321.77,12321.77,Paid
AR000103,2026-01-27,2026-02-26,2026-04-09,C01019,E02,5399.03,5399.03,Paid
AR000104,2025-09-06,2025-11-05,2025-11-27,C00085,E01,18034.42,18034.42,Paid
AR000105,2024-06-10,2024-07-10,2024-09-19,C00864,E02,3623.45,3623.45,Paid
AR000106,2024-06-14,2024-06-28,2024-09-08,C00862,E06,5197.86,5197.86,Paid
AR000107,2025-12-15,2025-12-29,2026-01-23,C00365,E02,667.94,667.94,Paid
AR000108,2025-01-30,2025-03-16,2025-04-15,C00238,E05,3595.68,3595.68,Paid
AR000109,2024-08-04,2024-08-18,2024-08-29,C00459,E04,5218.11,5218.11,Paid
AR000110,2024-04-20,2024-06-04,2024-06-17,C01102,E03,2297.0,2297.0,Paid
AR000111,2024-02-11,2024-02-25,2024-03-05,C00539,E05,4788.0,4788.0,Paid
AR000112,2026-06-01,2026-06-15,2026-07-25,C01009,E02,3369.89,3369.89,Paid
AR000113,2026-07-03,2026-07-17,2026-09-07,C01339,E02,5221.13,5221.13,Paid
AR000114,2024-06-06,2024-08-05,2024-10-01,C00589,E03,4131.7,4131.7,Paid
AR000115,2024-11-05,2024-12-05,2024-12-06,C01180,E03,13039.08,13039.08,Paid
AR000116,2023-07-31,2023-08-30,2023-10-07,C01364,E04,8178.36,8178.36,Paid
AR000117,2023-06-29,2023-07-13,2023-08-07,C00436,E02,5527.29,5527.29,Paid
AR000118,2025-01-03,2025-03-04,2025-03-21,C00052,E02,6217.22,6217.22,Paid
AR000119,2023-10-22,2023-11-21,2023-12-11,C00501,E05,9125.82,9125.82,Paid
AR000120,2023-08-19,2023-10-03,2023-11-17,C00593,E01,22910.52,22910.52,Paid
AR000121,2026-04-13,2026-05-13,2026-06-30,C00993,E06,9036.04,9036.04,Paid
AR000122,2025-10-12,2025-11-26,,C01413,E05,2727.47,0.0,Open
AR000123,2023-05-29,2023-07-28,2023-08-01,C00765,E03,10082.08,10082.08,Paid
AR000124,2025-02-14,2025-03-16,2025-03-11,C01018,E02,5150.83,5150.83,Paid
AR000125,2023-05-26,2023-07-10,2023-07-13,C01087,E04,27018.02,27018.02,Paid
AR000126,2023-12-11,2024-02-09,2024-04-03,C00707,E01,9291.34,9291.34,Paid
AR000127,2025-02-07,2025-02-21,2025-03-25,C00217,E05,19441.67,19441.67,Paid
AR000128,2023-06-27,2023-08-11,,C01215,E01,956.04,0.0,Open
AR000129,2023-08-20,2023-09-19,2023-11-07,C00249,E02,4493.31,4493.31,Paid
AR000130,2025-02-21,2025-03-23,2025-05-06,C00853,E01,11310.68,11310.68,Paid
AR000131,2025-02-12,2025-04-13,2025-04-19,C00834,E03,6654.73,6654.73,Paid
AR000132,2026-07-21,2026-08-04,2026-10-02,C00615,E03,5906.61,5906.61,Paid
AR000133,2023-06-07,2023-07-22,,C00144,E03,2492.68,0.0,Open
AR000134,2024-01-01,2024-01-31,2024-03-22,C00716,E04,8748.38,8748.38,Paid
AR000135,2024-07-09,2024-08-23,2024-09-22,C01441,E02,8217.86,8217.86,Paid
AR000136,2026-07-04,2026-08-18,2026-10-26,C01390,E03,25660.01,25660.01,Paid
AR000137,2023-11-21,2024-01-20,2024-03-17,C01244,E02,32120.7,32120.7,Paid
AR000138,2025-09-23,2025-10-07,2025-10-23,C01444,E01,7297.74,7297.74,Paid
AR000139,2025-03-31,2025-05-15,2025-06-16,C00703,E02,11481.38,11481.38,Paid
AR000140,2024-04-11,2024-06-10,2024-08-08,C01048,E03,7888.25,7888.25,Paid
AR000141,2025-11-04,2025-11-18,,C00920,E04,2446.34,0.0,Open
AR000142,2024-03-17,2024-05-16,2024-07-07,C00735,E02,1340.78,1340.78,Paid
AR000143,2024-12-31,2025-01-14,2025-01-10,C00073,E01,2756.32,2756.32,Paid
AR000144,2023-08-09,2023-08-23,2023-09-07,C01349,E06,8793.75,8793.75,Paid
AR000145,2023-06-13,2023-06-27,2023-07-15,C00352,E02,2547.37,2547.37,Paid
AR000146,2024-09-06,2024-09-20,2024-10-11,C01301,E03,2573.11,2573.11,Paid
AR000147,2026-06-16,2026-07-16,2026-10-02,C00461,E06,5293.46,5293.46,Paid
AR000148,2024-05-02,2024-07-01,,C01016,E03,14230.48,0.0,Open
AR000149,2023-07-16,2023-09-14,2023-09-11,C00717,E03,5211.3,5211.3,Paid
AR000150,2025-03-21,2025-04-20,,C00176,E04,10992.2,0.0,Open
AR000151,2025-11-10,2025-11-24,2025-12-11,C00475,E01,2614.23,2614.23,Paid
AR000152,2026-07-11,2026-08-25,,C00725,E06,3628.22,0.0,Open
AR000153,2025-08-27,2025-09-10,,C00296,E04,11871.15,0.0,Open
AR000154,2026-08-16,2026-08-30,2026-10-24,C01015,E05,2764.85,2764.85,Paid
AR000155,2023-02-05,2023-04-06,2023-06-12,C00424,E05,12988.91,12988.91,Paid
AR000156,2025-08-02,2025-10-01,2025-09-27,C01420,E02,14199.71,14199.71,Paid
AR000157,2024-07-11,2024-09-09,,C01256,E02,4020.86,0.0,Open
AR000158,2023-05-31,2023-06-14,2023-07-16,C00243,E04,1265.22,1265.22,Paid
AR000159,2023-04-02,2023-06-01,2023-06-02,C01288,E02,5114.83,5114.83,Paid
AR000160,2025-04-30,2025-05-30,2025-06-23,C00095,E05,3881.87,3881.87,Paid
AR000161,2025-01-01,2025-01-15,2025-03-01,C00350,E01,19938.56,19938.56,Paid
AR000162,2023-02-19,2023-03-05,2023-04-13,C01478,E05,579.74,579.74,Paid
AR000163,2026-05-29,2026-07-13,2026-07-28,C01030,E04,5743.02,5743.02,Paid
AR000164,2024-11-30,2025-01-29,2025-02-16,C01088,E01,4810.61,4810.61,Paid
AR000165,2023-11-17,2023-12-01,2024-01-16,C00498,E06,8248.84,8248.84,Paid
AR000166,2025-03-18,2025-04-17,2025-05-05,C01246,E05,7911.15,7911.15,Paid
AR000167,2023-06-19,2023-08-18,2023-10-18,C00435,E05,8920.0,8920.0,Paid
AR000168,2024-07-13,2024-09-11,2024-11-03,C00133,E03,10742.91,10742.91,Paid
AR000169,2023-07-14,2023-09-12,2023-10-31,C01453,E02,17849.87,17849.87,Paid
AR000170,2024-08-13,2024-08-27,,C01152,E02,5224.73,0.0,Open
AR000171,2026-04-02,2026-04-16,2026-06-10,C01128,E01,4206.4,4206.4,Paid
AR000172,2025-05-09,2025-06-08,2025-06-21,C00158,E04,1884.65,1884.65,Paid
AR000173,2024-04-10,2024-04-24,2024-06-01,C00503,E01,4020.4,4020.4,Paid
AR000174,2024-11-16,2025-01-15,2025-02-21,C01494,E01,7202.03,7202.03,Paid
AR000175,2026-03-12,2026-03-26,2026-04-25,C00128,E06,5742.04,5742.04,Paid
AR000176,2025-03-25,2025-05-09,2025-06-24,C01222,E05,1981.08,1981.08,Paid
AR000177,2025-09-30,2025-10-30,2026-01-15,C00387,E02,10662.89,10662.89,Paid
AR000178,2023-03-23,2023-05-07,,C01395,E01,5927.15,0.0,Open
AR000179,2023-06-25,2023-07-25,,C00836,E02,9247.19,0.0,Open
AR000180,2024-04-26,2024-06-10,2024-07-17,C00980,E06,6983.76,6983.76,Paid
AR000181,2023-07-05,2023-07-19,2023-07-16,C00800,E03,3042.54,3042.54,Paid
AR000182,2026-04-17,2026-05-01,2026-04-26,C00229,E04,26697.86,26697.86,Paid
AR000183,2023-11-09,2023-12-09,2024-02-14,C00810,E06,18022.68,18022.68,Paid
AR000184,2023-02-24,2023-03-10,2023-03-20,C01181,E03,2366.68,2366.68,Paid
AR000185,2025-11-07,2025-12-22,2026-02-22,C01133,E06,950.0,950.0,Paid
AR000186,2023-01-08,2023-02-07,2023-02-16,C01496,E06,7544.12,7544.12,Paid
AR000187,2024-01-14,2024-03-14,2024-03-21,C00754,E03,3424.38,3424.38,Paid
AR000188,2024-03-01,2024-04-30,2024-06-05,C00300,E04,13436.65,13436.65,Paid
AR000189,2024-03-28,2024-05-12,,C01455,E01,2793.89,0.0,Open
AR000190,2026-03-12,2026-04-11,2026-05-04,C01460,E05,15772.73,15772.73,Paid
AR000191,2023-06-12,2023-07-27,2023-09-22,C00287,E01,8000.14,8000.14,Paid
AR000192,2025-02-05,2025-02-19,2025-04-12,C00927,E05,20130.81,20130.81,Paid
AR000193,2024-05-01,2024-06-30,2024-07-11,C00920,E04,2514.66,2514.66,Paid
AR000194,2023-10-28,2023-11-27,2024-02-04,C00577,E05,7655.41,7655.41,Paid
AR000195,2025-06-24,2025-08-08,2025-10-02,C01293,E01,5154.92,5154.92,Paid
AR000196,2023-07-20,2023-08-03,,C00856,E05,8911.31,0.0,Open
AR000197,2025-06-29,2025-07-29,,C00416,E06,6447.34,0.0,Open
AR000198,2023-04-19,2023-05-19,2023-05-28,C00428,E04,11061.28,11061.28,Paid
AR000199,2023-11-21,2024-01-20,2024-03-12,C01079,E02,40278.52,40278.52,Paid
AR000200,2023-09-21,2023-10-21,2023-12-15,C00462,E02,13674.95,13674.95,Paid
AR000201,2024-04-17,2024-06-16,2024-07-01,C00863,E04,4100.55,4100.55,Paid
AR000202,2025-10-04,2025-11-03,2025-11-06,C01085,E03,7368.21,7368.21,Paid
AR000203,2024-03-21,2024-05-20,2024-05-16,C00700,E03,770.52,770.52,Paid
AR000204,2025-07-23,2025-08-22,2025-09-04,C00403,E04,4943.88,4943.88,Paid
AR000205,2025-09-02,2025-10-02,2025-12-12,C01276,E06,9964.28,9964.28,Paid
AR000206,2023-03-31,2023-04-14,2023-05-18,C00924,E02,20098.97,20098.97,Paid
AR000207,2025-02-14,2025-04-15,2025-05-10,C00151,E05,3625.14,3625.14,Paid
AR000208,2025-11-26,2026-01-25,2026-04-02,C00156,E02,9837.01,9837.01,Paid
AR000209,2024-12-02,2025-01-01,2025-01-19,C00508,E03,7552.44,7552.44,Paid
AR000210,2026-03-04,2026-03-18,2026-06-02,C00079,E02,3640.14,3640.14,Paid
AR000211,2026-01-31,2026-03-17,2026-05-24,C01294,E05,7651.99,7651.99,Paid
AR000212,2025-08-20,2025-09-03,2025-09-16,C00192,E03,4755.85,4755.85,Paid
AR000213,2025-07-20,2025-08-03,2025-09-04,C00991,E03,3348.71,3348.71,Paid
AR000214,2024-07-29,2024-08-28,,C00247,E02,8397.88,0.0,Open
AR000215,2024-05-22,2024-06-05,2024-07-22,C00673,E02,13052.62,13052.62,Paid
AR000216,2023-05-16,2023-06-15,2023-07-20,C00499,E02,4804.3,4804.3,Paid
AR000217,2024-09-16,2024-11-15,2024-12-17,C00503,E01,2324.13,2324.13,Paid
AR000218,2025-10-03,2025-12-02,2025-12-02,C00352,E05,10853.33,10853.33,Paid
AR000219,2024-07-19,2024-09-17,2024-11-24,C00137,E04,32654.44,32654.44,Paid
AR000220,2023-03-06,2023-04-05,2023-05-02,C01132,E02,15543.81,15543.81,Paid
AR000221,2026-07-19,2026-09-02,2026-10-22,C01083,E03,14647.96,14647.96,Paid
AR000222,2025-08-09,2025-10-08,2025-12-22,C00779,E06,14108.67,14108.67,Paid
AR000223,2026-04-18,2026-06-02,,C01279,E02,4330.41,0.0,Open
AR000224,2026-08-21,2026-10-05,2026-10-13,C01041,E04,3861.94,3861.94,Paid
AR000225,2023-05-02,2023-06-01,,C00966,E03,1785.77,0.0,Open
AR000226,2023-11-06,2023-12-06,2024-02-12,C01116,E03,8735.14,8735.14,Paid
AR000227,2025-05-10,2025-05-24,2025-05-21,C00658,E06,12880.36,12880.36,Paid
AR000228,2023-06-15,2023-06-29,,C00183,E05,9934.06,0.0,Open
AR000229,2025-04-22,2025-05-06,2025-06-06,C01205,E04,1378.64,1378.64,Paid
AR000230,2023-07-03,2023-07-17,2023-08-25,C01262,E02,14850.09,14850.09,Paid
AR000231,2025-06-18,2025-07-18,2025-07-30,C00215,E01,25798.95,25798.95,Paid
AR000232,2024-01-28,2024-02-11,2024-04-02,C00087,E02,7183.19,7183.19,Paid
AR000233,2023-06-01,2023-07-31,2023-08-23,C00869,E04,22092.11,22092.11,Paid
AR000234,2026-02-06,2026-04-07,2026-05-17,C01172,E01,15586.74,15586.74,Paid
AR000235,2023-04-30,2023-06-29,2023-07-24,C00503,E04,11036.65,11036.65,Paid
AR000236,2024-09-23,2024-11-22,2024-11-21,C00720,E03,22604.1,22604.1,Paid
AR000237,2026-02-17,2026-04-03,2026-04-22,C00258,E03,6598.66,6598.66,Paid
AR000238,2025-08-02,2025-08-16,2025-10-03,C00344,E06,2305.49,2305.49,Paid
AR000239,2025-09-29,2025-11-13,2025-12-29,C00696,E03,1583.52,1583.52,Paid
AR000240,2023-01-24,2023-03-25,2023-05-02,C00969,E05,52202.74,52202.74,Paid
AR000241,2025-06-13,2025-06-27,2025-07-05,C00247,E02,15386.37,15386.37,Paid
AR000242,2026-05-28,2026-07-27,2026-08-19,C00993,E06,1341.79,1341.79,Paid
AR000243,2024-11-08,2024-12-23,2025-02-10,C00880,E03,23616.97,23616.97,Paid
AR000244,2025-07-06,2025-08-20,2025-09-05,C00526,E05,14099.85,14099.85,Paid
AR000245,2024-02-11,2024-04-11,2024-06-28,C00120,E03,1979.22,1979.22,Paid
AR000246,2025-10-25,2025-11-08,2025-11-07,C01229,E05,2243.3,2243.3,Paid
AR000247,2025-01-16,2025-03-02,,C00198,E01,2964.83,0.0,Open
AR000248,2026-08-24,2026-09-23,,C01275,E05,3137.43,0.0,Open
AR000249,2024-04-27,2024-06-11,2024-08-09,C01122,E06,1514.37,1514.37,Paid
AR000250,2025-06-28,2025-08-12,2025-10-30,C01269,E01,7357.75,7357.75,Paid
AR000251,2026-01-08,2026-02-22,2026-04-03,C01097,E05,8045.77,8045.77,Paid
AR000252,2024-05-21,2024-06-04,2024-06-01,C00083,E04,12463.27,12463.27,Paid
AR000253,2024-12-31,2025-02-14,2025-03-30,C01309,E06,12563.12,12563.12,Paid
AR000254,2023-09-20,2023-10-04,2023-12-13,C01024,E06,38286.74,38286.74,Paid
AR000255,2025-01-12,2025-01-26,2025-04-14,C00759,E02,7024.85,7024.85,Paid
AR000256,2024-12-17,2025-01-31,2025-04-01,C01252,E04,5873.17,5873.17,Paid
AR000257,2025-07-25,2025-08-08,2025-08-13,C01381,E03,2907.86,2907.86,Paid
AR000258,2026-02-09,2026-03-26,,C00515,E03,2647.49,0.0,Open
AR000259,2024-09-29,2024-10-29,,C01044,E02,4022.6,0.0,Open
AR000260,2025-09-04,2025-11-03,,C01128,E03,17429.44,0.0,Open
AR000261,2025-08-04,2025-09-18,2025-10-20,C00432,E04,3373.34,3373.34,Paid
AR000262,2026-05-10,2026-06-09,2026-08-20,C01047,E06,5839.05,5839.05,Paid
AR000263,2026-07-18,2026-08-17,2026-08-19,C00895,E05,147680.35,147680.35,Paid
AR000264,2023-11-28,2023-12-12,2024-02-13,C01391,E05,3507.69,3507.69,Paid
AR000265,2025-03-31,2025-04-30,2025-06-24,C00066,E06,17633.85,17633.85,Paid
AR000266,2026-04-19,2026-05-03,2026-06-22,C00490,E01,1467.69,1467.69,Paid
AR000267,2023-02-14,2023-02-28,2023-05-11,C00141,E04,14245.73,14245.73,Paid
AR000268,2023-09-09,2023-11-08,2023-12-03,C01165,E05,8861.07,8861.07,Paid
AR000269,2026-06-10,2026-07-25,2026-08-13,C01084,E05,3878.25,3878.25,Paid
AR000270,2024-08-21,2024-10-05,,C00745,E01,6558.66,0.0,Open
AR000271,2023-05-23,2023-06-06,2023-08-23,C00716,E03,7089.07,7089.07,Paid
AR000272,2023-04-07,2023-04-21,2023-06-08,C01242,E03,17745.17,17745.17,Paid
AR000273,2026-07-23,2026-09-06,2026-10-26,C00774,E01,3183.4,3183.4,Paid
AR000274,2025-05-04,2025-06-18,2025-08-07,C00516,E06,3473.38,3473.38,Paid
AR000275,2024-12-09,2024-12-23,2025-01-22,C00925,E05,29709.85,29709.85,Paid
AR000276,2024-08-17,2024-10-16,,C01332,E05,4845.28,0.0,Open
AR000277,2023-04-10,2023-05-10,,C00140,E06,2456.76,0.0,Open
AR000278,2026-07-09,2026-07-23,,C01367,E01,13648.74,0.0,Open
AR000279,2025-11-20,2026-01-04,2025-12-31,C00827,E05,1142.3,1142.3,Paid
AR000280,2023-02-05,2023-02-19,2023-04-25,C01378,E05,4903.41,4903.41,Paid
AR000281,2023-12-24,2024-02-07,2024-04-15,C00040,E06,7673.11,7673.11,Paid
AR000282,2024-07-05,2024-08-19,2024-11-05,C01402,E01,14955.92,14955.92,Paid
AR000283,2023-01-18,2023-02-01,2023-03-19,C00898,E05,4794.92,4794.92,Paid
AR000284,2023-01-04,2023-03-05,2023-04-16,C00686,E03,23844.17,23844.17,Paid
AR000285,2024-12-04,2025-02-02,2025-03-23,C01440,E03,5292.47,5292.47,Paid
AR000286,2025-09-15,2025-09-29,2025-12-09,C01124,E03,450.68,450.68,Paid
AR000287,2024-05-26,2024-06-09,2024-06-15,C01269,E06,5069.57,5069.57,Paid
AR000288,2026-06-06,2026-07-06,,C01458,E06,4082.98,0.0,Open
AR000289,2026-02-21,2026-04-07,,C00331,E04,41660.3,0.0,Open
AR000290,2024-02-12,2024-02-26,2024-04-28,C00158,E04,1397.17,1397.17,Paid
AR000291,2024-07-25,2024-08-24,,C00310,E05,5425.78,0.0,Open
AR000292,2023-01-16,2023-03-17,2023-05-28,C00876,E02,4283.85,4283.85,Paid
AR000293,2024-07-14,2024-08-28,2024-09-26,C00622,E06,14075.71,14075.71,Paid
AR000294,2023-12-25,2024-02-23,2024-05-11,C01068,E06,19096.84,19096.84,Paid
AR000295,2025-01-23,2025-02-22,2025-04-09,C01020,E01,18395.86,18395.86,Paid
AR000296,2025-09-21,2025-10-21,2025-11-23,C00469,E04,34402.21,34402.21,Paid
AR000297,2024-12-10,2025-01-24,2025-04-10,C00612,E02,6278.75,6278.75,Paid
AR000298,2023-12-07,2024-01-06,2024-01-28,C00258,E02,4984.37,4984.37,Paid
AR000299,2025-11-21,2026-01-05,2026-01-19,C01411,E02,4523.11,4523.11,Paid
AR000300,2023-04-11,2023-05-26,,C00957,E04,2282.79,0.0,Open
AR000301,2025-04-03,2025-04-17,,C00642,E02,3461.94,0.0,Open
AR000302,2023-09-12,2023-09-26,2023-10-05,C00317,E05,5166.87,5166.87,Paid
AR000303,2025-11-14,2026-01-13,,C00760,E03,1839.61,0.0,Open
AR000304,2024-05-12,2024-06-26,2024-07-01,C00680,E06,9092.31,9092.31,Paid
