GLTxnID,Date,EntityID,DepartmentID,AccountCode,Currency,AmountLocal,CustomerID,VendorID,PostingStatus
GL0000073,2026-07-17,E01,D01,5100,AUD,1364.63,,V0126,Accrued
GL0000074,2025-07-11,E04,D07,6090,SGD,1119.51,,V0164,Posted
GL0000075,2025-01-27,E03,D06,6010,USD,2498.47,,,Posted
GL0000076,2023-06-02,E02,D01,4010,GBP,-1285.56,C00901,,Accrued
GL0000077,2023-03-08,E02,D06,6050,GBP,359.3,,V0258,Posted
GL0000078,2025-10-25,E04,D06,5000,SGD,836.28,,V0169,Accrued
GL0000079,2022-03-01,E04,D02,6060,SGD,2132.74,,V0491,Accrued
GL0000080,2025-11-24,E02,D06,6040,GBP,344.24,,V0362,Accrued
GL0000081,2024-11-30,E02,D10,4000,GBP,-3526.31,C01188,,Posted
GL0000082,2024-02-18,E02,D01,4010,GBP,-17114.71,,,Accrued
GL0000083,2026-03-31,E04,D02,6100,SGD,641.02,,,Accrued
GL0000084,2023-09-16,E04,D03,6070,SGD,1971.55,,,Posted
GL0000085,2025-06-05,E02,D04,6060,GBP,910.29,,V0212,Accrued
GL0000086,2025-09-01,E03,D10,7000,USD,1289.62,,,Posted
GL0000087,2022-09-22,E05,D10,6040,EUR,314.01,,V0153,Posted
GL0000088,2024-10-17,E06,D08,6080,CAD,456.41,,,Posted
GL0000089,2022-11-28,E05,D03,7000,EUR,2416.87,,,Posted
GL0000090,2023-10-04,E06,D01,6090,CAD,362.37,,V0220,Posted
GL0000091,2023-05-29,E02,D08,6070,GBP,2906.42,,V0187,Posted
GL0000092,2025-12-09,E04,D01,6050,SGD,351.6,,,Accrued
GL0000093,2026-01-11,E01,D02,7200,AUD,1345.34,,,Posted
GL0000094,2026-02-22,E02,D05,5000,GBP,1959.27,,V0200,Accrued
GL0000095,2025-10-06,E01,D08,5100,AUD,950.63,,V0044,Posted
GL0000096,2022-06-12,E03,D10,6090,USD,527.64,,,Accrued
GL0000097,2023-08-10,E06,D07,6050,CAD,2618.33,,V0331,Posted
GL0000098,2022-07-04,E05,D09,6060,EUR,486.95,,V0376,Accrued
GL0000099,2022-11-15,E03,D09,6030,USD,1641.13,,,Posted
GL0000100,2024-02-16,E04,D05,6090,SGD,2290.28,,,Posted
GL0000101,2025-03-13,E01,D05,6110,AUD,7454.38,,,Posted
GL0000102,2025-11-26,E02,D06,6060,GBP,608.2,,,Posted
GL0000103,2025-01-09,E04,D02,7100,SGD,922.15,,,Posted
GL0000104,2026-05-01,E04,D09,6080,SGD,4353.81,,V0361,Posted
GL0000105,2024-05-03,E01,D10,5100,AUD,2580.47,,V0207,Posted
GL0000106,2026-03-05,E02,D02,6100,GBP,934.76,,V0360,Posted
GL0000107,2025-04-17,E01,D04,6110,AUD,995.55,,,Posted
GL0000108,2025-02-11,E02,D04,6040,GBP,159.85,,V0361,Accrued
GL0000109,2026-02-28,E01,D08,6020,AUD,2302.38,,V0006,Posted
GL0000110,2024-10-21,E02,D02,7200,GBP,937.7,,,Accrued
GL0000111,2024-12-20,E06,D06,5100,CAD,1877.51,,V0474,Posted
GL0000112,2025-07-09,E03,D10,6040,USD,1706.97,,,Posted
GL0000113,2024-08-25,E04,D02,6010,SGD,407.68,,,Posted
GL0000114,2025-09-26,E05,D07,7000,EUR,275.7,,V0364,Accrued
GL0000115,2025-03-27,E01,D06,4000,AUD,-691.86,C00174,,Accrued
GL0000116,2022-08-18,E02,D05,4020,GBP,-5441.97,C00006,,Posted
GL0000117,2022-03-22,E05,D10,6040,EUR,2293.12,,,Posted
GL0000118,2022-10-19,E03,D03,4010,USD,-6486.91,C01230,,Posted
GL0000119,2024-08-10,E04,D06,5000,SGD,1881.26,,,Posted
GL0000120,2022-09-10,E06,D02,6010,CAD,1330.57,,,Posted
GL0000121,2024-10-18,E04,D09,6080,SGD,1062.54,,V0276,Posted
GL0000122,2026-01-25,E04,D10,5100,SGD,2056.99,,V0455,Posted
GL0000123,2025-02-09,E06,D07,4010,CAD,-5448.87,C01210,,Posted
GL0000124,2023-10-17,E02,D06,6020,GBP,3136.26,,,Posted
GL0000125,2025-02-22,E01,D04,7000,AUD,1824.71,,V0434,Accrued
GL0000126,2022-03-09,E05,D09,6070,EUR,1728.85,,V0032,Accrued
GL0000127,2022-06-13,E05,D05,4020,EUR,-11859.55,C00766,,Posted
GL0000128,2024-11-12,E03,D07,7100,USD,-361.54,,,Posted
GL0000129,2025-04-10,E02,D05,6100,GBP,230.52,,,Posted
GL0000130,2024-09-11,E06,D02,6050,CAD,1899.66,,V0459,Accrued
GL0000131,2026-04-09,E03,D07,5010,USD,2414.78,,V0232,Posted
GL0000132,2024-07-01,E01,D01,6110,AUD,980.57,,,Posted
GL0000133,2026-05-04,E04,D05,7000,SGD,1494.34,,V0079,Accrued
GL0000134,2022-02-10,E05,D04,7100,EUR,-11837.15,,,Posted
GL0000135,2024-02-20,E04,D02,6060,SGD,1002.86,,V0140,Posted
GL0000136,2023-05-05,E01,D06,6070,AUD,1515.63,,,Posted
GL0000137,2022-12-04,E03,D03,6080,USD,1446.34,,V0050,Posted
GL0000138,2024-12-31,E01,D02,6070,AUD,459.42,,V0250,Posted
GL0000139,2026-08-04,E05,D10,6100,EUR,2810.27,,,Accrued
GL0000140,2026-05-08,E01,D08,7100,AUD,633.71,,,Posted
GL0000141,2024-02-22,E02,D06,6080,GBP,2162.97,,V0499,Posted
GL0000142,2025-10-31,E06,D06,7200,CAD,743.34,,,Posted
GL0000143,2024-08-28,E05,D04,4020,EUR,-11364.17,C01063,,Posted
GL0000144,2023-08-01,E02,D10,6100,GBP,1590.59,,,Posted
GL0000145,2023-05-25,E05,D09,4020,EUR,-1883.93,,,Posted
GL0000146,2024-07-17,E02,D06,5000,GBP,1020.49,,,Posted
GL0000147,2022-07-22,E02,D05,7200,GBP,2201.02,,V0398,Posted
GL0000148,2023-06-02,E06,D05,4000,CAD,-3387.33,C00006,,Posted
GL0000149,2023-02-13,E03,D07,7000,USD,399.42,,V0354,Posted
GL0000150,2025-10-29,E04,D05,6040,SGD,488.32,,V0418,Accrued
GL0000151,2022-06-23,E04,D08,6060,SGD,1098.14,,,Posted
GL0000152,2022-10-01,E02,D05,7100,GBP,-686.47,,V0196,Posted
GL0000153,2024-12-30,E05,D07,7200,EUR,7034.54,,V0215,Posted
GL0000154,2024-10-28,E02,D02,6060,GBP,1080.39,,V0499,Accrued
GL0000155,2023-05-20,E04,D10,6060,SGD,9378.89,,,Posted
GL0000156,2022-09-07,E01,D01,6110,AUD,4005.96,,V0472,Posted
GL0000157,2024-05-07,E03,D02,7000,USD,416.22,,V0183,Posted
GL0000158,2026-06-14,E01,D10,6020,AUD,598.7,,V0058,Posted
GL0000159,2025-11-20,E06,D08,6030,CAD,1605.93,,,Posted
GL0000160,2024-01-21,E04,D10,6090,SGD,190.97,,,Posted
GL0000161,2024-06-24,E05,D09,7000,EUR,914.16,,V0023,Posted
GL0000162,2022-08-02,E01,D04,6060,AUD,1387.82,,V0229,Posted
GL0000163,2022-02-22,E03,D03,6030,USD,6527.78,,V0338,Accrued
GL0000164,2023-02-04,E06,D06,6100,CAD,271.87,,,Accrued
GL0000165,2023-04-15,E05,D10,4010,EUR,-2167.99,C00148,,Posted
GL0000166,2026-04-02,E05,D09,6060,EUR,7618.09,,,Posted
GL0000167,2024-01-11,E05,D01,6000,EUR,381.63,,,Posted
GL0000168,2024-06-07,E05,D04,6070,EUR,4056.03,,,Posted
GL0000169,2022-12-16,E04,D04,6080,SGD,981.18,,V0363,Posted
GL0000170,2025-10-03,E01,D04,6050,AUD,819.51,,,Accrued
GL0000171,2025-11-18,E02,D02,6070,GBP,155.78,,V0253,Accrued
GL0000172,2023-08-29,E06,D07,6020,CAD,535.78,,,Accrued
GL0000173,2022-10-19,E01,D01,7200,AUD,260.48,,V0404,Posted
GL0000174,2022-05-01,E05,D04,7100,EUR,-1174.87,,,Posted
GL0000175,2023-11-17,E03,D01,4020,USD,-8810.02,C00745,,Posted
GL0000176,2023-11-06,E06,D06,7200,CAD,4100.69,,V0237,Posted
GL0000177,2024-01-08,E06,D10,4000,CAD,-4720.61,C01068,,Posted
GL0000178,2026-08-24,E06,D09,7200,CAD,407.28,,V0071,Posted
GL0000179,2024-01-10,E05,D01,6030,EUR,3100.37,,,Posted
GL0000180,2024-09-01,E03,D09,4000,USD,-6042.8,C00941,,Posted
GL0000181,2025-10-02,E04,D05,6080,SGD,2797.5,,,Posted
GL0000182,2024-11-17,E03,D08,5000,USD,2459.56,,,Posted
GL0000183,2024-11-05,E02,D09,6010,GBP,1310.74,,V0431,Posted
GL0000184,2025-05-27,E04,D09,6100,SGD,4010.6,,V0375,Accrued
GL0000185,2026-06-27,E02,D10,6070,GBP,316.2,,V0409,Posted
GL0000186,2025-05-12,E04,D08,6020,SGD,387.07,,V0415,Posted
GL0000187,2024-03-24,E02,D03,6090,GBP,590.27,,,Posted
GL0000188,2024-02-02,E04,D10,6030,SGD,337.14,,V0235,Accrued
GL0000189,2025-12-01,E06,D04,6030,CAD,695.38,,,Posted
GL0000190,2025-10-14,E03,D03,4020,USD,-5189.25,C00550,,Posted
GL0000191,2025-09-04,E05,D05,6060,EUR,848.51,,,Posted
GL0000192,2024-07-30,E01,D04,6080,AUD,242.76,,V0257,Posted
GL0000193,2024-03-19,E02,D07,4020,GBP,-2893.73,C00409,,Posted
GL0000194,2025-06-28,E05,D08,5010,EUR,3011.92,,V0443,Posted
GL0000195,2024-10-16,E03,D04,7200,USD,1002.59,,V0411,Posted
GL0000196,2026-07-12,E01,D02,4000,AUD,-6428.62,C00163,,Posted
GL0000197,2024-06-08,E06,D03,6010,CAD,846.05,,V0351,Posted
GL0000198,2022-12-03,E02,D04,6080,GBP,1202.26,,,Posted
GL0000199,2026-07-30,E02,D08,6100,GBP,2064.87,,V0273,Posted
GL0000200,2025-11-04,E01,D01,6040,AUD,2541.84,,V0256,Accrued
GL0000201,2022-09-30,E03,D10,6030,USD,1842.83,,,Accrued
GL0000202,2025-06-18,E06,D05,7000,CAD,553.88,,V0333,Posted
GL0000203,2023-05-15,E06,D03,7100,CAD,770.4,,V0170,Posted
GL0000204,2024-02-23,E04,D02,4000,SGD,-2600.92,,,Posted
GL0000205,2024-06-09,E05,D04,6090,EUR,3232.4,,,Posted
GL0000206,2024-07-18,E03,D02,7200,USD,1018.76,,,Posted
GL0000207,2026-02-24,E01,D08,5000,AUD,7813.68,,V0324,Posted
GL0000208,2022-05-31,E02,D03,6030,GBP,772.67,,V0135,Accrued
GL0000209,2024-03-08,E03,D07,6110,USD,1279.62,,,Accrued
GL0000210,2024-09-05,E03,D03,6020,USD,383.13,,V0081,Posted
GL0000211,2026-04-29,E03,D05,5010,USD,3847.87,,V0471,Posted
GL0000212,2025-07-25,E05,D04,6060,EUR,563.93,,,Accrued
GL0000213,2022-12-23,E06,D09,6030,CAD,1414.44,,V0218,Posted
GL0000214,2023-07-09,E03,D03,4000,USD,-2265.37,C01174,,Posted
GL0000215,2024-04-30,E03,D09,6070,USD,1249.73,,V0406,Posted
GL0000216,2026-04-03,E02,D09,6060,GBP,2113.31,,V0273,Accrued
GL0000217,2024-07-23,E04,D07,6080,SGD,565.09,,,Accrued
GL0000218,2025-08-27,E02,D07,6000,GBP,5206.19,,V0089,Posted
GL0000219,2025-01-25,E02,D06,6040,GBP,5697.04,,V0134,Posted
GL0000220,2025-12-07,E02,D08,6090,GBP,1427.66,,V0192,Posted
GL0000221,2026-01-03,E05,D04,4010,EUR,-2672.88,,,Posted
GL0000222,2024-01-21,E04,D10,4020,SGD,-2556.99,C00501,,Posted
GL0000223,2025-04-25,E03,D01,6080,USD,173.3,,V0421,Posted
GL0000224,2026-05-13,E03,D08,6040,USD,3410.91,,V0184,Posted
GL0000225,2023-06-06,E05,D10,6100,EUR,3812.71,,,Accrued
GL0000226,2022-10-26,E02,D08,6110,GBP,336.8,,,Posted
GL0000227,2023-08-30,E01,D04,6020,AUD,789.28,,V0275,Posted
GL0000228,2023-12-15,E01,D08,7100,AUD,-945.72,,V0383,Posted
GL0000229,2024-10-08,E02,D08,6090,GBP,2788.32,,V0113,Posted
GL0000230,2023-12-06,E02,D08,6080,GBP,2375.82,,,Posted
GL0000231,2026-05-31,E01,D09,4000,AUD,-5995.71,C00591,,Posted
GL0000232,2022-07-20,E01,D03,6050,AUD,1239.13,,V0093,Posted
GL0000233,2024-04-15,E01,D04,6090,AUD,511.27,,,Posted
GL0000234,2025-09-05,E01,D10,5100,AUD,2636.22,,,Accrued
GL0000235,2025-08-04,E06,D01,6090,CAD,1418.6,,V0130,Posted
GL0000236,2024-01-06,E05,D01,6010,EUR,747.75,,V0395,Posted
GL0000237,2023-03-01,E04,D01,7100,SGD,3260.63,,,Posted
GL0000238,2026-04-08,E04,D08,6100,SGD,341.28,,,Posted
GL0000239,2025-12-01,E03,D01,7100,USD,-321.91,,,Posted
GL0000240,2022-05-25,E04,D03,6100,SGD,412.23,,V0036,Accrued
GL0000241,2023-05-08,E05,D07,6050,EUR,1990.12,,V0385,Accrued
GL0000242,2025-09-13,E01,D07,6030,AUD,173.64,,V0171,Accrued
GL0000243,2023-07-11,E03,D01,4010,USD,-6410.64,C01399,,Posted
GL0000244,2023-01-19,E05,D04,6030,EUR,2575.3,,,Posted
GL0000245,2022-08-27,E02,D01,4010,GBP,-963.46,C01315,,Accrued
GL0000246,2025-09-30,E01,D09,6020,AUD,587.87,,,Posted
GL0000247,2022-11-29,E05,D03,6100,EUR,1169.07,,,Accrued
GL0000248,2022-10-25,E06,D07,4000,CAD,-3348.41,C01336,,Posted
GL0000249,2024-10-26,E04,D02,6080,SGD,284.93,,,Posted
GL0000250,2022-03-09,E04,D03,5010,SGD,2061.97,,,Posted
GL0000251,2024-04-28,E04,D09,4020,SGD,-5455.22,C00337,,Posted
GL0000252,2024-01-07,E03,D03,4000,USD,-1657.2,C00925,,Posted
GL0000253,2024-02-03,E01,D06,6000,AUD,2118.68,,,Posted
GL0000254,2023-09-12,E01,D08,6060,AUD,1200.21,,,Posted
GL0000255,2025-01-28,E02,D09,7200,GBP,4585.02,,,Posted
GL0000256,2025-03-17,E04,D01,6060,SGD,2857.29,,V0456,Accrued
GL0000257,2025-01-12,E01,D06,6080,AUD,3834.16,,,Accrued
GL0000258,2026-04-30,E02,D09,6100,GBP,602.83,,,Posted
GL0000259,2023-03-05,E03,D10,4020,USD,-6477.13,C00063,,Posted
GL0000260,2026-07-22,E06,D01,6100,CAD,2952.89,,V0187,Posted
GL0000261,2025-04-23,E03,D02,6030,USD,2087.17,,V0244,Posted
GL0000262,2023-06-29,E02,D10,4000,GBP,-711.39,C01149,,Posted
GL0000263,2023-06-19,E01,D04,6090,AUD,739.14,,,Posted
GL0000264,2023-11-16,E06,D06,6080,CAD,1201.82,,V0233,Posted
GL0000265,2024-09-06,E02,D05,6110,GBP,4678.81,,V0234,Accrued
GL0000266,2024-08-03,E06,D04,4020,CAD,-1114.1,C00512,,Posted
GL0000267,2023-11-11,E01,D03,6080,AUD,2466.14,,,Posted
GL0000268,2024-10-18,E04,D04,6050,SGD,1633.38,,,Posted
GL0000269,2023-06-25,E02,D05,6010,GBP,3362.89,,V0131,Posted
GL0000270,2023-07-26,E04,D04,6000,SGD,311.55,,,Accrued
GL0000271,2023-12-18,E04,D05,5100,SGD,1270.72,,,Posted
GL0000272,2023-11-13,E06,D01,6000,CAD,387.55,,,Posted
GL0000273,2023-08-03,E05,D10,6100,EUR,1298.47,,V0258,Posted
GL0000274,2022-11-02,E01,D05,7200,AUD,1671.96,,V0407,Accrued
GL0000275,2023-12-30,E03,D08,7200,USD,909.93,,,Accrued
GL0000276,2025-12-02,E06,D01,6060,CAD,316.28,,,Posted
GL0000277,2022-08-14,E05,D10,5000,EUR,2756.66,,,Posted
GL0000278,2023-01-21,E02,D03,6010,GBP,291.62,,V0414,Accrued
GL0000279,2025-10-07,E01,D02,7000,AUD,395.4,,V0196,Posted
GL0000280,2024-11-15,E02,D03,6030,GBP,1305.49,,V0095,Posted
GL0000281,2024-03-22,E05,D02,6030,EUR,924.3,,V0043,Posted
GL0000282,2024-01-09,E03,D04,6090,USD,821.27,,,Posted
GL0000283,2023-08-12,E05,D04,5010,EUR,2809.75,,V0371,Posted
GL0000284,2026-02-11,E02,D02,6070,GBP,1445.27,,,Posted
GL0000285,2023-04-03,E02,D01,7000,GBP,665.88,,V0350,Posted
GL0000286,2024-07-05,E05,D05,5100,EUR,1164.9,,,Posted
GL0000287,2023-12-13,E06,D08,4000,CAD,-2575.22,C01239,,Posted
GL0000288,2025-08-28,E06,D06,6010,CAD,594.94,,,Accrued
GL0000289,2025-06-18,E06,D05,6000,CAD,2662.83,,V0251,Accrued
GL0000290,2024-01-03,E03,D10,7000,USD,2279.98,,V0199,Posted
GL0000291,2023-10-04,E04,D02,4020,SGD,-1009.67,C00442,,Accrued
GL0000292,2024-05-10,E04,D08,4010,SGD,-6529.52,C00621,,Posted
GL0000293,2024-05-20,E06,D03,7100,CAD,244.91,,,Posted
GL0000294,2025-10-25,E05,D07,6010,EUR,582.59,,V0053,Posted
GL0000295,2026-05-29,E02,D10,7000,GBP,2674.17,,V0271,Accrued
GL0000296,2022-04-04,E06,D04,6070,CAD,880.36,,,Posted
GL0000297,2025-07-28,E01,D08,5000,AUD,5692.75,,,Accrued
GL0000298,2023-05-23,E06,D01,7000,CAD,766.9,,,Posted
GL0000299,2026-04-09,E02,D07,7000,GBP,1457.77,,V0373,Posted
GL0000300,2025-02-06,E06,D05,7100,CAD,-1225.73,,V0100,Posted
GL0000301,2022-04-18,E06,D04,7200,CAD,238.92,,V0042,Accrued
GL0000302,2023-05-26,E06,D10,6050,CAD,573.98,,V0125,Accrued
GL0000303,2022-03-19,E02,D02,6050,GBP,1078.41,,V0266,Posted
GL0000304,2024-08-05,E03,D02,6050,USD,775.31,,,Posted
GL0000305,2025-08-20,E04,D08,4010,SGD,-4226.75,C00140,,Posted
GL0000306,2024-09-16,E06,D07,6100,CAD,2094.59,,V0280,Posted
GL0000307,2025-09-04,E05,D10,4010,EUR,-2795.8,C01104,,Posted
GL0000308,2025-04-05,E01,D07,6100,AUD,2678.72,,V0024,Posted
GL0000309,2023-01-05,E02,D02,6020,GBP,2599.64,,,Accrued
GL0000310,2026-01-14,E03,D08,6010,USD,1642.85,,V0104,Posted
GL0000311,2022-02-20,E02,D07,6100,GBP,3213.67,,V0264,Posted
GL0000312,2024-12-27,E01,D10,6090,AUD,1733.16,,V0243,Posted
GL0000313,2023-09-21,E01,D02,6050,AUD,516.48,,V0085,Posted
GL0000314,2023-11-30,E06,D02,6020,CAD,1258.01,,,Posted
GL0000315,2026-03-22,E02,D02,6020,GBP,864.82,,V0288,Accrued
GL0000316,2025-10-18,E04,D03,4000,SGD,-19147.88,C00149,,Posted
GL0000317,2025-10-10,E04,D07,6000,SGD,176.62,,V0194,Posted
GL0000318,2023-10-29,E03,D05,6000,USD,1399.19,,,Accrued
GL0000319,2024-03-25,E06,D10,6030,CAD,222.14,,V0495,Posted
GL0000320,2024-03-12,E02,D10,6090,GBP,451.34,,,Posted
GL0000321,2025-12-13,E03,D06,4000,USD,-1819.74,,,Posted
GL0000322,2025-12-15,E01,D07,4010,AUD,-6711.47,C01112,,Posted
GL0000323,2025-11-20,E06,D02,4020,CAD,-1802.95,C01022,,Posted
GL0000324,2026-04-01,E05,D02,6060,EUR,1860.6,,V0123,Posted
GL0000325,2025-07-17,E04,D09,6060,SGD,2046.01,,V0390,Posted
GL0000326,2025-03-07,E02,D01,6040,GBP,1807.94,,V0338,Posted
GL0000327,2022-03-25,E01,D07,4010,AUD,-5635.12,C00658,,Posted
GL0000328,2022-06-11,E05,D06,6030,EUR,7772.96,,V0239,Accrued
GL0000329,2023-06-04,E05,D03,6050,EUR,579.97,,,Posted
GL0000330,2025-12-13,E04,D04,4000,SGD,-6094.87,C00649,,Posted
GL0000331,2025-08-12,E04,D08,7000,SGD,1426.91,,V0451,Posted
GL0000332,2025-01-19,E03,D07,6060,USD,2014.09,,V0249,Posted
GL0000333,2024-07-14,E06,D01,4010,CAD,-1828.94,C01025,,Posted
GL0000334,2024-08-29,E02,D09,6040,GBP,311.41,,,Posted
GL0000335,2026-07-25,E06,D04,6040,CAD,1078.45,,V0322,Accrued
GL0000336,2023-03-22,E03,D06,6030,USD,952.5,,,Posted
GL0000337,2026-05-05,E02,D08,6100,GBP,1401.38,,,Posted
GL0000338,2022-09-22,E04,D07,6010,SGD,1183.1,,,Posted
GL0000339,2023-08-10,E06,D01,6110,CAD,3080.99,,V0149,Posted
GL0000340,2024-08-21,E06,D03,6030,CAD,1774.69,,,Posted
GL0000341,2022-09-04,E02,D05,7200,GBP,639.79,,,Posted
GL0000342,2026-02-11,E01,D02,6090,AUD,2706.96,,,Posted
GL0000343,2024-08-18,E03,D05,6070,USD,1918.35,,,Accrued
GL0000344,2023-03-06,E01,D06,7000,AUD,846.92,,,Posted
GL0000345,2024-05-10,E06,D08,5100,CAD,541.04,,,Accrued
GL0000346,2025-10-08,E03,D02,6070,USD,355.84,,V0156,Accrued
GL0000347,2023-12-18,E03,D02,4020,USD,-863.15,C01140,,Accrued
GL0000348,2025-03-19,E06,D01,7200,CAD,942.19,,,Accrued
GL0000349,2025-02-18,E04,D01,6010,SGD,1817.08,,V0021,Posted
GL0000350,2022-06-19,E02,D05,6050,GBP,1755.83,,V0444,Posted
GL0000351,2025-11-19,E06,D03,4010,CAD,-6450.36,C01495,,Posted
GL0000352,2022-06-27,E01,D06,7100,AUD,-6210.74,,,Posted
GL0000353,2023-08-11,E06,D01,6090,CAD,230.76,,V0074,Posted
GL0000354,2022-11-03,E05,D06,6030,EUR,3125.92,,,Posted
GL0000355,2026-03-02,E04,D06,6000,SGD,157.77,,V0433,Posted
GL0000356,2025-02-05,E02,D04,6090,GBP,3323.14,,V0067,Posted
GL0000357,2022-12-17,E05,D01,6030,EUR,1551.13,,,Posted
GL0000358,2025-04-20,E02,D06,6090,GBP,424.71,,,Posted
