CustomerID,CustomerName,Industry,Country,Segment
C00060,Customer 00060,Healthcare,Germany,SMB
C00061,Customer 00061,Education,Singapore,Mid-Market
C00062,Customer 00062,Manufacturing,Canada,Mid-Market
C00063,Customer 00063,Manufacturing,Canada,Enterprise
C00064,Customer 00064,Professional Services,Singapore,Mid-Market
C00065,Customer 00065,Technology,Canada,Mid-Market
C00066,Customer 00066,Construction,United Kingdom,Enterprise
C00067,Customer 00067,Healthcare,United Kingdom,SMB
C00068,Customer 00068,Professional Services,Canada,Enterprise
C00069,Customer 00069,Healthcare,Canada,Enterprise
C00070,Customer 00070,Retail,Canada,SMB
C00071,Customer 00071,Professional Services,Singapore,Mid-Market
C00072,Customer 00072,Technology,Canada,SMB
C00073,Customer 00073,Healthcare,Canada,SMB
C00074,Customer 00074,Technology,Australia,Mid-Market
C00075,Customer 00075,Education,Singapore,Mid-Market
C00076,Customer 00076,Healthcare,Singapore,Mid-Market
C00077,Customer 00077,Healthcare,Canada,SMB
C00078,Customer 00078,Education,Canada,Enterprise
C00079,Customer 00079,Manufacturing,United States,Mid-Market
C00080,Customer 00080,Construction,Singapore,SMB
C00081,Customer 00081,Education,United States,Mid-Market
C00082,Customer 00082,Retail,Canada,SMB
C00083,Customer 00083,Manufacturing,Canada,Enterprise
C00084,Customer 00084,Manufacturing,Singapore,SMB
C00085,Customer 00085,Education,Canada,SMB
C00086,Customer 00086,Technology,Singapore,Enterprise
C00087,Customer 00087,Construction,Singapore,Mid-Market
C00088,Customer 00088,Manufacturing,United Kingdom,SMB
C00089,Customer 00089,Technology,Australia,Mid-Market
C00090,Customer 00090,Manufacturing,Australia,Mid-Market
C00091,Customer 00091,Construction,Germany,SMB
C00092,Customer 00092,Professional Services,Canada,Enterprise
C00093,Customer 00093,Professional Services,Singapore,Enterprise
C00094,Customer 00094,Construction,United States,Mid-Market
C00095,Customer 00095,Technology,United States,SMB
C00096,Customer 00096,Manufacturing,Australia,Mid-Market
C00097,Customer 00097,Education,Germany,Mid-Market
C00098,Customer 00098,Construction,Singapore,SMB
C00099,Customer 00099,Retail,Germany,Enterprise
C00100,Customer 00100,Technology,United Kingdom,Mid-Market
C00101,Customer 00101,Technology,Canada,Mid-Market
C00102,Customer 00102,Education,Germany,SMB
C00103,Customer 00103,Manufacturing,Singapore,Mid-Market
C00104,Customer 00104,Education,Australia,Mid-Market
C00105,Customer 00105,Professional Services,United Kingdom,Mid-Market
C00106,Customer 00106,Retail,United States,Mid-Market
C00107,Customer 00107,Manufacturing,Australia,Enterprise
C00108,Customer 00108,Education,Canada,Mid-Market
C00109,Customer 00109,Construction,Canada,Enterprise
C00110,Customer 00110,Technology,Germany,SMB
C00111,Customer 00111,Education,United States,SMB
C00112,Customer 00112,Education,United Kingdom,Enterprise
C00113,Customer 00113,Technology,Germany,Enterprise
C00114,Customer 00114,Manufacturing,United Kingdom,Enterprise
C00115,Customer 00115,Education,Germany,SMB
C00116,Customer 00116,Construction,United States,Enterprise
C00117,Customer 00117,Retail,United States,SMB
C00118,Customer 00118,Construction,United States,SMB
C00119,Customer 00119,Construction,United States,Enterprise
C00120,Customer 00120,Education,Singapore,SMB
C00121,Customer 00121,Construction,Singapore,Enterprise
C00122,Customer 00122,Professional Services,Germany,SMB
C00123,Customer 00123,Construction,Singapore,Enterprise
C00124,Customer 00124,Manufacturing,Canada,Mid-Market
C00125,Customer 00125,Professional Services,Germany,Mid-Market
C00126,Customer 00126,Professional Services,Singapore,Mid-Market
C00127,Customer 00127,Education,Canada,SMB
C00128,Customer 00128,Education,United Kingdom,Mid-Market
C00129,Customer 00129,Retail,United Kingdom,Mid-Market
C00130,Customer 00130,Manufacturing,Canada,SMB
C00131,Customer 00131,Healthcare,Australia,Mid-Market
C00132,Customer 00132,Healthcare,Canada,SMB
C00133,Customer 00133,Technology,United States,Enterprise
C00134,Customer 00134,Manufacturing,Australia,Mid-Market
C00135,Customer 00135,Technology,United States,Mid-Market
C00136,Customer 00136,Technology,United States,SMB
C00137,Customer 00137,Retail,Germany,SMB
C00138,Customer 00138,Technology,United Kingdom,SMB
C00139,Customer 00139,Healthcare,Australia,SMB
C00140,Customer 00140,Education,United Kingdom,Enterprise
C00141,Customer 00141,Retail,Singapore,SMB
C00142,Customer 00142,Construction,Canada,Enterprise
C00143,Customer 00143,Construction,Singapore,SMB
C00144,Customer 00144,Professional Services,Germany,Mid-Market
C00145,Customer 00145,Professional Services,Canada,SMB
C00146,Customer 00146,Healthcare,Singapore,Enterprise
C00147,Customer 00147,Manufacturing,Singapore,Mid-Market
C00148,Customer 00148,Education,Australia,Enterprise
C00149,Customer 00149,Education,Singapore,Enterprise
C00150,Customer 00150,Technology,Australia,Enterprise
C00151,Customer 00151,Retail,United States,SMB
C00152,Customer 00152,Healthcare,Singapore,SMB
C00153,Customer 00153,Technology,United States,SMB
C00154,Customer 00154,Professional Services,Canada,Mid-Market
C00155,Customer 00155,Manufacturing,United States,SMB
C00156,Customer 00156,Education,Singapore,SMB
C00157,Customer 00157,Retail,Germany,SMB
C00158,Customer 00158,Professional Services,United States,SMB
C00159,Customer 00159,Education,Australia,Enterprise
C00160,Customer 00160,Technology,Singapore,SMB
C00161,Customer 00161,Technology,Australia,Mid-Market
C00162,Customer 00162,Education,United States,Mid-Market
C00163,Customer 00163,Retail,United States,Mid-Market
C00164,Customer 00164,Manufacturing,United States,Mid-Market
C00165,Customer 00165,Construction,United States,SMB
C00166,Customer 00166,Manufacturing,Canada,Mid-Market
C00167,Customer 00167,Technology,Australia,SMB
C00168,Customer 00168,Education,United States,Enterprise
C00169,Customer 00169,Construction,United Kingdom,Enterprise
C00170,Customer 00170,Construction,Germany,SMB
C00171,Customer 00171,Manufacturing,United Kingdom,Mid-Market
C00172,Customer 00172,Retail,United States,SMB
C00173,Customer 00173,Education,Germany,Mid-Market
C00174,Customer 00174,Professional Services,United Kingdom,Enterprise
C00175,Customer 00175,Manufacturing,Canada,Enterprise
C00176,Customer 00176,Retail,Canada,SMB
C00177,Customer 00177,Professional Services,Canada,Enterprise
C00178,Customer 00178,Construction,Singapore,SMB
C00179,Customer 00179,Construction,Germany,Enterprise
C00180,Customer 00180,Healthcare,Canada,Enterprise
C00181,Customer 00181,Professional Services,Singapore,Mid-Market
C00182,Customer 00182,Retail,Singapore,SMB
C00183,Customer 00183,Healthcare,Australia,Enterprise
C00184,Customer 00184,Education,Australia,Mid-Market
C00185,Customer 00185,Healthcare,Canada,Mid-Market
C00186,Customer 00186,Manufacturing,Germany,Enterprise
C00187,Customer 00187,Healthcare,United Kingdom,SMB
C00188,Customer 00188,Technology,United Kingdom,Enterprise
C00189,Customer 00189,Retail,Australia,Enterprise
C00190,Customer 00190,Retail,United Kingdom,SMB
C00191,Customer 00191,Retail,United States,Mid-Market
C00192,Customer 00192,Construction,United Kingdom,SMB
C00193,Customer 00193,Education,Canada,Mid-Market
C00194,Customer 00194,Retail,Germany,SMB
C00195,Customer 00195,Education,Australia,Mid-Market
C00196,Customer 00196,Retail,Australia,SMB
C00197,Customer 00197,Manufacturing,Australia,SMB
C00198,Customer 00198,Technology,Australia,Enterprise
C00199,Customer 00199,Healthcare,United States,Mid-Market
C00200,Customer 00200,Retail,United Kingdom,Enterprise
C00201,Customer 00201,Manufacturing,United Kingdom,Mid-Market
C00202,Customer 00202,Technology,United Kingdom,SMB
C00203,Customer 00203,Technology,United Kingdom,Enterprise
C00204,Customer 00204,Professional Services,United States,Enterprise
C00205,Customer 00205,Manufacturing,Canada,Mid-Market
C00206,Customer 00206,Healthcare,United States,Enterprise
C00207,Customer 00207,Healthcare,Australia,SMB
C00208,Customer 00208,Professional Services,Australia,Enterprise
C00209,Customer 00209,Healthcare,Australia,SMB
C00210,Customer 00210,Professional Services,Canada,Enterprise
C00211,Customer 00211,Healthcare,United States,Mid-Market
C00212,Customer 00212,Manufacturing,United States,Mid-Market
C00213,Customer 00213,Healthcare,United States,Enterprise
C00214,Customer 00214,Manufacturing,Singapore,Enterprise
C00215,Customer 00215,Retail,Singapore,Mid-Market
C00216,Customer 00216,Healthcare,Singapore,Mid-Market
C00217,Customer 00217,Healthcare,Australia,Enterprise
C00218,Customer 00218,Retail,United Kingdom,SMB
C00219,Customer 00219,Professional Services,Germany,SMB
C00220,Customer 00220,Technology,Singapore,Enterprise
C00221,Customer 00221,Professional Services,Germany,SMB
C00222,Customer 00222,Professional Services,United Kingdom,Mid-Market
C00223,Customer 00223,Construction,Singapore,Mid-Market
C00224,Customer 00224,Construction,Germany,SMB
C00225,Customer 00225,Technology,Singapore,SMB
C00226,Customer 00226,Technology,United Kingdom,Mid-Market
C00227,Customer 00227,Healthcare,Germany,Enterprise
C00228,Customer 00228,Healthcare,Australia,Enterprise
C00229,Customer 00229,Retail,Germany,Enterprise
C00230,Customer 00230,Education,Germany,Mid-Market
C00231,Customer 00231,Healthcare,United Kingdom,Enterprise
C00232,Customer 00232,Technology,Germany,Mid-Market
C00233,Customer 00233,Healthcare,Canada,Mid-Market
C00234,Customer 00234,Healthcare,Germany,Mid-Market
C00235,Customer 00235,Technology,Germany,Enterprise
C00236,Customer 00236,Healthcare,United States,Enterprise
C00237,Customer 00237,Manufacturing,Australia,SMB
C00238,Customer 00238,Retail,Australia,SMB
C00239,Customer 00239,Education,Germany,Mid-Market
C00240,Customer 00240,Professional Services,Singapore,Mid-Market
C00241,Customer 00241,Professional Services,Germany,Mid-Market
C00242,Customer 00242,Retail,Canada,Mid-Market
C00243,Customer 00243,Manufacturing,Australia,Enterprise
C00244,Customer 00244,Construction,Germany,SMB
C00245,Customer 00245,Education,Canada,SMB
C00246,Customer 00246,Manufacturing,Singapore,SMB
C00247,Customer 00247,Technology,Singapore,SMB
C00248,Customer 00248,Technology,Australia,SMB
C00249,Customer 00249,Technology,Singapore,Mid-Market
C00250,Customer 00250,Healthcare,United Kingdom,Enterprise
C00251,Customer 00251,Construction,United Kingdom,Mid-Market
C00252,Customer 00252,Construction,United Kingdom,Mid-Market
C00253,Customer 00253,Healthcare,Canada,SMB
C00254,Customer 00254,Professional Services,Singapore,Enterprise
C00255,Customer 00255,Healthcare,United Kingdom,Mid-Market
C00256,Customer 00256,Manufacturing,Germany,SMB
C00257,Customer 00257,Professional Services,Singapore,Enterprise
C00258,Customer 00258,Construction,United Kingdom,SMB
C00259,Customer 00259,Manufacturing,Canada,Enterprise
C00260,Customer 00260,Construction,United States,SMB
C00261,Customer 00261,Manufacturing,United States,Enterprise
C00262,Customer 00262,Retail,United States,SMB
C00263,Customer 00263,Technology,Canada,Enterprise
C00264,Customer 00264,Technology,United States,SMB
C00265,Customer 00265,Education,Singapore,SMB
C00266,Customer 00266,Technology,Singapore,SMB
C00267,Customer 00267,Manufacturing,United States,Enterprise
C00268,Customer 00268,Manufacturing,United Kingdom,Mid-Market
C00269,Customer 00269,Retail,United States,Enterprise
C00270,Customer 00270,Healthcare,United States,Enterprise
C00271,Customer 00271,Retail,Germany,Enterprise
C00272,Customer 00272,Manufacturing,Australia,SMB
C00273,Customer 00273,Professional Services,Canada,Mid-Market
C00274,Customer 00274,Technology,United Kingdom,Mid-Market
C00275,Customer 00275,Healthcare,United Kingdom,SMB
C00276,Customer 00276,Construction,Canada,Enterprise
C00277,Customer 00277,Manufacturing,Germany,Mid-Market
C00278,Customer 00278,Professional Services,United Kingdom,Mid-Market
C00279,Customer 00279,Manufacturing,Singapore,Mid-Market
C00280,Customer 00280,Retail,Germany,Enterprise
C00281,Customer 00281,Manufacturing,Australia,Enterprise
C00282,Customer 00282,Education,Singapore,Enterprise
C00283,Customer 00283,Healthcare,United States,SMB
C00284,Customer 00284,Professional Services,Australia,Enterprise
C00285,Customer 00285,Construction,Australia,Mid-Market
C00286,Customer 00286,Manufacturing,Australia,Mid-Market
C00287,Customer 00287,Technology,United States,Mid-Market
C00288,Customer 00288,Manufacturing,United States,Mid-Market
C00289,Customer 00289,Technology,Australia,Enterprise
C00290,Customer 00290,Construction,Singapore,Enterprise
C00291,Customer 00291,Education,Germany,Mid-Market
C00292,Customer 00292,Professional Services,United States,Mid-Market
C00293,Customer 00293,Manufacturing,Canada,SMB
C00294,Customer 00294,Retail,United Kingdom,Mid-Market
C00295,Customer 00295,Retail,United Kingdom,Enterprise
C00296,Customer 00296,Professional Services,United Kingdom,SMB
C00297,Customer 00297,Construction,United Kingdom,Enterprise
C00298,Customer 00298,Retail,United Kingdom,Enterprise
C00299,Customer 00299,Construction,Singapore,Mid-Market
C00300,Customer 00300,Technology,United States,SMB
C00301,Customer 00301,Technology,United Kingdom,Mid-Market
C00302,Customer 00302,Healthcare,United States,SMB
C00303,Customer 00303,Technology,United States,Mid-Market
C00304,Customer 00304,Technology,United States,Enterprise
C00305,Customer 00305,Technology,Germany,Enterprise
C00306,Customer 00306,Manufacturing,United States,SMB
C00307,Customer 00307,Construction,United Kingdom,SMB
C00308,Customer 00308,Retail,United States,Mid-Market
C00309,Customer 00309,Retail,Singapore,Mid-Market
C00310,Customer 00310,Manufacturing,Singapore,Mid-Market
C00311,Customer 00311,Technology,United Kingdom,SMB
C00312,Customer 00312,Professional Services,Germany,Enterprise
C00313,Customer 00313,Technology,Canada,Enterprise
C00314,Customer 00314,Manufacturing,Australia,Mid-Market
C00315,Customer 00315,Healthcare,Canada,Mid-Market
C00316,Customer 00316,Education,Canada,Mid-Market
C00317,Customer 00317,Retail,Canada,SMB
C00318,Customer 00318,Technology,Germany,Mid-Market
C00319,Customer 00319,Healthcare,Singapore,SMB
C00320,Customer 00320,Technology,Singapore,Enterprise
C00321,Customer 00321,Retail,Australia,Mid-Market
C00322,Customer 00322,Retail,Germany,SMB
C00323,Customer 00323,Professional Services,Singapore,Enterprise
C00324,Customer 00324,Retail,United States,Mid-Market
C00325,Customer 00325,Education,Singapore,SMB
C00326,Customer 00326,Manufacturing,Canada,Mid-Market
C00327,Customer 00327,Construction,Australia,SMB
C00328,Customer 00328,Education,Singapore,Enterprise
C00329,Customer 00329,Manufacturing,United Kingdom,SMB
C00330,Customer 00330,Professional Services,Canada,SMB
C00331,Customer 00331,Technology,Singapore,Enterprise
C00332,Customer 00332,Manufacturing,Australia,Mid-Market
C00333,Customer 00333,Manufacturing,United States,Enterprise
C00334,Customer 00334,Professional Services,United Kingdom,Mid-Market
C00335,Customer 00335,Construction,United Kingdom,Enterprise
C00336,Customer 00336,Education,Australia,Enterprise
C00337,Customer 00337,Healthcare,United Kingdom,Enterprise
C00338,Customer 00338,Technology,Singapore,Mid-Market
C00339,Customer 00339,Manufacturing,Singapore,Mid-Market
C00340,Customer 00340,Education,United States,Mid-Market
C00341,Customer 00341,Healthcare,Germany,Mid-Market
C00342,Customer 00342,Healthcare,United Kingdom,SMB
C00343,Customer 00343,Manufacturing,Singapore,Mid-Market
C00344,Customer 00344,Professional Services,Singapore,Enterprise
C00345,Customer 00345,Professional Services,United Kingdom,Enterprise
C00346,Customer 00346,Retail,United States,Mid-Market
C00347,Customer 00347,Retail,United Kingdom,Mid-Market
C00348,Customer 00348,Education,United States,Mid-Market
C00349,Customer 00349,Technology,Australia,Enterprise
C00350,Customer 00350,Retail,Singapore,Enterprise
C00351,Customer 00351,Manufacturing,Australia,SMB
C00352,Customer 00352,Education,Singapore,SMB
C00353,Customer 00353,Technology,Germany,Enterprise
C00354,Customer 00354,Construction,United Kingdom,Enterprise
C00355,Customer 00355,Manufacturing,Canada,Mid-Market
C00356,Customer 00356,Manufacturing,United States,SMB
C00357,Customer 00357,Professional Services,Canada,Enterprise
C00358,Customer 00358,Manufacturing,Australia,Mid-Market
C00359,Customer 00359,Manufacturing,United States,SMB
C00360,Customer 00360,Professional Services,Singapore,Mid-Market
C00361,Customer 00361,Technology,United Kingdom,Mid-Market
C00362,Customer 00362,Retail,Singapore,Mid-Market
C00363,Customer 00363,Construction,Canada,SMB
C00364,Customer 00364,Professional Services,Germany,Enterprise
C00365,Customer 00365,Manufacturing,United States,SMB
C00366,Customer 00366,Retail,United States,Enterprise
C00367,Customer 00367,Education,Germany,Enterprise
C00368,Customer 00368,Retail,Canada,Enterprise
C00369,Customer 00369,Healthcare,United States,Mid-Market
C00370,Customer 00370,Retail,Canada,SMB
C00371,Customer 00371,Healthcare,United Kingdom,SMB
C00372,Customer 00372,Construction,Singapore,Mid-Market
C00373,Customer 00373,Professional Services,Singapore,Enterprise
C00374,Customer 00374,Construction,United Kingdom,Mid-Market
C00375,Customer 00375,Retail,United States,Enterprise
C00376,Customer 00376,Retail,United States,Enterprise
C00377,Customer 00377,Manufacturing,Canada,Mid-Market
C00378,Customer 00378,Professional Services,Canada,Enterprise
C00379,Customer 00379,Technology,Germany,Mid-Market
C00380,Customer 00380,Manufacturing,Canada,Mid-Market
C00381,Customer 00381,Manufacturing,United Kingdom,Mid-Market
C00382,Customer 00382,Education,Germany,SMB
C00383,Customer 00383,Manufacturing,Canada,SMB
C00384,Customer 00384,Manufacturing,Germany,SMB
C00385,Customer 00385,Construction,Australia,Enterprise
C00386,Customer 00386,Construction,Germany,Enterprise
C00387,Customer 00387,Construction,Australia,Mid-Market
C00388,Customer 00388,Healthcare,Canada,Enterprise
C00389,Customer 00389,Retail,Australia,Mid-Market
C00390,Customer 00390,Retail,United Kingdom,Enterprise
C00391,Customer 00391,Retail,United Kingdom,SMB
C00392,Customer 00392,Retail,United States,Enterprise
C00393,Customer 00393,Education,Canada,SMB
C00394,Customer 00394,Healthcare,United States,SMB
C00395,Customer 00395,Technology,Australia,Mid-Market
C00396,Customer 00396,Manufacturing,Canada,Enterprise
C00397,Customer 00397,Professional Services,Germany,Mid-Market
C00398,Customer 00398,Technology,Germany,Enterprise
C00399,Customer 00399,Technology,United Kingdom,Enterprise
C00400,Customer 00400,Professional Services,Australia,SMB
C00401,Customer 00401,Healthcare,United States,Mid-Market
C00402,Customer 00402,Education,Australia,Enterprise
C00403,Customer 00403,Construction,United States,Enterprise
C00404,Customer 00404,Healthcare,Singapore,Mid-Market
C00405,Customer 00405,Professional Services,Germany,SMB
C00406,Customer 00406,Education,United Kingdom,Enterprise
C00407,Customer 00407,Construction,Canada,SMB
C00408,Customer 00408,Retail,United Kingdom,SMB
C00409,Customer 00409,Construction,Singapore,Enterprise
C00410,Customer 00410,Construction,Singapore,Enterprise
C00411,Customer 00411,Construction,Australia,Enterprise
C00412,Customer 00412,Technology,Germany,SMB
C00413,Customer 00413,Healthcare,Australia,SMB
C00414,Customer 00414,Education,Australia,Mid-Market
C00415,Customer 00415,Healthcare,United Kingdom,Mid-Market
C00416,Customer 00416,Education,Germany,Enterprise
C00417,Customer 00417,Education,Australia,Mid-Market
C00418,Customer 00418,Education,Canada,SMB
C00419,Customer 00419,Construction,United States,Mid-Market
C00420,Customer 00420,Professional Services,United States,SMB
C00421,Customer 00421,Manufacturing,United Kingdom,SMB
C00422,Customer 00422,Construction,Singapore,SMB
C00423,Customer 00423,Construction,United Kingdom,Enterprise
C00424,Customer 00424,Healthcare,Australia,SMB
C00425,Customer 00425,Technology,United Kingdom,SMB
C00426,Customer 00426,Professional Services,Singapore,SMB
C00427,Customer 00427,Education,Singapore,SMB
C00428,Customer 00428,Healthcare,Singapore,SMB
C00429,Customer 00429,Healthcare,Australia,Mid-Market
C00430,Customer 00430,Manufacturing,Australia,Enterprise
C00431,Customer 00431,Technology,Canada,SMB
C00432,Customer 00432,Retail,United States,Mid-Market
C00433,Customer 00433,Education,United Kingdom,Enterprise
C00434,Customer 00434,Healthcare,United States,SMB
C00435,Customer 00435,Technology,Australia,Mid-Market
C00436,Customer 00436,Retail,United Kingdom,Mid-Market
C00437,Customer 00437,Education,United States,Enterprise
C00438,Customer 00438,Construction,Canada,Mid-Market
C00439,Customer 00439,Technology,Canada,Mid-Market
C00440,Customer 00440,Professional Services,Singapore,Enterprise
C00441,Customer 00441,Technology,Singapore,SMB
C00442,Customer 00442,Retail,United States,SMB
C00443,Customer 00443,Manufacturing,United States,Enterprise
C00444,Customer 00444,Technology,United Kingdom,Mid-Market
C00445,Customer 00445,Healthcare,Singapore,Mid-Market
C00446,Customer 00446,Healthcare,Singapore,Enterprise
C00447,Customer 00447,Healthcare,Canada,Mid-Market
C00448,Customer 00448,Retail,United Kingdom,Mid-Market
C00449,Customer 00449,Healthcare,Singapore,Enterprise
C00450,Customer 00450,Technology,Australia,Enterprise
C00451,Customer 00451,Healthcare,United States,SMB
C00452,Customer 00452,Construction,Germany,Enterprise
C00453,Customer 00453,Manufacturing,Australia,Enterprise
C00454,Customer 00454,Professional Services,Germany,Mid-Market
C00455,Customer 00455,Manufacturing,Canada,Mid-Market
C00456,Customer 00456,Manufacturing,Australia,SMB
C00457,Customer 00457,Professional Services,United States,Mid-Market
C00458,Customer 00458,Construction,Canada,Mid-Market
C00459,Customer 00459,Professional Services,Singapore,SMB
C00460,Customer 00460,Healthcare,Germany,SMB
C00461,Customer 00461,Construction,Canada,Enterprise
C00462,Customer 00462,Education,United Kingdom,Enterprise
C00463,Customer 00463,Construction,Canada,Mid-Market
C00464,Customer 00464,Construction,Australia,SMB
C00465,Customer 00465,Construction,United Kingdom,SMB
C00466,Customer 00466,Manufacturing,Singapore,SMB
C00467,Customer 00467,Manufacturing,Canada,Enterprise
C00468,Customer 00468,Construction,Australia,Enterprise
C00469,Customer 00469,Construction,Germany,Enterprise
C00470,Customer 00470,Technology,Canada,Enterprise
C00471,Customer 00471,Professional Services,Australia,SMB
C00472,Customer 00472,Technology,United States,SMB
C00473,Customer 00473,Construction,Canada,Mid-Market
C00474,Customer 00474,Healthcare,United States,SMB
C00475,Customer 00475,Retail,Canada,SMB
C00476,Customer 00476,Professional Services,United States,Mid-Market
C00477,Customer 00477,Professional Services,United States,SMB
C00478,Customer 00478,Technology,Australia,SMB
C00479,Customer 00479,Technology,Singapore,Mid-Market
C00480,Customer 00480,Healthcare,Singapore,Enterprise
C00481,Customer 00481,Manufacturing,United Kingdom,SMB
C00482,Customer 00482,Professional Services,Canada,Enterprise
C00483,Customer 00483,Technology,Germany,SMB
C00484,Customer 00484,Retail,Australia,Enterprise
C00485,Customer 00485,Manufacturing,United States,SMB
C00486,Customer 00486,Retail,United Kingdom,Enterprise
C00487,Customer 00487,Manufacturing,United States,SMB
C00488,Customer 00488,Construction,Australia,Mid-Market
C00489,Customer 00489,Manufacturing,United States,Mid-Market
C00490,Customer 00490,Technology,Singapore,SMB
C00491,Customer 00491,Construction,Singapore,SMB
C00492,Customer 00492,Professional Services,Singapore,SMB
C00493,Customer 00493,Healthcare,Australia,SMB
C00494,Customer 00494,Healthcare,United Kingdom,Enterprise
C00495,Customer 00495,Professional Services,United States,Enterprise
C00496,Customer 00496,Construction,Germany,Mid-Market
C00497,Customer 00497,Education,United Kingdom,SMB
C00498,Customer 00498,Education,Australia,Enterprise
C00499,Customer 00499,Education,Canada,SMB
C00500,Customer 00500,Manufacturing,Singapore,Enterprise
C00501,Customer 00501,Professional Services,United States,Enterprise
C00502,Customer 00502,Technology,United States,Enterprise
C00503,Customer 00503,Retail,United States,SMB
C00504,Customer 00504,Education,Germany,Mid-Market
C00505,Customer 00505,Technology,United States,Enterprise
C00506,Customer 00506,Healthcare,United States,SMB
C00507,Customer 00507,Technology,Germany,Enterprise
C00508,Customer 00508,Technology,Australia,Enterprise
C00509,Customer 00509,Education,Germany,Enterprise
C00510,Customer 00510,Manufacturing,Canada,Enterprise
C00511,Customer 00511,Technology,Singapore,Enterprise
C00512,Customer 00512,Education,United States,Mid-Market
C00513,Customer 00513,Construction,Canada,SMB
C00514,Customer 00514,Healthcare,United States,Enterprise
C00515,Customer 00515,Healthcare,Germany,SMB
C00516,Customer 00516,Professional Services,Australia,Mid-Market
C00517,Customer 00517,Education,United Kingdom,Enterprise
C00518,Customer 00518,Education,United States,Enterprise
C00519,Customer 00519,Education,Germany,Enterprise
C00520,Customer 00520,Construction,Singapore,Enterprise
C00521,Customer 00521,Professional Services,United Kingdom,SMB
C00522,Customer 00522,Retail,United Kingdom,Enterprise
C00523,Customer 00523,Professional Services,United States,Enterprise
C00524,Customer 00524,Construction,United Kingdom,Mid-Market
C00525,Customer 00525,Technology,Germany,Enterprise
C00526,Customer 00526,Construction,United Kingdom,Mid-Market
C00527,Customer 00527,Retail,United States,Enterprise
C00528,Customer 00528,Technology,Singapore,Mid-Market
C00529,Customer 00529,Technology,Australia,Mid-Market
C00530,Customer 00530,Manufacturing,Singapore,SMB
C00531,Customer 00531,Education,Canada,SMB
C00532,Customer 00532,Construction,Singapore,SMB
C00533,Customer 00533,Manufacturing,Australia,SMB
C00534,Customer 00534,Manufacturing,Australia,Enterprise
C00535,Customer 00535,Education,Singapore,Enterprise
