Date,Currency,AUDPerUnit
2022-02-02,USD,1.5124
2022-02-02,GBP,1.9298
2022-02-02,EUR,1.6624
2022-02-02,SGD,1.1581
2022-02-02,CAD,1.0926
2022-02-03,AUD,1.007
2022-02-03,USD,1.515
2022-02-03,GBP,1.8611
2022-02-03,EUR,1.5859
2022-02-03,SGD,1.1444
2022-02-03,CAD,1.1057
2022-02-04,AUD,0.9998
2022-02-04,USD,1.5401
2022-02-04,GBP,1.9215
2022-02-04,EUR,1.6721
2022-02-04,SGD,1.1344
2022-02-04,CAD,1.0963
2022-02-05,AUD,0.9924
2022-02-05,USD,1.4842
2022-02-05,GBP,1.9385
2022-02-05,EUR,1.6849
2022-02-05,SGD,1.1039
2022-02-05,CAD,1.0981
2022-02-06,AUD,0.9781
2022-02-06,USD,1.5377
2022-02-06,GBP,1.9489
2022-02-06,EUR,1.6352
2022-02-06,SGD,1.1271
2022-02-06,CAD,1.1372
2022-02-07,AUD,1.0006
2022-02-07,USD,1.5139
2022-02-07,GBP,1.9375
2022-02-07,EUR,1.6414
2022-02-07,SGD,1.1264
2022-02-07,CAD,1.1107
2022-02-08,AUD,1.0037
2022-02-08,USD,1.5218
2022-02-08,GBP,1.9449
2022-02-08,EUR,1.6607
2022-02-08,SGD,1.1388
2022-02-08,CAD,1.1052
2022-02-09,AUD,0.9674
2022-02-09,USD,1.5013
2022-02-09,GBP,1.9153
2022-02-09,EUR,1.6523
2022-02-09,SGD,1.1331
2022-02-09,CAD,1.102
2022-02-10,AUD,0.9753
2022-02-10,USD,1.4799
2022-02-10,GBP,1.9278
2022-02-10,EUR,1.6657
2022-02-10,SGD,1.1144
2022-02-10,CAD,1.1011
2022-02-11,AUD,0.9994
2022-02-11,USD,1.5748
2022-02-11,GBP,1.9021
2022-02-11,EUR,1.7134
2022-02-11,SGD,1.1448
2022-02-11,CAD,1.0624
2022-02-12,AUD,1.0086
2022-02-12,USD,1.5139
2022-02-12,GBP,1.8874
2022-02-12,EUR,1.6312
2022-02-12,SGD,1.1283
2022-02-12,CAD,1.0851
2022-02-13,AUD,1.0013
2022-02-13,USD,1.491
2022-02-13,GBP,1.92
2022-02-13,EUR,1.6368
2022-02-13,SGD,1.1518
2022-02-13,CAD,1.0852
2022-02-14,AUD,1.0132
2022-02-14,USD,1.5208
2022-02-14,GBP,1.9553
2022-02-14,EUR,1.7428
2022-02-14,SGD,1.1545
2022-02-14,CAD,1.0976
2022-02-15,AUD,1.0183
2022-02-15,USD,1.5345
2022-02-15,GBP,1.9074
2022-02-15,EUR,1.6348
2022-02-15,SGD,1.1352
2022-02-15,CAD,1.0832
2022-02-16,AUD,0.9907
2022-02-16,USD,1.5117
2022-02-16,GBP,1.8929
2022-02-16,EUR,1.6159
2022-02-16,SGD,1.1338
2022-02-16,CAD,1.0959
2022-02-17,AUD,1.0159
2022-02-17,USD,1.5158
2022-02-17,GBP,1.8696
2022-02-17,EUR,1.6471
2022-02-17,SGD,1.1045
2022-02-17,CAD,1.101
2022-02-18,AUD,1.0005
2022-02-18,USD,1.4949
2022-02-18,GBP,1.8808
2022-02-18,EUR,1.6646
2022-02-18,SGD,1.1251
2022-02-18,CAD,1.1006
2022-02-19,AUD,0.9912
2022-02-19,USD,1.517
2022-02-19,GBP,1.8832
2022-02-19,EUR,1.6221
2022-02-19,SGD,1.1555
2022-02-19,CAD,1.0946
2022-02-20,AUD,1.0344
2022-02-20,USD,1.5135
2022-02-20,GBP,1.9259
2022-02-20,EUR,1.6484
2022-02-20,SGD,1.1288
2022-02-20,CAD,1.1
2022-02-21,AUD,0.9849
2022-02-21,USD,1.5246
2022-02-21,GBP,1.894
2022-02-21,EUR,1.669
2022-02-21,SGD,1.1461
2022-02-21,CAD,1.1111
2022-02-22,AUD,0.9847
2022-02-22,USD,1.5403
2022-02-22,GBP,1.9195
2022-02-22,EUR,1.6624
2022-02-22,SGD,1.141
2022-02-22,CAD,1.139
2022-02-23,AUD,0.9783
2022-02-23,USD,1.5156
2022-02-23,GBP,1.8771
2022-02-23,EUR,1.6156
2022-02-23,SGD,1.1461
2022-02-23,CAD,1.1062
2022-02-24,AUD,0.987
2022-02-24,USD,1.5477
2022-02-24,GBP,1.8678
2022-02-24,EUR,1.6649
2022-02-24,SGD,1.1213
2022-02-24,CAD,1.1097
2022-02-25,AUD,1.0265
2022-02-25,USD,1.4995
2022-02-25,GBP,1.979
2022-02-25,EUR,1.6381
2022-02-25,SGD,1.1685
2022-02-25,CAD,1.0761
2022-02-26,AUD,1.0237
2022-02-26,USD,1.5154
2022-02-26,GBP,1.9202
2022-02-26,EUR,1.6393
2022-02-26,SGD,1.1205
2022-02-26,CAD,1.1257
2022-02-27,AUD,0.9951
2022-02-27,USD,1.5091
2022-02-27,GBP,1.9239
2022-02-27,EUR,1.6317
2022-02-27,SGD,1.1335
2022-02-27,CAD,1.0795
2022-02-28,AUD,0.9882
2022-02-28,USD,1.4895
2022-02-28,GBP,1.8836
2022-02-28,EUR,1.6061
2022-02-28,SGD,1.1321
2022-02-28,CAD,1.1204
2022-03-01,AUD,1.0156
2022-03-01,USD,1.486
2022-03-01,GBP,1.9098
2022-03-01,EUR,1.6082
2022-03-01,SGD,1.1282
2022-03-01,CAD,1.1092
2022-03-02,AUD,1.027
2022-03-02,USD,1.4993
2022-03-02,GBP,1.8802
2022-03-02,EUR,1.6427
2022-03-02,SGD,1.1123
2022-03-02,CAD,1.0965
2022-03-03,AUD,0.9808
2022-03-03,USD,1.52
2022-03-03,GBP,1.9203
2022-03-03,EUR,1.5961
2022-03-03,SGD,1.1306
2022-03-03,CAD,1.1157
2022-03-04,AUD,1.0075
2022-03-04,USD,1.4985
2022-03-04,GBP,1.9163
2022-03-04,EUR,1.6298
2022-03-04,SGD,1.1431
2022-03-04,CAD,1.1205
2022-03-05,AUD,1.0069
2022-03-05,USD,1.5023
2022-03-05,GBP,1.9184
2022-03-05,EUR,1.6422
2022-03-05,SGD,1.0994
2022-03-05,CAD,1.0749
2022-03-06,AUD,1.0143
2022-03-06,USD,1.5464
2022-03-06,GBP,1.9483
2022-03-06,EUR,1.6229
2022-03-06,SGD,1.1208
2022-03-06,CAD,1.0993
2022-03-07,AUD,1.0148
2022-03-07,USD,1.5099
2022-03-07,GBP,1.8752
2022-03-07,EUR,1.6312
2022-03-07,SGD,1.1157
2022-03-07,CAD,1.0758
2022-03-08,AUD,1.0071
2022-03-08,USD,1.5179
2022-03-08,GBP,1.9386
2022-03-08,EUR,1.6388
2022-03-08,SGD,1.1331
2022-03-08,CAD,1.0797
2022-03-09,AUD,1.0076
2022-03-09,USD,1.5246
2022-03-09,GBP,1.8877
2022-03-09,EUR,1.6491
2022-03-09,SGD,1.1492
2022-03-09,CAD,1.0814
2022-03-10,AUD,1.0116
2022-03-10,USD,1.503
2022-03-10,GBP,1.9322
2022-03-10,EUR,1.6652
2022-03-10,SGD,1.1244
2022-03-10,CAD,1.0943
2022-03-11,AUD,0.9995
2022-03-11,USD,1.5
2022-03-11,GBP,1.9051
2022-03-11,EUR,1.6341
2022-03-11,SGD,1.127
2022-03-11,CAD,1.0932
2022-03-12,AUD,1.018
2022-03-12,USD,1.5293
2022-03-12,GBP,1.9303
2022-03-12,EUR,1.6512
2022-03-12,SGD,1.172
2022-03-12,CAD,1.11
2022-03-13,AUD,1.0139
2022-03-13,USD,1.5306
2022-03-13,GBP,1.9192
2022-03-13,EUR,1.671
2022-03-13,SGD,1.1632
2022-03-13,CAD,1.1103
2022-03-14,AUD,0.9633
2022-03-14,USD,1.5188
2022-03-14,GBP,1.9232
2022-03-14,EUR,1.6092
2022-03-14,SGD,1.1286
2022-03-14,CAD,1.096
2022-03-15,AUD,0.9844
2022-03-15,USD,1.4633
2022-03-15,GBP,1.9997
2022-03-15,EUR,1.6023
2022-03-15,SGD,1.1298
2022-03-15,CAD,1.119
2022-03-16,AUD,1.0167
2022-03-16,USD,1.5021
2022-03-16,GBP,1.8898
2022-03-16,EUR,1.6285
2022-03-16,SGD,1.126
2022-03-16,CAD,1.0933
2022-03-17,AUD,1.0311
2022-03-17,USD,1.4971
2022-03-17,GBP,1.9125
2022-03-17,EUR,1.6613
2022-03-17,SGD,1.1302
2022-03-17,CAD,1.1234
2022-03-18,AUD,0.9888
2022-03-18,USD,1.5508
2022-03-18,GBP,1.9106
2022-03-18,EUR,1.6923
2022-03-18,SGD,1.1389
2022-03-18,CAD,1.113
2022-03-19,AUD,1.0138
2022-03-19,USD,1.5319
2022-03-19,GBP,1.8611
2022-03-19,EUR,1.6512
2022-03-19,SGD,1.1363
2022-03-19,CAD,1.0934
2022-03-20,AUD,1.0068
2022-03-20,USD,1.5041
2022-03-20,GBP,1.9975
2022-03-20,EUR,1.6953
2022-03-20,SGD,1.1275
2022-03-20,CAD,1.0808
2022-03-21,AUD,0.9871
2022-03-21,USD,1.515
2022-03-21,GBP,1.8837
2022-03-21,EUR,1.6044
2022-03-21,SGD,1.1378
2022-03-21,CAD,1.1139
2022-03-22,AUD,0.9957
2022-03-22,USD,1.5113
2022-03-22,GBP,1.8961
2022-03-22,EUR,1.6582
2022-03-22,SGD,1.1473
2022-03-22,CAD,1.1189
2022-03-23,AUD,0.9672
2022-03-23,USD,1.5083
2022-03-23,GBP,1.9314
2022-03-23,EUR,1.6528
2022-03-23,SGD,1.1474
2022-03-23,CAD,1.0884
2022-03-24,AUD,1.0162
2022-03-24,USD,1.5176
2022-03-24,GBP,1.9623
2022-03-24,EUR,1.6317
2022-03-24,SGD,1.1488
2022-03-24,CAD,1.0777
2022-03-25,AUD,1.004
2022-03-25,USD,1.5283
2022-03-25,GBP,1.8961
2022-03-25,EUR,1.6158
2022-03-25,SGD,1.1109
2022-03-25,CAD,1.0979
2022-03-26,AUD,1.0069
2022-03-26,USD,1.5273
2022-03-26,GBP,1.9218
2022-03-26,EUR,1.6654
2022-03-26,SGD,1.1535
2022-03-26,CAD,1.1096
2022-03-27,AUD,0.986
2022-03-27,USD,1.5038
2022-03-27,GBP,1.8775
2022-03-27,EUR,1.6415
2022-03-27,SGD,1.1562
2022-03-27,CAD,1.1021
2022-03-28,AUD,0.9845
2022-03-28,USD,1.5208
2022-03-28,GBP,1.9439
2022-03-28,EUR,1.6697
2022-03-28,SGD,1.138
2022-03-28,CAD,1.0897
2022-03-29,AUD,0.977
2022-03-29,USD,1.4975
2022-03-29,GBP,1.8995
2022-03-29,EUR,1.6305
2022-03-29,SGD,1.1242
2022-03-29,CAD,1.1157
2022-03-30,AUD,1.0044
2022-03-30,USD,1.5099
2022-03-30,GBP,1.8806
2022-03-30,EUR,1.6473
2022-03-30,SGD,1.1465
2022-03-30,CAD,1.1067
2022-03-31,AUD,0.9792
2022-03-31,USD,1.5195
2022-03-31,GBP,1.8868
2022-03-31,EUR,1.6553
2022-03-31,SGD,1.1551
2022-03-31,CAD,1.0896
2022-04-01,AUD,0.9964
2022-04-01,USD,1.5158
2022-04-01,GBP,1.9378
2022-04-01,EUR,1.6471
2022-04-01,SGD,1.1636
2022-04-01,CAD,1.1017
2022-04-02,AUD,1.0028
2022-04-02,USD,1.5147
2022-04-02,GBP,1.9155
2022-04-02,EUR,1.6615
2022-04-02,SGD,1.1353
2022-04-02,CAD,1.1018
2022-04-03,AUD,0.9852
2022-04-03,USD,1.5022
2022-04-03,GBP,1.9297
2022-04-03,EUR,1.6572
2022-04-03,SGD,1.1419
2022-04-03,CAD,1.0891
2022-04-04,AUD,0.9963
2022-04-04,USD,1.4973
2022-04-04,GBP,1.8756
2022-04-04,EUR,1.5947
2022-04-04,SGD,1.1286
2022-04-04,CAD,1.1042
2022-04-05,AUD,1.0032
2022-04-05,USD,1.4997
2022-04-05,GBP,1.9016
2022-04-05,EUR,1.6377
2022-04-05,SGD,1.1575
2022-04-05,CAD,1.1426
2022-04-06,AUD,0.9942
2022-04-06,USD,1.5355
2022-04-06,GBP,1.9065
2022-04-06,EUR,1.5948
2022-04-06,SGD,1.1269
2022-04-06,CAD,1.082
2022-04-07,AUD,1.0045
2022-04-07,USD,1.5185
2022-04-07,GBP,1.9217
2022-04-07,EUR,1.6612
2022-04-07,SGD,1.136
2022-04-07,CAD,1.1226
2022-04-08,AUD,1.0045
2022-04-08,USD,1.4948
2022-04-08,GBP,1.9405
2022-04-08,EUR,1.6559
2022-04-08,SGD,1.1477
2022-04-08,CAD,1.0852
2022-04-09,AUD,0.9961
2022-04-09,USD,1.522
2022-04-09,GBP,1.9429
2022-04-09,EUR,1.6701
2022-04-09,SGD,1.1475
2022-04-09,CAD,1.1078
2022-04-10,AUD,0.9862
2022-04-10,USD,1.5061
2022-04-10,GBP,1.9417
2022-04-10,EUR,1.6764
2022-04-10,SGD,1.1239
2022-04-10,CAD,1.1001
2022-04-11,AUD,1.0034
2022-04-11,USD,1.4965
2022-04-11,GBP,1.9308
2022-04-11,EUR,1.634
2022-04-11,SGD,1.1283
2022-04-11,CAD,1.0581
2022-04-12,AUD,1.0085
2022-04-12,USD,1.498
2022-04-12,GBP,1.8953
2022-04-12,EUR,1.6852
2022-04-12,SGD,1.1412
2022-04-12,CAD,1.1132
2022-04-13,AUD,1.001
2022-04-13,USD,1.4968
2022-04-13,GBP,1.9417
2022-04-13,EUR,1.6549
2022-04-13,SGD,1.1555
2022-04-13,CAD,1.1054
2022-04-14,AUD,0.9943
2022-04-14,USD,1.5109
2022-04-14,GBP,1.9402
2022-04-14,EUR,1.6344
2022-04-14,SGD,1.1341
2022-04-14,CAD,1.0854
2022-04-15,AUD,1.0053
2022-04-15,USD,1.5302
2022-04-15,GBP,1.8799
2022-04-15,EUR,1.6235
2022-04-15,SGD,1.1239
2022-04-15,CAD,1.1108
2022-04-16,AUD,1.0115
2022-04-16,USD,1.5201
2022-04-16,GBP,1.9296
2022-04-16,EUR,1.6297
2022-04-16,SGD,1.1791
2022-04-16,CAD,1.0639
2022-04-17,AUD,0.9965
2022-04-17,USD,1.5133
2022-04-17,GBP,1.9258
2022-04-17,EUR,1.6228
2022-04-17,SGD,1.1431
2022-04-17,CAD,1.1092
2022-04-18,AUD,1.0229
2022-04-18,USD,1.4957
2022-04-18,GBP,1.9437
2022-04-18,EUR,1.6651
2022-04-18,SGD,1.1631
2022-04-18,CAD,1.1085
2022-04-19,AUD,0.9761
2022-04-19,USD,1.5195
2022-04-19,GBP,1.8511
2022-04-19,EUR,1.6247
2022-04-19,SGD,1.128
2022-04-19,CAD,1.0862
2022-04-20,AUD,0.9962
2022-04-20,USD,1.4989
2022-04-20,GBP,1.9185
2022-04-20,EUR,1.6704
2022-04-20,SGD,1.1426
2022-04-20,CAD,1.1354
2022-04-21,AUD,1.0065
2022-04-21,USD,1.4757
2022-04-21,GBP,1.9529
2022-04-21,EUR,1.6717
2022-04-21,SGD,1.1473
2022-04-21,CAD,1.0932
2022-04-22,AUD,0.986
2022-04-22,USD,1.5397
2022-04-22,GBP,1.8891
2022-04-22,EUR,1.6914
2022-04-22,SGD,1.1095
2022-04-22,CAD,1.1257
2022-04-23,AUD,1.0274
2022-04-23,USD,1.505
2022-04-23,GBP,1.8876
2022-04-23,EUR,1.6396
2022-04-23,SGD,1.1349
2022-04-23,CAD,1.1143
2022-04-24,AUD,1.0287
2022-04-24,USD,1.5129
2022-04-24,GBP,1.9199
2022-04-24,EUR,1.6311
2022-04-24,SGD,1.1564
2022-04-24,CAD,1.0985
2022-04-25,AUD,1.0005
2022-04-25,USD,1.5063
2022-04-25,GBP,1.9261
2022-04-25,EUR,1.689
2022-04-25,SGD,1.151
2022-04-25,CAD,1.0778
2022-04-26,AUD,1.0104
2022-04-26,USD,1.5267
2022-04-26,GBP,1.8774
2022-04-26,EUR,1.6313
2022-04-26,SGD,1.148
2022-04-26,CAD,1.1065
2022-04-27,AUD,1.0123
2022-04-27,USD,1.5016
2022-04-27,GBP,1.9136
2022-04-27,EUR,1.6802
2022-04-27,SGD,1.1483
2022-04-27,CAD,1.0879
2022-04-28,AUD,0.9895
2022-04-28,USD,1.5089
2022-04-28,GBP,1.9097
2022-04-28,EUR,1.64
2022-04-28,SGD,1.1393
2022-04-28,CAD,1.1313
2022-04-29,AUD,0.9854
2022-04-29,USD,1.4884
2022-04-29,GBP,1.9462
2022-04-29,EUR,1.6407
2022-04-29,SGD,1.147
2022-04-29,CAD,1.0913
2022-04-30,AUD,1.0263
2022-04-30,USD,1.5301
2022-04-30,GBP,1.9007
2022-04-30,EUR,1.6598
2022-04-30,SGD,1.148
2022-04-30,CAD,1.1069
2022-05-01,AUD,0.9889
2022-05-01,USD,1.4992
2022-05-01,GBP,1.9156
2022-05-01,EUR,1.6101
2022-05-01,SGD,1.1184
2022-05-01,CAD,1.0834
2022-05-02,AUD,1.0082
2022-05-02,USD,1.5115
2022-05-02,GBP,1.869
2022-05-02,EUR,1.6258
2022-05-02,SGD,1.1534
2022-05-02,CAD,1.0723
2022-05-03,AUD,0.9881
2022-05-03,USD,1.4785
2022-05-03,GBP,1.8989
2022-05-03,EUR,1.6452
2022-05-03,SGD,1.1348
2022-05-03,CAD,1.0644
2022-05-04,AUD,0.9872
2022-05-04,USD,1.5003
2022-05-04,GBP,1.9272
2022-05-04,EUR,1.6477
2022-05-04,SGD,1.1384
2022-05-04,CAD,1.1061
2022-05-05,AUD,0.9912
2022-05-05,USD,1.4858
2022-05-05,GBP,1.8972
2022-05-05,EUR,1.6426
2022-05-05,SGD,1.1406
2022-05-05,CAD,1.1113
2022-05-06,AUD,0.9801
2022-05-06,USD,1.5404
2022-05-06,GBP,1.8977
2022-05-06,EUR,1.6335
2022-05-06,SGD,1.1116
2022-05-06,CAD,1.0971
2022-05-07,AUD,0.9658
2022-05-07,USD,1.5402
2022-05-07,GBP,1.8917
2022-05-07,EUR,1.6711
2022-05-07,SGD,1.1105
2022-05-07,CAD,1.121
2022-05-08,AUD,0.9839
2022-05-08,USD,1.5205
2022-05-08,GBP,1.9166
2022-05-08,EUR,1.6129
2022-05-08,SGD,1.1333
2022-05-08,CAD,1.0732
2022-05-09,AUD,0.9828
2022-05-09,USD,1.5142
2022-05-09,GBP,1.9216
2022-05-09,EUR,1.6061
2022-05-09,SGD,1.146
2022-05-09,CAD,1.0856
2022-05-10,AUD,1.0225
2022-05-10,USD,1.5248
2022-05-10,GBP,1.9481
2022-05-10,EUR,1.6675
2022-05-10,SGD,1.1398
2022-05-10,CAD,1.0955
2022-05-11,AUD,0.9779
2022-05-11,USD,1.5159
2022-05-11,GBP,1.9578
2022-05-11,EUR,1.6416
2022-05-11,SGD,1.1307
2022-05-11,CAD,1.0988
2022-05-12,AUD,0.9905
2022-05-12,USD,1.5219
2022-05-12,GBP,1.8187
2022-05-12,EUR,1.6718
2022-05-12,SGD,1.154
2022-05-12,CAD,1.1021
2022-05-13,AUD,0.9801
2022-05-13,USD,1.4897
2022-05-13,GBP,1.9251
2022-05-13,EUR,1.6232
2022-05-13,SGD,1.1435
2022-05-13,CAD,1.0909
2022-05-14,AUD,1.0118
2022-05-14,USD,1.5162
2022-05-14,GBP,1.933
2022-05-14,EUR,1.6127
2022-05-14,SGD,1.1305
2022-05-14,CAD,1.0878
2022-05-15,AUD,0.9819
2022-05-15,USD,1.4863
2022-05-15,GBP,1.9225
2022-05-15,EUR,1.638
2022-05-15,SGD,1.1056
2022-05-15,CAD,1.1223
2022-05-16,AUD,1.009
2022-05-16,USD,1.5149
2022-05-16,GBP,1.9039
2022-05-16,EUR,1.6779
2022-05-16,SGD,1.1502
2022-05-16,CAD,1.1082
2022-05-17,AUD,0.996
2022-05-17,USD,1.4832
2022-05-17,GBP,1.9625
2022-05-17,EUR,1.6606
2022-05-17,SGD,1.122
2022-05-17,CAD,1.0954
2022-05-18,AUD,1.0116
2022-05-18,USD,1.5022
2022-05-18,GBP,1.8996
2022-05-18,EUR,1.6647
2022-05-18,SGD,1.1052
2022-05-18,CAD,1.0968
2022-05-19,AUD,0.9965
2022-05-19,USD,1.5061
2022-05-19,GBP,1.9349
2022-05-19,EUR,1.6519
2022-05-19,SGD,1.1605
2022-05-19,CAD,1.0894
2022-05-20,AUD,0.9833
2022-05-20,USD,1.4812
2022-05-20,GBP,1.9037
2022-05-20,EUR,1.67
2022-05-20,SGD,1.1275
2022-05-20,CAD,1.0954
2022-05-21,AUD,1.0011
2022-05-21,USD,1.5255
2022-05-21,GBP,1.9247
2022-05-21,EUR,1.6415
2022-05-21,SGD,1.1231
2022-05-21,CAD,1.1178
2022-05-22,AUD,1.0241
2022-05-22,USD,1.5293
2022-05-22,GBP,1.8391
2022-05-22,EUR,1.6766
2022-05-22,SGD,1.1375
2022-05-22,CAD,1.0912
2022-05-23,AUD,0.9948
2022-05-23,USD,1.4731
2022-05-23,GBP,1.9574
2022-05-23,EUR,1.652
2022-05-23,SGD,1.1225
2022-05-23,CAD,1.0913
2022-05-24,AUD,1.0047
2022-05-24,USD,1.5258
2022-05-24,GBP,1.8938
2022-05-24,EUR,1.6807
2022-05-24,SGD,1.1378
2022-05-24,CAD,1.1257
2022-05-25,AUD,0.9962
2022-05-25,USD,1.5076
2022-05-25,GBP,1.8979
2022-05-25,EUR,1.6507
2022-05-25,SGD,1.1439
2022-05-25,CAD,1.1177
2022-05-26,AUD,1.0144
2022-05-26,USD,1.5269
2022-05-26,GBP,1.8836
2022-05-26,EUR,1.6325
2022-05-26,SGD,1.1288
2022-05-26,CAD,1.12
2022-05-27,AUD,1.0116
2022-05-27,USD,1.5285
2022-05-27,GBP,1.8839
2022-05-27,EUR,1.6623
2022-05-27,SGD,1.1314
2022-05-27,CAD,1.0958
2022-05-28,AUD,0.9987
2022-05-28,USD,1.5293
2022-05-28,GBP,1.9097
2022-05-28,EUR,1.6369
2022-05-28,SGD,1.1699
