Month,EntityID,DepartmentID,AccountCode,ForecastAmountAUD,Scenario
2022-01-01,E01,D05,6100,3763.27,Base
2022-01-01,E01,D05,6110,5080.82,Base
2022-01-01,E01,D06,4000,-14429.16,Base
2022-01-01,E01,D06,4010,-7918.23,Best
2022-01-01,E01,D06,4020,-48277.91,Base
2022-01-01,E01,D06,5000,3678.08,Worst
2022-01-01,E01,D06,5010,993.45,Base
2022-01-01,E01,D06,5100,2619.5,Base
2022-01-01,E01,D06,6000,2999.75,Base
2022-01-01,E01,D06,6010,2780.01,Best
2022-01-01,E01,D06,6020,2205.78,Base
2022-01-01,E01,D06,6030,9292.16,Base
2022-01-01,E01,D06,6040,543.79,Best
2022-01-01,E01,D06,6050,3588.32,Best
2022-01-01,E01,D06,6060,5100.52,Base
2022-01-01,E01,D06,6070,4045.11,Base
2022-01-01,E01,D06,6080,2652.63,Base
2022-01-01,E01,D06,6090,4584.34,Worst
2022-01-01,E01,D06,6100,1771.86,Base
2022-01-01,E01,D06,6110,2147.57,Best
2022-01-01,E01,D07,4000,-8179.2,Base
2022-01-01,E01,D07,4010,-9620.8,Base
2022-01-01,E01,D07,4020,-11100.62,Best
2022-01-01,E01,D07,5000,2366.06,Worst
2022-01-01,E01,D07,5010,3066.26,Worst
2022-01-01,E01,D07,5100,9786.72,Base
2022-01-01,E01,D07,6000,4044.92,Base
2022-01-01,E01,D07,6010,8541.72,Base
2022-01-01,E01,D07,6020,4975.97,Base
2022-01-01,E01,D07,6030,1561.64,Best
2022-01-01,E01,D07,6040,697.72,Best
2022-01-01,E01,D07,6050,4818.59,Base
2022-01-01,E01,D07,6060,2668.22,Base
2022-01-01,E01,D07,6070,1473.75,Worst
2022-01-01,E01,D07,6080,2903.28,Worst
2022-01-01,E01,D07,6090,9655.93,Base
2022-01-01,E01,D07,6100,1301.41,Base
2022-01-01,E01,D07,6110,6758.67,Base
2022-01-01,E01,D08,4000,-9771.6,Base
2022-01-01,E01,D08,4010,-5785.17,Base
2022-01-01,E01,D08,4020,-5507.73,Best
2022-01-01,E01,D08,5000,8374.57,Base
2022-01-01,E01,D08,5010,4297.68,Best
2022-01-01,E01,D08,5100,3186.31,Base
2022-01-01,E01,D08,6000,3656.3,Base
2022-01-01,E01,D08,6010,4646.56,Best
2022-01-01,E01,D08,6020,4579.36,Worst
2022-01-01,E01,D08,6030,1360.72,Base
2022-01-01,E01,D08,6040,4742.52,Base
2022-01-01,E01,D08,6050,8447.01,Base
2022-01-01,E01,D08,6060,7759.6,Base
2022-01-01,E01,D08,6070,8587.79,Base
2022-01-01,E01,D08,6080,3064.1,Best
2022-01-01,E01,D08,6090,5162.43,Base
2022-01-01,E01,D08,6100,2493.64,Base
2022-01-01,E01,D08,6110,2600.75,Worst
2022-01-01,E01,D09,4000,-12652.15,Best
2022-01-01,E01,D09,4010,-9651.33,Base
2022-01-01,E01,D09,4020,-5456.59,Worst
2022-01-01,E01,D09,5000,758.32,Base
2022-01-01,E01,D09,5010,2564.23,Best
2022-01-01,E01,D09,5100,1923.29,Base
2022-01-01,E01,D09,6000,4152.62,Base
2022-01-01,E01,D09,6010,2678.94,Base
2022-01-01,E01,D09,6020,6640.14,Best
2022-01-01,E01,D09,6030,2682.25,Best
2022-01-01,E01,D09,6040,2082.6,Best
2022-01-01,E01,D09,6050,5612.73,Best
2022-01-01,E01,D09,6060,1794.71,Base
2022-01-01,E01,D09,6070,2431.05,Base
2022-01-01,E01,D09,6080,3363.51,Best
2022-01-01,E01,D09,6090,4379.9,Base
2022-01-01,E01,D09,6100,3273.76,Worst
2022-01-01,E01,D09,6110,2463.52,Worst
2022-01-01,E01,D10,4000,-2777.75,Base
2022-01-01,E01,D10,4010,-6325.54,Base
2022-01-01,E01,D10,4020,-18931.29,Base
2022-01-01,E01,D10,5000,2643.8,Base
2022-01-01,E01,D10,5010,4283.41,Base
2022-01-01,E01,D10,5100,3244.77,Best
2022-01-01,E01,D10,6000,2141.2,Base
2022-01-01,E01,D10,6010,3557.72,Base
2022-01-01,E01,D10,6020,2485.27,Base
2022-01-01,E01,D10,6030,3984.6,Worst
2022-01-01,E01,D10,6040,6592.44,Base
2022-01-01,E01,D10,6050,13596.58,Base
2022-01-01,E01,D10,6060,3127.02,Best
2022-01-01,E01,D10,6070,1501.24,Base
2022-01-01,E01,D10,6080,4598.61,Worst
2022-01-01,E01,D10,6090,2057.53,Best
2022-01-01,E01,D10,6100,2539.6,Base
2022-01-01,E01,D10,6110,2529.78,Worst
2022-01-01,E02,D01,4000,-7294.64,Best
2022-01-01,E02,D01,4010,-23655.55,Best
2022-01-01,E02,D01,4020,-17062.24,Base
2022-01-01,E02,D01,5000,5566.53,Worst
2022-01-01,E02,D01,5010,4913.04,Base
2022-01-01,E02,D01,5100,6365.68,Best
2022-01-01,E02,D01,6000,3141.51,Base
2022-01-01,E02,D01,6010,3206.52,Worst
2022-01-01,E02,D01,6020,1840.05,Base
2022-01-01,E02,D01,6030,1568.28,Worst
2022-01-01,E02,D01,6040,5372.16,Base
2022-01-01,E02,D01,6050,3823.49,Base
2022-01-01,E02,D01,6060,2978.22,Worst
2022-01-01,E02,D01,6070,6859.78,Worst
2022-01-01,E02,D01,6080,5522.23,Base
2022-01-01,E02,D01,6090,3072.45,Base
2022-01-01,E02,D01,6100,5643.9,Best
2022-01-01,E02,D01,6110,3705.81,Base
2022-01-01,E02,D02,4000,-3215.76,Worst
2022-01-01,E02,D02,4010,-5634.65,Base
2022-01-01,E02,D02,4020,-17929.12,Worst
2022-01-01,E02,D02,5000,4254.16,Worst
2022-01-01,E02,D02,5010,1324.05,Base
2022-01-01,E02,D02,5100,2391.23,Base
2022-01-01,E02,D02,6000,2337.58,Base
2022-01-01,E02,D02,6010,2817.25,Base
2022-01-01,E02,D02,6020,3282.68,Best
2022-01-01,E02,D02,6030,10697.71,Best
2022-01-01,E02,D02,6040,4382.16,Best
2022-01-01,E02,D02,6050,4763.62,Base
2022-01-01,E02,D02,6060,10566.94,Base
2022-01-01,E02,D02,6070,2035.89,Base
2022-01-01,E02,D02,6080,9524.05,Base
2022-01-01,E02,D02,6090,5446.36,Base
2022-01-01,E02,D02,6100,5039.34,Worst
2022-01-01,E02,D02,6110,7798.93,Base
2022-01-01,E02,D03,4000,-11052.68,Best
2022-01-01,E02,D03,4010,-16824.98,Base
2022-01-01,E02,D03,4020,-6327.63,Best
2022-01-01,E02,D03,5000,7523.59,Base
2022-01-01,E02,D03,5010,1413.32,Best
2022-01-01,E02,D03,5100,4485.99,Worst
2022-01-01,E02,D03,6000,2411.47,Base
2022-01-01,E02,D03,6010,5865.68,Worst
2022-01-01,E02,D03,6020,2254.3,Base
2022-01-01,E02,D03,6030,725.63,Base
2022-01-01,E02,D03,6040,2544.85,Base
2022-01-01,E02,D03,6050,3570.1,Base
2022-01-01,E02,D03,6060,4046.91,Worst
2022-01-01,E02,D03,6070,1909.54,Best
2022-01-01,E02,D03,6080,3163.11,Base
2022-01-01,E02,D03,6090,3447.12,Best
2022-01-01,E02,D03,6100,4476.87,Base
2022-01-01,E02,D03,6110,3037.56,Base
2022-01-01,E02,D04,4000,-8835.65,Base
2022-01-01,E02,D04,4010,-20402.92,Base
2022-01-01,E02,D04,4020,-21395.94,Worst
2022-01-01,E02,D04,5000,7392.06,Base
2022-01-01,E02,D04,5010,2188.25,Best
2022-01-01,E02,D04,5100,2451.97,Base
2022-01-01,E02,D04,6000,2687.65,Best
2022-01-01,E02,D04,6010,5619.38,Base
2022-01-01,E02,D04,6020,4746.23,Base
2022-01-01,E02,D04,6030,2421.21,Base
2022-01-01,E02,D04,6040,3560.52,Base
2022-01-01,E02,D04,6050,909.83,Best
2022-01-01,E02,D04,6060,2403.07,Base
2022-01-01,E02,D04,6070,2178.91,Base
2022-01-01,E02,D04,6080,1704.08,Base
2022-01-01,E02,D04,6090,4826.52,Best
2022-01-01,E02,D04,6100,3499.45,Base
2022-01-01,E02,D04,6110,3683.62,Best
2022-01-01,E02,D05,4000,-17673.56,Base
2022-01-01,E02,D05,4010,-6275.93,Worst
2022-01-01,E02,D05,4020,-7434.3,Base
2022-01-01,E02,D05,5000,1388.01,Base
2022-01-01,E02,D05,5010,2775.94,Best
2022-01-01,E02,D05,5100,4014.62,Base
2022-01-01,E02,D05,6000,5857.13,Best
2022-01-01,E02,D05,6010,5735.13,Base
2022-01-01,E02,D05,6020,1755.44,Best
2022-01-01,E02,D05,6030,1574.41,Base
2022-01-01,E02,D05,6040,7983.33,Best
2022-01-01,E02,D05,6050,4716.21,Base
2022-01-01,E02,D05,6060,3889.04,Base
2022-01-01,E02,D05,6070,3596.0,Base
2022-01-01,E02,D05,6080,12213.9,Base
2022-01-01,E02,D05,6090,2817.94,Base
2022-01-01,E02,D05,6100,4311.71,Base
2022-01-01,E02,D05,6110,4590.37,Best
2022-01-01,E02,D06,4000,-10678.99,Base
2022-01-01,E02,D06,4010,-11818.09,Base
2022-01-01,E02,D06,4020,-12908.99,Base
2022-01-01,E02,D06,5000,3596.88,Base
2022-01-01,E02,D06,5010,3133.91,Base
2022-01-01,E02,D06,5100,6802.69,Base
2022-01-01,E02,D06,6000,7304.01,Worst
2022-01-01,E02,D06,6010,6150.26,Base
2022-01-01,E02,D06,6020,4558.31,Base
2022-01-01,E02,D06,6030,1779.54,Base
2022-01-01,E02,D06,6040,7272.97,Best
2022-01-01,E02,D06,6050,4647.94,Base
2022-01-01,E02,D06,6060,7058.78,Worst
2022-01-01,E02,D06,6070,2916.31,Base
2022-01-01,E02,D06,6080,3534.14,Base
2022-01-01,E02,D06,6090,4089.0,Base
2022-01-01,E02,D06,6100,2746.77,Base
2022-01-01,E02,D06,6110,3841.98,Worst
2022-01-01,E02,D07,4000,-7753.79,Best
2022-01-01,E02,D07,4010,-12424.28,Base
2022-01-01,E02,D07,4020,-8924.83,Base
2022-01-01,E02,D07,5000,4940.99,Base
2022-01-01,E02,D07,5010,1872.03,Base
2022-01-01,E02,D07,5100,1319.05,Base
2022-01-01,E02,D07,6000,5657.29,Worst
2022-01-01,E02,D07,6010,10575.99,Base
2022-01-01,E02,D07,6020,2575.96,Base
2022-01-01,E02,D07,6030,2759.8,Base
2022-01-01,E02,D07,6040,3362.87,Base
2022-01-01,E02,D07,6050,4983.98,Best
2022-01-01,E02,D07,6060,4139.97,Base
2022-01-01,E02,D07,6070,2684.32,Best
2022-01-01,E02,D07,6080,1491.32,Base
2022-01-01,E02,D07,6090,4369.62,Worst
2022-01-01,E02,D07,6100,4340.0,Base
2022-01-01,E02,D07,6110,2987.58,Base
2022-01-01,E02,D08,4000,-17892.32,Base
2022-01-01,E02,D08,4010,-5054.72,Base
2022-01-01,E02,D08,4020,-4340.71,Base
2022-01-01,E02,D08,5000,2740.84,Worst
2022-01-01,E02,D08,5010,3576.22,Base
2022-01-01,E02,D08,5100,4228.81,Base
2022-01-01,E02,D08,6000,2646.4,Base
2022-01-01,E02,D08,6010,2056.96,Worst
2022-01-01,E02,D08,6020,1548.2,Base
2022-01-01,E02,D08,6030,5770.15,Base
2022-01-01,E02,D08,6040,2923.46,Best
2022-01-01,E02,D08,6050,4762.6,Worst
2022-01-01,E02,D08,6060,5822.41,Base
2022-01-01,E02,D08,6070,2334.79,Worst
2022-01-01,E02,D08,6080,1618.52,Base
2022-01-01,E02,D08,6090,6831.39,Base
2022-01-01,E02,D08,6100,10105.24,Base
2022-01-01,E02,D08,6110,4610.7,Base
2022-01-01,E02,D09,4000,-4816.94,Base
2022-01-01,E02,D09,4010,-5091.91,Base
2022-01-01,E02,D09,4020,-4787.87,Best
2022-01-01,E02,D09,5000,3327.89,Best
2022-01-01,E02,D09,5010,5226.48,Base
2022-01-01,E02,D09,5100,2276.4,Base
2022-01-01,E02,D09,6000,2138.85,Best
2022-01-01,E02,D09,6010,5227.38,Worst
2022-01-01,E02,D09,6020,2698.3,Best
2022-01-01,E02,D09,6030,1274.45,Worst
2022-01-01,E02,D09,6040,1879.87,Base
2022-01-01,E02,D09,6050,5593.07,Best
2022-01-01,E02,D09,6060,6453.24,Base
2022-01-01,E02,D09,6070,1951.21,Best
2022-01-01,E02,D09,6080,3122.77,Worst
2022-01-01,E02,D09,6090,2806.16,Base
2022-01-01,E02,D09,6100,2030.84,Worst
2022-01-01,E02,D09,6110,2139.59,Base
2022-01-01,E02,D10,4000,-11091.22,Base
2022-01-01,E02,D10,4010,-13437.44,Base
2022-01-01,E02,D10,4020,-18545.43,Base
2022-01-01,E02,D10,5000,2452.66,Base
2022-01-01,E02,D10,5010,1931.07,Worst
2022-01-01,E02,D10,5100,4294.82,Worst
2022-01-01,E02,D10,6000,1529.55,Base
2022-01-01,E02,D10,6010,2624.38,Base
2022-01-01,E02,D10,6020,12077.25,Worst
2022-01-01,E02,D10,6030,14233.62,Base
2022-01-01,E02,D10,6040,2429.13,Worst
2022-01-01,E02,D10,6050,4393.18,Worst
2022-01-01,E02,D10,6060,3132.01,Worst
2022-01-01,E02,D10,6070,2097.56,Base
2022-01-01,E02,D10,6080,10450.28,Base
2022-01-01,E02,D10,6090,12212.3,Best
2022-01-01,E02,D10,6100,8382.65,Worst
2022-01-01,E02,D10,6110,2310.35,Worst
2022-01-01,E03,D01,4000,-6110.74,Best
2022-01-01,E03,D01,4010,-20789.54,Base
2022-01-01,E03,D01,4020,-14081.6,Base
2022-01-01,E03,D01,5000,2409.91,Base
2022-01-01,E03,D01,5010,4401.58,Worst
2022-01-01,E03,D01,5100,3129.53,Best
2022-01-01,E03,D01,6000,2110.87,Best
2022-01-01,E03,D01,6010,5896.81,Worst
2022-01-01,E03,D01,6020,2229.72,Base
2022-01-01,E03,D01,6030,1952.59,Base
2022-01-01,E03,D01,6040,1955.49,Base
2022-01-01,E03,D01,6050,3803.85,Base
2022-01-01,E03,D01,6060,2120.56,Worst
2022-01-01,E03,D01,6070,7534.58,Best
2022-01-01,E03,D01,6080,3883.12,Worst
2022-01-01,E03,D01,6090,900.74,Worst
2022-01-01,E03,D01,6100,1956.81,Best
2022-01-01,E03,D01,6110,4276.16,Base
2022-01-01,E03,D02,4000,-10638.4,Base
2022-01-01,E03,D02,4010,-3420.42,Base
2022-01-01,E03,D02,4020,-17819.03,Base
2022-01-01,E03,D02,5000,3195.63,Best
2022-01-01,E03,D02,5010,1033.62,Base
2022-01-01,E03,D02,5100,1818.13,Base
2022-01-01,E03,D02,6000,4153.98,Worst
2022-01-01,E03,D02,6010,5846.67,Base
2022-01-01,E03,D02,6020,2640.12,Base
2022-01-01,E03,D02,6030,5944.41,Base
2022-01-01,E03,D02,6040,1143.71,Best
2022-01-01,E03,D02,6050,4007.53,Worst
2022-01-01,E03,D02,6060,2332.31,Worst
2022-01-01,E03,D02,6070,1598.03,Base
2022-01-01,E03,D02,6080,5174.49,Worst
2022-01-01,E03,D02,6090,6337.27,Best
2022-01-01,E03,D02,6100,20914.19,Best
2022-01-01,E03,D02,6110,15827.55,Base
2022-01-01,E03,D03,4000,-9166.36,Base
2022-01-01,E03,D03,4010,-7685.32,Base
2022-01-01,E03,D03,4020,-6718.51,Base
2022-01-01,E03,D03,5000,5115.94,Worst
2022-01-01,E03,D03,5010,4067.13,Base
2022-01-01,E03,D03,5100,1519.51,Base
2022-01-01,E03,D03,6000,2101.21,Base
2022-01-01,E03,D03,6010,1804.13,Base
2022-01-01,E03,D03,6020,2307.61,Base
2022-01-01,E03,D03,6030,9348.35,Base
2022-01-01,E03,D03,6040,1800.49,Worst
2022-01-01,E03,D03,6050,3810.04,Base
2022-01-01,E03,D03,6060,2192.41,Base
2022-01-01,E03,D03,6070,2597.27,Base
2022-01-01,E03,D03,6080,2069.03,Base
2022-01-01,E03,D03,6090,2961.28,Worst
2022-01-01,E03,D03,6100,6025.57,Base
2022-01-01,E03,D03,6110,5009.79,Best
2022-01-01,E03,D04,4000,-26905.36,Base
2022-01-01,E03,D04,4010,-7523.74,Best
2022-01-01,E03,D04,4020,-8701.08,Base
2022-01-01,E03,D04,5000,1502.06,Best
2022-01-01,E03,D04,5010,1884.44,Best
2022-01-01,E03,D04,5100,1769.43,Base
2022-01-01,E03,D04,6000,4012.78,Worst
2022-01-01,E03,D04,6010,2166.05,Base
2022-01-01,E03,D04,6020,6508.76,Base
2022-01-01,E03,D04,6030,5360.46,Worst
2022-01-01,E03,D04,6040,2986.86,Best
2022-01-01,E03,D04,6050,3174.41,Base
2022-01-01,E03,D04,6060,4596.37,Base
2022-01-01,E03,D04,6070,4422.53,Base
2022-01-01,E03,D04,6080,2061.98,Base
2022-01-01,E03,D04,6090,3598.44,Best
2022-01-01,E03,D04,6100,2421.44,Best
2022-01-01,E03,D04,6110,1344.97,Base
2022-01-01,E03,D05,4000,-13394.12,Worst
2022-01-01,E03,D05,4010,-16623.13,Base
2022-01-01,E03,D05,4020,-11648.96,Base
2022-01-01,E03,D05,5000,2013.9,Worst
2022-01-01,E03,D05,5010,2864.33,Base
2022-01-01,E03,D05,5100,2205.45,Base
2022-01-01,E03,D05,6000,3446.12,Best
2022-01-01,E03,D05,6010,3324.42,Base
2022-01-01,E03,D05,6020,4650.78,Best
2022-01-01,E03,D05,6030,1527.61,Best
2022-01-01,E03,D05,6040,810.04,Best
2022-01-01,E03,D05,6050,671.95,Best
2022-01-01,E03,D05,6060,2798.63,Base
2022-01-01,E03,D05,6070,8838.67,Worst
2022-01-01,E03,D05,6080,2974.37,Base
2022-01-01,E03,D05,6090,5101.08,Base
2022-01-01,E03,D05,6100,2163.36,Best
2022-01-01,E03,D05,6110,5288.06,Base
2022-01-01,E03,D06,4000,-8714.75,Base
2022-01-01,E03,D06,4010,-13901.07,Worst
2022-01-01,E03,D06,4020,-14440.65,Base
2022-01-01,E03,D06,5000,5145.44,Base
2022-01-01,E03,D06,5010,5247.72,Base
2022-01-01,E03,D06,5100,3443.8,Base
2022-01-01,E03,D06,6000,3286.97,Best
2022-01-01,E03,D06,6010,1524.85,Worst
2022-01-01,E03,D06,6020,1089.26,Base
2022-01-01,E03,D06,6030,2819.77,Base
2022-01-01,E03,D06,6040,4277.94,Base
2022-01-01,E03,D06,6050,2047.8,Base
2022-01-01,E03,D06,6060,2542.79,Base
2022-01-01,E03,D06,6070,4045.02,Worst
2022-01-01,E03,D06,6080,3106.8,Best
2022-01-01,E03,D06,6090,10662.63,Worst
2022-01-01,E03,D06,6100,4992.48,Worst
2022-01-01,E03,D06,6110,1170.47,Base
2022-01-01,E03,D07,4000,-8922.61,Worst
2022-01-01,E03,D07,4010,-7521.04,Base
2022-01-01,E03,D07,4020,-12943.33,Base
2022-01-01,E03,D07,5000,7146.48,Best
2022-01-01,E03,D07,5010,3231.96,Base
2022-01-01,E03,D07,5100,2862.93,Base
2022-01-01,E03,D07,6000,3956.08,Base
2022-01-01,E03,D07,6010,6190.07,Base
2022-01-01,E03,D07,6020,3066.96,Best
2022-01-01,E03,D07,6030,4956.52,Base
2022-01-01,E03,D07,6040,2322.76,Base
2022-01-01,E03,D07,6050,5049.03,Worst
2022-01-01,E03,D07,6060,1507.27,Base
2022-01-01,E03,D07,6070,5758.93,Worst
2022-01-01,E03,D07,6080,1164.24,Base
2022-01-01,E03,D07,6090,6486.75,Base
2022-01-01,E03,D07,6100,7934.32,Base
2022-01-01,E03,D07,6110,3046.09,Best
2022-01-01,E03,D08,4000,-17045.82,Worst
2022-01-01,E03,D08,4010,-5637.34,Worst
2022-01-01,E03,D08,4020,-9412.07,Base
2022-01-01,E03,D08,5000,2364.72,Worst
2022-01-01,E03,D08,5010,4008.26,Worst
2022-01-01,E03,D08,5100,4628.16,Base
2022-01-01,E03,D08,6000,3820.92,Base
2022-01-01,E03,D08,6010,5891.08,Base
2022-01-01,E03,D08,6020,7433.67,Best
2022-01-01,E03,D08,6030,3472.63,Base
2022-01-01,E03,D08,6040,2853.38,Base
2022-01-01,E03,D08,6050,3748.51,Best
2022-01-01,E03,D08,6060,2063.32,Base
2022-01-01,E03,D08,6070,3812.43,Best
2022-01-01,E03,D08,6080,2685.97,Base
2022-01-01,E03,D08,6090,5895.86,Base
2022-01-01,E03,D08,6100,1556.64,Base
2022-01-01,E03,D08,6110,3411.19,Base
2022-01-01,E03,D09,4000,-8682.16,Base
2022-01-01,E03,D09,4010,-6787.61,Best
2022-01-01,E03,D09,4020,-9585.52,Base
2022-01-01,E03,D09,5000,2772.63,Base
2022-01-01,E03,D09,5010,2474.25,Worst
2022-01-01,E03,D09,5100,3503.91,Base
2022-01-01,E03,D09,6000,1734.19,Base
2022-01-01,E03,D09,6010,1670.11,Best
2022-01-01,E03,D09,6020,2799.55,Base
2022-01-01,E03,D09,6030,2067.5,Best
2022-01-01,E03,D09,6040,1647.47,Base
2022-01-01,E03,D09,6050,1864.93,Best
2022-01-01,E03,D09,6060,7926.69,Base
2022-01-01,E03,D09,6070,1343.68,Base
2022-01-01,E03,D09,6080,3088.0,Base
2022-01-01,E03,D09,6090,3755.53,Base
2022-01-01,E03,D09,6100,4121.63,Base
2022-01-01,E03,D09,6110,5662.33,Best
2022-01-01,E03,D10,4000,-14120.33,Base
2022-01-01,E03,D10,4010,-9526.36,Base
2022-01-01,E03,D10,4020,-10856.2,Best
2022-01-01,E03,D10,5000,3305.42,Worst
2022-01-01,E03,D10,5010,6964.33,Best
2022-01-01,E03,D10,5100,5385.88,Base
2022-01-01,E03,D10,6000,3340.08,Base
2022-01-01,E03,D10,6010,4149.72,Base
2022-01-01,E03,D10,6020,2133.79,Worst
2022-01-01,E03,D10,6030,5773.44,Base
2022-01-01,E03,D10,6040,8712.08,Worst
2022-01-01,E03,D10,6050,5114.36,Base
2022-01-01,E03,D10,6060,3626.5,Base
2022-01-01,E03,D10,6070,3741.17,Best
2022-01-01,E03,D10,6080,1595.51,Best
2022-01-01,E03,D10,6090,2564.8,Base
2022-01-01,E03,D10,6100,5891.26,Best
2022-01-01,E03,D10,6110,1385.02,Base
2022-01-01,E04,D01,4000,-9140.46,Worst
2022-01-01,E04,D01,4010,-9174.85,Worst
2022-01-01,E04,D01,4020,-9904.27,Worst
2022-01-01,E04,D01,5000,1417.12,Base
2022-01-01,E04,D01,5010,4176.79,Base
2022-01-01,E04,D01,5100,2235.17,Base
2022-01-01,E04,D01,6000,5616.23,Best
2022-01-01,E04,D01,6010,3445.86,Base
2022-01-01,E04,D01,6020,5550.07,Base
2022-01-01,E04,D01,6030,2521.11,Base
2022-01-01,E04,D01,6040,3246.39,Base
2022-01-01,E04,D01,6050,7768.78,Worst
2022-01-01,E04,D01,6060,4980.99,Base
2022-01-01,E04,D01,6070,3161.94,Base
2022-01-01,E04,D01,6080,5146.82,Base
2022-01-01,E04,D01,6090,2943.68,Worst
2022-01-01,E04,D01,6100,6033.54,Worst
2022-01-01,E04,D01,6110,7266.33,Base
2022-01-01,E04,D02,4000,-15529.69,Worst
2022-01-01,E04,D02,4010,-15440.87,Base
2022-01-01,E04,D02,4020,-5158.36,Base
2022-01-01,E04,D02,5000,4831.17,Worst
2022-01-01,E04,D02,5010,3079.16,Best
2022-01-01,E04,D02,5100,1153.97,Base
2022-01-01,E04,D02,6000,1285.91,Worst
2022-01-01,E04,D02,6010,2367.62,Base
2022-01-01,E04,D02,6020,4000.31,Base
2022-01-01,E04,D02,6030,6224.5,Base
2022-01-01,E04,D02,6040,1379.22,Base
2022-01-01,E04,D02,6050,3636.81,Base
2022-01-01,E04,D02,6060,4735.81,Worst
