ProductID,ProductName,Category,PrimarySupplierID,UnitCost,UnitPrice,LeadTimeDays,SafetyStockUnits
P00136,Product 00136,Automotive,S0078,28.85,58.55,24,35
P00137,Product 00137,Home,S0074,40.72,70.35,30,86
P00138,Product 00138,Personal Care,S0102,9.08,14.28,10,93
P00139,Product 00139,Home,S0053,77.52,132.16,6,33
P00140,Product 00140,Industrial,S0028,36.09,63.14,21,36
P00141,Product 00141,Outdoor,S0073,52.94,103.07,26,96
P00142,Product 00142,Industrial,S0045,37.28,55.5,20,115
P00143,Product 00143,Industrial,S0018,43.12,54.55,25,28
P00144,Product 00144,Personal Care,S0093,11.44,20.69,30,85
P00145,Product 00145,Personal Care,S0057,33.95,49.69,12,110
P00146,Product 00146,Home,S0109,10.49,20.4,29,95
P00147,Product 00147,Outdoor,S0110,72.55,132.28,7,89
P00148,Product 00148,Office,S0088,63.26,120.67,8,48
P00149,Product 00149,Industrial,S0080,66.05,112.71,28,54
P00150,Product 00150,Industrial,S0050,12.89,23.87,9,48
P00151,Product 00151,Automotive,S0067,61.25,106.95,20,44
P00152,Product 00152,Automotive,S0099,58.87,108.74,29,14
P00153,Product 00153,Home,S0059,41.46,58.53,8,90
P00154,Product 00154,Industrial,S0001,243.51,501.28,22,33
P00155,Product 00155,Industrial,S0091,28.22,62.9,22,71
P00156,Product 00156,Industrial,S0069,19.96,45.72,28,111
P00157,Product 00157,Automotive,S0040,128.6,211.69,22,67
P00158,Product 00158,Electronics,S0012,55.28,67.56,27,34
P00159,Product 00159,Automotive,S0005,51.6,116.56,24,60
P00160,Product 00160,Industrial,S0095,67.79,140.65,15,75
P00161,Product 00161,Electronics,S0069,65.93,99.48,27,94
P00162,Product 00162,Electronics,S0103,36.5,76.71,25,105
P00163,Product 00163,Office,S0103,53.16,76.3,25,50
P00164,Product 00164,Automotive,S0090,32.06,57.12,27,79
P00165,Product 00165,Electronics,S0088,47.58,96.57,27,113
P00166,Product 00166,Automotive,S0006,13.2,16.78,9,10
P00167,Product 00167,Outdoor,S0079,182.56,301.94,11,81
P00168,Product 00168,Automotive,S0028,184.01,410.72,18,72
P00169,Product 00169,Home,S0004,32.49,66.91,17,76
P00170,Product 00170,Industrial,S0043,12.53,25.85,21,111
P00171,Product 00171,Electronics,S0061,46.41,88.75,27,80
P00172,Product 00172,Home,S0059,48.62,80.51,15,36
P00173,Product 00173,Industrial,S0091,11.22,24.85,15,35
P00174,Product 00174,Personal Care,S0079,33.21,63.8,9,50
P00175,Product 00175,Office,S0004,54.91,89.36,19,94
P00176,Product 00176,Electronics,S0110,44.9,91.39,14,64
P00177,Product 00177,Automotive,S0030,80.06,105.28,28,41
P00178,Product 00178,Outdoor,S0077,14.42,20.57,17,55
P00179,Product 00179,Outdoor,S0118,66.67,100.6,12,44
P00180,Product 00180,Office,S0048,165.82,299.01,10,15
P00181,Product 00181,Home,S0110,24.54,53.19,15,95
P00182,Product 00182,Industrial,S0004,58.31,92.04,25,87
P00183,Product 00183,Office,S0043,24.0,33.57,10,47
P00184,Product 00184,Home,S0059,73.77,104.92,5,99
P00185,Product 00185,Home,S0042,212.16,302.77,25,111
P00186,Product 00186,Personal Care,S0050,25.5,44.05,11,27
P00187,Product 00187,Electronics,S0117,189.95,345.34,15,100
P00188,Product 00188,Outdoor,S0071,89.23,169.42,6,104
P00189,Product 00189,Personal Care,S0048,45.56,62.49,12,73
P00190,Product 00190,Industrial,S0099,42.1,92.94,25,22
P00191,Product 00191,Automotive,S0110,35.34,46.44,25,40
P00192,Product 00192,Outdoor,S0047,20.64,36.2,13,117
P00193,Product 00193,Electronics,S0031,81.99,138.62,14,29
P00194,Product 00194,Office,S0063,58.76,103.89,29,56
P00195,Product 00195,Home,S0065,37.11,66.2,29,104
P00196,Product 00196,Office,S0028,63.59,128.41,8,90
P00197,Product 00197,Office,S0108,16.97,23.95,13,10
P00198,Product 00198,Outdoor,S0021,27.34,55.75,11,25
P00199,Product 00199,Industrial,S0070,57.82,119.24,13,32
P00200,Product 00200,Electronics,S0112,23.41,39.12,25,43
P00201,Product 00201,Home,S0008,34.15,68.48,17,93
P00202,Product 00202,Personal Care,S0048,39.77,76.14,21,29
P00203,Product 00203,Home,S0032,10.33,23.3,17,10
P00204,Product 00204,Home,S0017,26.51,49.8,11,59
P00205,Product 00205,Office,S0019,13.14,20.89,20,106
P00206,Product 00206,Outdoor,S0096,138.08,303.44,22,96
P00207,Product 00207,Outdoor,S0101,22.17,37.81,5,37
P00208,Product 00208,Electronics,S0076,82.99,186.42,28,60
P00209,Product 00209,Automotive,S0040,67.94,93.76,9,106
P00210,Product 00210,Home,S0001,41.05,58.96,23,52
P00211,Product 00211,Automotive,S0090,27.89,49.98,8,111
P00212,Product 00212,Home,S0036,120.88,219.25,9,11
P00213,Product 00213,Personal Care,S0107,30.87,64.82,17,98
P00214,Product 00214,Electronics,S0087,21.29,27.95,7,71
P00215,Product 00215,Office,S0068,17.38,37.64,18,101
P00216,Product 00216,Automotive,S0057,19.1,34.54,15,87
P00217,Product 00217,Automotive,S0103,165.59,332.39,10,26
P00218,Product 00218,Electronics,S0056,43.16,88.5,5,112
P00219,Product 00219,Industrial,S0006,106.25,134.21,13,74
P00220,Product 00220,Home,S0004,34.43,45.71,9,112
P00221,Product 00221,Home,S0074,58.09,74.28,5,94
P00222,Product 00222,Outdoor,S0120,103.21,141.34,7,51
P00223,Product 00223,Outdoor,S0008,11.59,23.63,7,32
P00224,Product 00224,Personal Care,S0081,9.99,13.55,14,74
P00225,Product 00225,Office,S0023,29.87,58.47,21,34
P00226,Product 00226,Home,S0073,38.28,84.02,29,100
P00227,Product 00227,Personal Care,S0012,9.25,17.62,15,64
P00228,Product 00228,Personal Care,S0042,7.97,13.89,26,105
P00229,Product 00229,Automotive,S0109,28.68,55.25,13,115
P00230,Product 00230,Office,S0077,12.08,26.31,29,72
P00231,Product 00231,Electronics,S0055,107.14,241.04,17,31
P00232,Product 00232,Automotive,S0028,31.82,40.71,28,117
P00233,Product 00233,Automotive,S0108,37.27,64.5,27,66
P00234,Product 00234,Industrial,S0081,26.6,40.89,9,106
P00235,Product 00235,Automotive,S0053,55.36,71.05,13,39
P00236,Product 00236,Office,S0017,35.47,47.76,11,57
P00237,Product 00237,Electronics,S0057,250.28,349.44,6,13
P00238,Product 00238,Outdoor,S0016,46.82,64.13,14,78
P00239,Product 00239,Office,S0091,68.54,132.35,26,12
P00240,Product 00240,Home,S0024,21.45,44.25,9,78
P00241,Product 00241,Outdoor,S0072,62.89,131.42,19,96
P00242,Product 00242,Automotive,S0110,62.04,113.22,25,89
P00243,Product 00243,Home,S0076,27.06,44.76,12,99
P00244,Product 00244,Electronics,S0107,25.35,49.69,27,30
P00245,Product 00245,Office,S0029,54.09,114.99,28,60
P00246,Product 00246,Office,S0099,11.11,19.54,14,106
P00247,Product 00247,Personal Care,S0095,14.1,29.87,17,94
P00248,Product 00248,Office,S0107,30.5,66.92,17,14
P00249,Product 00249,Office,S0003,21.62,29.53,6,65
P00250,Product 00250,Automotive,S0086,4.13,6.46,17,113
P00251,Product 00251,Outdoor,S0103,55.17,70.68,18,75
P00252,Product 00252,Home,S0040,34.53,72.81,25,11
P00253,Product 00253,Electronics,S0013,192.14,233.55,7,46
P00254,Product 00254,Electronics,S0011,37.64,49.15,12,18
P00255,Product 00255,Automotive,S0110,102.43,234.8,20,81
P00256,Product 00256,Electronics,S0037,113.35,158.27,29,53
P00257,Product 00257,Office,S0107,80.52,150.67,11,55
P00258,Product 00258,Office,S0067,66.41,122.49,23,35
P00259,Product 00259,Personal Care,S0007,53.01,112.41,10,74
P00260,Product 00260,Electronics,S0087,44.7,77.67,12,69
P00261,Product 00261,Industrial,S0107,21.6,38.95,29,66
P00262,Product 00262,Electronics,S0091,38.72,75.34,7,20
P00263,Product 00263,Office,S0079,118.14,257.2,25,67
P00264,Product 00264,Industrial,S0046,51.97,81.33,29,15
P00265,Product 00265,Industrial,S0094,38.04,61.27,26,26
P00266,Product 00266,Office,S0107,151.21,342.0,16,74
P00267,Product 00267,Outdoor,S0048,53.81,76.68,11,78
P00268,Product 00268,Electronics,S0056,75.54,95.29,8,36
P00269,Product 00269,Office,S0017,48.95,107.14,26,71
P00270,Product 00270,Industrial,S0040,67.71,124.18,18,117
P00271,Product 00271,Electronics,S0055,119.93,222.14,8,31
P00272,Product 00272,Automotive,S0110,138.62,312.67,24,47
P00273,Product 00273,Home,S0097,72.88,153.31,5,72
P00274,Product 00274,Industrial,S0087,59.95,130.99,11,104
P00275,Product 00275,Outdoor,S0105,71.27,103.07,15,94
P00276,Product 00276,Electronics,S0072,54.05,105.91,5,55
P00277,Product 00277,Electronics,S0065,68.15,116.09,6,23
P00278,Product 00278,Automotive,S0075,144.48,211.43,11,89
P00279,Product 00279,Electronics,S0091,95.88,161.29,6,111
P00280,Product 00280,Office,S0081,6.7,12.38,24,112
P00281,Product 00281,Industrial,S0066,42.71,58.38,25,30
P00282,Product 00282,Industrial,S0021,36.38,56.05,9,39
P00283,Product 00283,Office,S0108,78.0,140.8,8,37
P00284,Product 00284,Automotive,S0047,36.15,79.52,24,62
P00285,Product 00285,Home,S0115,27.62,47.94,28,44
P00286,Product 00286,Automotive,S0115,45.61,89.06,10,51
P00287,Product 00287,Outdoor,S0022,45.27,68.33,9,76
P00288,Product 00288,Automotive,S0044,27.46,60.12,9,75
P00289,Product 00289,Personal Care,S0076,13.49,22.76,10,74
P00290,Product 00290,Office,S0040,70.05,136.14,28,109
P00291,Product 00291,Office,S0107,31.7,56.02,27,115
P00292,Product 00292,Home,S0066,65.52,102.84,19,88
P00293,Product 00293,Office,S0057,32.34,48.31,10,69
P00294,Product 00294,Electronics,S0004,32.09,38.54,22,92
P00295,Product 00295,Industrial,S0072,69.42,143.48,16,84
P00296,Product 00296,Electronics,S0081,238.38,334.07,10,76
P00297,Product 00297,Electronics,S0083,56.54,118.64,11,40
P00298,Product 00298,Personal Care,S0097,31.05,64.27,10,101
P00299,Product 00299,Automotive,S0041,28.04,40.33,10,38
P00300,Product 00300,Outdoor,S0021,29.71,56.73,28,59
P00301,Product 00301,Outdoor,S0013,85.08,132.54,17,55
P00302,Product 00302,Outdoor,S0042,60.76,103.98,6,22
P00303,Product 00303,Home,S0103,47.2,77.73,12,76
P00304,Product 00304,Automotive,S0004,13.92,27.14,24,12
P00305,Product 00305,Personal Care,S0035,106.51,181.05,26,42
P00306,Product 00306,Outdoor,S0087,224.58,333.72,25,116
P00307,Product 00307,Personal Care,S0104,44.5,63.62,6,82
P00308,Product 00308,Personal Care,S0084,21.35,39.7,18,65
P00309,Product 00309,Automotive,S0111,76.57,99.11,25,87
P00310,Product 00310,Electronics,S0080,144.23,292.4,6,39
P00311,Product 00311,Electronics,S0101,81.7,117.99,21,56
P00312,Product 00312,Home,S0081,30.7,56.04,15,24
P00313,Product 00313,Outdoor,S0017,76.29,124.51,12,119
P00314,Product 00314,Personal Care,S0034,27.32,38.32,13,70
P00315,Product 00315,Office,S0115,17.41,25.86,14,51
P00316,Product 00316,Office,S0078,38.58,47.58,10,46
P00317,Product 00317,Automotive,S0035,16.7,34.64,14,26
P00318,Product 00318,Industrial,S0115,28.29,53.69,18,98
P00319,Product 00319,Personal Care,S0012,10.52,19.83,13,77
P00320,Product 00320,Personal Care,S0025,13.82,23.54,15,115
P00321,Product 00321,Industrial,S0073,13.49,21.28,7,31
P00322,Product 00322,Automotive,S0084,47.84,103.99,30,94
P00323,Product 00323,Industrial,S0041,86.9,160.78,29,111
P00324,Product 00324,Outdoor,S0106,92.88,210.08,24,54
P00325,Product 00325,Electronics,S0027,131.38,249.43,26,103
P00326,Product 00326,Automotive,S0046,11.0,23.37,19,110
P00327,Product 00327,Electronics,S0052,162.19,357.84,28,101
P00328,Product 00328,Electronics,S0023,65.39,121.36,23,64
P00329,Product 00329,Outdoor,S0086,135.04,163.74,28,55
P00330,Product 00330,Home,S0057,122.84,249.72,29,72
P00331,Product 00331,Automotive,S0078,77.78,101.32,8,19
P00332,Product 00332,Personal Care,S0098,34.62,52.92,8,17
P00333,Product 00333,Personal Care,S0110,10.53,17.49,15,78
P00334,Product 00334,Personal Care,S0066,118.28,145.59,6,96
P00335,Product 00335,Electronics,S0107,11.02,23.77,28,50
P00336,Product 00336,Electronics,S0041,47.34,100.46,24,68
P00337,Product 00337,Personal Care,S0064,29.28,52.16,29,50
P00338,Product 00338,Personal Care,S0030,164.89,294.3,21,25
P00339,Product 00339,Electronics,S0039,30.24,50.34,20,87
P00340,Product 00340,Home,S0101,36.47,61.4,30,36
P00341,Product 00341,Outdoor,S0020,51.7,97.59,23,111
P00342,Product 00342,Automotive,S0022,50.49,88.31,28,53
P00343,Product 00343,Personal Care,S0107,54.24,72.43,19,48
P00344,Product 00344,Electronics,S0008,49.14,93.91,17,43
P00345,Product 00345,Office,S0033,97.13,138.0,6,81
P00346,Product 00346,Electronics,S0108,31.08,48.91,30,64
P00347,Product 00347,Industrial,S0117,41.39,78.28,9,36
P00348,Product 00348,Automotive,S0046,47.73,99.37,25,73
P00349,Product 00349,Office,S0103,51.66,92.51,12,31
P00350,Product 00350,Industrial,S0116,18.75,33.59,8,99
P00351,Product 00351,Industrial,S0010,40.21,65.44,29,65
P00352,Product 00352,Office,S0107,48.4,93.49,26,55
P00353,Product 00353,Electronics,S0085,10.08,15.61,14,51
P00354,Product 00354,Home,S0015,53.31,73.44,6,75
P00355,Product 00355,Outdoor,S0082,90.61,199.25,18,44
P00356,Product 00356,Automotive,S0110,54.79,72.24,7,85
P00357,Product 00357,Industrial,S0096,191.52,428.46,19,28
P00358,Product 00358,Automotive,S0095,13.55,18.48,8,115
P00359,Product 00359,Automotive,S0062,51.3,69.08,10,57
P00360,Product 00360,Office,S0036,26.32,34.67,21,34
P00361,Product 00361,Electronics,S0044,13.94,28.96,18,15
P00362,Product 00362,Office,S0026,105.37,211.86,22,15
P00363,Product 00363,Home,S0033,68.13,88.79,15,102
P00364,Product 00364,Personal Care,S0049,40.94,55.17,24,27
P00365,Product 00365,Industrial,S0006,49.55,95.07,16,101
P00366,Product 00366,Office,S0065,46.53,95.95,15,83
P00367,Product 00367,Home,S0025,59.59,132.91,11,66
P00368,Product 00368,Electronics,S0008,30.99,40.24,12,63
P00369,Product 00369,Industrial,S0104,147.69,284.06,11,54
P00370,Product 00370,Industrial,S0090,33.67,73.94,29,97
P00371,Product 00371,Home,S0119,260.23,323.03,30,44
P00372,Product 00372,Industrial,S0001,54.18,105.81,12,101
P00373,Product 00373,Office,S0028,34.45,44.41,30,66
P00374,Product 00374,Electronics,S0080,14.86,18.49,24,109
P00375,Product 00375,Office,S0089,68.93,130.04,14,26
P00376,Product 00376,Personal Care,S0063,14.15,29.44,8,89
P00377,Product 00377,Personal Care,S0087,19.89,38.94,21,34
P00378,Product 00378,Outdoor,S0109,6.23,11.62,30,116
P00379,Product 00379,Outdoor,S0048,111.15,247.69,18,45
P00380,Product 00380,Office,S0063,11.52,23.99,12,101
P00381,Product 00381,Office,S0050,268.1,573.79,14,100
P00382,Product 00382,Outdoor,S0098,17.78,21.44,28,49
P00383,Product 00383,Automotive,S0040,64.97,105.95,21,67
P00384,Product 00384,Industrial,S0092,49.96,81.7,17,110
P00385,Product 00385,Automotive,S0060,18.79,28.18,13,72
P00386,Product 00386,Automotive,S0079,213.45,425.46,14,93
P00387,Product 00387,Personal Care,S0086,7.62,16.96,19,87
P00388,Product 00388,Electronics,S0071,82.02,132.13,13,106
P00389,Product 00389,Outdoor,S0032,26.21,50.45,22,61
P00390,Product 00390,Automotive,S0066,12.62,26.77,10,76
P00391,Product 00391,Office,S0105,37.76,64.53,25,90
P00392,Product 00392,Outdoor,S0049,29.26,42.75,14,93
P00393,Product 00393,Outdoor,S0073,61.01,92.86,21,90
P00394,Product 00394,Outdoor,S0052,182.07,218.69,10,42
P00395,Product 00395,Automotive,S0075,23.99,29.57,28,100
P00396,Product 00396,Home,S0012,39.33,78.28,16,64
P00397,Product 00397,Outdoor,S0041,59.29,122.09,9,97
P00398,Product 00398,Automotive,S0039,85.54,176.56,17,61
P00399,Product 00399,Industrial,S0101,35.17,67.62,20,58
P00400,Product 00400,Personal Care,S0023,35.58,74.51,16,26
P00401,Product 00401,Industrial,S0004,125.94,283.48,24,52
P00402,Product 00402,Electronics,S0088,55.65,114.02,5,70
P00403,Product 00403,Electronics,S0067,29.93,65.57,15,59
P00404,Product 00404,Electronics,S0080,27.79,37.01,29,89
P00405,Product 00405,Personal Care,S0120,15.26,27.07,16,85
P00406,Product 00406,Office,S0047,55.92,120.76,30,50
P00407,Product 00407,Personal Care,S0098,25.52,31.46,19,37
P00408,Product 00408,Electronics,S0006,71.28,163.19,10,53
P00409,Product 00409,Outdoor,S0108,42.37,76.09,23,89
P00410,Product 00410,Outdoor,S0019,19.51,36.22,7,42
P00411,Product 00411,Electronics,S0091,34.44,78.92,12,81
P00412,Product 00412,Personal Care,S0120,70.43,137.96,25,62
P00413,Product 00413,Electronics,S0047,54.53,90.81,22,76
P00414,Product 00414,Industrial,S0071,206.74,329.89,25,111
P00415,Product 00415,Home,S0078,221.24,483.94,9,80
P00416,Product 00416,Home,S0059,24.87,33.31,11,112
P00417,Product 00417,Home,S0032,76.77,107.3,21,21
P00418,Product 00418,Automotive,S0075,226.51,345.6,29,27
P00419,Product 00419,Home,S0007,57.54,90.69,18,47
P00420,Product 00420,Personal Care,S0029,99.36,158.72,25,69
P00421,Product 00421,Automotive,S0057,16.64,24.88,20,87
P00422,Product 00422,Electronics,S0061,57.47,124.67,7,68
P00423,Product 00423,Personal Care,S0114,185.43,339.12,13,113
P00424,Product 00424,Home,S0058,32.91,43.49,25,92
P00425,Product 00425,Outdoor,S0085,175.0,309.99,20,10
P00426,Product 00426,Home,S0041,32.52,59.61,16,97
P00427,Product 00427,Automotive,S0064,14.85,18.46,16,111
P00428,Product 00428,Personal Care,S0034,17.04,35.18,8,42
P00429,Product 00429,Industrial,S0040,106.48,219.05,19,81
P00430,Product 00430,Automotive,S0105,16.89,34.24,28,17
P00431,Product 00431,Home,S0113,12.34,15.25,11,66
P00432,Product 00432,Industrial,S0108,74.32,108.15,29,66
P00433,Product 00433,Industrial,S0106,89.79,152.52,30,86
P00434,Product 00434,Electronics,S0109,53.61,98.91,9,80
P00435,Product 00435,Outdoor,S0070,36.02,45.33,15,104
P00436,Product 00436,Office,S0052,59.61,107.42,19,18
P00437,Product 00437,Outdoor,S0006,133.27,232.87,12,30
P00438,Product 00438,Home,S0008,17.02,30.12,10,36
P00439,Product 00439,Personal Care,S0101,164.66,213.78,30,103
P00440,Product 00440,Industrial,S0111,62.57,130.46,6,17
P00441,Product 00441,Office,S0114,28.17,53.75,28,54
P00442,Product 00442,Industrial,S0094,52.48,97.07,6,54
P00443,Product 00443,Office,S0009,32.44,62.59,14,110
P00444,Product 00444,Automotive,S0099,42.67,52.51,27,15
P00445,Product 00445,Automotive,S0025,17.78,37.32,21,51
P00446,Product 00446,Automotive,S0009,22.22,27.57,24,23
P00447,Product 00447,Electronics,S0079,108.29,228.95,18,101
P00448,Product 00448,Electronics,S0062,61.13,133.9,16,81
P00449,Product 00449,Industrial,S0065,90.38,164.38,9,58
P00450,Product 00450,Industrial,S0079,105.4,145.5,9,37
P00451,Product 00451,Home,S0114,86.52,135.06,21,17
P00452,Product 00452,Personal Care,S0111,7.82,14.38,8,59
