ShipmentID,SalesOrderID,WarehouseID,Carrier,ShipDate,DeliveryDate,FreightCost,DeliveryStatus
SH0000084,SO0000084,W05,FedEx,2024-07-26,2024-08-08,309.98,Late
SH0000085,SO0000085,W01,FedEx,2024-11-07,2024-11-14,146.25,Late
SH0000086,SO0000086,W06,FedEx,2026-03-03,2026-03-16,879.64,Late
SH0000087,SO0000087,W01,DHL,2026-04-24,2026-05-01,636.32,Late
SH0000088,SO0000088,W06,FedEx,2023-05-08,2023-05-11,627.85,On Time
SH0000089,SO0000089,W04,UPS,2023-12-25,2023-12-28,193.81,On Time
SH0000090,SO0000090,W05,UPS,2023-09-05,2023-09-12,376.74,On Time
SH0000091,SO0000091,W05,Local Carrier,2024-08-15,2024-08-25,486.04,Late
SH0000092,SO0000092,W01,FedEx,2025-07-08,2025-07-19,451.9,Late
SH0000093,SO0000093,W04,DHL,2024-12-06,2024-12-08,138.71,On Time
SH0000094,SO0000094,W02,FedEx,2023-07-16,2023-07-25,342.36,Late
SH0000095,SO0000095,W04,UPS,2023-10-15,2023-10-23,350.09,On Time
SH0000096,SO0000096,W01,DHL,2024-09-05,2024-09-18,256.13,Late
SH0000097,SO0000097,W03,FedEx,2026-08-22,2026-08-30,359.91,Late
SH0000098,SO0000098,W01,Local Carrier,2025-01-22,2025-01-25,484.13,Late
SH0000099,SO0000099,W02,UPS,2024-06-27,2024-07-07,645.36,Late
SH0000100,SO0000100,W05,UPS,2023-01-13,2023-01-19,112.42,On Time
SH0000101,SO0000101,W06,UPS,2023-06-15,2023-06-23,675.3,On Time
SH0000102,SO0000102,W01,Local Carrier,2026-01-11,2026-01-16,170.71,Late
SH0000103,SO0000103,W06,Local Carrier,2026-07-24,2026-08-04,70.4,Late
SH0000104,SO0000104,W02,DHL,2025-12-22,2026-01-04,218.38,Late
SH0000105,SO0000105,W05,FedEx,2023-09-10,2023-09-13,102.8,On Time
SH0000106,SO0000106,W06,UPS,2026-08-13,2026-08-14,468.12,On Time
SH0000107,SO0000107,W01,FedEx,2025-12-11,2025-12-13,239.24,On Time
SH0000108,SO0000108,W06,Local Carrier,2023-03-23,2023-03-28,201.54,On Time
SH0000109,SO0000109,W05,FedEx,2023-11-13,2023-11-16,256.52,Late
SH0000110,SO0000110,W03,DHL,2023-10-10,2023-10-13,373.13,On Time
SH0000111,SO0000111,W01,Local Carrier,2024-07-14,2024-07-18,449.97,Late
SH0000112,SO0000112,W01,UPS,2023-09-20,2023-09-28,214.61,Late
SH0000113,SO0000113,W03,Local Carrier,2023-12-26,2023-12-30,605.42,On Time
SH0000114,SO0000114,W05,FedEx,2025-03-26,2025-03-30,205.65,On Time
SH0000115,SO0000115,W03,DHL,2024-10-28,2024-11-06,472.04,Late
SH0000116,SO0000116,W04,Local Carrier,2023-09-23,2023-10-02,52.89,Late
SH0000117,SO0000117,W06,FedEx,2024-03-25,2024-04-09,646.93,Late
SH0000118,SO0000118,W02,UPS,2024-01-12,2024-01-15,149.84,On Time
SH0000119,SO0000119,W06,UPS,2025-01-25,2025-02-02,275.48,On Time
SH0000120,SO0000120,W02,UPS,2025-01-18,2025-01-20,692.67,Late
SH0000121,SO0000121,W05,DHL,2024-08-14,2024-08-15,92.91,On Time
SH0000122,SO0000122,W04,DHL,2023-08-29,2023-09-05,452.26,Late
SH0000123,SO0000123,W06,UPS,2024-07-13,2024-07-23,193.11,Late
SH0000124,SO0000124,W01,Local Carrier,2025-12-07,2025-12-15,237.48,Late
SH0000125,SO0000125,W05,UPS,2026-04-16,2026-04-23,51.44,Late
SH0000126,SO0000126,W04,DHL,2023-07-10,2023-07-14,1007.02,Late
SH0000127,SO0000127,W02,UPS,2024-04-06,2024-04-13,186.41,On Time
SH0000128,SO0000128,W02,DHL,2023-12-18,2023-12-26,206.88,Late
SH0000129,SO0000129,W02,UPS,2023-02-26,2023-03-05,554.47,Late
SH0000130,SO0000130,W06,FedEx,2024-05-02,2024-05-07,465.6,On Time
SH0000131,SO0000131,W04,UPS,2025-04-26,2025-05-04,530.82,On Time
SH0000132,SO0000132,W03,UPS,2024-04-21,2024-04-26,722.98,On Time
SH0000133,SO0000133,W04,DHL,2023-01-31,2023-02-06,256.52,Late
SH0000134,SO0000134,W02,FedEx,2024-03-03,2024-03-08,319.35,On Time
SH0000135,SO0000135,W04,Local Carrier,2025-05-28,2025-06-01,230.53,On Time
SH0000136,SO0000136,W02,Local Carrier,2024-09-24,2024-09-26,681.9,On Time
SH0000137,SO0000137,W02,DHL,2026-07-29,2026-08-10,400.29,Late
SH0000138,SO0000138,W06,DHL,2025-11-13,2025-11-18,237.56,On Time
SH0000139,SO0000139,W06,Local Carrier,2024-01-20,2024-01-23,87.49,Late
SH0000140,SO0000140,W05,DHL,2023-10-13,2023-10-20,219.98,On Time
SH0000141,SO0000141,W02,Local Carrier,2024-03-18,2024-03-24,160.46,On Time
SH0000142,SO0000142,W01,UPS,2025-03-14,2025-03-17,352.95,Late
SH0000143,SO0000143,W06,DHL,2025-03-01,2025-03-02,97.34,On Time
SH0000144,SO0000144,W03,FedEx,2024-03-30,2024-04-06,476.74,Late
SH0000145,SO0000145,W03,FedEx,2023-11-12,2023-11-16,574.68,Late
SH0000146,SO0000146,W01,FedEx,2026-08-16,2026-08-19,510.09,On Time
SH0000147,SO0000147,W06,UPS,2024-01-12,2024-01-13,343.44,On Time
SH0000148,SO0000148,W02,DHL,2024-12-15,2024-12-25,189.15,Late
SH0000149,SO0000149,W02,DHL,2024-08-03,2024-08-11,69.82,Late
SH0000150,SO0000150,W03,Local Carrier,2026-04-18,2026-04-20,230.65,Late
SH0000151,SO0000151,W06,FedEx,2024-12-09,2024-12-20,152.7,Late
SH0000152,SO0000152,W05,FedEx,2026-04-26,2026-05-02,90.33,On Time
SH0000153,SO0000153,W02,FedEx,2023-08-25,2023-08-31,157.63,On Time
SH0000154,SO0000154,W01,DHL,2023-03-25,2023-03-30,643.13,On Time
SH0000155,SO0000155,W02,DHL,2024-09-23,2024-09-25,525.83,On Time
SH0000156,SO0000156,W04,FedEx,2024-03-28,2024-03-31,680.87,Late
SH0000157,SO0000157,W01,Local Carrier,2023-08-18,2023-08-22,390.4,On Time
SH0000158,SO0000158,W06,UPS,2025-12-16,2025-12-20,276.24,Late
SH0000159,SO0000159,W02,UPS,2025-11-22,2025-12-06,121.59,Late
SH0000160,SO0000160,W05,DHL,2024-02-27,2024-03-01,92.18,On Time
SH0000161,SO0000161,W05,Local Carrier,2023-07-26,2023-08-08,377.99,Late
SH0000162,SO0000162,W03,Local Carrier,2024-08-20,2024-08-23,134.82,On Time
SH0000163,SO0000163,W06,FedEx,2023-02-17,2023-02-25,421.21,On Time
SH0000164,SO0000164,W05,UPS,2023-04-17,2023-04-23,139.36,On Time
SH0000165,SO0000165,W02,Local Carrier,2024-07-16,2024-07-23,825.21,On Time
SH0000166,SO0000166,W02,Local Carrier,2024-04-16,2024-04-24,326.53,Late
SH0000167,SO0000167,W04,Local Carrier,2024-08-06,2024-08-13,315.38,On Time
SH0000168,SO0000168,W03,UPS,2023-11-08,2023-11-16,473.02,On Time
SH0000169,SO0000169,W05,UPS,2024-11-05,2024-11-12,809.24,On Time
SH0000170,SO0000170,W04,DHL,2025-10-17,2025-10-25,72.24,Late
SH0000171,SO0000171,W03,UPS,2024-12-02,2024-12-12,64.76,Late
SH0000172,SO0000172,W01,FedEx,2023-10-21,2023-10-25,128.31,Late
SH0000173,SO0000173,W04,Local Carrier,2026-01-29,2026-02-04,118.57,On Time
SH0000174,SO0000174,W05,DHL,2024-07-22,2024-07-23,421.36,On Time
SH0000175,SO0000175,W04,UPS,2023-03-12,2023-03-17,400.76,On Time
SH0000176,SO0000176,W06,UPS,2026-07-18,2026-07-19,1074.26,On Time
SH0000177,SO0000177,W04,DHL,2025-08-25,2025-09-01,120.69,Late
SH0000178,SO0000178,W04,UPS,2026-04-21,2026-04-26,404.08,On Time
SH0000179,SO0000179,W02,FedEx,2025-05-30,2025-06-08,186.82,Late
SH0000180,SO0000180,W04,FedEx,2025-04-20,2025-04-27,557.73,Late
SH0000181,SO0000181,W05,Local Carrier,2023-07-11,2023-07-15,354.98,On Time
SH0000182,SO0000182,W04,UPS,2026-02-18,2026-02-26,123.24,On Time
SH0000183,SO0000183,W05,Local Carrier,2025-04-29,2025-05-03,258.8,Late
SH0000184,SO0000184,W06,DHL,2025-11-29,2025-12-08,153.25,Late
SH0000185,SO0000185,W03,DHL,2023-11-17,2023-11-19,729.24,On Time
SH0000186,SO0000186,W05,DHL,2024-03-03,2024-03-05,315.66,On Time
SH0000187,SO0000187,W03,FedEx,2024-11-08,2024-11-23,504.29,Late
SH0000188,SO0000188,W04,FedEx,2026-05-13,2026-05-23,948.07,Late
SH0000189,SO0000189,W02,DHL,2025-09-14,2025-09-26,538.55,Late
SH0000190,SO0000190,W03,DHL,2024-07-17,2024-07-23,272.01,Late
SH0000191,SO0000191,W05,DHL,2024-08-30,2024-09-06,171.09,On Time
SH0000192,SO0000192,W01,DHL,2023-09-03,2023-09-08,208.83,Late
SH0000193,SO0000193,W02,Local Carrier,2023-06-25,2023-06-30,607.76,Late
SH0000194,SO0000194,W02,Local Carrier,2024-09-06,2024-09-19,126.34,Late
SH0000195,SO0000195,W02,Local Carrier,2026-08-26,2026-09-03,415.23,Late
SH0000196,SO0000196,W04,UPS,2026-01-09,2026-01-21,586.96,Late
SH0000197,SO0000197,W06,DHL,2023-02-07,2023-02-09,43.45,On Time
SH0000198,SO0000198,W06,UPS,2026-06-26,2026-07-01,428.83,Late
SH0000199,SO0000199,W06,UPS,2025-08-20,2025-08-25,571.31,On Time
SH0000200,SO0000200,W06,UPS,2025-09-26,2025-09-28,258.49,Late
SH0000201,SO0000201,W02,UPS,2026-05-27,2026-06-02,118.21,Late
SH0000202,SO0000202,W02,UPS,2023-10-24,2023-10-30,699.56,On Time
SH0000203,SO0000203,W04,FedEx,2026-05-21,2026-05-29,83.3,Late
SH0000204,SO0000204,W01,Local Carrier,2025-09-03,2025-09-07,199.07,On Time
SH0000205,SO0000205,W03,DHL,2025-02-25,2025-03-01,363.6,Late
SH0000206,SO0000206,W01,FedEx,2024-12-03,2024-12-12,166.35,Late
SH0000207,SO0000207,W04,Local Carrier,2023-12-02,2023-12-12,235.22,Late
SH0000208,SO0000208,W02,DHL,2024-07-27,2024-08-05,299.9,Late
SH0000209,SO0000209,W04,UPS,2024-06-03,2024-06-09,321.28,Late
SH0000210,SO0000210,W01,Local Carrier,2025-12-13,2025-12-19,737.69,On Time
SH0000211,SO0000211,W04,DHL,2025-11-14,2025-11-17,527.76,On Time
SH0000212,SO0000212,W05,UPS,2023-05-31,2023-06-10,106.56,Late
SH0000213,SO0000213,W02,Local Carrier,2023-02-07,2023-02-14,106.15,On Time
SH0000214,SO0000214,W01,Local Carrier,2026-07-27,2026-08-02,130.08,Late
SH0000215,SO0000215,W01,FedEx,2025-11-21,2025-11-29,292.36,Late
SH0000216,SO0000216,W05,Local Carrier,2024-08-13,2024-08-23,586.73,Late
SH0000217,SO0000217,W02,DHL,2023-04-12,2023-04-24,67.27,Late
SH0000218,SO0000218,W03,FedEx,2024-02-15,2024-02-22,78.18,On Time
SH0000219,SO0000219,W02,FedEx,2025-04-21,2025-04-22,734.02,On Time
SH0000220,SO0000220,W02,Local Carrier,2023-11-24,2023-11-26,187.11,On Time
SH0000221,SO0000221,W03,Local Carrier,2025-04-24,2025-05-04,631.76,Late
SH0000222,SO0000222,W06,DHL,2026-06-17,2026-06-23,627.02,Late
SH0000223,SO0000223,W05,UPS,2024-08-01,2024-08-07,617.91,Late
SH0000224,SO0000224,W02,FedEx,2024-12-28,2025-01-05,148.69,On Time
SH0000225,SO0000225,W02,DHL,2025-12-11,2025-12-18,309.57,On Time
SH0000226,SO0000226,W03,Local Carrier,2025-04-12,2025-04-20,164.07,On Time
SH0000227,SO0000227,W02,DHL,2023-07-21,2023-07-23,305.9,On Time
SH0000228,SO0000228,W01,DHL,2024-02-21,2024-02-26,470.67,Late
SH0000229,SO0000229,W01,Local Carrier,2026-06-15,2026-06-25,409.53,Late
SH0000230,SO0000230,W01,FedEx,2025-10-03,2025-10-07,471.37,On Time
SH0000231,SO0000231,W02,DHL,2025-02-11,2025-02-24,402.82,Late
SH0000232,SO0000232,W01,DHL,2024-10-28,2024-11-04,333.03,On Time
SH0000233,SO0000233,W04,UPS,2023-09-10,2023-09-21,182.4,Late
SH0000234,SO0000234,W01,DHL,2026-08-27,2026-09-07,446.42,Late
SH0000235,SO0000235,W06,Local Carrier,2024-06-06,2024-06-14,583.35,Late
SH0000236,SO0000236,W06,UPS,2024-07-29,2024-08-08,499.48,Late
SH0000237,SO0000237,W04,FedEx,2023-11-22,2023-11-26,535.53,On Time
SH0000238,SO0000238,W03,FedEx,2023-08-09,2023-08-11,146.72,On Time
SH0000239,SO0000239,W02,DHL,2024-10-24,2024-11-02,762.16,Late
SH0000240,SO0000240,W05,DHL,2023-11-12,2023-11-15,573.28,On Time
SH0000241,SO0000241,W04,FedEx,2026-01-12,2026-01-18,303.09,Late
SH0000242,SO0000242,W03,Local Carrier,2026-01-21,2026-01-26,317.94,On Time
SH0000243,SO0000243,W06,UPS,2026-03-23,2026-03-30,345.7,Late
SH0000244,SO0000244,W01,Local Carrier,2024-07-13,2024-07-18,362.9,Late
SH0000245,SO0000245,W06,Local Carrier,2026-08-31,2026-09-08,61.4,Late
SH0000246,SO0000246,W05,FedEx,2025-04-14,2025-04-17,44.22,On Time
SH0000247,SO0000247,W06,DHL,2023-04-16,2023-04-21,207.85,On Time
SH0000248,SO0000248,W01,UPS,2024-09-21,2024-09-25,179.81,On Time
SH0000249,SO0000249,W03,DHL,2025-04-24,2025-05-02,301.52,On Time
SH0000250,SO0000250,W04,DHL,2023-06-08,2023-06-21,746.04,Late
SH0000251,SO0000251,W06,UPS,2025-05-22,2025-05-29,541.23,Late
SH0000252,SO0000252,W06,FedEx,2025-02-27,2025-03-03,343.7,On Time
SH0000253,SO0000253,W01,DHL,2025-10-28,2025-10-31,398.93,On Time
SH0000254,SO0000254,W04,UPS,2023-05-06,2023-05-09,272.52,On Time
SH0000255,SO0000255,W03,Local Carrier,2023-07-05,2023-07-13,103.92,On Time
SH0000256,SO0000256,W01,FedEx,2024-09-17,2024-09-21,394.03,Late
SH0000257,SO0000257,W06,FedEx,2025-03-16,2025-03-25,95.36,Late
SH0000258,SO0000258,W02,DHL,2023-05-19,2023-05-25,509.08,Late
SH0000259,SO0000259,W06,DHL,2024-11-25,2024-12-01,470.36,Late
SH0000260,SO0000260,W05,UPS,2025-07-21,2025-08-02,272.27,Late
SH0000261,SO0000261,W03,FedEx,2025-03-31,2025-04-06,488.72,Late
SH0000262,SO0000262,W05,UPS,2023-12-03,2023-12-06,223.65,On Time
SH0000263,SO0000263,W03,UPS,2023-04-10,2023-04-25,566.35,Late
SH0000264,SO0000264,W01,DHL,2023-01-07,2023-01-08,597.84,On Time
SH0000265,SO0000265,W03,FedEx,2026-07-21,2026-07-22,497.36,On Time
SH0000266,SO0000266,W02,FedEx,2026-02-08,2026-02-16,78.71,On Time
SH0000267,SO0000267,W05,UPS,2024-12-15,2024-12-24,391.26,Late
SH0000268,SO0000268,W02,Local Carrier,2026-02-18,2026-02-22,200.84,On Time
SH0000269,SO0000269,W06,Local Carrier,2024-08-01,2024-08-10,40.99,Late
SH0000270,SO0000270,W05,DHL,2024-02-10,2024-02-17,560.98,On Time
SH0000271,SO0000271,W02,DHL,2025-08-03,2025-08-13,315.88,Late
SH0000272,SO0000272,W04,Local Carrier,2023-10-13,2023-10-21,608.55,On Time
SH0000273,SO0000273,W02,UPS,2023-06-03,2023-06-12,191.72,Late
SH0000274,SO0000274,W03,UPS,2023-08-09,2023-08-23,325.01,Late
SH0000275,SO0000275,W01,DHL,2025-08-25,2025-09-08,175.22,Late
SH0000276,SO0000276,W06,DHL,2024-06-16,2024-06-19,407.38,Late
SH0000277,SO0000277,W06,FedEx,2026-08-20,2026-08-26,132.95,On Time
SH0000278,SO0000278,W01,Local Carrier,2026-04-12,2026-04-19,564.18,On Time
SH0000279,SO0000279,W03,DHL,2023-06-22,2023-06-27,345.07,On Time
SH0000280,SO0000280,W01,DHL,2024-06-10,2024-06-18,155.39,Late
SH0000281,SO0000281,W05,FedEx,2025-07-07,2025-07-15,642.09,On Time
SH0000282,SO0000282,W06,Local Carrier,2024-09-10,2024-09-15,81.4,On Time
SH0000283,SO0000283,W06,DHL,2024-12-06,2024-12-11,393.1,Late
SH0000284,SO0000284,W01,FedEx,2026-01-02,2026-01-06,517.27,On Time
SH0000285,SO0000285,W05,DHL,2023-10-07,2023-10-13,167.83,On Time
SH0000286,SO0000286,W05,UPS,2023-02-11,2023-02-20,60.7,Late
SH0000287,SO0000287,W05,DHL,2026-08-14,2026-08-17,57.66,Late
SH0000288,SO0000288,W05,UPS,2023-10-09,2023-10-17,226.41,Late
SH0000289,SO0000289,W03,Local Carrier,2025-04-29,2025-05-07,468.84,On Time
SH0000290,SO0000290,W02,UPS,2023-02-10,2023-02-20,104.68,Late
SH0000291,SO0000291,W03,Local Carrier,2026-06-16,2026-06-26,403.32,Late
SH0000292,SO0000292,W05,Local Carrier,2025-12-30,2026-01-07,217.1,On Time
SH0000293,SO0000293,W05,FedEx,2025-06-21,2025-07-03,414.93,Late
SH0000294,SO0000294,W06,FedEx,2026-05-18,2026-05-31,931.26,Late
SH0000295,SO0000295,W04,UPS,2023-11-10,2023-11-15,195.24,On Time
SH0000296,SO0000296,W03,UPS,2024-03-30,2024-04-01,44.15,On Time
SH0000297,SO0000297,W03,FedEx,2024-04-18,2024-04-20,22.98,Late
SH0000298,SO0000298,W06,UPS,2025-12-25,2025-12-26,913.75,On Time
SH0000299,SO0000299,W03,UPS,2025-10-27,2025-11-02,212.57,On Time
SH0000300,SO0000300,W02,DHL,2023-07-27,2023-07-31,64.61,Late
SH0000301,SO0000301,W06,DHL,2024-04-30,2024-05-12,657.62,Late
SH0000302,SO0000302,W04,FedEx,2024-06-05,2024-06-11,579.46,On Time
SH0000303,SO0000303,W02,FedEx,2024-10-17,2024-10-30,145.99,Late
SH0000304,SO0000304,W04,DHL,2023-01-20,2023-01-21,513.17,On Time
SH0000305,SO0000305,W05,UPS,2023-06-17,2023-06-22,517.8,On Time
SH0000306,SO0000306,W01,Local Carrier,2025-03-20,2025-03-29,358.16,Late
SH0000307,SO0000307,W01,Local Carrier,2025-02-21,2025-02-25,422.73,Late
SH0000308,SO0000308,W05,Local Carrier,2024-08-30,2024-09-10,509.59,Late
SH0000309,SO0000309,W06,Local Carrier,2024-12-24,2025-01-01,410.21,On Time
SH0000310,SO0000310,W02,UPS,2024-06-03,2024-06-12,55.6,Late
SH0000311,SO0000311,W02,DHL,2023-07-07,2023-07-14,34.91,Late
SH0000312,SO0000312,W02,DHL,2025-11-21,2025-11-24,129.53,On Time
SH0000313,SO0000313,W04,Local Carrier,2026-05-18,2026-05-28,84.14,Late
SH0000314,SO0000314,W06,UPS,2023-04-22,2023-04-28,90.42,Late
SH0000315,SO0000315,W06,FedEx,2023-05-15,2023-05-22,257.51,Late
SH0000316,SO0000316,W03,FedEx,2025-04-02,2025-04-09,91.24,On Time
SH0000317,SO0000317,W05,Local Carrier,2026-08-02,2026-08-12,461.9,Late
SH0000318,SO0000318,W04,DHL,2025-05-02,2025-05-05,503.58,Late
SH0000319,SO0000319,W04,UPS,2025-10-18,2025-10-25,540.69,Late
SH0000320,SO0000320,W01,FedEx,2026-06-17,2026-06-26,390.71,Late
SH0000321,SO0000321,W04,UPS,2024-05-03,2024-05-09,131.26,Late
SH0000322,SO0000322,W04,FedEx,2024-02-18,2024-02-21,529.54,On Time
SH0000323,SO0000323,W06,Local Carrier,2025-12-23,2025-12-29,859.02,Late
SH0000324,SO0000324,W01,Local Carrier,2025-05-22,2025-05-26,245.4,On Time
SH0000325,SO0000325,W04,FedEx,2024-09-27,2024-10-05,334.52,Late
SH0000326,SO0000326,W03,UPS,2026-05-05,2026-05-18,142.59,Late
SH0000327,SO0000327,W02,UPS,2023-01-04,2023-01-10,166.31,Late
SH0000328,SO0000328,W02,DHL,2026-06-27,2026-07-06,462.92,Late
SH0000329,SO0000329,W02,FedEx,2026-05-15,2026-05-18,310.38,On Time
SH0000330,SO0000330,W05,FedEx,2024-09-12,2024-09-27,670.19,Late
SH0000331,SO0000331,W01,UPS,2024-11-08,2024-11-12,364.28,On Time
SH0000332,SO0000332,W06,FedEx,2023-05-06,2023-05-08,324.23,On Time
SH0000333,SO0000333,W02,UPS,2025-08-31,2025-09-09,559.77,Late
SH0000334,SO0000334,W01,DHL,2023-01-18,2023-01-30,834.17,Late
SH0000335,SO0000335,W01,Local Carrier,2026-07-02,2026-07-13,462.32,Late
