PurchaseOrderID,OrderDate,SupplierID,ProductID,WarehouseID,QuantityOrdered,POValue,ExpectedReceiptDate,ActualReceiptDate,DefectRate,Status
PO000086,2024-08-21,S0018,P00143,W01,276,11870.75,2024-09-15,2024-09-20,0.0304,Received
PO000087,2024-06-14,S0089,P00797,W01,405,65194.12,2024-07-01,2024-07-06,0.0244,Received
PO000088,2026-06-03,S0073,P00770,W03,199,11459.24,2026-06-10,2026-06-16,0.0097,Received
PO000089,2026-06-24,S0043,P00830,W01,480,19125.96,2026-06-29,2026-06-29,0.0128,Received
PO000090,2024-09-01,S0083,P00810,W05,302,16115.99,2024-10-01,2024-10-05,0.1102,Received
PO000091,2023-11-27,S0039,P00595,W03,375,25623.15,2023-12-18,2023-12-18,0.0363,Received
PO000092,2025-08-28,S0071,P00069,W01,227,21050.14,2025-09-11,2025-09-11,0.0171,Received
PO000093,2024-05-25,S0061,P00459,W04,421,145384.09,2024-06-15,2024-06-15,0.0435,Received
PO000094,2023-08-31,S0068,P00757,W01,108,3021.27,2023-09-07,2023-09-18,0.0112,Received
PO000095,2023-05-18,S0119,P00594,W02,119,4019.2,2023-06-11,2023-06-18,0.064,Received
PO000096,2023-03-25,S0088,P00585,W06,54,1524.77,2023-04-04,2023-04-04,0.017,Received
PO000097,2024-12-29,S0009,P00446,W05,467,11066.61,2025-01-22,2025-01-29,0.027,Received
PO000098,2023-08-11,S0098,P00647,W05,440,4454.47,2023-08-21,2023-08-25,0.0243,Received
PO000099,2025-02-25,S0062,P00881,W01,210,13966.09,2025-03-22,2025-03-23,0.0219,Received
PO000100,2025-12-09,S0107,P00558,W01,342,22480.41,2025-12-21,2026-01-01,0.0121,Received
PO000101,2023-04-04,S0112,P00803,W05,159,9520.05,2023-04-23,2023-04-23,0.0037,Received
PO000102,2023-08-04,S0033,P00363,W04,115,7935.22,2023-08-19,2023-08-24,0.0493,Received
PO000103,2023-09-07,S0067,P00889,W03,388,10765.43,2023-10-04,2023-10-10,0.0222,Received
PO000104,2025-08-20,S0072,P00778,W05,41,3743.31,2025-09-01,2025-09-01,0.0226,Received
PO000105,2026-08-21,S0005,P00596,W01,270,11198.47,2026-09-03,2026-09-03,0.0656,Open
PO000106,2024-12-20,S0101,P00943,W06,386,42682.25,2024-12-28,2024-12-28,0.0245,Received
PO000107,2025-03-07,S0057,P01000,W01,216,969.36,2025-03-18,2025-03-18,0.0322,Received
PO000108,2024-06-19,S0041,P00336,W01,368,18397.34,2024-07-13,2024-07-18,0.0241,Received
PO000109,2023-04-12,S0114,P00423,W05,384,67890.88,2023-04-25,2023-04-25,0.0687,Received
PO000110,2025-06-27,S0107,P00244,W06,337,8655.5,2025-07-24,2025-07-25,0.0154,Received
PO000111,2025-01-29,S0040,P00157,W01,475,63770.69,2025-02-20,2025-02-22,0.0436,Received
PO000112,2024-10-23,S0078,P00644,W04,198,11424.92,2024-11-11,2024-11-11,0.0565,Received
PO000113,2024-02-10,S0080,P00374,W03,196,3117.75,2024-03-05,2024-03-12,0.0524,Received
PO000114,2025-05-19,S0046,P00737,W05,217,6204.29,2025-06-18,2025-06-18,0.0287,Received
PO000115,2024-06-15,S0036,P00212,W01,366,43311.99,2024-06-24,2024-06-30,0.0731,Received
PO000116,2024-05-08,S0011,P00613,W05,187,6829.57,2024-05-23,2024-05-28,0.0126,Received
PO000117,2023-12-10,S0061,P00422,W03,107,6586.48,2023-12-17,2023-12-20,0.0495,Received
PO000118,2026-01-10,S0074,P00221,W03,88,5195.72,2026-01-15,2026-01-16,0.0485,Received
PO000119,2023-10-20,S0028,P00232,W04,90,2922.53,2023-11-17,2023-11-17,0.0367,Received
PO000120,2025-02-14,S0071,P00188,W04,306,27150.55,2025-02-20,2025-02-27,0.061,Received
PO000121,2025-02-07,S0016,P00041,W06,89,1414.29,2025-02-23,2025-02-28,0.0692,Received
PO000122,2025-04-16,S0088,P00165,W02,487,22321.46,2025-05-13,2025-05-13,0.0345,Received
PO000123,2024-11-21,S0028,P00886,W06,153,21935.26,2024-12-16,2024-12-16,0.0312,Received
PO000124,2026-03-23,S0047,P00128,W04,269,12048.37,2026-04-01,2026-04-02,0.0172,Received
PO000125,2023-09-07,S0100,P00103,W02,140,4270.4,2023-09-25,2023-09-30,0.0189,Received
PO000126,2023-07-03,S0029,P00420,W02,60,5745.6,2023-07-28,2023-07-28,0.0172,Received
PO000127,2024-05-23,S0080,P00374,W04,56,806.15,2024-06-16,2024-06-17,0.0195,Received
PO000128,2024-09-18,S0078,P00081,W04,308,32930.49,2024-10-15,2024-10-24,0.082,Received
PO000129,2023-12-12,S0007,P00419,W02,47,2679.82,2023-12-30,2023-12-30,0.0264,Received
PO000130,2023-12-07,S0024,P00528,W01,315,22403.33,2023-12-23,2023-12-28,0.0151,Received
PO000131,2025-02-01,S0055,P00231,W03,324,37061.3,2025-02-18,2025-02-26,0.0571,Received
PO000132,2026-08-06,S0109,P00991,W03,471,23321.63,2026-08-14,2026-08-19,0.0017,Received
PO000133,2024-07-26,S0035,P00642,W03,413,24083.6,2024-08-04,2024-08-04,0.0343,Received
PO000134,2023-08-28,S0009,P00928,W02,175,16269.23,2023-09-07,2023-09-17,0.0216,Received
PO000135,2024-01-23,S0035,P00305,W05,408,42920.84,2024-02-18,2024-02-23,0.0115,Received
PO000136,2023-03-19,S0058,P00606,W03,126,4423.45,2023-03-31,2023-03-31,0.053,Received
PO000137,2026-06-12,S0096,P00873,W01,281,32965.97,2026-07-06,2026-07-06,0.0344,Received
PO000138,2023-05-20,S0046,P00348,W03,459,23005.29,2023-06-14,2023-06-22,0.0058,Received
PO000139,2024-09-02,S0054,P00113,W01,394,28553.18,2024-09-15,2024-09-15,0.0429,Received
PO000140,2023-01-16,S0062,P00773,W02,383,5282.14,2023-02-15,2023-02-15,0.0504,Received
PO000141,2024-09-01,S0062,P00773,W06,72,960.1,2024-10-01,2024-10-02,0.0305,Received
PO000142,2025-01-10,S0024,P00240,W03,276,6059.3,2025-01-19,2025-01-21,0.0325,Received
PO000143,2024-11-30,S0047,P00498,W01,397,15516.26,2024-12-29,2024-12-30,0.0285,Received
PO000144,2023-04-06,S0057,P00330,W06,244,32164.6,2023-05-05,2023-05-09,0.0514,Received
PO000145,2024-11-28,S0119,P00503,W03,91,5710.13,2024-12-24,2024-12-25,0.1067,Received
PO000146,2023-02-28,S0082,P00484,W05,179,6502.69,2023-03-17,2023-03-18,0.017,Received
PO000147,2026-08-16,S0094,P00875,W05,269,22451.76,2026-09-10,2026-09-18,0.0391,Open
PO000148,2023-02-22,S0099,P00557,W05,181,14227.31,2023-03-11,2023-03-15,0.0328,Received
PO000149,2025-08-12,S0017,P00649,W04,217,3977.63,2025-09-08,2025-09-12,0.0268,Received
PO000150,2024-01-10,S0097,P00298,W05,426,13835.05,2024-01-20,2024-01-20,0.0339,Received
PO000151,2025-10-03,S0117,P00815,W06,471,14507.13,2025-10-19,2025-10-19,0.0221,Received
PO000152,2023-06-18,S0036,P00123,W02,415,35783.43,2023-07-07,2023-07-11,0.0234,Received
PO000153,2023-03-08,S0030,P00177,W03,27,2215.92,2023-04-05,2023-04-05,0.0459,Received
PO000154,2025-01-06,S0101,P00550,W03,50,1802.12,2025-01-14,2025-01-20,0.0182,Received
PO000155,2025-09-15,S0091,P00173,W03,56,630.78,2025-09-30,2025-10-03,0.014,Received
PO000156,2025-03-23,S0065,P00449,W01,85,7637.09,2025-04-01,2025-04-06,0.0552,Received
PO000157,2025-03-13,S0071,P00069,W06,290,24711.72,2025-03-27,2025-03-30,0.0477,Received
PO000158,2025-12-18,S0103,P00571,W01,199,8737.16,2026-01-10,2026-01-10,0.0293,Received
PO000159,2024-10-24,S0117,P00187,W04,483,95496.5,2024-11-08,2024-11-13,0.0319,Received
PO000160,2023-12-05,S0071,P00964,W04,461,27430.69,2023-12-18,2023-12-19,0.0147,Received
PO000161,2025-01-21,S0088,P00535,W06,267,6743.32,2025-02-04,2025-02-04,0.0184,Received
PO000162,2024-01-01,S0020,P00658,W06,423,15995.01,2024-01-18,2024-01-22,0.0182,Received
PO000163,2026-04-19,S0049,P00938,W02,124,3213.04,2026-05-07,2026-05-09,0.0492,Received
PO000164,2024-02-17,S0104,P00824,W05,431,16145.21,2024-02-28,2024-02-28,0.0208,Received
PO000165,2025-06-06,S0050,P00084,W04,74,3200.28,2025-06-24,2025-06-24,0.023,Received
PO000166,2024-10-18,S0044,P00288,W03,471,12590.58,2024-10-27,2024-10-27,0.024,Received
PO000167,2024-05-13,S0029,P00420,W01,222,21499.84,2024-06-07,2024-06-16,0.0482,Received
PO000168,2026-04-28,S0114,P00451,W06,430,38657.07,2026-05-19,2026-05-28,0.0239,Received
PO000169,2026-01-23,S0028,P00114,W02,38,244.74,2026-02-01,2026-02-07,0.0088,Received
PO000170,2023-11-21,S0042,P00185,W06,167,37998.73,2023-12-16,2023-12-25,0.067,Received
PO000171,2025-06-05,S0110,P00191,W05,392,14654.28,2025-06-30,2025-06-30,0.021,Received
PO000172,2025-07-25,S0011,P00613,W01,352,12736.07,2025-08-09,2025-08-14,0.0445,Received
PO000173,2023-04-01,S0085,P00689,W06,62,2061.96,2023-04-24,2023-05-01,0.0462,Received
PO000174,2023-08-28,S0081,P00224,W01,37,392.31,2023-09-11,2023-09-11,0.0396,Received
PO000175,2023-01-12,S0078,P00813,W04,427,3491.53,2023-02-03,2023-02-12,0.0655,Received
PO000176,2024-07-09,S0023,P00572,W02,58,3959.43,2024-07-17,2024-07-17,0.0326,Received
PO000177,2024-12-17,S0046,P00655,W04,44,5587.42,2025-01-16,2025-01-16,0.0162,Received
PO000178,2023-09-06,S0016,P00643,W03,144,18422.6,2023-09-20,2023-09-20,0.0297,Received
PO000179,2025-10-26,S0034,P00910,W06,499,102838.19,2025-11-08,2025-11-08,0.0085,Received
PO000180,2025-03-19,S0115,P00315,W01,214,3971.47,2025-04-02,2025-04-02,0.041,Received
PO000181,2025-08-18,S0117,P00038,W04,118,1219.87,2025-09-03,2025-09-06,0.0724,Received
PO000182,2026-04-17,S0117,P00815,W04,417,11709.82,2026-05-03,2026-05-10,0.0245,Received
PO000183,2026-07-05,S0002,P00853,W04,280,6782.07,2026-07-31,2026-08-03,0.0112,Received
PO000184,2025-12-17,S0049,P00938,W02,253,6516.76,2026-01-04,2026-01-04,0.0252,Received
PO000185,2026-04-09,S0049,P00996,W04,68,8061.92,2026-05-02,2026-05-04,0.024,Received
PO000186,2025-03-14,S0033,P00363,W06,155,10726.94,2025-03-29,2025-03-29,0.0348,Received
PO000187,2025-10-27,S0079,P00530,W05,454,52867.94,2025-11-04,2025-11-04,0.0434,Received
PO000188,2026-01-25,S0024,P00240,W02,66,1456.96,2026-02-03,2026-02-06,0.0272,Received
PO000189,2025-12-09,S0098,P00332,W04,494,17884.66,2025-12-17,2025-12-17,0.0271,Received
PO000190,2023-05-11,S0085,P00687,W01,134,25213.65,2023-05-26,2023-05-28,0.0348,Received
PO000191,2024-01-18,S0051,P00492,W02,471,29807.37,2024-01-28,2024-01-29,0.037,Received
PO000192,2023-07-29,S0024,P00517,W05,302,4343.28,2023-08-13,2023-08-13,0.038,Received
PO000193,2023-08-15,S0104,P00983,W06,188,3766.97,2023-09-11,2023-09-11,0.033,Received
PO000194,2025-05-21,S0085,P00689,W03,421,14430.19,2025-06-13,2025-06-13,0.0092,Received
PO000195,2024-01-28,S0085,P00689,W02,228,7311.06,2024-02-20,2024-02-23,0.0038,Received
PO000196,2024-06-17,S0006,P00365,W06,176,9223.21,2024-07-03,2024-07-07,0.0522,Received
PO000197,2024-06-07,S0044,P00288,W04,103,2730.32,2024-06-16,2024-06-16,0.017,Received
PO000198,2023-10-08,S0109,P00229,W01,336,10384.52,2023-10-21,2023-10-22,0.0192,Received
PO000199,2024-07-24,S0063,P00805,W04,188,5604.44,2024-08-03,2024-08-12,0.0044,Received
PO000200,2025-09-11,S0067,P00091,W03,458,47288.92,2025-10-08,2025-10-09,0.0319,Received
PO000201,2024-01-09,S0031,P00935,W01,405,19574.68,2024-01-14,2024-01-14,0.0339,Received
PO000202,2023-09-25,S0048,P00061,W03,310,40482.39,2023-10-17,2023-10-17,0.0196,Received
PO000203,2024-05-30,S0048,P00845,W04,313,17331.27,2024-06-15,2024-06-15,0.0146,Received
PO000204,2026-07-22,S0046,P00655,W01,251,32556.38,2026-08-21,2026-08-24,0.063,Received
PO000205,2025-02-21,S0103,P00005,W06,235,11363.28,2025-03-03,2025-03-08,0.0361,Received
PO000206,2024-05-10,S0040,P00462,W03,181,6175.32,2024-06-07,2024-06-14,0.0219,Received
PO000207,2023-09-18,S0018,P00546,W02,37,5166.25,2023-10-07,2023-10-11,0.0265,Received
PO000208,2024-07-30,S0023,P00572,W02,306,22610.59,2024-08-07,2024-08-07,0.0613,Received
PO000209,2024-05-17,S0089,P00999,W05,72,4736.93,2024-05-23,2024-05-23,0.0481,Received
PO000210,2024-10-03,S0049,P00996,W01,23,2968.57,2024-10-26,2024-10-26,0.0375,Received
PO000211,2023-02-20,S0101,P00399,W02,194,6919.77,2023-03-12,2023-03-12,0.0143,Received
PO000212,2023-11-26,S0118,P00179,W06,188,12327.19,2023-12-08,2023-12-09,0.0954,Received
PO000213,2023-05-24,S0013,P00301,W03,94,8182.63,2023-06-10,2023-06-10,0.0466,Received
PO000214,2026-03-02,S0027,P00967,W02,42,3628.34,2026-03-11,2026-03-11,0.0125,Received
PO000215,2023-06-27,S0057,P00237,W02,476,125090.5,2023-07-03,2023-07-06,0.0685,Received
PO000216,2025-08-17,S0097,P00862,W03,390,17026.29,2025-09-08,2025-09-09,0.0121,Received
PO000217,2026-04-13,S0040,P00666,W06,39,491.68,2026-04-19,2026-04-23,0.0752,Received
PO000218,2024-05-07,S0092,P00017,W06,424,10379.32,2024-05-23,2024-05-31,0.0368,Received
PO000219,2024-10-12,S0014,P00767,W03,151,42378.0,2024-10-25,2024-10-28,0.0321,Received
PO000220,2026-08-12,S0099,P00761,W02,138,8502.99,2026-09-05,2026-09-13,0.0081,Open
PO000221,2025-02-23,S0015,P00686,W06,222,16293.25,2025-03-18,2025-03-18,0.0313,Received
PO000222,2025-07-10,S0060,P00098,W03,390,6051.29,2025-07-24,2025-07-29,0.0634,Received
PO000223,2023-10-25,S0056,P00807,W02,102,6234.44,2023-11-23,2023-11-30,0.042,Received
PO000224,2026-04-11,S0050,P00084,W03,342,15178.45,2026-04-29,2026-05-02,0.0291,Received
PO000225,2026-01-21,S0105,P00430,W04,217,3612.99,2026-02-18,2026-02-18,0.0488,Received
PO000226,2025-08-12,S0057,P00237,W06,239,59130.06,2025-08-18,2025-08-19,0.0254,Received
PO000227,2024-09-20,S0104,P00580,W05,262,5352.93,2024-10-20,2024-10-20,0.0188,Received
PO000228,2024-04-18,S0007,P00019,W01,452,21973.19,2024-05-16,2024-05-18,0.0647,Received
PO000229,2026-05-29,S0018,P00673,W05,475,15047.21,2026-06-09,2026-06-11,0.0316,Received
PO000230,2025-08-13,S0065,P00449,W01,129,11620.35,2025-08-22,2025-08-30,0.04,Received
PO000231,2023-03-27,S0042,P00185,W06,449,97881.25,2023-04-21,2023-04-21,0.0264,Received
PO000232,2024-10-10,S0034,P00548,W06,22,2066.8,2024-10-19,2024-10-26,0.0257,Received
PO000233,2024-03-10,S0023,P00225,W03,155,4506.22,2024-03-31,2024-03-31,0.0546,Received
PO000234,2026-01-12,S0004,P00909,W04,396,16596.76,2026-02-01,2026-02-01,0.0395,Received
PO000235,2024-06-22,S0069,P00161,W06,170,11152.54,2024-07-19,2024-07-19,0.0287,Received
PO000236,2025-03-06,S0087,P00556,W05,55,3188.19,2025-03-31,2025-04-02,0.0295,Received
PO000237,2023-06-12,S0006,P00365,W03,485,23230.61,2023-06-28,2023-07-02,0.0072,Received
PO000238,2023-08-16,S0040,P00666,W06,35,432.9,2023-08-22,2023-08-23,0.011,Received
PO000239,2026-02-18,S0011,P00254,W05,231,9063.15,2026-03-02,2026-03-02,0.0515,Received
PO000240,2023-11-25,S0048,P00202,W02,239,10020.64,2023-12-16,2023-12-16,0.0293,Received
PO000241,2025-04-26,S0120,P00085,W03,178,21836.79,2025-05-25,2025-05-27,0.0288,Received
PO000242,2025-10-20,S0104,P00107,W05,391,10684.74,2025-10-28,2025-10-28,0.0045,Received
PO000243,2023-09-28,S0082,P00484,W06,165,6072.47,2023-10-15,2023-10-16,0.0401,Received
PO000244,2023-01-12,S0007,P00523,W04,201,4220.44,2023-01-28,2023-01-30,0.0482,Received
PO000245,2024-12-25,S0087,P00556,W05,26,1533.45,2025-01-19,2025-01-19,0.04,Received
PO000246,2024-09-17,S0105,P00275,W03,67,4949.71,2024-10-02,2024-10-02,0.023,Received
PO000247,2023-11-28,S0016,P00760,W01,374,11335.73,2023-12-11,2023-12-20,0.088,Received
PO000248,2023-11-06,S0063,P00805,W02,115,3672.02,2023-11-16,2023-11-24,0.0129,Received
PO000249,2025-11-01,S0057,P00293,W04,231,7877.85,2025-11-11,2025-11-18,0.0184,Received
PO000250,2026-05-09,S0117,P00482,W03,207,7945.95,2026-05-23,2026-05-23,0.055,Received
PO000251,2024-11-23,S0038,P00087,W06,444,22739.27,2024-12-21,2024-12-21,0.0396,Received
PO000252,2026-07-16,S0067,P00151,W04,151,9028.81,2026-08-05,2026-08-08,0.0713,Received
PO000253,2024-03-10,S0032,P00417,W02,90,7057.53,2024-03-31,2024-04-01,0.0479,Received
PO000254,2026-02-24,S0090,P00164,W03,333,11244.0,2026-03-23,2026-03-23,0.0498,Received
PO000255,2026-04-16,S0114,P00908,W01,217,6715.71,2026-04-27,2026-04-28,0.0825,Received
PO000256,2023-05-25,S0062,P00773,W03,143,1848.16,2023-06-24,2023-07-01,0.0217,Received
PO000257,2023-09-12,S0025,P00485,W02,157,9066.08,2023-09-23,2023-09-29,0.0255,Received
PO000258,2026-07-16,S0095,P00065,W06,221,2308.32,2026-08-02,2026-08-03,0.0089,Received
PO000259,2025-12-20,S0092,P00614,W05,214,19695.98,2026-01-09,2026-01-17,0.0256,Received
PO000260,2025-02-06,S0031,P00948,W02,202,15248.15,2025-02-16,2025-02-23,0.0143,Received
PO000261,2023-04-18,S0041,P00323,W04,41,3821.77,2023-05-17,2023-05-17,0.0163,Received
PO000262,2024-08-04,S0078,P00644,W06,120,6813.82,2024-08-23,2024-08-26,0.009,Received
PO000263,2024-12-20,S0033,P00799,W06,176,9936.19,2024-12-29,2024-12-29,0.0095,Received
PO000264,2023-06-29,S0085,P00353,W01,467,4565.44,2023-07-13,2023-07-16,0.0443,Received
PO000265,2026-04-20,S0067,P00889,W05,238,7262.87,2026-05-17,2026-05-23,0.0147,Received
PO000266,2025-09-08,S0112,P00812,W05,415,2188.29,2025-09-17,2025-09-17,0.0288,Received
PO000267,2026-02-22,S0085,P00687,W01,354,63184.47,2026-03-09,2026-03-09,0.0201,Received
