SalesOrderID,OrderDate,ProductID,WarehouseID,Quantity,Revenue,PromisedDeliveryDate,ActualDeliveryDate,OrderStatus,Channel
SO0000054,2025-04-06,P00928,W02,6,730.52,2025-04-09,2025-04-16,Delivered,B2B
SO0000055,2024-01-07,P00785,W06,9,1926.34,2024-01-11,2024-01-14,Delivered,Retail
SO0000056,2023-02-17,P00281,W03,9,526.34,2023-02-21,2023-02-21,Delivered,B2B
SO0000057,2024-07-13,P00565,W04,7,437.44,2024-07-18,2024-07-18,Delivered,B2B
SO0000058,2026-05-20,P00408,W03,6,943.13,2026-05-29,2026-05-29,Delivered,Online
SO0000059,2023-07-06,P00511,W04,10,794.25,2023-07-11,2023-07-14,Delivered,Retail
SO0000060,2026-04-21,P00025,W06,9,792.7,2026-04-30,2026-04-30,Delivered,B2B
SO0000061,2026-04-29,P00989,W02,4,215.99,2026-05-05,2026-05-06,Delivered,Distributor
SO0000062,2024-11-16,P00309,W06,7,670.81,2024-11-25,2024-11-25,Delivered,Online
SO0000063,2023-10-12,P00222,W06,6,877.6,2023-10-19,2023-10-19,Delivered,Distributor
SO0000064,2024-03-28,P00928,W03,7,764.79,2024-04-05,2024-04-06,Delivered,Retail
SO0000065,2023-08-23,P00965,W02,6,76.45,2023-08-29,2023-08-31,Delivered,Online
SO0000066,2023-10-18,P00524,W04,10,1883.83,2023-10-26,2023-10-26,Delivered,Distributor
SO0000067,2024-01-22,P00054,W01,12,1562.08,2024-01-27,2024-02-01,Delivered,Retail
SO0000068,2026-02-07,P00270,W05,6,698.92,2026-02-13,2026-02-13,Delivered,Distributor
SO0000069,2026-01-25,P00834,W02,8,1138.92,2026-02-02,2026-02-05,Delivered,Distributor
SO0000070,2024-04-07,P00511,W05,5,381.73,2024-04-09,2024-04-09,Delivered,Online
SO0000071,2024-04-16,P00175,W04,8,666.07,2024-04-23,2024-04-26,Delivered,Retail
SO0000072,2026-01-07,P00221,W02,12,837.42,2026-01-12,2026-01-13,Delivered,Online
SO0000073,2023-09-21,P00479,W01,7,397.16,2023-09-25,2023-09-30,Delivered,Retail
SO0000074,2024-08-22,P00318,W05,9,471.89,2024-08-31,2024-09-02,Delivered,B2B
SO0000075,2026-06-08,P00309,W03,4,402.65,2026-06-12,2026-06-12,Delivered,Distributor
SO0000076,2025-09-22,P00222,W01,11,1611.81,2025-09-29,2025-09-30,Delivered,B2B
SO0000077,2024-06-30,P00197,W02,6,139.54,2024-07-05,2024-07-05,Delivered,Online
SO0000078,2024-11-14,P00985,W04,7,775.18,2024-11-20,2024-11-20,Delivered,Distributor
SO0000079,2023-11-21,P00587,W04,7,398.42,2023-11-25,2023-11-25,Delivered,Distributor
SO0000080,2025-11-03,P00785,W06,4,924.79,2025-11-05,2025-11-06,Delivered,B2B
SO0000081,2024-10-20,P00499,W06,3,815.01,2024-10-25,2024-10-25,Delivered,Retail
SO0000082,2023-07-16,P00666,W01,5,110.36,2023-07-20,2023-07-25,Delivered,Online
SO0000083,2025-09-04,P00790,W02,10,611.45,2025-09-11,2025-09-18,Delivered,Distributor
SO0000084,2024-07-25,P00053,W05,10,1711.38,2024-08-01,2024-08-08,Delivered,Retail
SO0000085,2024-11-06,P00639,W01,5,393.18,2024-11-13,2024-11-14,Delivered,B2B
SO0000086,2026-03-02,P00037,W06,11,398.8,2026-03-09,2026-03-16,Delivered,Distributor
SO0000087,2026-04-23,P00619,W01,8,1035.27,2026-04-28,2026-05-01,Delivered,B2B
SO0000088,2023-05-07,P00240,W06,8,349.76,2023-05-11,2023-05-11,Delivered,Retail
SO0000089,2023-12-24,P00158,W04,7,461.62,2023-12-28,2023-12-28,Delivered,Online
SO0000090,2023-09-04,P00203,W05,5,113.38,2023-09-12,2023-09-12,Delivered,Distributor
SO0000091,2024-08-14,P00999,W05,12,983.57,2024-08-23,2024-08-25,Delivered,Retail
SO0000092,2025-07-07,P00950,W01,5,215.9,2025-07-14,2025-07-19,Delivered,Retail
SO0000093,2024-12-05,P00065,W04,10,146.08,2024-12-08,2024-12-08,Delivered,Retail
SO0000094,2023-07-15,P00203,W02,10,230.46,2023-07-20,2023-07-25,Delivered,B2B
SO0000095,2023-10-14,P00442,W04,6,602.95,2023-10-23,2023-10-23,Delivered,B2B
SO0000096,2024-09-04,P00894,W01,4,1208.99,2024-09-13,2024-09-18,Delivered,Retail
SO0000097,2026-08-21,P00083,W03,9,557.79,2026-08-29,2026-08-30,Delivered,Retail
SO0000098,2025-01-21,P00671,W01,7,671.64,2025-01-23,2025-01-25,Delivered,B2B
SO0000099,2024-06-26,P00489,W02,9,1044.33,2024-06-30,2024-07-07,Delivered,Online
SO0000100,2023-01-12,P00972,W05,8,905.92,2023-01-19,2023-01-19,Delivered,Retail
SO0000101,2023-06-14,P00420,W06,8,1295.19,2023-06-23,2023-06-23,Delivered,Retail
SO0000102,2026-01-10,P00680,W01,5,258.34,2026-01-14,2026-01-16,Delivered,Online
SO0000103,2026-07-23,P00617,W06,4,482.12,2026-07-30,2026-08-04,Delivered,Retail
SO0000104,2025-12-21,P00173,W02,7,168.13,2025-12-28,2026-01-04,Delivered,Retail
SO0000105,2023-09-09,P00853,W05,7,257.81,2023-09-13,2023-09-13,Delivered,Retail
SO0000106,2026-08-12,P00611,W06,8,1104.34,2026-08-14,2026-08-14,Delivered,Distributor
SO0000107,2025-12-10,P00564,W01,6,383.2,2025-12-13,2025-12-13,Delivered,Online
SO0000108,2023-03-22,P00902,W06,4,423.09,2023-03-28,2023-03-28,Delivered,Online
SO0000109,2023-11-12,P00399,W05,8,506.31,2023-11-15,2023-11-16,Delivered,Retail
SO0000110,2023-10-09,P00089,W03,7,193.07,2023-10-13,2023-10-13,Delivered,B2B
SO0000111,2024-07-13,P00463,W01,6,384.0,2024-07-15,2024-07-18,Delivered,Online
SO0000112,2023-09-19,P00374,W01,9,154.01,2023-09-23,2023-09-28,Delivered,Retail
SO0000113,2023-12-25,P00596,W03,9,626.22,2023-12-30,2023-12-30,Delivered,Distributor
SO0000114,2025-03-25,P00027,W05,3,414.81,2025-03-30,2025-03-30,Delivered,Retail
SO0000115,2024-10-27,P00374,W03,6,115.38,2024-11-04,2024-11-06,Delivered,Distributor
SO0000116,2023-09-22,P00242,W04,5,576.06,2023-09-25,2023-10-02,Delivered,Online
SO0000117,2024-03-24,P00760,W06,7,273.69,2024-04-02,2024-04-09,Delivered,Distributor
SO0000118,2024-01-11,P00953,W02,10,315.05,2024-01-15,2024-01-15,Delivered,Retail
SO0000119,2025-01-24,P00354,W06,4,294.31,2025-02-02,2025-02-02,Delivered,Distributor
SO0000120,2025-01-17,P00499,W02,9,2697.02,2025-01-19,2025-01-20,Delivered,Online
SO0000121,2024-08-13,P00644,W05,10,850.55,2024-08-15,2024-08-15,Delivered,Distributor
SO0000122,2023-08-28,P00192,W04,5,175.87,2023-09-02,2023-09-05,Delivered,Online
SO0000123,2024-07-12,P00273,W06,4,634.51,2024-07-18,2024-07-23,Delivered,Online
SO0000124,2025-12-06,P00857,W01,8,407.06,2025-12-14,2025-12-15,Delivered,B2B
SO0000125,2026-04-15,P00677,W05,4,136.44,2026-04-20,2026-04-23,Delivered,Distributor
SO0000126,2023-07-09,P00549,W04,13,1273.8,2023-07-13,2023-07-14,Delivered,Online
SO0000127,2024-04-05,P00587,W02,8,477.42,2024-04-13,2024-04-13,Delivered,Distributor
SO0000128,2023-12-17,P00772,W02,9,636.02,2023-12-23,2023-12-26,Delivered,Distributor
SO0000129,2023-02-25,P00309,W02,8,800.83,2023-02-28,2023-03-05,Delivered,B2B
SO0000130,2024-05-01,P00951,W06,5,393.07,2024-05-07,2024-05-07,Delivered,Retail
SO0000131,2025-04-25,P00146,W04,8,169.2,2025-05-04,2025-05-04,Delivered,B2B
SO0000132,2024-04-20,P00318,W03,11,569.34,2024-04-26,2024-04-26,Delivered,Retail
SO0000133,2023-01-30,P00773,W04,11,297.68,2023-02-03,2023-02-06,Delivered,Distributor
SO0000134,2024-03-02,P00124,W02,4,154.83,2024-03-08,2024-03-08,Delivered,Retail
SO0000135,2025-05-27,P00379,W04,10,2593.29,2025-06-01,2025-06-01,Delivered,Retail
SO0000136,2024-09-23,P00103,W02,8,478.86,2024-09-26,2024-09-26,Delivered,Distributor
SO0000137,2026-07-28,P00081,W02,7,1273.68,2026-08-05,2026-08-10,Delivered,Online
SO0000138,2025-11-12,P00398,W06,5,911.46,2025-11-18,2025-11-18,Delivered,Online
SO0000139,2024-01-19,P00991,W06,6,487.32,2024-01-22,2024-01-23,Delivered,B2B
SO0000140,2023-10-12,P00984,W05,3,230.0,2023-10-20,2023-10-20,Delivered,Distributor
SO0000141,2024-03-17,P00593,W02,7,594.38,2024-03-24,2024-03-24,Delivered,Distributor
SO0000142,2025-03-13,P00234,W01,4,166.56,2025-03-16,2025-03-17,Delivered,B2B
SO0000143,2025-02-28,P00366,W06,2,201.21,2025-03-02,2025-03-02,Delivered,Online
SO0000144,2024-03-29,P00296,W03,7,2376.19,2024-04-04,2024-04-06,Delivered,Distributor
SO0000145,2023-11-11,P00308,W03,7,277.54,2023-11-14,2023-11-16,Delivered,Retail
SO0000146,2026-08-15,P00117,W01,10,983.48,2026-08-19,2026-08-19,Delivered,B2B
SO0000147,2024-01-11,P00156,W06,8,342.54,2024-01-13,2024-01-13,Delivered,Distributor
SO0000148,2024-12-14,P00880,W02,11,4735.29,2024-12-23,2024-12-25,Delivered,Distributor
SO0000149,2024-08-02,P00161,W02,1,101.98,2024-08-06,2024-08-11,Delivered,Retail
SO0000150,2026-04-17,P00498,W03,4,315.13,2026-04-19,2026-04-20,Delivered,Retail
SO0000151,2024-12-08,P00709,W06,9,1601.01,2024-12-13,2024-12-20,Delivered,B2B
SO0000152,2026-04-25,P00103,W05,7,459.36,2026-05-02,2026-05-02,Delivered,Retail
SO0000153,2023-08-24,P00889,W02,5,234.77,2023-08-31,2023-08-31,Delivered,Distributor
SO0000154,2023-03-24,P00160,W01,8,1111.77,2023-03-30,2023-03-30,Delivered,Online
SO0000155,2024-09-22,P00122,W02,7,290.94,2024-09-25,2024-09-25,Delivered,Retail
SO0000156,2024-03-27,P00272,W04,11,3461.24,2024-03-29,2024-03-31,Delivered,B2B
SO0000157,2023-08-17,P00889,W01,6,291.67,2023-08-22,2023-08-22,Delivered,Retail
SO0000158,2025-12-15,P00025,W06,7,657.86,2025-12-17,2025-12-20,Delivered,Distributor
SO0000159,2025-11-21,P00788,W02,6,536.23,2025-11-29,2025-12-06,Delivered,Distributor
SO0000160,2024-02-26,P00346,W05,6,295.3,2024-03-01,2024-03-01,Delivered,Retail
SO0000161,2023-07-25,P00106,W05,8,422.38,2023-08-03,2023-08-08,Delivered,Online
SO0000162,2024-08-19,P00832,W03,7,769.97,2024-08-23,2024-08-23,Delivered,B2B
SO0000163,2023-02-16,P00052,W06,7,552.75,2023-02-25,2023-02-25,Delivered,B2B
SO0000164,2023-04-16,P00043,W05,9,953.71,2023-04-23,2023-04-23,Delivered,B2B
SO0000165,2024-07-15,P00004,W02,9,450.04,2024-07-23,2024-07-23,Delivered,Online
SO0000166,2024-04-15,P00095,W02,6,503.59,2024-04-23,2024-04-24,Delivered,Retail
SO0000167,2024-08-05,P00296,W04,9,3034.97,2024-08-13,2024-08-13,Delivered,Distributor
SO0000168,2023-11-07,P00938,W03,8,294.6,2023-11-16,2023-11-16,Delivered,B2B
SO0000169,2024-11-04,P00099,W05,12,2031.43,2024-11-12,2024-11-12,Delivered,B2B
SO0000170,2025-10-16,P00024,W04,3,172.62,2025-10-18,2025-10-25,Delivered,Online
SO0000171,2024-12-01,P00832,W03,3,307.78,2024-12-10,2024-12-12,Delivered,Distributor
SO0000172,2023-10-20,P00264,W01,12,985.87,2023-10-23,2023-10-25,Delivered,B2B
SO0000173,2026-01-28,P00224,W04,9,125.93,2026-02-04,2026-02-04,Delivered,Distributor
SO0000174,2024-07-21,P00931,W05,6,345.48,2024-07-23,2024-07-23,Delivered,B2B
SO0000175,2023-03-11,P00390,W04,8,207.81,2023-03-17,2023-03-17,Delivered,B2B
SO0000176,2026-07-17,P00652,W06,17,3339.21,2026-07-19,2026-07-19,Delivered,Online
SO0000177,2025-08-24,P00529,W04,4,330.7,2025-08-31,2025-09-01,Delivered,Online
SO0000178,2026-04-20,P00258,W04,6,736.57,2026-04-26,2026-04-26,Delivered,B2B
SO0000179,2025-05-29,P00227,W02,5,87.89,2025-06-06,2025-06-08,Delivered,Online
SO0000180,2025-04-19,P00368,W04,8,327.83,2025-04-22,2025-04-27,Delivered,Retail
SO0000181,2023-07-10,P00830,W05,6,386.54,2023-07-15,2023-07-15,Delivered,B2B
SO0000182,2026-02-17,P00587,W04,4,243.8,2026-02-26,2026-02-26,Delivered,B2B
SO0000183,2025-04-28,P00678,W05,5,93.31,2025-05-02,2025-05-03,Delivered,Distributor
SO0000184,2025-11-28,P00704,W06,7,316.3,2025-12-03,2025-12-08,Delivered,Online
SO0000185,2023-11-16,P00087,W03,8,749.78,2023-11-19,2023-11-19,Delivered,Online
SO0000186,2024-03-02,P00303,W05,6,431.71,2024-03-05,2024-03-05,Delivered,Online
SO0000187,2024-11-07,P00685,W03,7,512.24,2024-11-16,2024-11-23,Delivered,Retail
SO0000188,2026-05-12,P00901,W04,14,1595.74,2026-05-20,2026-05-23,Delivered,Distributor
SO0000189,2025-09-13,P00321,W02,8,169.64,2025-09-19,2025-09-26,Delivered,Retail
SO0000190,2024-07-16,P00239,W03,6,821.09,2024-07-22,2024-07-23,Delivered,Online
SO0000191,2024-08-29,P00421,W05,6,151.07,2024-09-06,2024-09-06,Delivered,Retail
SO0000192,2023-09-02,P00321,W01,5,102.25,2023-09-07,2023-09-08,Delivered,B2B
SO0000193,2023-06-24,P00003,W02,7,227.78,2023-06-27,2023-06-30,Delivered,B2B
SO0000194,2024-09-05,P00046,W02,5,563.55,2024-09-12,2024-09-19,Delivered,Retail
SO0000195,2026-08-25,P00597,W02,8,423.7,2026-09-02,2026-09-03,Open,B2B
SO0000196,2026-01-08,P00029,W04,7,3117.76,2026-01-16,2026-01-21,Delivered,Online
SO0000197,2023-02-06,P00488,W06,3,368.27,2023-02-09,2023-02-09,Delivered,Online
SO0000198,2026-06-25,P00299,W06,6,248.48,2026-06-30,2026-07-01,Delivered,Online
SO0000199,2025-08-19,P00989,W06,9,469.87,2025-08-25,2025-08-25,Delivered,Retail
SO0000200,2025-09-25,P00976,W06,11,677.52,2025-09-27,2025-09-28,Delivered,Online
SO0000201,2026-05-26,P00746,W02,5,452.78,2026-05-30,2026-06-02,Delivered,Distributor
SO0000202,2023-10-23,P00193,W02,10,1316.61,2023-10-30,2023-10-30,Delivered,Distributor
SO0000203,2026-05-20,P00793,W04,6,1452.8,2026-05-24,2026-05-29,Delivered,Distributor
SO0000204,2025-09-02,P00518,W01,5,410.0,2025-09-07,2025-09-07,Delivered,B2B
SO0000205,2025-02-24,P00525,W03,7,130.67,2025-02-26,2025-03-01,Delivered,Retail
SO0000206,2024-12-02,P00105,W01,7,666.17,2024-12-07,2024-12-12,Delivered,Distributor
SO0000207,2023-12-01,P00945,W04,7,352.36,2023-12-09,2023-12-12,Delivered,Online
SO0000208,2024-07-26,P00205,W02,7,151.96,2024-08-03,2024-08-05,Delivered,B2B
SO0000209,2024-06-02,P00984,W04,5,420.39,2024-06-08,2024-06-09,Delivered,B2B
SO0000210,2025-12-12,P00690,W01,8,607.21,2025-12-19,2025-12-19,Delivered,B2B
SO0000211,2025-11-13,P00007,W04,11,97.47,2025-11-17,2025-11-17,Delivered,Distributor
SO0000212,2023-05-30,P00321,W05,12,249.54,2023-06-03,2023-06-10,Delivered,B2B
SO0000213,2023-02-06,P00831,W02,2,70.78,2023-02-14,2023-02-14,Delivered,Distributor
SO0000214,2026-07-26,P00927,W01,5,1987.98,2026-07-30,2026-08-02,Delivered,Retail
SO0000215,2025-11-20,P00366,W01,5,484.85,2025-11-24,2025-11-29,Delivered,Online
SO0000216,2024-08-12,P00664,W05,7,165.69,2024-08-20,2024-08-23,Delivered,Online
SO0000217,2023-04-11,P00897,W02,6,308.69,2023-04-19,2023-04-24,Delivered,Retail
SO0000218,2024-02-14,P00805,W03,5,261.03,2024-02-22,2024-02-22,Delivered,Distributor
SO0000219,2025-04-20,P00567,W02,9,191.36,2025-04-22,2025-04-22,Delivered,Online
SO0000220,2023-11-23,P00809,W02,4,135.14,2023-11-26,2023-11-26,Delivered,Retail
SO0000221,2025-04-23,P00771,W03,9,379.78,2025-05-01,2025-05-04,Delivered,Retail
SO0000222,2026-06-16,P00719,W06,8,1224.24,2026-06-21,2026-06-23,Delivered,Retail
SO0000223,2024-07-31,P00611,W05,8,1037.22,2024-08-05,2024-08-07,Delivered,B2B
SO0000224,2024-12-27,P00751,W02,9,296.91,2025-01-05,2025-01-05,Delivered,Distributor
SO0000225,2025-12-10,P00982,W02,13,3122.15,2025-12-18,2025-12-18,Delivered,Retail
SO0000226,2025-04-11,P00686,W03,7,1086.97,2025-04-20,2025-04-20,Delivered,B2B
SO0000227,2023-07-20,P00864,W02,4,390.86,2023-07-23,2023-07-23,Delivered,B2B
SO0000228,2024-02-20,P00368,W01,5,194.36,2024-02-25,2024-02-26,Delivered,Distributor
SO0000229,2026-06-14,P00846,W01,8,1150.2,2026-06-20,2026-06-25,Delivered,Online
SO0000230,2025-10-02,P00247,W01,7,207.66,2025-10-07,2025-10-07,Delivered,Online
SO0000231,2025-02-10,P00476,W02,9,940.29,2025-02-17,2025-02-24,Delivered,Retail
SO0000232,2024-10-27,P00373,W01,5,212.58,2024-11-04,2024-11-04,Delivered,Distributor
SO0000233,2023-09-09,P00227,W04,5,90.47,2023-09-18,2023-09-21,Delivered,Retail
SO0000234,2026-08-26,P00394,W01,9,2002.63,2026-08-31,2026-09-07,Open,Retail
SO0000235,2024-06-05,P00062,W06,7,437.17,2024-06-09,2024-06-14,Delivered,Retail
SO0000236,2024-07-28,P00174,W06,9,600.35,2024-08-01,2024-08-08,Delivered,Retail
SO0000237,2023-11-21,P00453,W04,6,217.05,2023-11-26,2023-11-26,Delivered,Distributor
SO0000238,2023-08-08,P00140,W03,5,298.14,2023-08-11,2023-08-11,Delivered,Distributor
SO0000239,2024-10-23,P00309,W02,9,877.44,2024-10-31,2024-11-02,Delivered,Retail
SO0000240,2023-11-11,P00002,W05,9,808.3,2023-11-15,2023-11-15,Delivered,B2B
SO0000241,2026-01-11,P00648,W04,7,442.26,2026-01-17,2026-01-18,Delivered,Online
SO0000242,2026-01-20,P00330,W03,8,1857.5,2026-01-26,2026-01-26,Delivered,Retail
SO0000243,2026-03-22,P00267,W06,5,399.4,2026-03-25,2026-03-30,Delivered,Distributor
SO0000244,2024-07-12,P00291,W01,5,258.41,2024-07-16,2024-07-18,Delivered,B2B
SO0000245,2026-08-30,P00542,W06,6,378.98,2026-09-06,2026-09-08,Open,Distributor
SO0000246,2025-04-13,P00329,W05,4,667.98,2025-04-17,2025-04-17,Delivered,Retail
SO0000247,2023-04-15,P00971,W06,5,645.62,2023-04-21,2023-04-21,Delivered,Online
SO0000248,2024-09-20,P00327,W01,6,2139.91,2024-09-25,2024-09-25,Delivered,Distributor
SO0000249,2025-04-23,P00792,W03,7,175.76,2025-05-02,2025-05-02,Delivered,Online
SO0000250,2023-06-07,P00637,W04,10,397.29,2023-06-14,2023-06-21,Delivered,Online
SO0000251,2025-05-21,P00474,W06,7,154.84,2025-05-24,2025-05-29,Delivered,B2B
SO0000252,2025-02-26,P00386,W06,8,3295.14,2025-03-03,2025-03-03,Delivered,B2B
SO0000253,2025-10-27,P00178,W01,8,154.33,2025-10-31,2025-10-31,Delivered,B2B
SO0000254,2023-05-05,P00837,W04,8,271.84,2023-05-09,2023-05-09,Delivered,Distributor
SO0000255,2023-07-04,P00829,W03,10,1251.9,2023-07-13,2023-07-13,Delivered,Online
SO0000256,2024-09-16,P00140,W01,5,331.29,2024-09-18,2024-09-21,Delivered,Distributor
SO0000257,2025-03-15,P00867,W06,9,1341.57,2025-03-23,2025-03-25,Delivered,Online
SO0000258,2023-05-18,P00434,W02,8,791.52,2023-05-20,2023-05-25,Delivered,B2B
SO0000259,2024-11-24,P00999,W06,8,655.98,2024-11-26,2024-12-01,Delivered,Retail
SO0000260,2025-07-20,P00755,W05,3,109.01,2025-07-28,2025-08-02,Delivered,B2B
SO0000261,2025-03-30,P00428,W03,6,208.65,2025-04-05,2025-04-06,Delivered,Distributor
SO0000262,2023-12-02,P00413,W05,4,335.91,2023-12-06,2023-12-06,Delivered,Retail
SO0000263,2023-04-09,P00427,W03,10,183.18,2023-04-18,2023-04-25,Delivered,B2B
SO0000264,2023-01-06,P00364,W01,8,424.11,2023-01-08,2023-01-08,Delivered,Retail
SO0000265,2026-07-20,P00730,W03,11,588.13,2026-07-22,2026-07-22,Delivered,Distributor
SO0000266,2026-02-07,P00676,W02,5,1491.54,2026-02-16,2026-02-16,Delivered,Online
SO0000267,2024-12-14,P00819,W05,12,3015.11,2024-12-23,2024-12-24,Delivered,B2B
SO0000268,2026-02-17,P00681,W02,10,697.14,2026-02-22,2026-02-22,Delivered,Online
SO0000269,2024-07-31,P00823,W06,3,114.8,2024-08-03,2024-08-10,Delivered,Online
SO0000270,2024-02-09,P00879,W05,6,77.86,2024-02-17,2024-02-17,Delivered,B2B
SO0000271,2025-08-02,P00729,W02,6,114.82,2025-08-11,2025-08-13,Delivered,B2B
SO0000272,2023-10-12,P00285,W04,8,368.26,2023-10-21,2023-10-21,Delivered,Distributor
SO0000273,2023-06-02,P00242,W02,7,785.26,2023-06-10,2023-06-12,Delivered,Retail
SO0000274,2023-08-08,P00305,W03,4,749.06,2023-08-16,2023-08-23,Delivered,Retail
SO0000275,2025-08-24,P00335,W01,7,162.96,2025-09-01,2025-09-08,Delivered,Online
SO0000276,2024-06-15,P00128,W06,9,830.95,2024-06-18,2024-06-19,Delivered,Distributor
SO0000277,2026-08-19,P00413,W06,4,339.28,2026-08-26,2026-08-26,Delivered,Retail
SO0000278,2026-04-11,P00962,W01,9,274.95,2026-04-19,2026-04-19,Delivered,Retail
SO0000279,2023-06-21,P00572,W03,5,565.08,2023-06-27,2023-06-27,Delivered,Retail
SO0000280,2024-06-09,P00241,W01,6,740.55,2024-06-15,2024-06-18,Delivered,B2B
SO0000281,2025-07-06,P00963,W05,7,829.93,2025-07-15,2025-07-15,Delivered,Online
