SnapshotDate,ProductID,WarehouseID,OnHandUnits,InventoryValue,InboundUnits
2025-11-10,P00001,W01,1660,18160.4,4
2025-11-17,P00001,W01,1675,18324.5,28
2025-11-24,P00001,W01,1671,18280.74,18
2025-12-01,P00001,W01,1691,18499.54,24
2025-12-08,P00001,W01,1689,18477.66,26
2025-12-15,P00001,W01,1692,18510.48,8
2025-12-22,P00001,W01,1710,18707.4,18
2025-12-29,P00001,W01,1760,19254.4,12
2026-01-05,P00001,W01,1804,19735.76,14
2026-01-12,P00001,W01,1818,19888.92,25
2026-01-19,P00001,W01,1869,20446.86,18
2026-01-26,P00001,W01,1910,20895.4,4
2026-02-02,P00001,W01,1928,21092.32,28
2026-02-09,P00001,W01,1984,21704.96,25
2026-02-16,P00001,W01,1986,21726.84,8
2026-02-23,P00001,W01,2008,21967.52,14
2026-03-02,P00001,W01,2066,22602.04,23
2026-03-09,P00001,W01,2110,23083.4,9
2026-03-16,P00001,W01,2166,23696.04,22
2026-03-23,P00001,W01,2181,23860.14,25
2026-03-30,P00001,W01,2202,24089.88,17
2026-04-06,P00001,W01,2219,24275.86,8
2026-04-13,P00001,W01,2253,24647.82,2
2026-04-20,P00001,W01,2291,25063.54,26
2026-04-27,P00001,W01,2315,25326.1,18
2026-05-04,P00001,W01,2371,25938.74,4
2026-05-11,P00001,W01,2398,26234.12,10
2026-05-18,P00001,W01,2421,26485.74,13
2026-05-25,P00001,W01,2427,26551.38,24
2026-06-01,P00001,W01,2482,27153.08,29
2026-06-08,P00001,W01,2499,27339.06,3
2026-06-15,P00001,W01,2531,27689.14,13
2026-06-22,P00001,W01,2587,28301.78,24
2026-06-29,P00001,W01,2588,28312.72,20
2026-07-06,P00001,W01,2619,28651.86,18
2026-07-13,P00001,W01,2674,29253.56,0
2026-07-20,P00001,W01,2705,29592.7,23
2026-07-27,P00001,W01,2699,29527.06,9
2026-08-03,P00001,W01,2739,29964.66,29
2026-08-10,P00001,W01,2756,30150.64,20
2026-08-17,P00001,W01,2780,30413.2,2
2026-08-24,P00001,W01,2788,30500.72,23
2026-08-31,P00001,W01,2796,30588.24,20
2024-09-02,P00001,W02,453,4955.82,24
2024-09-09,P00001,W02,489,5349.66,4
2024-09-16,P00001,W02,490,5360.6,24
2024-09-23,P00001,W02,490,5360.6,23
2024-09-30,P00001,W02,530,5798.2,0
2024-10-07,P00001,W02,591,6465.54,20
2024-10-14,P00001,W02,631,6903.14,18
2024-10-21,P00001,W02,690,7548.6,1
2024-10-28,P00001,W02,707,7734.58,1
2024-11-04,P00001,W02,763,8347.22,9
2024-11-11,P00001,W02,784,8576.96,24
2024-11-18,P00001,W02,787,8609.78,6
2024-11-25,P00001,W02,818,8948.92,21
2024-12-02,P00001,W02,868,9495.92,14
2024-12-09,P00001,W02,875,9572.5,22
2024-12-16,P00001,W02,915,10010.1,9
2024-12-23,P00001,W02,969,10600.86,18
2024-12-30,P00001,W02,1012,11071.28,18
2025-01-06,P00001,W02,1015,11104.1,12
2025-01-13,P00001,W02,1041,11388.54,3
2025-01-20,P00001,W02,1097,12001.18,28
2025-01-27,P00001,W02,1111,12154.34,13
2025-02-03,P00001,W02,1108,12121.52,9
2025-02-10,P00001,W02,1107,12110.58,19
2025-02-17,P00001,W02,1143,12504.42,18
2025-02-24,P00001,W02,1198,13106.12,8
2025-03-03,P00001,W02,1214,13281.16,1
2025-03-10,P00001,W02,1222,13368.68,18
2025-03-17,P00001,W02,1276,13959.44,10
2025-03-24,P00001,W02,1321,14451.74,19
2025-03-31,P00001,W02,1323,14473.62,9
2025-04-07,P00001,W02,1320,14440.8,18
2025-04-14,P00001,W02,1324,14484.56,2
2025-04-21,P00001,W02,1329,14539.26,16
2025-04-28,P00001,W02,1336,14615.84,3
2025-05-05,P00001,W02,1355,14823.7,28
2025-05-12,P00001,W02,1371,14998.74,17
2025-05-19,P00001,W02,1432,15666.08,15
2025-05-26,P00001,W02,1467,16048.98,5
2025-06-02,P00001,W02,1480,16191.2,14
2025-06-09,P00001,W02,1489,16289.66,0
2025-06-16,P00001,W02,1509,16508.46,6
2025-06-23,P00001,W02,1531,16749.14,13
2025-06-30,P00001,W02,1594,17438.36,4
2025-07-07,P00001,W02,1609,17602.46,29
2025-07-14,P00001,W02,1665,18215.1,12
2025-07-21,P00001,W02,1686,18444.84,8
2025-07-28,P00001,W02,1718,18794.92,27
2025-08-04,P00001,W02,1711,18718.34,24
2025-08-11,P00001,W02,1712,18729.28,3
2025-08-18,P00001,W02,1749,19134.06,9
2025-08-25,P00001,W02,1790,19582.6,28
2025-09-01,P00001,W02,1847,20206.18,29
2025-09-08,P00001,W02,1852,20260.88,22
2025-09-15,P00001,W02,1893,20709.42,12
2025-09-22,P00001,W02,1893,20709.42,3
2025-09-29,P00001,W02,1947,21300.18,9
2025-10-06,P00001,W02,1964,21486.16,17
2025-10-13,P00001,W02,1956,21398.64,17
2025-10-20,P00001,W02,2009,21978.46,13
2025-10-27,P00001,W02,2018,22076.92,4
2025-11-03,P00001,W02,2070,22645.8,13
2025-11-10,P00001,W02,2095,22919.3,0
2025-11-17,P00001,W02,2120,23192.8,11
2025-11-24,P00001,W02,2137,23378.78,27
2025-12-01,P00001,W02,2187,23925.78,2
2025-12-08,P00001,W02,2211,24188.34,7
2025-12-15,P00001,W02,2270,24833.8,18
2025-12-22,P00001,W02,2318,25358.92,1
2025-12-29,P00001,W02,2345,25654.3,4
2026-01-05,P00001,W02,2396,26212.24,18
2026-01-12,P00001,W02,2406,26321.64,8
2026-01-19,P00001,W02,2421,26485.74,28
2026-01-26,P00001,W02,2442,26715.48,2
2026-02-02,P00001,W02,2440,26693.6,6
2026-02-09,P00001,W02,2442,26715.48,2
2026-02-16,P00001,W02,2463,26945.22,14
2026-02-23,P00001,W02,2463,26945.22,16
2026-03-02,P00001,W02,2472,27043.68,27
2026-03-09,P00001,W02,2474,27065.56,21
2026-03-16,P00001,W02,2536,27743.84,13
2026-03-23,P00001,W02,2582,28247.08,18
2026-03-30,P00001,W02,2588,28312.72,2
2026-04-06,P00001,W02,2626,28728.44,3
2026-04-13,P00001,W02,2624,28706.56,3
2026-04-20,P00001,W02,2652,29012.88,21
2026-04-27,P00001,W02,2688,29406.72,16
2026-05-04,P00001,W02,2708,29625.52,1
2026-05-11,P00001,W02,2708,29625.52,0
2026-05-18,P00001,W02,2719,29745.86,14
2026-05-25,P00001,W02,2715,29702.1,4
2026-06-01,P00001,W02,2724,29800.56,18
2026-06-08,P00001,W02,2722,29778.68,18
2026-06-15,P00001,W02,2774,30347.56,20
2026-06-22,P00001,W02,2826,30916.44,0
2026-06-29,P00001,W02,2864,31332.16,8
2026-07-06,P00001,W02,2916,31901.04,0
2026-07-13,P00001,W02,2924,31988.56,16
2026-07-20,P00001,W02,2980,32601.2,18
2026-07-27,P00001,W02,3005,32874.7,25
2026-08-03,P00001,W02,3005,32874.7,18
2026-08-10,P00001,W02,3059,33465.46,13
2026-08-17,P00001,W02,3094,33848.36,23
2026-08-24,P00001,W02,3099,33903.06,21
2026-08-31,P00001,W02,3139,34340.66,7
2024-09-02,P00001,W03,263,2877.22,0
2024-09-09,P00001,W03,267,2920.98,11
2024-09-16,P00001,W03,291,3183.54,8
2024-09-23,P00001,W03,292,3194.48,19
2024-09-30,P00001,W03,348,3807.12,1
2024-10-07,P00001,W03,368,4025.92,19
2024-10-14,P00001,W03,408,4463.52,4
2024-10-21,P00001,W03,460,5032.4,29
2024-10-28,P00001,W03,492,5382.48,14
2024-11-04,P00001,W03,550,6017.0,5
2024-11-11,P00001,W03,581,6356.14,10
2024-11-18,P00001,W03,603,6596.82,10
2024-11-25,P00001,W03,612,6695.28,23
2024-12-02,P00001,W03,610,6673.4,15
2024-12-09,P00001,W03,648,7089.12,4
2024-12-16,P00001,W03,655,7165.7,4
2024-12-23,P00001,W03,661,7231.34,22
2024-12-30,P00001,W03,669,7318.86,10
2025-01-06,P00001,W03,682,7461.08,2
2025-01-13,P00001,W03,679,7428.26,25
2025-01-20,P00001,W03,712,7789.28,23
2025-01-27,P00001,W03,719,7865.86,24
2025-02-03,P00001,W03,722,7898.68,23
2025-02-10,P00001,W03,720,7876.8,6
2025-02-17,P00001,W03,731,7997.14,19
2025-02-24,P00001,W03,767,8390.98,12
2025-03-03,P00001,W03,781,8544.14,0
2025-03-10,P00001,W03,822,8992.68,29
2025-03-17,P00001,W03,817,8937.98,0
2025-03-24,P00001,W03,870,9517.8,26
2025-03-31,P00001,W03,884,9670.96,9
2025-04-07,P00001,W03,942,10305.48,27
2025-04-14,P00001,W03,994,10874.36,17
2025-04-21,P00001,W03,1010,11049.4,24
2025-04-28,P00001,W03,1023,11191.62,3
2025-05-05,P00001,W03,1080,11815.2,12
2025-05-12,P00001,W03,1128,12340.32,1
2025-05-19,P00001,W03,1141,12482.54,3
2025-05-26,P00001,W03,1199,13117.06,7
2025-06-02,P00001,W03,1213,13270.22,2
2025-06-09,P00001,W03,1261,13795.34,27
2025-06-16,P00001,W03,1293,14145.42,29
2025-06-23,P00001,W03,1338,14637.72,7
2025-06-30,P00001,W03,1371,14998.74,8
2025-07-07,P00001,W03,1408,15403.52,7
2025-07-14,P00001,W03,1408,15403.52,13
2025-07-21,P00001,W03,1436,15709.84,7
2025-07-28,P00001,W03,1494,16344.36,5
2025-08-04,P00001,W03,1495,16355.3,7
2025-08-11,P00001,W03,1508,16497.52,19
2025-08-18,P00001,W03,1530,16738.2,25
2025-08-25,P00001,W03,1589,17383.66,8
2025-09-01,P00001,W03,1641,17952.54,1
2025-09-08,P00001,W03,1696,18554.24,17
2025-09-15,P00001,W03,1743,19068.42,10
2025-09-22,P00001,W03,1795,19637.3,19
2025-09-29,P00001,W03,1840,20129.6,26
2025-10-06,P00001,W03,1852,20260.88,11
2025-10-13,P00001,W03,1861,20359.34,2
2025-10-20,P00001,W03,1860,20348.4,23
2025-10-27,P00001,W03,1883,20600.02,26
2025-11-03,P00001,W03,1879,20556.26,27
2025-11-10,P00001,W03,1913,20928.22,24
2025-11-17,P00001,W03,1963,21475.22,24
2025-11-24,P00001,W03,1976,21617.44,9
2025-12-01,P00001,W03,1972,21573.68,20
2025-12-08,P00001,W03,2011,22000.34,27
2025-12-15,P00001,W03,2046,22383.24,27
2025-12-22,P00001,W03,2077,22722.38,19
2025-12-29,P00001,W03,2113,23116.22,24
2026-01-05,P00001,W03,2157,23597.58,26
2026-01-12,P00001,W03,2206,24133.64,19
2026-01-19,P00001,W03,2213,24210.22,8
2026-01-26,P00001,W03,2237,24472.78,14
2026-02-02,P00001,W03,2276,24899.44,6
2026-02-09,P00001,W03,2282,24965.08,28
2026-02-16,P00001,W03,2332,25512.08,28
2026-02-23,P00001,W03,2344,25643.36,9
2026-03-02,P00001,W03,2358,25796.52,18
2026-03-09,P00001,W03,2408,26343.52,21
2026-03-16,P00001,W03,2417,26441.98,11
2026-03-23,P00001,W03,2432,26606.08,12
2026-03-30,P00001,W03,2431,26595.14,15
2026-04-06,P00001,W03,2427,26551.38,6
2026-04-13,P00001,W03,2472,27043.68,29
2026-04-20,P00001,W03,2492,27262.48,6
2026-04-27,P00001,W03,2518,27546.92,6
2026-05-04,P00001,W03,2556,27962.64,28
2026-05-11,P00001,W03,2567,28082.98,26
2026-05-18,P00001,W03,2559,27995.46,3
2026-05-25,P00001,W03,2590,28334.6,13
2026-06-01,P00001,W03,2629,28761.26,24
2026-06-08,P00001,W03,2637,28848.78,28
2026-06-15,P00001,W03,2687,29395.78,0
2026-06-22,P00001,W03,2700,29538.0,2
2026-06-29,P00001,W03,2713,29680.22,10
2026-07-06,P00001,W03,2762,30216.28,27
2026-07-13,P00001,W03,2769,30292.86,10
2026-07-20,P00001,W03,2795,30577.3,21
2026-07-27,P00001,W03,2812,30763.28,9
2026-08-03,P00001,W03,2809,30730.46,15
2026-08-10,P00001,W03,2830,30960.2,23
2026-08-17,P00001,W03,2839,31058.66,15
2026-08-24,P00001,W03,2863,31321.22,12
2026-08-31,P00001,W03,2918,31922.92,2
2024-09-02,P00001,W04,115,1258.1,21
2024-09-09,P00001,W04,126,1378.44,16
2024-09-16,P00001,W04,121,1323.74,1
2024-09-23,P00001,W04,179,1958.26,0
2024-09-30,P00001,W04,238,2603.72,4
2024-10-07,P00001,W04,279,3052.26,12
2024-10-14,P00001,W04,288,3150.72,10
2024-10-21,P00001,W04,294,3216.36,19
2024-10-28,P00001,W04,325,3555.5,8
2024-11-04,P00001,W04,362,3960.28,7
2024-11-11,P00001,W04,378,4135.32,5
2024-11-18,P00001,W04,410,4485.4,11
2024-11-25,P00001,W04,412,4507.28,19
2024-12-02,P00001,W04,410,4485.4,23
2024-12-09,P00001,W04,427,4671.38,29
2024-12-16,P00001,W04,469,5130.86,1
2024-12-23,P00001,W04,480,5251.2,23
2024-12-30,P00001,W04,526,5754.44,29
2025-01-06,P00001,W04,555,6071.7,7
2025-01-13,P00001,W04,554,6060.76,7
2025-01-20,P00001,W04,584,6388.96,13
2025-01-27,P00001,W04,625,6837.5,12
2025-02-03,P00001,W04,642,7023.48,24
2025-02-10,P00001,W04,643,7034.42,21
2025-02-17,P00001,W04,669,7318.86,10
2025-02-24,P00001,W04,662,7242.28,9
2025-03-03,P00001,W04,686,7504.84,21
2025-03-10,P00001,W04,701,7668.94,1
2025-03-17,P00001,W04,734,8029.96,24
2025-03-24,P00001,W04,797,8719.18,29
2025-03-31,P00001,W04,859,9397.46,22
2025-04-07,P00001,W04,884,9670.96,2
2025-04-14,P00001,W04,916,10021.04,7
2025-04-21,P00001,W04,936,10239.84,10
2025-04-28,P00001,W04,961,10513.34,14
2025-05-05,P00001,W04,983,10754.02,27
2025-05-12,P00001,W04,1029,11257.26,14
2025-05-19,P00001,W04,1061,11607.34,17
2025-05-26,P00001,W04,1088,11902.72,24
2025-06-02,P00001,W04,1141,12482.54,26
2025-06-09,P00001,W04,1199,13117.06,8
2025-06-16,P00001,W04,1258,13762.52,11
2025-06-23,P00001,W04,1311,14342.34,0
2025-06-30,P00001,W04,1316,14397.04,16
2025-07-07,P00001,W04,1374,15031.56,26
2025-07-14,P00001,W04,1429,15633.26,23
2025-07-21,P00001,W04,1483,16224.02,8
2025-07-28,P00001,W04,1517,16595.98,8
2025-08-04,P00001,W04,1553,16989.82,23
2025-08-11,P00001,W04,1614,17657.16,24
2025-08-18,P00001,W04,1657,18127.58,1
2025-08-25,P00001,W04,1689,18477.66,16
2025-09-01,P00001,W04,1739,19024.66,0
2025-09-08,P00001,W04,1757,19221.58,27
2025-09-15,P00001,W04,1773,19396.62,28
2025-09-22,P00001,W04,1779,19462.26,19
2025-09-29,P00001,W04,1839,20118.66,13
2025-10-06,P00001,W04,1848,20217.12,16
2025-10-13,P00001,W04,1894,20720.36,22
2025-10-20,P00001,W04,1906,20851.64,5
2025-10-27,P00001,W04,1916,20961.04,27
2025-11-03,P00001,W04,1923,21037.62,24
2025-11-10,P00001,W04,1954,21376.76,18
2025-11-17,P00001,W04,1956,21398.64,5
2025-11-24,P00001,W04,1986,21726.84,18
2025-12-01,P00001,W04,2041,22328.54,18
2025-12-08,P00001,W04,2052,22448.88,23
2025-12-15,P00001,W04,2052,22448.88,23
2025-12-22,P00001,W04,2047,22394.18,7
2025-12-29,P00001,W04,2073,22678.62,2
2026-01-05,P00001,W04,2122,23214.68,24
2026-01-12,P00001,W04,2169,23728.86,29
2026-01-19,P00001,W04,2215,24232.1,13
2026-01-26,P00001,W04,2238,24483.72,17
2026-02-02,P00001,W04,2279,24932.26,9
2026-02-09,P00001,W04,2305,25216.7,29
2026-02-16,P00001,W04,2301,25172.94,5
2026-02-23,P00001,W04,2358,25796.52,12
2026-03-02,P00001,W04,2360,25818.4,29
2026-03-09,P00001,W04,2395,26201.3,12
2026-03-16,P00001,W04,2404,26299.76,8
2026-03-23,P00001,W04,2403,26288.82,2
2026-03-30,P00001,W04,2412,26387.28,9
2026-04-06,P00001,W04,2435,26638.9,28
2026-04-13,P00001,W04,2495,27295.3,3
2026-04-20,P00001,W04,2520,27568.8,7
2026-04-27,P00001,W04,2552,27918.88,22
2026-05-04,P00001,W04,2595,28389.3,0
2026-05-11,P00001,W04,2601,28454.94,9
2026-05-18,P00001,W04,2655,29045.7,6
2026-05-25,P00001,W04,2683,29352.02,4
2026-06-01,P00001,W04,2737,29942.78,19
2026-06-08,P00001,W04,2787,30489.78,23
2026-06-15,P00001,W04,2789,30511.66,28
2026-06-22,P00001,W04,2822,30872.68,23
2026-06-29,P00001,W04,2861,31299.34,6
2026-07-06,P00001,W04,2919,31933.86,13
2026-07-13,P00001,W04,2912,31857.28,29
2026-07-20,P00001,W04,2971,32502.74,15
2026-07-27,P00001,W04,3008,32907.52,5
2026-08-03,P00001,W04,3058,33454.52,12
2026-08-10,P00001,W04,3106,33979.64,26
2026-08-17,P00001,W04,3167,34646.98,1
2026-08-24,P00001,W04,3181,34800.14,9
2026-08-31,P00001,W04,3244,35489.36,5
2024-09-02,P00001,W05,368,4025.92,4
2024-09-09,P00001,W05,386,4222.84,16
2024-09-16,P00001,W05,416,4551.04,29
2024-09-23,P00001,W05,471,5152.74,1
2024-09-30,P00001,W05,483,5284.02,25
2024-10-07,P00001,W05,527,5765.38,17
2024-10-14,P00001,W05,546,5973.24,25
2024-10-21,P00001,W05,589,6443.66,21
2024-10-28,P00001,W05,598,6542.12,11
2024-11-04,P00001,W05,636,6957.84,16
2024-11-11,P00001,W05,679,7428.26,8
2024-11-18,P00001,W05,719,7865.86,3
2024-11-25,P00001,W05,734,8029.96,0
2024-12-02,P00001,W05,771,8434.74,2
2024-12-09,P00001,W05,823,9003.62,4
2024-12-16,P00001,W05,845,9244.3,22
2024-12-23,P00001,W05,908,9933.52,11
2024-12-30,P00001,W05,966,10568.04,25
2025-01-06,P00001,W05,1019,11147.86,2
2025-01-13,P00001,W05,1046,11443.24,22
2025-01-20,P00001,W05,1090,11924.6,2
2025-01-27,P00001,W05,1106,12099.64,18
2025-02-03,P00001,W05,1105,12088.7,13
2025-02-10,P00001,W05,1126,12318.44,1
2025-02-17,P00001,W05,1122,12274.68,26
2025-02-24,P00001,W05,1138,12449.72,17
2025-03-03,P00001,W05,1143,12504.42,1
2025-03-10,P00001,W05,1177,12876.38,16
2025-03-17,P00001,W05,1236,13521.84,25
2025-03-24,P00001,W05,1269,13882.86,25
2025-03-31,P00001,W05,1316,14397.04,10
2025-04-07,P00001,W05,1317,14407.98,28
2025-04-14,P00001,W05,1354,14812.76,4
2025-04-21,P00001,W05,1399,15305.06,20
2025-04-28,P00001,W05,1420,15534.8,20
2025-05-05,P00001,W05,1443,15786.42,20
2025-05-12,P00001,W05,1486,16256.84,19
2025-05-19,P00001,W05,1516,16585.04,8
2025-05-26,P00001,W05,1545,16902.3,4
2025-06-02,P00001,W05,1557,17033.58,20
2025-06-09,P00001,W05,1605,17558.7,27
2025-06-16,P00001,W05,1648,18029.12,1
2025-06-23,P00001,W05,1689,18477.66,4
2025-06-30,P00001,W05,1712,18729.28,29
2025-07-07,P00001,W05,1738,19013.72,15
2025-07-14,P00001,W05,1767,19330.98,28
2025-07-21,P00001,W05,1778,19451.32,21
2025-07-28,P00001,W05,1785,19527.9,4
2025-08-04,P00001,W05,1798,19670.12,12
2025-08-11,P00001,W05,1816,19867.04,9
2025-08-18,P00001,W05,1858,20326.52,26
2025-08-25,P00001,W05,1886,20632.84,18
2025-09-01,P00001,W05,1946,21289.24,13
2025-09-08,P00001,W05,1986,21726.84,12
2025-09-15,P00001,W05,2015,22044.1,19
2025-09-22,P00001,W05,2034,22251.96,26
2025-09-29,P00001,W05,2059,22525.46,12
2025-10-06,P00001,W05,2073,22678.62,6
2025-10-13,P00001,W05,2124,23236.56,7
2025-10-20,P00001,W05,2120,23192.8,22
2025-10-27,P00001,W05,2157,23597.58,8
2025-11-03,P00001,W05,2166,23696.04,0
2025-11-10,P00001,W05,2169,23728.86,25
2025-11-17,P00001,W05,2200,24068.0,23
2025-11-24,P00001,W05,2203,24100.82,3
2025-12-01,P00001,W05,2253,24647.82,3
2025-12-08,P00001,W05,2266,24790.04,5
2025-12-15,P00001,W05,2305,25216.7,27
2025-12-22,P00001,W05,2317,25347.98,6
2025-12-29,P00001,W05,2327,25457.38,14
2026-01-05,P00001,W05,2360,25818.4,0
2026-01-12,P00001,W05,2418,26452.92,16
2026-01-19,P00001,W05,2407,26332.58,10
2026-01-26,P00001,W05,2434,26627.96,6
2026-02-02,P00001,W05,2456,26868.64,2
2026-02-09,P00001,W05,2479,27120.26,25
2026-02-16,P00001,W05,2530,27678.2,20
2026-02-23,P00001,W05,2539,27776.66,26
2026-03-02,P00001,W05,2587,28301.78,24
2026-03-09,P00001,W05,2602,28465.88,21
2026-03-16,P00001,W05,2607,28520.58,27
2026-03-23,P00001,W05,2623,28695.62,24
2026-03-30,P00001,W05,2659,29089.46,19
2026-04-06,P00001,W05,2718,29734.92,15
2026-04-13,P00001,W05,2745,30030.3,26
2026-04-20,P00001,W05,2809,30730.46,23
2026-04-27,P00001,W05,2842,31091.48,14
2026-05-04,P00001,W05,2857,31255.58,3
2026-05-11,P00001,W05,2867,31364.98,6
2026-05-18,P00001,W05,2895,31671.3,5
2026-05-25,P00001,W05,2956,32338.64,2
2026-06-01,P00001,W05,2973,32524.62,8
2026-06-08,P00001,W05,2999,32809.06,27
2026-06-15,P00001,W05,3028,33126.32,22
2026-06-22,P00001,W05,3043,33290.42,23
2026-06-29,P00001,W05,3093,33837.42,6
2026-07-06,P00001,W05,3085,33749.9,27
2026-07-13,P00001,W05,3117,34099.98,20
2026-07-20,P00001,W05,3149,34450.06,26
2026-07-27,P00001,W05,3202,35029.88,20
2026-08-03,P00001,W05,3242,35467.48,28
2026-08-10,P00001,W05,3298,36080.12,24
2026-08-17,P00001,W05,3304,36145.76,18
2026-08-24,P00001,W05,3322,36342.68,9
2026-08-31,P00001,W05,3379,36966.26,24
2024-09-02,P00001,W06,335,3664.9,25
2024-09-09,P00001,W06,366,4004.04,6
2024-09-16,P00001,W06,407,4452.58,5
2024-09-23,P00001,W06,456,4988.64,6
2024-09-30,P00001,W06,481,5262.14,27
2024-10-07,P00001,W06,511,5590.34,5
2024-10-14,P00001,W06,547,5984.18,25
2024-10-21,P00001,W06,578,6323.32,27
2024-10-28,P00001,W06,575,6290.5,9
2024-11-04,P00001,W06,633,6925.02,2
2024-11-11,P00001,W06,653,7143.82,29
2024-11-18,P00001,W06,683,7472.02,11
2024-11-25,P00001,W06,692,7570.48,2
2024-12-02,P00001,W06,724,7920.56,8
2024-12-09,P00001,W06,755,8259.7,1
2024-12-16,P00001,W06,817,8937.98,9
2024-12-23,P00001,W06,865,9463.1,3
2024-12-30,P00001,W06,916,10021.04,17
2025-01-06,P00001,W06,972,10633.68,12
2025-01-13,P00001,W06,1014,11093.16,15
2025-01-20,P00001,W06,1055,11541.7,28
2025-01-27,P00001,W06,1059,11585.46,13
2025-02-03,P00001,W06,1071,11716.74,22
2025-02-10,P00001,W06,1122,12274.68,2
2025-02-17,P00001,W06,1171,12810.74,4
2025-02-24,P00001,W06,1215,13292.1,13
2025-03-03,P00001,W06,1253,13707.82,14
2025-03-10,P00001,W06,1294,14156.36,1
2025-03-17,P00001,W06,1355,14823.7,11
2025-03-24,P00001,W06,1414,15469.16,6
2025-03-31,P00001,W06,1422,15556.68,8
2025-04-07,P00001,W06,1464,16016.16,25
2025-04-14,P00001,W06,1523,16661.62,4
2025-04-21,P00001,W06,1574,17219.56,29
2025-04-28,P00001,W06,1634,17875.96,29
2025-05-05,P00001,W06,1637,17908.78,21
2025-05-12,P00001,W06,1657,18127.58,4
2025-05-19,P00001,W06,1709,18696.46,6
2025-05-26,P00001,W06,1759,19243.46,12
2025-06-02,P00001,W06,1756,19210.64,18
2025-06-09,P00001,W06,1821,19921.74,18
2025-06-16,P00001,W06,1873,20490.62,0
2025-06-23,P00001,W06,1903,20818.82,1
2025-06-30,P00001,W06,1940,21223.6,28
2025-07-07,P00001,W06,1986,21726.84,8
2025-07-14,P00001,W06,2011,22000.34,22
2025-07-21,P00001,W06,2025,22153.5,24
2025-07-28,P00001,W06,2037,22284.78,23
2025-08-04,P00001,W06,2052,22448.88,29
2025-08-11,P00001,W06,2081,22766.14,8
2025-08-18,P00001,W06,2102,22995.88,29
2025-08-25,P00001,W06,2126,23258.44,8
2025-09-01,P00001,W06,2121,23203.74,5
2025-09-08,P00001,W06,2145,23466.3,10
2025-09-15,P00001,W06,2206,24133.64,15
2025-09-22,P00001,W06,2230,24396.2,5
2025-09-29,P00001,W06,2272,24855.68,14
2025-10-06,P00001,W06,2272,24855.68,9
2025-10-13,P00001,W06,2302,25183.88,3
2025-10-20,P00001,W06,2316,25337.04,9
2025-10-27,P00001,W06,2375,25982.5,18
