CampaignID,CanonicalCampaignName,ChannelID,Region,Objective,StartDate
CAM0090,DACH_Webinar_090,CH02,DACH,Webinar,2025-08-04
CAM0091,DACH_Webinar_091,CH06,DACH,Webinar,2024-10-29
CAM0092,North America_Lead_Gen_092,CH02,North America,Lead Gen,2024-09-15
CAM0093,UKI_Webinar_093,CH07,UKI,Webinar,2024-01-23
CAM0094,DACH_Brand_094,CH01,DACH,Brand,2024-11-27
CAM0095,SEA_Brand_095,CH07,SEA,Brand,2025-06-03
CAM0096,SEA_Brand_096,CH02,SEA,Brand,2025-01-12
CAM0097,SEA_Lead_Gen_097,CH06,SEA,Lead Gen,2026-02-06
CAM0098,ANZ_Webinar_098,CH07,ANZ,Webinar,2025-07-26
CAM0099,North America_Lead_Gen_099,CH05,North America,Lead Gen,2026-02-18
CAM0100,North America_Lead_Gen_100,CH04,North America,Lead Gen,2024-10-03
CAM0101,DACH_Brand_101,CH06,DACH,Brand,2026-01-10
CAM0102,UKI_Brand_102,CH01,UKI,Brand,2024-06-21
CAM0103,North America_Brand_103,CH06,North America,Brand,2024-04-09
CAM0104,ANZ_Retargeting_104,CH06,ANZ,Retargeting,2024-02-08
CAM0105,ANZ_Webinar_105,CH02,ANZ,Webinar,2026-04-11
CAM0106,DACH_Lead_Gen_106,CH07,DACH,Lead Gen,2025-05-03
CAM0107,ANZ_Brand_107,CH01,ANZ,Brand,2025-07-24
CAM0108,ANZ_Webinar_108,CH01,ANZ,Webinar,2024-11-13
CAM0109,DACH_Retargeting_109,CH04,DACH,Retargeting,2024-10-26
CAM0110,DACH_Retargeting_110,CH02,DACH,Retargeting,2025-06-15
CAM0111,North America_Product_Launch_111,CH05,North America,Product Launch,2025-02-23
CAM0112,SEA_Product_Launch_112,CH06,SEA,Product Launch,2026-03-06
CAM0113,SEA_Brand_113,CH04,SEA,Brand,2025-06-29
CAM0114,ANZ_Webinar_114,CH05,ANZ,Webinar,2024-01-31
CAM0115,ANZ_Lead_Gen_115,CH06,ANZ,Lead Gen,2025-07-20
CAM0116,North America_Retargeting_116,CH02,North America,Retargeting,2025-06-24
CAM0117,ANZ_Webinar_117,CH06,ANZ,Webinar,2024-02-25
CAM0118,SEA_Product_Launch_118,CH07,SEA,Product Launch,2024-07-29
CAM0119,DACH_Retargeting_119,CH03,DACH,Retargeting,2025-04-20
CAM0120,SEA_Product_Launch_120,CH06,SEA,Product Launch,2025-05-28
CAM0121,North America_Webinar_121,CH02,North America,Webinar,2026-03-10
CAM0122,SEA_Retargeting_122,CH02,SEA,Retargeting,2024-02-28
CAM0123,UKI_Webinar_123,CH05,UKI,Webinar,2025-05-04
CAM0124,UKI_Lead_Gen_124,CH03,UKI,Lead Gen,2025-01-11
CAM0125,North America_Retargeting_125,CH01,North America,Retargeting,2024-06-25
CAM0126,UKI_Webinar_126,CH04,UKI,Webinar,2024-08-30
CAM0127,DACH_Brand_127,CH07,DACH,Brand,2024-06-28
CAM0128,North America_Retargeting_128,CH05,North America,Retargeting,2025-12-18
CAM0129,UKI_Webinar_129,CH01,UKI,Webinar,2025-09-27
CAM0130,SEA_Webinar_130,CH04,SEA,Webinar,2025-09-29
CAM0131,North America_Retargeting_131,CH06,North America,Retargeting,2024-01-19
CAM0132,North America_Webinar_132,CH01,North America,Webinar,2024-06-20
CAM0133,SEA_Brand_133,CH06,SEA,Brand,2024-07-18
CAM0134,UKI_Retargeting_134,CH04,UKI,Retargeting,2025-06-26
CAM0135,DACH_Product_Launch_135,CH07,DACH,Product Launch,2024-06-20
CAM0136,North America_Brand_136,CH07,North America,Brand,2025-11-11
CAM0137,North America_Webinar_137,CH02,North America,Webinar,2026-01-18
CAM0138,ANZ_Lead_Gen_138,CH06,ANZ,Lead Gen,2024-05-23
CAM0139,UKI_Webinar_139,CH06,UKI,Webinar,2024-08-06
CAM0140,ANZ_Lead_Gen_140,CH07,ANZ,Lead Gen,2025-01-19
CAM0141,DACH_Brand_141,CH03,DACH,Brand,2024-03-26
CAM0142,SEA_Lead_Gen_142,CH06,SEA,Lead Gen,2024-10-11
CAM0143,SEA_Product_Launch_143,CH01,SEA,Product Launch,2025-05-02
CAM0144,SEA_Webinar_144,CH02,SEA,Webinar,2025-02-15
CAM0145,ANZ_Lead_Gen_145,CH07,ANZ,Lead Gen,2025-05-25
CAM0146,UKI_Retargeting_146,CH01,UKI,Retargeting,2026-04-07
CAM0147,SEA_Product_Launch_147,CH02,SEA,Product Launch,2025-10-16
CAM0148,UKI_Webinar_148,CH04,UKI,Webinar,2026-03-21
CAM0149,SEA_Product_Launch_149,CH01,SEA,Product Launch,2024-11-04
CAM0150,UKI_Webinar_150,CH02,UKI,Webinar,2025-06-30
CAM0151,DACH_Retargeting_151,CH04,DACH,Retargeting,2025-12-20
CAM0152,SEA_Webinar_152,CH03,SEA,Webinar,2024-12-12
CAM0153,North America_Lead_Gen_153,CH06,North America,Lead Gen,2024-06-12
CAM0154,UKI_Retargeting_154,CH03,UKI,Retargeting,2024-10-12
CAM0155,ANZ_Webinar_155,CH05,ANZ,Webinar,2026-01-09
CAM0156,SEA_Lead_Gen_156,CH07,SEA,Lead Gen,2025-11-10
CAM0157,UKI_Lead_Gen_157,CH02,UKI,Lead Gen,2024-11-07
CAM0158,UKI_Webinar_158,CH05,UKI,Webinar,2025-02-13
CAM0159,UKI_Lead_Gen_159,CH01,UKI,Lead Gen,2026-03-02
CAM0160,UKI_Lead_Gen_160,CH04,UKI,Lead Gen,2024-09-14
CAM0161,UKI_Webinar_161,CH05,UKI,Webinar,2025-07-25
CAM0162,ANZ_Retargeting_162,CH07,ANZ,Retargeting,2025-03-20
CAM0163,North America_Product_Launch_163,CH01,North America,Product Launch,2026-04-06
CAM0164,ANZ_Webinar_164,CH03,ANZ,Webinar,2025-07-25
CAM0165,DACH_Lead_Gen_165,CH07,DACH,Lead Gen,2025-09-06
CAM0166,DACH_Brand_166,CH02,DACH,Brand,2025-05-27
CAM0167,North America_Brand_167,CH05,North America,Brand,2024-05-02
CAM0168,DACH_Brand_168,CH02,DACH,Brand,2024-05-09
CAM0169,UKI_Lead_Gen_169,CH05,UKI,Lead Gen,2025-12-26
CAM0170,ANZ_Product_Launch_170,CH02,ANZ,Product Launch,2025-12-31
CAM0171,ANZ_Brand_171,CH03,ANZ,Brand,2026-03-08
CAM0172,North America_Webinar_172,CH05,North America,Webinar,2024-08-07
CAM0173,SEA_Webinar_173,CH06,SEA,Webinar,2024-10-07
CAM0174,DACH_Retargeting_174,CH02,DACH,Retargeting,2025-06-22
CAM0175,North America_Brand_175,CH02,North America,Brand,2025-08-02
CAM0176,SEA_Webinar_176,CH05,SEA,Webinar,2026-04-03
CAM0177,DACH_Lead_Gen_177,CH07,DACH,Lead Gen,2024-11-22
CAM0178,North America_Brand_178,CH03,North America,Brand,2024-11-22
CAM0179,ANZ_Brand_179,CH02,ANZ,Brand,2025-04-06
CAM0180,ANZ_Brand_180,CH02,ANZ,Brand,2024-07-19
CAM0181,UKI_Product_Launch_181,CH01,UKI,Product Launch,2024-10-27
CAM0182,DACH_Retargeting_182,CH04,DACH,Retargeting,2026-04-30
CAM0183,North America_Brand_183,CH07,North America,Brand,2024-04-19
CAM0184,ANZ_Brand_184,CH07,ANZ,Brand,2024-05-15
CAM0185,DACH_Retargeting_185,CH06,DACH,Retargeting,2024-03-07
CAM0186,UKI_Retargeting_186,CH05,UKI,Retargeting,2024-01-31
CAM0187,UKI_Brand_187,CH03,UKI,Brand,2026-01-07
CAM0188,DACH_Product_Launch_188,CH01,DACH,Product Launch,2024-12-10
CAM0189,DACH_Webinar_189,CH03,DACH,Webinar,2024-09-11
CAM0190,SEA_Lead_Gen_190,CH06,SEA,Lead Gen,2024-11-09
CAM0191,ANZ_Webinar_191,CH02,ANZ,Webinar,2025-11-07
CAM0192,SEA_Product_Launch_192,CH05,SEA,Product Launch,2026-02-03
CAM0193,UKI_Webinar_193,CH06,UKI,Webinar,2025-04-27
CAM0194,North America_Retargeting_194,CH07,North America,Retargeting,2024-01-24
CAM0195,SEA_Lead_Gen_195,CH04,SEA,Lead Gen,2025-10-05
CAM0196,SEA_Brand_196,CH02,SEA,Brand,2025-05-12
CAM0197,UKI_Lead_Gen_197,CH04,UKI,Lead Gen,2024-09-09
CAM0198,North America_Lead_Gen_198,CH06,North America,Lead Gen,2025-08-02
CAM0199,North America_Lead_Gen_199,CH04,North America,Lead Gen,2026-01-07
CAM0200,DACH_Retargeting_200,CH07,DACH,Retargeting,2025-03-26
CAM0201,ANZ_Brand_201,CH03,ANZ,Brand,2024-05-21
CAM0202,North America_Retargeting_202,CH04,North America,Retargeting,2025-05-19
CAM0203,UKI_Brand_203,CH05,UKI,Brand,2024-08-15
CAM0204,SEA_Retargeting_204,CH06,SEA,Retargeting,2024-10-03
CAM0205,DACH_Retargeting_205,CH02,DACH,Retargeting,2026-02-25
CAM0206,ANZ_Retargeting_206,CH06,ANZ,Retargeting,2025-12-04
CAM0207,SEA_Product_Launch_207,CH07,SEA,Product Launch,2024-06-29
CAM0208,DACH_Product_Launch_208,CH06,DACH,Product Launch,2024-10-06
CAM0209,UKI_Lead_Gen_209,CH03,UKI,Lead Gen,2024-07-16
CAM0210,ANZ_Brand_210,CH03,ANZ,Brand,2024-01-16
CAM0211,DACH_Retargeting_211,CH01,DACH,Retargeting,2024-03-03
CAM0212,North America_Retargeting_212,CH06,North America,Retargeting,2024-07-27
CAM0213,SEA_Product_Launch_213,CH01,SEA,Product Launch,2024-10-04
CAM0214,UKI_Product_Launch_214,CH03,UKI,Product Launch,2024-11-15
CAM0215,UKI_Lead_Gen_215,CH02,UKI,Lead Gen,2025-08-15
CAM0216,DACH_Lead_Gen_216,CH01,DACH,Lead Gen,2025-12-20
CAM0217,North America_Retargeting_217,CH06,North America,Retargeting,2024-03-14
CAM0218,North America_Webinar_218,CH07,North America,Webinar,2024-02-12
CAM0219,SEA_Product_Launch_219,CH04,SEA,Product Launch,2025-04-04
CAM0220,UKI_Lead_Gen_220,CH03,UKI,Lead Gen,2026-01-07
CAM0221,ANZ_Webinar_221,CH01,ANZ,Webinar,2025-07-13
CAM0222,ANZ_Webinar_222,CH02,ANZ,Webinar,2024-02-10
CAM0223,DACH_Product_Launch_223,CH05,DACH,Product Launch,2025-08-28
CAM0224,UKI_Lead_Gen_224,CH06,UKI,Lead Gen,2025-09-03
CAM0225,DACH_Brand_225,CH06,DACH,Brand,2024-04-14
CAM0226,SEA_Lead_Gen_226,CH03,SEA,Lead Gen,2025-09-21
CAM0227,SEA_Lead_Gen_227,CH06,SEA,Lead Gen,2024-03-16
CAM0228,DACH_Product_Launch_228,CH02,DACH,Product Launch,2024-08-09
CAM0229,DACH_Retargeting_229,CH02,DACH,Retargeting,2025-10-31
CAM0230,UKI_Lead_Gen_230,CH02,UKI,Lead Gen,2025-10-15
CAM0231,ANZ_Product_Launch_231,CH05,ANZ,Product Launch,2024-11-10
CAM0232,SEA_Lead_Gen_232,CH06,SEA,Lead Gen,2024-02-18
CAM0233,ANZ_Retargeting_233,CH04,ANZ,Retargeting,2024-03-23
CAM0234,ANZ_Lead_Gen_234,CH07,ANZ,Lead Gen,2024-01-29
CAM0235,SEA_Retargeting_235,CH02,SEA,Retargeting,2024-06-26
CAM0236,ANZ_Brand_236,CH07,ANZ,Brand,2025-08-16
CAM0237,UKI_Retargeting_237,CH01,UKI,Retargeting,2024-11-09
CAM0238,UKI_Retargeting_238,CH02,UKI,Retargeting,2025-08-08
CAM0239,DACH_Product_Launch_239,CH05,DACH,Product Launch,2026-02-11
CAM0240,ANZ_Brand_240,CH03,ANZ,Brand,2024-12-02
CAM0241,DACH_Retargeting_241,CH01,DACH,Retargeting,2024-05-04
CAM0242,UKI_Product_Launch_242,CH02,UKI,Product Launch,2025-01-25
CAM0243,UKI_Brand_243,CH04,UKI,Brand,2024-06-25
CAM0244,North America_Webinar_244,CH03,North America,Webinar,2024-11-24
CAM0245,DACH_Retargeting_245,CH05,DACH,Retargeting,2024-11-24
CAM0246,North America_Product_Launch_246,CH01,North America,Product Launch,2024-10-18
CAM0247,UKI_Webinar_247,CH05,UKI,Webinar,2024-11-06
CAM0248,North America_Product_Launch_248,CH02,North America,Product Launch,2025-11-23
CAM0249,SEA_Product_Launch_249,CH01,SEA,Product Launch,2024-09-25
CAM0250,SEA_Webinar_250,CH01,SEA,Webinar,2025-02-21
CAM0251,SEA_Webinar_251,CH06,SEA,Webinar,2025-01-06
CAM0252,ANZ_Retargeting_252,CH07,ANZ,Retargeting,2025-01-02
CAM0253,North America_Retargeting_253,CH02,North America,Retargeting,2024-11-17
CAM0254,DACH_Product_Launch_254,CH01,DACH,Product Launch,2025-09-14
CAM0255,North America_Brand_255,CH03,North America,Brand,2025-06-21
CAM0256,UKI_Brand_256,CH03,UKI,Brand,2025-11-15
CAM0257,UKI_Brand_257,CH07,UKI,Brand,2024-08-03
CAM0258,DACH_Lead_Gen_258,CH05,DACH,Lead Gen,2024-09-07
CAM0259,SEA_Retargeting_259,CH06,SEA,Retargeting,2024-08-13
CAM0260,ANZ_Brand_260,CH03,ANZ,Brand,2025-09-10
CAM0261,SEA_Webinar_261,CH04,SEA,Webinar,2026-04-15
CAM0262,UKI_Retargeting_262,CH02,UKI,Retargeting,2026-01-02
CAM0263,North America_Lead_Gen_263,CH04,North America,Lead Gen,2026-02-07
CAM0264,DACH_Retargeting_264,CH03,DACH,Retargeting,2024-06-10
CAM0265,North America_Retargeting_265,CH02,North America,Retargeting,2025-09-17
CAM0266,DACH_Brand_266,CH04,DACH,Brand,2026-03-28
CAM0267,SEA_Brand_267,CH02,SEA,Brand,2026-04-01
CAM0268,ANZ_Lead_Gen_268,CH02,ANZ,Lead Gen,2024-12-23
CAM0269,UKI_Product_Launch_269,CH03,UKI,Product Launch,2025-09-06
CAM0270,ANZ_Brand_270,CH07,ANZ,Brand,2025-11-10
CAM0271,DACH_Lead_Gen_271,CH02,DACH,Lead Gen,2024-04-09
CAM0272,DACH_Brand_272,CH06,DACH,Brand,2024-07-14
CAM0273,SEA_Webinar_273,CH05,SEA,Webinar,2026-03-09
CAM0274,ANZ_Retargeting_274,CH01,ANZ,Retargeting,2024-07-15
CAM0275,UKI_Retargeting_275,CH07,UKI,Retargeting,2025-03-01
CAM0276,UKI_Webinar_276,CH01,UKI,Webinar,2025-03-03
CAM0277,DACH_Lead_Gen_277,CH06,DACH,Lead Gen,2024-05-17
CAM0278,North America_Brand_278,CH06,North America,Brand,2024-06-08
CAM0279,ANZ_Retargeting_279,CH07,ANZ,Retargeting,2025-10-10
CAM0280,SEA_Product_Launch_280,CH01,SEA,Product Launch,2025-07-04
CAM0281,ANZ_Lead_Gen_281,CH05,ANZ,Lead Gen,2024-12-11
CAM0282,ANZ_Lead_Gen_282,CH03,ANZ,Lead Gen,2026-02-09
CAM0283,SEA_Brand_283,CH06,SEA,Brand,2024-09-18
CAM0284,SEA_Brand_284,CH04,SEA,Brand,2024-03-04
CAM0285,ANZ_Product_Launch_285,CH06,ANZ,Product Launch,2026-01-21
CAM0286,North America_Brand_286,CH05,North America,Brand,2024-06-20
CAM0287,North America_Product_Launch_287,CH05,North America,Product Launch,2025-10-12
CAM0288,DACH_Retargeting_288,CH03,DACH,Retargeting,2025-12-19
CAM0289,North America_Brand_289,CH03,North America,Brand,2024-05-19
CAM0290,SEA_Lead_Gen_290,CH04,SEA,Lead Gen,2025-03-31
CAM0291,North America_Product_Launch_291,CH02,North America,Product Launch,2024-10-24
CAM0292,DACH_Retargeting_292,CH02,DACH,Retargeting,2024-07-24
CAM0293,UKI_Brand_293,CH05,UKI,Brand,2025-12-16
CAM0294,North America_Retargeting_294,CH03,North America,Retargeting,2024-07-31
CAM0295,ANZ_Product_Launch_295,CH06,ANZ,Product Launch,2026-03-25
CAM0296,ANZ_Product_Launch_296,CH03,ANZ,Product Launch,2025-05-15
CAM0297,SEA_Brand_297,CH07,SEA,Brand,2025-05-18
CAM0298,ANZ_Webinar_298,CH06,ANZ,Webinar,2025-08-12
CAM0299,UKI_Retargeting_299,CH02,UKI,Retargeting,2024-04-21
CAM0300,North America_Webinar_300,CH01,North America,Webinar,2024-03-11
