TouchpointID,LeadID,TouchDate,CampaignID,ChannelID,TouchSequence,TouchType
TP00000054,L000015,2025-06-27,CAM0259,CH06,3,Form Submit
TP00000055,L000015,2025-06-25,CAM0264,CH03,4,Form Submit
TP00000056,L000016,2025-06-13,CAM0267,CH02,1,Form Submit
TP00000057,L000016,2025-07-04,CAM0059,CH01,2,Impression
TP00000058,L000016,2025-06-18,CAM0185,CH06,3,Impression
TP00000059,L000016,2025-07-08,CAM0164,CH03,4,Impression
TP00000060,L000016,2025-05-28,CAM0057,CH04,5,Click
TP00000061,L000016,2025-06-04,CAM0060,CH05,6,Form Submit
TP00000062,L000017,2026-04-30,CAM0120,CH06,1,Click
TP00000063,L000017,2026-04-26,CAM0193,CH06,2,Email Open
TP00000064,L000017,2026-04-28,CAM0181,CH01,3,Email Open
TP00000065,L000017,2026-04-05,CAM0291,CH02,4,Click
TP00000066,L000017,2026-05-09,CAM0169,CH05,5,Website Visit
TP00000067,L000017,2026-04-27,CAM0026,CH03,6,Impression
TP00000068,L000018,2024-05-02,CAM0066,CH04,1,Website Visit
TP00000069,L000019,2024-02-03,CAM0219,CH04,1,Website Visit
TP00000070,L000019,2024-02-01,CAM0273,CH05,2,Email Open
TP00000071,L000019,2024-03-05,CAM0090,CH02,3,Click
TP00000072,L000019,2024-03-05,CAM0121,CH02,4,Impression
TP00000073,L000019,2024-01-22,CAM0243,CH04,5,Email Open
TP00000074,L000020,2025-01-30,CAM0287,CH05,1,Email Open
TP00000075,L000020,2025-01-31,CAM0266,CH04,2,Click
TP00000076,L000020,2024-12-22,CAM0283,CH06,3,Email Open
TP00000077,L000020,2025-01-20,CAM0019,CH02,4,Website Visit
TP00000078,L000021,2025-02-09,CAM0240,CH03,1,Website Visit
TP00000079,L000021,2025-01-25,CAM0134,CH04,2,Impression
TP00000080,L000021,2025-02-17,CAM0199,CH04,3,Form Submit
TP00000081,L000021,2025-02-22,CAM0239,CH05,4,Form Submit
TP00000082,L000022,2025-12-29,CAM0032,CH01,1,Form Submit
TP00000083,L000022,2026-01-04,CAM0005,CH02,2,Email Open
TP00000084,L000022,2026-01-12,CAM0264,CH03,3,Form Submit
TP00000085,L000022,2026-01-06,CAM0073,CH05,4,Form Submit
TP00000086,L000022,2025-12-12,CAM0188,CH01,5,Email Open
TP00000087,L000022,2026-01-19,CAM0046,CH03,6,Click
TP00000088,L000023,2026-04-21,CAM0147,CH02,1,Click
TP00000089,L000023,2026-05-03,CAM0099,CH05,2,Email Open
TP00000090,L000023,2026-03-31,CAM0280,CH01,3,Form Submit
TP00000091,L000023,2026-04-14,CAM0161,CH05,4,Email Open
TP00000092,L000024,2024-11-10,CAM0257,CH07,1,Email Open
TP00000093,L000025,2024-04-13,CAM0033,CH01,1,Impression
TP00000094,L000025,2024-03-31,CAM0127,CH07,2,Form Submit
TP00000095,L000025,2024-03-17,CAM0128,CH05,3,Form Submit
TP00000096,L000025,2024-03-09,CAM0028,CH01,4,Email Open
TP00000097,L000025,2024-04-03,CAM0057,CH04,5,Website Visit
TP00000098,L000026,2025-03-23,CAM0061,CH01,1,Form Submit
TP00000099,L000026,2025-03-15,CAM0212,CH06,2,Impression
TP00000100,L000027,2025-10-04,CAM0281,CH05,1,Form Submit
TP00000101,L000027,2025-09-29,CAM0073,CH05,2,Email Open
TP00000102,L000028,2024-03-05,CAM0293,CH05,1,Website Visit
TP00000103,L000028,2024-03-31,CAM0133,CH06,2,Form Submit
TP00000104,L000028,2024-04-08,CAM0283,CH06,3,Form Submit
TP00000105,L000028,2024-03-14,CAM0024,CH04,4,Website Visit
TP00000106,L000029,2026-08-16,CAM0084,CH07,1,Website Visit
TP00000107,L000029,2026-08-21,CAM0157,CH02,2,Email Open
TP00000108,L000029,2026-08-16,CAM0109,CH04,3,Form Submit
TP00000109,L000029,2026-08-01,CAM0213,CH01,4,Impression
TP00000110,L000030,2025-10-24,CAM0189,CH03,1,Form Submit
TP00000111,L000030,2025-10-14,CAM0158,CH05,2,Website Visit
TP00000112,L000030,2025-10-16,CAM0242,CH02,3,Email Open
TP00000113,L000030,2025-10-26,CAM0046,CH03,4,Form Submit
TP00000114,L000031,2025-07-12,CAM0004,CH07,1,Website Visit
TP00000115,L000031,2025-07-07,CAM0195,CH04,2,Click
TP00000116,L000031,2025-07-18,CAM0100,CH04,3,Form Submit
TP00000117,L000031,2025-07-27,CAM0263,CH04,4,Website Visit
TP00000118,L000032,2025-09-11,CAM0162,CH07,1,Email Open
TP00000119,L000032,2025-09-27,CAM0244,CH03,2,Email Open
TP00000120,L000032,2025-09-18,CAM0106,CH07,3,Click
TP00000121,L000033,2025-08-31,CAM0036,CH02,1,Impression
TP00000122,L000033,2025-09-01,CAM0108,CH01,2,Website Visit
TP00000123,L000034,2025-06-27,CAM0153,CH06,1,Impression
TP00000124,L000034,2025-06-21,CAM0175,CH02,2,Form Submit
TP00000125,L000035,2024-11-24,CAM0059,CH01,1,Email Open
TP00000126,L000036,2026-05-01,CAM0041,CH04,1,Website Visit
TP00000127,L000037,2026-07-07,CAM0018,CH01,1,Website Visit
TP00000128,L000037,2026-07-13,CAM0299,CH02,2,Email Open
TP00000129,L000038,2024-10-22,CAM0081,CH02,1,Click
TP00000130,L000039,2025-09-09,CAM0182,CH04,1,Website Visit
TP00000131,L000039,2025-09-08,CAM0297,CH07,2,Form Submit
TP00000132,L000039,2025-08-19,CAM0060,CH05,3,Email Open
TP00000133,L000039,2025-09-03,CAM0068,CH06,4,Form Submit
TP00000134,L000040,2026-02-04,CAM0001,CH04,1,Website Visit
TP00000135,L000040,2026-01-04,CAM0087,CH05,2,Website Visit
TP00000136,L000040,2026-01-10,CAM0287,CH05,3,Click
TP00000137,L000040,2026-02-04,CAM0189,CH03,4,Impression
TP00000138,L000040,2025-12-31,CAM0030,CH06,5,Website Visit
TP00000139,L000040,2026-01-29,CAM0173,CH06,6,Click
TP00000140,L000041,2025-12-10,CAM0023,CH02,1,Click
TP00000141,L000041,2025-12-06,CAM0080,CH07,2,Impression
TP00000142,L000041,2026-01-07,CAM0005,CH02,3,Email Open
TP00000143,L000041,2025-12-03,CAM0109,CH04,4,Email Open
TP00000144,L000042,2026-06-17,CAM0162,CH07,1,Click
TP00000145,L000042,2026-05-17,CAM0038,CH05,2,Email Open
TP00000146,L000043,2024-11-24,CAM0093,CH07,1,Impression
TP00000147,L000043,2024-12-01,CAM0221,CH01,2,Click
TP00000148,L000043,2024-12-21,CAM0032,CH01,3,Website Visit
TP00000149,L000044,2024-07-14,CAM0187,CH03,1,Click
TP00000150,L000044,2024-06-27,CAM0277,CH06,2,Click
TP00000151,L000045,2026-01-05,CAM0063,CH04,1,Form Submit
TP00000152,L000045,2025-12-28,CAM0227,CH06,2,Email Open
TP00000153,L000045,2025-12-18,CAM0169,CH05,3,Impression
TP00000154,L000046,2025-07-05,CAM0037,CH01,1,Website Visit
TP00000155,L000046,2025-06-28,CAM0208,CH06,2,Website Visit
TP00000156,L000046,2025-06-09,CAM0032,CH01,3,Click
TP00000157,L000047,2024-04-27,CAM0035,CH06,1,Click
TP00000158,L000047,2024-05-16,CAM0244,CH03,2,Click
TP00000159,L000047,2024-05-21,CAM0149,CH01,3,Website Visit
TP00000160,L000047,2024-05-30,CAM0101,CH06,4,Email Open
TP00000161,L000047,2024-05-04,CAM0080,CH07,5,Impression
TP00000162,L000048,2024-07-21,CAM0220,CH03,1,Form Submit
TP00000163,L000049,2025-04-11,CAM0082,CH03,1,Click
TP00000164,L000049,2025-03-31,CAM0115,CH06,2,Email Open
TP00000165,L000050,2025-01-30,CAM0050,CH04,1,Impression
TP00000166,L000050,2025-02-17,CAM0252,CH07,2,Website Visit
TP00000167,L000050,2025-02-01,CAM0062,CH03,3,Form Submit
TP00000168,L000050,2025-02-25,CAM0167,CH05,4,Impression
TP00000169,L000050,2025-02-01,CAM0103,CH06,5,Form Submit
TP00000170,L000051,2026-02-02,CAM0292,CH02,1,Click
TP00000171,L000051,2026-01-17,CAM0298,CH06,2,Impression
TP00000172,L000051,2026-01-15,CAM0248,CH02,3,Impression
TP00000173,L000052,2024-08-01,CAM0180,CH02,1,Email Open
TP00000174,L000052,2024-08-22,CAM0135,CH07,2,Website Visit
TP00000175,L000052,2024-08-06,CAM0204,CH06,3,Impression
TP00000176,L000052,2024-08-06,CAM0280,CH01,4,Click
TP00000177,L000052,2024-08-16,CAM0263,CH04,5,Form Submit
TP00000178,L000052,2024-07-24,CAM0151,CH04,6,Impression
TP00000179,L000053,2025-04-25,CAM0239,CH05,1,Form Submit
TP00000180,L000053,2025-04-18,CAM0055,CH01,2,Website Visit
TP00000181,L000053,2025-04-07,CAM0215,CH02,3,Email Open
TP00000182,L000054,2024-03-17,CAM0278,CH06,1,Form Submit
TP00000183,L000054,2024-03-18,CAM0135,CH07,2,Email Open
TP00000184,L000054,2024-03-20,CAM0177,CH07,3,Email Open
TP00000185,L000054,2024-02-18,CAM0244,CH03,4,Click
TP00000186,L000055,2023-12-13,CAM0205,CH02,1,Impression
TP00000187,L000055,2023-12-27,CAM0079,CH07,2,Email Open
TP00000188,L000055,2024-01-08,CAM0187,CH03,3,Click
TP00000189,L000055,2023-12-09,CAM0294,CH03,4,Form Submit
TP00000190,L000055,2024-01-05,CAM0049,CH02,5,Form Submit
TP00000191,L000055,2023-12-11,CAM0234,CH07,6,Form Submit
TP00000192,L000056,2025-08-10,CAM0159,CH01,1,Impression
TP00000193,L000056,2025-08-17,CAM0036,CH02,2,Impression
TP00000194,L000056,2025-08-22,CAM0130,CH04,3,Impression
TP00000195,L000056,2025-07-16,CAM0175,CH02,4,Website Visit
TP00000196,L000056,2025-08-22,CAM0175,CH02,5,Form Submit
TP00000197,L000057,2024-12-11,CAM0002,CH06,1,Website Visit
TP00000198,L000058,2025-05-18,CAM0237,CH01,1,Click
TP00000199,L000058,2025-05-26,CAM0150,CH02,2,Email Open
TP00000200,L000058,2025-05-15,CAM0296,CH03,3,Form Submit
TP00000201,L000059,2024-12-20,CAM0188,CH01,1,Email Open
TP00000202,L000059,2024-12-02,CAM0300,CH01,2,Email Open
TP00000203,L000059,2024-12-15,CAM0213,CH01,3,Click
TP00000204,L000059,2024-12-02,CAM0245,CH05,4,Website Visit
TP00000205,L000060,2025-07-10,CAM0008,CH02,1,Website Visit
TP00000206,L000060,2025-06-24,CAM0002,CH06,2,Email Open
TP00000207,L000060,2025-07-12,CAM0279,CH07,3,Form Submit
TP00000208,L000060,2025-06-30,CAM0107,CH01,4,Website Visit
TP00000209,L000060,2025-06-15,CAM0126,CH04,5,Website Visit
TP00000210,L000060,2025-07-12,CAM0163,CH01,6,Click
TP00000211,L000061,2025-08-03,CAM0085,CH01,1,Impression
TP00000212,L000062,2025-09-24,CAM0179,CH02,1,Website Visit
TP00000213,L000062,2025-08-29,CAM0291,CH02,2,Website Visit
TP00000214,L000062,2025-09-19,CAM0024,CH04,3,Impression
TP00000215,L000062,2025-09-06,CAM0263,CH04,4,Click
TP00000216,L000063,2023-12-29,CAM0272,CH06,1,Click
TP00000217,L000063,2024-01-09,CAM0128,CH05,2,Form Submit
TP00000218,L000063,2023-12-18,CAM0033,CH01,3,Form Submit
TP00000219,L000063,2023-12-13,CAM0250,CH01,4,Website Visit
TP00000220,L000063,2023-12-25,CAM0233,CH04,5,Form Submit
TP00000221,L000064,2024-12-31,CAM0289,CH03,1,Email Open
TP00000222,L000064,2024-12-20,CAM0286,CH05,2,Website Visit
TP00000223,L000064,2024-12-13,CAM0218,CH07,3,Email Open
TP00000224,L000064,2025-01-15,CAM0044,CH06,4,Form Submit
TP00000225,L000064,2024-12-17,CAM0234,CH07,5,Email Open
TP00000226,L000064,2025-01-16,CAM0058,CH04,6,Email Open
TP00000227,L000065,2025-10-02,CAM0013,CH03,1,Email Open
TP00000228,L000065,2025-10-01,CAM0015,CH06,2,Website Visit
TP00000229,L000065,2025-10-01,CAM0264,CH03,3,Email Open
TP00000230,L000066,2026-07-16,CAM0041,CH04,1,Click
TP00000231,L000066,2026-07-16,CAM0045,CH06,2,Form Submit
TP00000232,L000066,2026-08-18,CAM0130,CH04,3,Website Visit
TP00000233,L000066,2026-07-06,CAM0229,CH02,4,Website Visit
TP00000234,L000066,2026-08-11,CAM0152,CH03,5,Website Visit
TP00000235,L000067,2026-01-26,CAM0254,CH01,1,Impression
TP00000236,L000067,2026-02-21,CAM0166,CH02,2,Click
TP00000237,L000067,2026-01-26,CAM0214,CH03,3,Impression
TP00000238,L000067,2026-02-12,CAM0208,CH06,4,Click
TP00000239,L000068,2025-12-24,CAM0193,CH06,1,Email Open
TP00000240,L000069,2026-07-28,CAM0166,CH02,1,Email Open
TP00000241,L000069,2026-08-24,CAM0074,CH04,2,Impression
TP00000242,L000069,2026-08-05,CAM0105,CH02,3,Click
TP00000243,L000069,2026-08-07,CAM0180,CH02,4,Form Submit
TP00000244,L000069,2026-08-03,CAM0292,CH02,5,Impression
TP00000245,L000070,2025-10-03,CAM0116,CH02,1,Form Submit
TP00000246,L000070,2025-10-06,CAM0057,CH04,2,Click
TP00000247,L000070,2025-10-09,CAM0177,CH07,3,Email Open
TP00000248,L000070,2025-09-21,CAM0228,CH02,4,Impression
TP00000249,L000070,2025-11-01,CAM0205,CH02,5,Form Submit
TP00000250,L000071,2024-01-01,CAM0039,CH04,1,Website Visit
TP00000251,L000071,2024-01-15,CAM0032,CH01,2,Form Submit
TP00000252,L000071,2024-01-04,CAM0177,CH07,3,Website Visit
TP00000253,L000071,2024-01-01,CAM0223,CH05,4,Email Open
TP00000254,L000071,2024-01-28,CAM0164,CH03,5,Website Visit
TP00000255,L000072,2025-04-30,CAM0107,CH01,1,Impression
TP00000256,L000072,2025-03-31,CAM0153,CH06,2,Impression
TP00000257,L000072,2025-04-05,CAM0137,CH02,3,Email Open
TP00000258,L000073,2025-07-04,CAM0042,CH02,1,Website Visit
TP00000259,L000073,2025-07-02,CAM0174,CH02,2,Form Submit
TP00000260,L000073,2025-07-16,CAM0251,CH06,3,Impression
TP00000261,L000073,2025-07-05,CAM0187,CH03,4,Email Open
TP00000262,L000073,2025-08-12,CAM0252,CH07,5,Form Submit
TP00000263,L000073,2025-08-12,CAM0183,CH07,6,Click
TP00000264,L000074,2024-11-21,CAM0175,CH02,1,Website Visit
TP00000265,L000074,2024-11-24,CAM0202,CH04,2,Website Visit
TP00000266,L000074,2024-11-21,CAM0048,CH06,3,Email Open
TP00000267,L000075,2025-12-30,CAM0233,CH04,1,Form Submit
TP00000268,L000075,2025-12-20,CAM0206,CH06,2,Form Submit
TP00000269,L000075,2026-01-15,CAM0260,CH03,3,Click
TP00000270,L000075,2026-01-24,CAM0038,CH05,4,Website Visit
TP00000271,L000075,2025-12-27,CAM0044,CH06,5,Email Open
TP00000272,L000076,2024-10-19,CAM0008,CH02,1,Click
TP00000273,L000076,2024-10-09,CAM0081,CH02,2,Impression
TP00000274,L000076,2024-10-19,CAM0200,CH07,3,Impression
TP00000275,L000076,2024-11-03,CAM0053,CH04,4,Form Submit
TP00000276,L000077,2026-04-29,CAM0045,CH06,1,Impression
TP00000277,L000077,2026-04-29,CAM0278,CH06,2,Website Visit
TP00000278,L000077,2026-04-10,CAM0155,CH05,3,Email Open
TP00000279,L000078,2025-05-02,CAM0197,CH04,1,Form Submit
TP00000280,L000079,2025-08-05,CAM0038,CH05,1,Click
TP00000281,L000079,2025-08-19,CAM0215,CH02,2,Click
TP00000282,L000079,2025-08-07,CAM0038,CH05,3,Form Submit
TP00000283,L000079,2025-08-06,CAM0060,CH05,4,Website Visit
TP00000284,L000079,2025-08-13,CAM0065,CH05,5,Email Open
TP00000285,L000079,2025-08-05,CAM0027,CH01,6,Form Submit
TP00000286,L000080,2026-03-16,CAM0164,CH03,1,Click
TP00000287,L000081,2025-11-12,CAM0231,CH05,1,Impression
TP00000288,L000081,2025-10-18,CAM0288,CH03,2,Impression
TP00000289,L000081,2025-10-12,CAM0083,CH05,3,Website Visit
TP00000290,L000081,2025-10-02,CAM0115,CH06,4,Website Visit
TP00000291,L000081,2025-10-01,CAM0231,CH05,5,Click
TP00000292,L000082,2024-11-23,CAM0286,CH05,1,Form Submit
TP00000293,L000082,2024-12-19,CAM0114,CH05,2,Website Visit
TP00000294,L000082,2024-11-14,CAM0242,CH02,3,Email Open
TP00000295,L000083,2024-06-11,CAM0263,CH04,1,Click
TP00000296,L000083,2024-06-10,CAM0218,CH07,2,Click
TP00000297,L000083,2024-07-04,CAM0273,CH05,3,Email Open
TP00000298,L000083,2024-06-08,CAM0197,CH04,4,Impression
TP00000299,L000084,2024-02-08,CAM0029,CH03,1,Click
TP00000300,L000084,2024-01-12,CAM0075,CH05,2,Website Visit
TP00000301,L000084,2024-02-10,CAM0267,CH02,3,Email Open
TP00000302,L000084,2024-02-02,CAM0010,CH04,4,Email Open
TP00000303,L000084,2024-02-02,CAM0043,CH07,5,Website Visit
TP00000304,L000085,2025-05-21,CAM0016,CH02,1,Click
TP00000305,L000085,2025-05-30,CAM0242,CH02,2,Click
TP00000306,L000086,2024-02-04,CAM0266,CH04,1,Impression
TP00000307,L000086,2024-02-09,CAM0197,CH04,2,Form Submit
TP00000308,L000086,2024-02-22,CAM0074,CH04,3,Click
TP00000309,L000086,2024-02-02,CAM0257,CH07,4,Email Open
TP00000310,L000087,2026-04-26,CAM0027,CH01,1,Email Open
TP00000311,L000087,2026-05-28,CAM0034,CH01,2,Form Submit
TP00000312,L000087,2026-05-16,CAM0244,CH03,3,Impression
TP00000313,L000087,2026-04-28,CAM0169,CH05,4,Click
TP00000314,L000087,2026-05-08,CAM0127,CH07,5,Form Submit
TP00000315,L000088,2024-02-18,CAM0188,CH01,1,Form Submit
TP00000316,L000088,2024-03-06,CAM0213,CH01,2,Form Submit
TP00000317,L000088,2024-01-27,CAM0257,CH07,3,Email Open
TP00000318,L000088,2024-02-28,CAM0153,CH06,4,Form Submit
TP00000319,L000089,2024-02-05,CAM0127,CH07,1,Click
TP00000320,L000089,2024-02-17,CAM0240,CH03,2,Form Submit
TP00000321,L000090,2024-09-03,CAM0110,CH02,1,Website Visit
TP00000322,L000091,2024-11-17,CAM0288,CH03,1,Impression
TP00000323,L000091,2024-11-23,CAM0004,CH07,2,Impression
TP00000324,L000092,2024-01-01,CAM0009,CH02,1,Email Open
TP00000325,L000092,2023-12-20,CAM0119,CH03,2,Website Visit
TP00000326,L000092,2024-01-16,CAM0206,CH06,3,Impression
TP00000327,L000092,2024-01-23,CAM0215,CH02,4,Website Visit
TP00000328,L000093,2026-06-07,CAM0227,CH06,1,Website Visit
TP00000329,L000093,2026-05-17,CAM0228,CH02,2,Email Open
TP00000330,L000094,2024-03-18,CAM0202,CH04,1,Click
TP00000331,L000094,2024-03-07,CAM0182,CH04,2,Website Visit
TP00000332,L000094,2024-03-31,CAM0220,CH03,3,Form Submit
TP00000333,L000094,2024-04-03,CAM0221,CH01,4,Email Open
TP00000334,L000094,2024-04-11,CAM0231,CH05,5,Email Open
TP00000335,L000095,2025-11-18,CAM0236,CH07,1,Email Open
TP00000336,L000095,2025-12-02,CAM0163,CH01,2,Website Visit
TP00000337,L000095,2025-12-18,CAM0119,CH03,3,Click
TP00000338,L000095,2025-11-26,CAM0211,CH01,4,Click
TP00000339,L000096,2026-04-28,CAM0165,CH07,1,Click
TP00000340,L000096,2026-04-07,CAM0182,CH04,2,Click
TP00000341,L000096,2026-04-19,CAM0126,CH04,3,Click
TP00000342,L000097,2025-01-19,CAM0060,CH05,1,Email Open
TP00000343,L000097,2025-01-01,CAM0191,CH02,2,Click
TP00000344,L000098,2025-11-28,CAM0100,CH04,1,Impression
TP00000345,L000098,2025-12-01,CAM0002,CH06,2,Impression
TP00000346,L000098,2026-01-02,CAM0160,CH04,3,Impression
TP00000347,L000098,2026-01-07,CAM0102,CH01,4,Website Visit
TP00000348,L000099,2024-12-27,CAM0006,CH04,1,Click
TP00000349,L000100,2024-09-19,CAM0105,CH02,1,Website Visit
TP00000350,L000100,2024-09-16,CAM0209,CH03,2,Website Visit
TP00000351,L000101,2024-03-10,CAM0273,CH05,1,Form Submit
TP00000352,L000101,2024-04-05,CAM0188,CH01,2,Impression
TP00000353,L000101,2024-03-18,CAM0257,CH07,3,Form Submit
TP00000354,L000101,2024-04-01,CAM0162,CH07,4,Website Visit
TP00000355,L000102,2025-06-21,CAM0279,CH07,1,Impression
TP00000356,L000103,2025-02-08,CAM0211,CH01,1,Impression
TP00000357,L000103,2025-03-05,CAM0253,CH02,2,Impression
TP00000358,L000103,2025-03-06,CAM0207,CH07,3,Form Submit
TP00000359,L000103,2025-03-05,CAM0078,CH04,4,Form Submit
TP00000360,L000103,2025-03-10,CAM0114,CH05,5,Email Open
TP00000361,L000103,2025-02-24,CAM0128,CH05,6,Click
TP00000362,L000104,2025-04-14,CAM0198,CH06,1,Email Open
TP00000363,L000105,2024-04-20,CAM0137,CH02,1,Form Submit
TP00000364,L000105,2024-03-30,CAM0110,CH02,2,Website Visit
TP00000365,L000105,2024-03-24,CAM0084,CH07,3,Website Visit
TP00000366,L000105,2024-04-14,CAM0292,CH02,4,Click
TP00000367,L000106,2024-12-27,CAM0258,CH05,1,Form Submit
TP00000368,L000106,2024-11-23,CAM0285,CH06,2,Email Open
TP00000369,L000106,2024-12-27,CAM0020,CH02,3,Form Submit
TP00000370,L000106,2024-12-10,CAM0008,CH02,4,Website Visit
TP00000371,L000106,2024-11-23,CAM0181,CH01,5,Website Visit
TP00000372,L000106,2025-01-02,CAM0260,CH03,6,Click
TP00000373,L000107,2025-06-15,CAM0181,CH01,1,Click
TP00000374,L000108,2025-03-15,CAM0029,CH03,1,Click
TP00000375,L000108,2025-04-19,CAM0226,CH03,2,Website Visit
TP00000376,L000108,2025-04-20,CAM0297,CH07,3,Impression
TP00000377,L000108,2025-04-19,CAM0281,CH05,4,Website Visit
TP00000378,L000109,2026-07-31,CAM0132,CH01,1,Email Open
TP00000379,L000110,2025-08-13,CAM0110,CH02,1,Impression
TP00000380,L000110,2025-08-30,CAM0050,CH04,2,Click
TP00000381,L000110,2025-08-18,CAM0100,CH04,3,Form Submit
TP00000382,L000110,2025-09-09,CAM0128,CH05,4,Website Visit
TP00000383,L000110,2025-08-25,CAM0120,CH06,5,Email Open
TP00000384,L000110,2025-08-28,CAM0220,CH03,6,Impression
TP00000385,L000111,2023-12-15,CAM0116,CH02,1,Email Open
TP00000386,L000111,2023-12-26,CAM0179,CH02,2,Form Submit
TP00000387,L000111,2023-12-13,CAM0065,CH05,3,Email Open
TP00000388,L000111,2023-12-25,CAM0126,CH04,4,Form Submit
TP00000389,L000111,2024-01-06,CAM0239,CH05,5,Impression
TP00000390,L000112,2026-04-14,CAM0170,CH02,1,Website Visit
TP00000391,L000112,2026-04-15,CAM0114,CH05,2,Form Submit
TP00000392,L000113,2026-06-20,CAM0132,CH01,1,Click
TP00000393,L000114,2026-04-17,CAM0178,CH03,1,Click
TP00000394,L000114,2026-03-13,CAM0069,CH04,2,Click
TP00000395,L000114,2026-04-14,CAM0020,CH02,3,Email Open
TP00000396,L000114,2026-04-03,CAM0148,CH04,4,Impression
TP00000397,L000114,2026-04-25,CAM0285,CH06,5,Impression
TP00000398,L000115,2024-12-06,CAM0092,CH02,1,Email Open
TP00000399,L000115,2024-12-23,CAM0079,CH07,2,Email Open
TP00000400,L000115,2024-11-21,CAM0225,CH06,3,Website Visit
TP00000401,L000116,2025-05-01,CAM0253,CH02,1,Website Visit
TP00000402,L000116,2025-05-05,CAM0219,CH04,2,Form Submit
TP00000403,L000116,2025-05-26,CAM0144,CH02,3,Impression
TP00000404,L000116,2025-05-11,CAM0037,CH01,4,Email Open
TP00000405,L000117,2025-06-15,CAM0186,CH05,1,Website Visit
TP00000406,L000117,2025-06-02,CAM0069,CH04,2,Click
TP00000407,L000117,2025-06-24,CAM0231,CH05,3,Email Open
TP00000408,L000118,2025-08-18,CAM0132,CH01,1,Click
TP00000409,L000118,2025-08-25,CAM0186,CH05,2,Website Visit
TP00000410,L000118,2025-08-11,CAM0182,CH04,3,Email Open
