OpportunityID,LeadID,CreatedDate,OpportunityValue,Status
OP000117,L000484,2025-10-13,1153.02,Closed Won
OP000118,L000487,2024-05-04,2759.22,Closed Won
OP000119,L000490,2026-03-27,1728.87,Closed Won
OP000120,L000496,2024-05-26,1576.77,Closed Won
OP000121,L000499,2024-11-10,14080.54,Closed Won
OP000122,L000504,2024-05-29,3024.52,Closed Lost
OP000123,L000516,2024-05-07,963.95,Closed Won
OP000124,L000520,2025-11-21,1124.47,Closed Won
OP000125,L000523,2025-05-04,2355.62,Open
OP000126,L000527,2025-12-04,1263.51,Closed Won
OP000127,L000533,2024-01-26,1111.21,Closed Lost
OP000128,L000538,2026-05-22,1873.64,Closed Lost
OP000129,L000541,2025-02-25,1352.25,Closed Lost
OP000130,L000547,2026-05-31,7075.39,Closed Won
OP000131,L000548,2024-02-13,6585.8,Closed Lost
OP000132,L000560,2026-05-13,3921.51,Closed Won
OP000133,L000563,2024-10-27,23854.63,Closed Lost
OP000134,L000567,2025-08-28,5934.97,Closed Won
OP000135,L000568,2025-04-07,1368.04,Closed Won
OP000136,L000572,2025-03-25,4555.1,Closed Won
OP000137,L000574,2026-06-19,5169.51,Closed Lost
OP000138,L000584,2024-08-06,5264.2,Closed Won
OP000139,L000585,2025-07-02,3692.85,Closed Won
OP000140,L000587,2025-08-21,727.51,Closed Lost
OP000141,L000588,2026-07-28,1469.17,Closed Won
OP000142,L000589,2025-08-07,3475.14,Closed Won
OP000143,L000590,2024-12-20,4167.37,Closed Won
OP000144,L000593,2025-05-02,5634.92,Closed Won
OP000145,L000602,2026-07-13,2054.44,Closed Won
OP000146,L000605,2026-02-16,250.0,Closed Won
OP000147,L000612,2025-05-14,3762.4,Closed Lost
OP000148,L000613,2025-10-21,4155.93,Closed Won
OP000149,L000614,2024-03-10,3703.93,Closed Won
OP000150,L000616,2026-06-25,2491.81,Closed Won
OP000151,L000620,2026-05-20,1074.66,Closed Won
OP000152,L000621,2026-02-16,3486.21,Closed Won
OP000153,L000624,2024-05-12,4107.29,Open
OP000154,L000625,2025-01-15,2872.14,Closed Lost
OP000155,L000632,2024-05-01,701.72,Open
OP000156,L000635,2025-06-18,1179.27,Closed Won
OP000157,L000636,2024-08-18,1744.42,Closed Won
OP000158,L000637,2025-02-19,3841.84,Closed Won
OP000159,L000642,2025-11-21,1780.53,Closed Won
OP000160,L000651,2024-03-13,21833.18,Closed Won
OP000161,L000652,2024-12-17,5662.74,Open
OP000162,L000653,2025-09-05,5080.04,Closed Won
OP000163,L000656,2024-01-24,5203.38,Open
OP000164,L000658,2024-03-03,16335.9,Closed Won
OP000165,L000664,2025-02-28,1519.78,Closed Won
OP000166,L000670,2026-05-29,947.05,Closed Won
OP000167,L000672,2024-05-02,2912.59,Open
OP000168,L000682,2024-05-07,24945.89,Open
OP000169,L000685,2024-04-25,966.02,Open
OP000170,L000687,2025-04-22,963.02,Closed Lost
OP000171,L000688,2024-01-26,3483.97,Closed Won
OP000172,L000703,2025-07-28,6806.55,Closed Won
OP000173,L000705,2025-07-04,3344.54,Closed Won
OP000174,L000708,2024-11-13,1305.47,Open
OP000175,L000715,2026-08-30,5374.91,Open
OP000176,L000726,2024-09-06,13437.98,Closed Won
OP000177,L000732,2026-05-13,1682.65,Closed Won
OP000178,L000745,2026-01-23,5019.39,Closed Won
OP000179,L000748,2024-07-07,1211.9,Closed Won
OP000180,L000749,2024-05-14,1883.11,Closed Won
OP000181,L000752,2024-01-06,1179.57,Closed Lost
OP000182,L000758,2025-11-04,1666.12,Closed Won
OP000183,L000765,2025-10-04,10469.93,Closed Won
OP000184,L000766,2025-11-07,13348.29,Closed Lost
OP000185,L000767,2024-12-15,1500.99,Closed Lost
OP000186,L000768,2026-01-24,2639.29,Closed Won
OP000187,L000777,2026-02-27,4330.47,Open
OP000188,L000778,2024-05-12,6473.94,Closed Won
OP000189,L000782,2026-01-22,385.6,Open
OP000190,L000783,2025-06-26,326.52,Closed Won
OP000191,L000786,2024-02-03,762.9,Closed Won
OP000192,L000787,2025-05-18,9024.83,Closed Won
OP000193,L000790,2025-05-24,34892.9,Closed Won
OP000194,L000795,2024-10-08,5136.57,Closed Won
OP000195,L000799,2024-07-07,1373.21,Closed Won
OP000196,L000808,2024-05-04,2406.78,Closed Won
OP000197,L000811,2025-02-12,20694.65,Closed Won
OP000198,L000820,2024-09-15,10488.64,Closed Won
OP000199,L000822,2025-08-03,8504.39,Closed Lost
OP000200,L000826,2024-10-29,1059.41,Closed Lost
OP000201,L000827,2024-05-25,1476.82,Closed Won
OP000202,L000832,2025-02-15,2273.2,Closed Won
OP000203,L000834,2024-07-19,13097.99,Closed Won
OP000204,L000837,2025-08-16,553.95,Closed Lost
OP000205,L000838,2025-01-01,1252.48,Closed Won
OP000206,L000839,2026-09-07,1053.47,Closed Won
OP000207,L000840,2024-03-23,37724.87,Closed Won
OP000208,L000849,2025-11-12,17887.21,Closed Won
OP000209,L000859,2025-08-10,14917.77,Closed Lost
OP000210,L000862,2026-02-13,3728.72,Open
OP000211,L000865,2024-09-28,2287.21,Open
OP000212,L000868,2026-01-14,6922.46,Closed Won
OP000213,L000871,2024-05-21,1325.35,Closed Won
OP000214,L000888,2025-12-09,2131.88,Closed Lost
OP000215,L000890,2026-01-20,4277.37,Closed Won
OP000216,L000894,2026-05-20,8492.39,Closed Lost
OP000217,L000895,2024-12-09,1863.06,Closed Won
OP000218,L000896,2025-08-07,5929.01,Closed Lost
OP000219,L000898,2024-07-25,750.36,Closed Won
OP000220,L000906,2024-03-06,2379.39,Closed Won
OP000221,L000911,2024-08-15,1557.87,Closed Won
OP000222,L000918,2025-10-30,1219.39,Closed Won
OP000223,L000919,2024-02-05,250.0,Closed Won
OP000224,L000921,2024-06-18,4089.67,Open
OP000225,L000922,2025-06-24,8769.09,Closed Lost
OP000226,L000926,2025-06-17,1531.88,Closed Lost
OP000227,L000930,2024-08-14,1133.19,Closed Won
OP000228,L000934,2025-08-14,561.43,Closed Won
OP000229,L000939,2025-12-19,1941.89,Closed Won
OP000230,L000943,2025-12-21,8083.61,Open
OP000231,L000950,2025-08-31,17489.02,Closed Won
OP000232,L000952,2024-11-22,6315.25,Closed Won
OP000233,L000960,2026-04-27,2218.81,Closed Won
OP000234,L000962,2025-06-23,532.48,Closed Won
OP000235,L000963,2024-05-05,3073.55,Open
OP000236,L000969,2024-01-29,11122.97,Open
OP000237,L000972,2024-03-02,7841.14,Closed Lost
OP000238,L000979,2026-07-05,408.68,Closed Lost
OP000239,L000998,2025-01-24,1206.42,Closed Won
OP000240,L000999,2025-12-28,1903.13,Closed Won
OP000241,L001000,2025-01-06,1131.38,Closed Won
OP000242,L001005,2026-07-03,1079.74,Closed Won
OP000243,L001006,2026-03-18,1418.17,Closed Lost
OP000244,L001007,2024-09-01,4778.14,Open
OP000245,L001010,2024-02-07,7963.81,Closed Won
OP000246,L001013,2024-04-26,771.7,Closed Lost
OP000247,L001016,2025-02-07,12570.27,Closed Won
OP000248,L001025,2026-06-28,2217.71,Closed Won
OP000249,L001040,2025-12-28,981.01,Closed Won
OP000250,L001052,2024-02-13,1124.37,Closed Won
OP000251,L001061,2024-05-28,1609.06,Closed Won
OP000252,L001062,2026-01-23,3980.1,Closed Won
OP000253,L001069,2025-10-08,3672.94,Closed Won
OP000254,L001071,2024-09-27,4546.63,Closed Lost
OP000255,L001072,2026-05-03,2358.25,Closed Won
OP000256,L001075,2026-06-05,1717.68,Closed Won
OP000257,L001079,2026-09-20,827.04,Closed Won
OP000258,L001085,2026-09-24,922.54,Open
OP000259,L001088,2026-02-01,553.07,Closed Won
OP000260,L001093,2024-11-18,34109.73,Closed Won
OP000261,L001094,2025-05-01,5644.25,Open
OP000262,L001100,2024-03-31,2458.1,Open
OP000263,L001101,2026-07-30,1934.95,Closed Won
OP000264,L001106,2025-07-29,10174.25,Closed Won
OP000265,L001108,2024-06-08,7226.82,Closed Won
OP000266,L001111,2026-03-28,1572.17,Closed Won
OP000267,L001117,2025-06-05,336.17,Closed Lost
OP000268,L001121,2025-06-24,3650.55,Closed Lost
OP000269,L001124,2026-03-10,728.67,Closed Lost
OP000270,L001125,2026-02-20,8420.06,Closed Won
OP000271,L001128,2024-02-22,7451.34,Closed Lost
OP000272,L001130,2025-06-19,912.16,Open
OP000273,L001136,2024-08-08,643.93,Closed Won
OP000274,L001148,2025-06-19,967.48,Closed Won
OP000275,L001149,2026-03-26,4287.54,Closed Won
OP000276,L001150,2025-11-05,1023.88,Closed Won
OP000277,L001151,2024-08-25,1796.05,Open
OP000278,L001152,2026-06-18,1237.74,Open
OP000279,L001158,2026-01-21,1535.17,Closed Won
OP000280,L001161,2025-12-21,634.13,Open
OP000281,L001163,2025-03-22,3670.52,Closed Won
OP000282,L001166,2024-01-13,3973.98,Open
OP000283,L001170,2024-02-19,4674.66,Closed Lost
OP000284,L001171,2024-05-01,7413.9,Closed Lost
OP000285,L001176,2025-01-27,1339.64,Closed Lost
OP000286,L001178,2024-06-19,9640.38,Closed Won
OP000287,L001185,2025-05-11,13320.59,Closed Won
OP000288,L001190,2024-10-13,4401.74,Open
OP000289,L001192,2026-09-14,6638.91,Closed Won
OP000290,L001194,2024-05-13,1981.68,Closed Won
OP000291,L001196,2025-05-02,3354.96,Closed Lost
OP000292,L001199,2026-06-16,3155.03,Closed Lost
OP000293,L001200,2025-02-27,5451.49,Closed Won
OP000294,L001206,2026-08-18,6242.69,Closed Won
OP000295,L001207,2025-09-08,1761.09,Closed Won
OP000296,L001209,2025-05-30,779.01,Open
OP000297,L001214,2026-09-22,8160.74,Open
OP000298,L001219,2024-11-21,610.92,Closed Won
OP000299,L001220,2026-08-04,1260.85,Closed Won
OP000300,L001231,2025-06-24,1409.17,Open
OP000301,L001233,2026-07-18,2612.04,Closed Won
OP000302,L001235,2024-10-01,2460.08,Closed Won
OP000303,L001238,2026-06-07,3424.62,Closed Won
OP000304,L001248,2026-06-03,1000.17,Open
OP000305,L001253,2026-08-08,2547.73,Open
OP000306,L001256,2025-10-28,5599.09,Closed Won
OP000307,L001272,2025-08-14,5748.78,Open
OP000308,L001277,2026-01-03,6043.63,Closed Lost
OP000309,L001278,2025-07-31,816.62,Open
OP000310,L001290,2024-03-21,1174.73,Closed Won
OP000311,L001291,2025-11-30,7208.57,Closed Won
OP000312,L001303,2025-10-05,1462.6,Closed Lost
OP000313,L001304,2025-04-20,4556.94,Closed Won
OP000314,L001306,2025-08-18,1053.91,Closed Won
OP000315,L001307,2026-03-24,4358.78,Open
OP000316,L001316,2024-11-08,15393.55,Closed Won
OP000317,L001325,2025-08-15,4855.41,Closed Won
OP000318,L001334,2024-06-05,4740.29,Closed Won
OP000319,L001339,2026-07-06,9335.73,Closed Won
OP000320,L001342,2024-05-22,1797.87,Closed Lost
OP000321,L001345,2024-12-26,2681.34,Open
OP000322,L001360,2024-07-31,5961.51,Closed Won
OP000323,L001361,2024-02-26,1141.03,Closed Won
OP000324,L001362,2025-02-28,4292.7,Closed Won
OP000325,L001363,2024-03-26,11875.45,Closed Won
OP000326,L001364,2026-04-16,9715.81,Closed Won
OP000327,L001380,2024-02-29,2580.63,Closed Lost
OP000328,L001383,2024-02-13,713.87,Closed Won
OP000329,L001385,2026-01-05,3241.12,Closed Won
OP000330,L001386,2025-04-22,2485.17,Closed Won
OP000331,L001392,2026-06-17,1782.3,Closed Won
OP000332,L001404,2025-04-15,14902.24,Open
OP000333,L001406,2026-03-01,1330.45,Closed Won
OP000334,L001412,2025-01-02,1637.68,Open
OP000335,L001414,2025-08-17,4533.36,Closed Won
OP000336,L001415,2024-04-11,2074.03,Closed Won
OP000337,L001418,2025-06-11,9260.35,Open
OP000338,L001423,2025-06-09,3369.94,Open
OP000339,L001427,2026-02-07,10781.62,Closed Won
OP000340,L001436,2024-03-12,3096.63,Open
OP000341,L001438,2025-09-13,259.25,Closed Won
OP000342,L001461,2025-05-08,3478.59,Closed Won
OP000343,L001462,2026-08-23,19692.99,Closed Lost
OP000344,L001467,2024-05-10,2496.05,Closed Lost
OP000345,L001470,2026-08-13,736.56,Closed Won
OP000346,L001472,2025-04-30,433.99,Closed Won
OP000347,L001474,2026-06-30,1662.02,Open
OP000348,L001475,2024-08-19,2158.61,Closed Won
OP000349,L001476,2026-07-17,3375.15,Closed Won
OP000350,L001478,2026-01-29,33194.24,Closed Won
OP000351,L001493,2026-03-12,690.89,Closed Won
OP000352,L001496,2024-04-23,4794.99,Closed Won
OP000353,L001498,2025-03-30,25348.46,Closed Won
OP000354,L001501,2026-03-10,1233.85,Closed Won
OP000355,L001512,2024-06-05,4311.79,Closed Won
OP000356,L001515,2024-02-26,1617.2,Closed Lost
OP000357,L001522,2025-10-02,2982.39,Closed Won
OP000358,L001527,2024-11-17,6877.88,Open
OP000359,L001537,2026-04-22,3530.25,Closed Lost
OP000360,L001541,2026-03-11,754.74,Closed Won
OP000361,L001542,2025-08-02,11757.62,Closed Won
OP000362,L001547,2025-03-29,1976.7,Closed Won
OP000363,L001551,2025-01-10,1707.83,Closed Lost
OP000364,L001560,2025-01-15,1542.33,Closed Lost
OP000365,L001565,2026-07-31,1471.79,Closed Won
OP000366,L001567,2025-07-05,1561.01,Closed Won
OP000367,L001581,2025-12-30,6394.71,Closed Won
OP000368,L001589,2025-03-08,5986.85,Open
OP000369,L001591,2025-08-30,5204.01,Closed Lost
OP000370,L001600,2025-03-19,2276.08,Closed Won
OP000371,L001603,2025-07-10,1687.34,Open
OP000372,L001605,2024-10-27,2743.35,Closed Lost
OP000373,L001606,2024-04-30,18783.44,Open
OP000374,L001611,2024-09-21,1923.91,Open
OP000375,L001614,2025-09-07,1010.45,Closed Won
OP000376,L001616,2024-09-12,657.95,Closed Won
OP000377,L001620,2026-05-11,1541.83,Closed Won
OP000378,L001621,2024-01-20,9286.51,Closed Won
OP000379,L001624,2025-01-08,8124.62,Closed Won
OP000380,L001626,2026-05-10,2821.91,Closed Won
OP000381,L001631,2025-09-08,710.4,Closed Won
OP000382,L001635,2024-07-20,4880.45,Closed Won
OP000383,L001636,2025-03-10,35393.15,Closed Lost
OP000384,L001637,2025-06-16,2178.12,Closed Lost
OP000385,L001638,2025-02-07,1486.79,Closed Won
OP000386,L001639,2026-08-06,10905.63,Closed Won
OP000387,L001640,2024-07-18,1911.63,Closed Won
OP000388,L001643,2026-02-06,16106.47,Closed Won
OP000389,L001652,2026-06-04,10402.81,Open
OP000390,L001657,2024-02-29,14984.62,Closed Won
OP000391,L001665,2024-08-21,1229.57,Open
OP000392,L001668,2025-03-01,953.72,Closed Won
OP000393,L001670,2026-07-26,967.17,Closed Lost
OP000394,L001673,2025-05-21,24080.48,Closed Won
OP000395,L001674,2025-05-03,13700.67,Closed Lost
OP000396,L001676,2026-04-13,6919.39,Closed Lost
OP000397,L001680,2024-10-10,1545.43,Open
OP000398,L001686,2025-04-10,2435.81,Closed Won
OP000399,L001689,2025-08-19,666.57,Closed Lost
OP000400,L001699,2026-08-05,10770.31,Closed Won
OP000401,L001718,2026-01-11,8273.84,Closed Won
OP000402,L001733,2025-02-17,1026.87,Open
OP000403,L001735,2024-11-25,729.52,Open
OP000404,L001741,2024-11-17,3258.68,Closed Won
OP000405,L001744,2024-10-31,1948.51,Closed Won
OP000406,L001746,2025-03-26,6498.36,Closed Won
OP000407,L001752,2024-08-23,2126.73,Open
OP000408,L001758,2024-05-04,3904.77,Open
OP000409,L001760,2024-10-18,1914.02,Closed Won
OP000410,L001761,2024-11-26,1578.65,Open
OP000411,L001766,2026-04-03,3580.66,Open
OP000412,L001768,2026-06-07,565.0,Closed Won
OP000413,L001770,2026-04-14,1060.3,Open
OP000414,L001774,2024-07-29,25397.15,Closed Won
OP000415,L001776,2025-05-22,10098.14,Closed Won
OP000416,L001781,2025-02-05,3324.97,Closed Won
OP000417,L001786,2026-04-23,525.61,Closed Won
OP000418,L001788,2026-07-13,1830.06,Open
OP000419,L001789,2024-05-18,2968.66,Closed Lost
OP000420,L001790,2026-01-10,826.37,Closed Won
OP000421,L001795,2024-12-12,1839.92,Closed Won
OP000422,L001805,2026-09-03,7655.99,Open
OP000423,L001809,2026-04-11,7056.5,Closed Won
OP000424,L001810,2024-10-16,338.97,Closed Won
OP000425,L001811,2025-02-05,8488.77,Closed Won
OP000426,L001823,2026-08-22,1331.31,Closed Won
OP000427,L001824,2025-10-23,3749.33,Closed Won
OP000428,L001825,2025-02-01,2127.99,Closed Won
OP000429,L001833,2025-09-29,7896.94,Closed Won
OP000430,L001845,2025-10-01,19772.81,Closed Won
OP000431,L001852,2025-12-12,2953.62,Closed Won
OP000432,L001857,2025-07-16,642.07,Open
OP000433,L001860,2026-01-18,5013.08,Closed Won
OP000434,L001865,2025-02-27,2534.38,Closed Won
OP000435,L001872,2024-03-18,615.96,Closed Lost
OP000436,L001879,2026-06-22,19520.48,Closed Won
OP000437,L001885,2024-05-22,6632.24,Closed Won
OP000438,L001888,2024-04-27,20404.06,Closed Lost
OP000439,L001896,2024-11-21,6510.3,Open
OP000440,L001899,2025-02-06,10733.97,Closed Won
OP000441,L001905,2025-04-12,2033.97,Open
OP000442,L001906,2026-06-13,4628.36,Closed Won
OP000443,L001925,2024-06-19,15909.42,Open
OP000444,L001930,2024-09-06,982.14,Closed Won
OP000445,L001941,2024-06-28,33644.31,Closed Won
OP000446,L001945,2026-02-21,942.23,Open
OP000447,L001953,2024-05-01,3092.18,Closed Won
OP000448,L001955,2026-04-08,1986.54,Open
OP000449,L001962,2024-03-17,3231.82,Closed Lost
OP000450,L001966,2025-06-17,1879.91,Closed Won
OP000451,L001967,2026-09-10,3444.42,Closed Won
OP000452,L001974,2025-03-05,8912.97,Closed Lost
OP000453,L001977,2024-02-29,10750.1,Open
OP000454,L001980,2025-03-22,2919.06,Closed Lost
OP000455,L001981,2024-10-21,349.98,Closed Lost
OP000456,L001993,2024-12-21,3757.89,Closed Won
OP000457,L001994,2024-03-05,4434.74,Closed Won
OP000458,L001995,2024-11-06,1912.48,Closed Won
OP000459,L001996,2024-10-10,5598.08,Open
OP000460,L001998,2026-01-28,13884.19,Closed Won
OP000461,L002007,2026-03-20,26104.73,Closed Won
OP000462,L002009,2024-03-16,1617.51,Closed Won
OP000463,L002012,2026-03-27,4273.73,Closed Won
OP000464,L002014,2025-06-11,3285.02,Open
OP000465,L002018,2025-12-29,11415.33,Closed Won
OP000466,L002026,2025-03-14,4010.43,Closed Won
OP000467,L002027,2025-08-19,617.66,Closed Lost
OP000468,L002033,2024-04-24,2057.1,Closed Won
OP000469,L002034,2026-04-29,954.39,Closed Won
OP000470,L002037,2026-04-07,1935.74,Closed Won
OP000471,L002038,2024-06-26,4215.06,Open
OP000472,L002039,2025-01-01,1486.59,Closed Won
OP000473,L002042,2025-05-21,3572.0,Closed Lost
OP000474,L002048,2026-08-16,637.73,Closed Won
OP000475,L002049,2025-01-06,3141.92,Closed Won
OP000476,L002051,2026-03-20,2983.3,Closed Won
OP000477,L002052,2024-06-23,3440.69,Open
OP000478,L002053,2025-09-29,2297.56,Closed Won
OP000479,L002054,2024-05-15,6157.23,Open
OP000480,L002057,2025-10-01,276.84,Closed Won
OP000481,L002058,2025-12-05,735.73,Closed Won
OP000482,L002061,2026-04-16,1433.42,Closed Won
OP000483,L002066,2024-11-05,835.23,Closed Won
OP000484,L002067,2026-07-23,2362.21,Closed Lost
OP000485,L002073,2025-05-01,6649.94,Open
OP000486,L002076,2024-08-11,2089.16,Closed Won
OP000487,L002077,2025-08-04,2435.36,Open
OP000488,L002082,2024-06-10,1316.55,Closed Lost
OP000489,L002085,2026-02-17,4205.63,Closed Won
OP000490,L002087,2025-12-02,721.45,Open
OP000491,L002096,2024-06-23,7968.02,Closed Lost
OP000492,L002102,2024-06-26,3599.56,Open
OP000493,L002105,2026-04-13,2075.38,Closed Won
OP000494,L002108,2025-06-11,5234.13,Closed Won
OP000495,L002120,2025-04-07,2872.63,Closed Lost
OP000496,L002130,2025-04-22,3114.28,Closed Won
OP000497,L002144,2024-03-20,3679.88,Closed Won
OP000498,L002145,2024-08-03,1992.19,Open
OP000499,L002151,2025-03-23,8786.31,Closed Lost
OP000500,L002152,2026-01-08,1482.16,Closed Won
OP000501,L002165,2025-06-27,2444.53,Open
OP000502,L002167,2026-07-11,3897.95,Closed Won
OP000503,L002168,2025-04-10,2370.07,Open
OP000504,L002171,2026-04-21,1083.75,Closed Won
OP000505,L002173,2024-03-31,2469.94,Closed Won
OP000506,L002177,2026-05-14,481.9,Closed Lost
OP000507,L002181,2024-11-18,9494.27,Closed Won
OP000508,L002188,2025-06-29,5805.94,Open
OP000509,L002191,2026-08-27,3852.2,Open
OP000510,L002192,2024-02-14,2194.25,Closed Won
OP000511,L002199,2024-11-05,3158.55,Closed Won
OP000512,L002205,2026-04-08,2782.59,Closed Won
OP000513,L002208,2026-06-15,1888.5,Closed Won
OP000514,L002209,2025-04-24,2598.27,Closed Won
OP000515,L002212,2025-12-24,3376.73,Open
OP000516,L002217,2026-01-02,5912.35,Closed Won
OP000517,L002228,2024-06-15,7755.85,Closed Won
OP000518,L002236,2026-06-05,1249.4,Closed Lost
OP000519,L002238,2026-02-24,1891.98,Closed Won
OP000520,L002241,2025-01-14,1655.89,Closed Won
OP000521,L002244,2024-08-30,530.07,Open
OP000522,L002245,2025-06-19,1710.15,Closed Lost
OP000523,L002250,2024-09-16,2637.14,Closed Won
OP000524,L002253,2025-05-30,1852.35,Closed Won
OP000525,L002254,2025-03-05,1361.67,Closed Won
OP000526,L002259,2026-05-07,1680.77,Closed Won
OP000527,L002260,2026-02-05,3027.67,Closed Won
