LeadID,CreatedDate,CampaignID,ChannelID,Segment,Country,LatestStage,EstimatedValue
L000055,2024-01-15,CAM0088,CH02,Enterprise,Singapore,Opportunity,1449.58
L000056,2025-08-23,CAM0103,CH06,Enterprise,UK,MQL,470.44
L000057,2025-01-13,CAM0167,CH05,SMB,US,Lead,2575.02
L000058,2025-06-13,CAM0240,CH03,Enterprise,Germany,Lead,2989.07
L000059,2024-12-24,CAM0099,CH05,SMB,US,Lead,3049.54
L000060,2025-07-27,CAM0218,CH07,Mid-Market,UK,Lead,1121.85
L000061,2025-08-04,CAM0122,CH02,Enterprise,US,Opportunity,2159.59
L000062,2025-10-05,CAM0295,CH06,Mid-Market,UK,Lead,3368.56
L000063,2024-01-18,CAM0100,CH04,Enterprise,UK,SQL,1009.28
L000064,2025-01-23,CAM0061,CH01,Enterprise,Australia,MQL,3095.99
L000065,2025-10-08,CAM0141,CH03,SMB,Singapore,Lead,1586.85
L000066,2026-08-18,CAM0252,CH07,Mid-Market,UK,MQL,2521.21
L000067,2026-02-27,CAM0216,CH01,Enterprise,Germany,Opportunity,1140.43
L000068,2026-01-15,CAM0238,CH02,Enterprise,US,MQL,2460.44
L000069,2026-08-25,CAM0070,CH02,Enterprise,US,SQL,2197.18
L000070,2025-11-04,CAM0056,CH07,SMB,Germany,Opportunity,3144.37
L000071,2024-01-28,CAM0027,CH01,Mid-Market,UK,Lead,817.33
L000072,2025-05-08,CAM0249,CH01,SMB,Germany,Lead,1542.41
L000073,2025-08-14,CAM0061,CH01,Mid-Market,UK,SQL,650.51
L000074,2025-01-02,CAM0043,CH07,SMB,UK,Opportunity,324.21
L000075,2026-02-01,CAM0185,CH06,Mid-Market,US,Opportunity,2104.19
L000076,2024-11-10,CAM0243,CH04,Enterprise,US,SQL,1696.42
L000077,2026-05-13,CAM0162,CH07,Enterprise,Australia,Opportunity,1753.6
L000078,2025-05-02,CAM0297,CH07,Mid-Market,US,SQL,3182.92
L000079,2025-08-24,CAM0170,CH02,SMB,Singapore,MQL,4981.15
L000080,2026-03-25,CAM0154,CH03,SMB,US,Lead,3226.73
L000081,2025-11-12,CAM0204,CH06,SMB,US,Lead,1759.92
L000082,2024-12-23,CAM0055,CH01,Enterprise,Germany,MQL,4403.18
L000083,2024-07-13,CAM0270,CH07,SMB,Germany,SQL,2513.67
L000084,2024-02-23,CAM0071,CH04,Enterprise,US,SQL,2649.5
L000085,2025-05-31,CAM0263,CH04,Mid-Market,Singapore,Lead,1596.79
L000086,2024-03-14,CAM0133,CH06,Mid-Market,Australia,Lead,1472.64
L000087,2026-05-30,CAM0284,CH04,Enterprise,Germany,Lead,614.94
L000088,2024-03-08,CAM0272,CH06,SMB,UK,MQL,2625.26
L000089,2024-02-28,CAM0294,CH03,SMB,Germany,Lead,1081.03
L000090,2024-09-20,CAM0096,CH02,Enterprise,Singapore,Lead,947.02
L000091,2024-11-23,CAM0053,CH04,Mid-Market,US,Lead,905.28
L000092,2024-02-02,CAM0038,CH05,Mid-Market,Germany,Lead,1204.95
L000093,2026-06-26,CAM0184,CH07,Mid-Market,US,Lead,2096.31
L000094,2024-04-14,CAM0120,CH06,Mid-Market,Germany,Opportunity,2682.22
L000095,2025-12-30,CAM0095,CH07,SMB,Australia,SQL,2513.34
L000096,2026-05-18,CAM0156,CH07,SMB,Australia,SQL,582.05
L000097,2025-02-14,CAM0107,CH01,Enterprise,UK,Lead,1707.79
L000098,2026-01-07,CAM0277,CH06,Mid-Market,Singapore,SQL,232.18
L000099,2025-01-04,CAM0178,CH03,Enterprise,Germany,Opportunity,639.26
L000100,2024-10-21,CAM0107,CH01,SMB,Singapore,Lead,1727.61
L000101,2024-04-14,CAM0228,CH02,SMB,UK,MQL,3680.36
L000102,2025-07-01,CAM0289,CH03,Enterprise,Australia,Lead,3949.46
L000103,2025-03-19,CAM0092,CH02,Mid-Market,Singapore,SQL,865.27
L000104,2025-05-19,CAM0157,CH02,SMB,Germany,Lead,345.13
L000105,2024-04-27,CAM0191,CH02,Enterprise,Germany,Opportunity,3510.97
L000106,2025-01-02,CAM0072,CH04,Enterprise,Australia,MQL,2627.92
L000107,2025-06-21,CAM0246,CH01,SMB,UK,MQL,2742.57
L000108,2025-04-27,CAM0133,CH06,Enterprise,US,Opportunity,3212.52
L000109,2026-08-23,CAM0295,CH06,SMB,UK,Customer,3024.89
L000110,2025-09-18,CAM0216,CH01,Mid-Market,UK,MQL,1659.26
L000111,2024-01-21,CAM0265,CH02,SMB,Germany,Lead,2218.86
L000112,2026-05-26,CAM0256,CH03,Mid-Market,Germany,Lead,724.98
L000113,2026-07-01,CAM0158,CH05,Mid-Market,UK,MQL,2441.38
L000114,2026-04-25,CAM0073,CH05,Mid-Market,Australia,SQL,992.32
L000115,2025-01-03,CAM0158,CH05,Mid-Market,UK,SQL,1327.25
L000116,2025-06-03,CAM0208,CH06,SMB,US,SQL,2455.48
L000117,2025-06-26,CAM0138,CH06,Enterprise,Germany,MQL,2287.74
L000118,2025-09-19,CAM0216,CH01,Enterprise,UK,Lead,1678.92
L000119,2024-04-17,CAM0115,CH06,Mid-Market,Singapore,Lead,2975.65
L000120,2024-05-02,CAM0085,CH01,Enterprise,UK,MQL,1861.28
L000121,2025-08-18,CAM0145,CH07,Mid-Market,Singapore,MQL,634.71
L000122,2024-03-16,CAM0034,CH01,Enterprise,UK,Opportunity,2635.81
L000123,2026-05-29,CAM0172,CH05,SMB,Australia,Lead,3469.37
L000124,2025-03-31,CAM0065,CH05,Mid-Market,Germany,MQL,884.72
L000125,2026-01-30,CAM0075,CH05,SMB,Singapore,Customer,2913.86
L000126,2024-09-16,CAM0227,CH06,SMB,Germany,Lead,222.45
L000127,2026-01-06,CAM0175,CH02,Enterprise,Singapore,Lead,1327.92
L000128,2024-08-10,CAM0293,CH05,SMB,Singapore,Customer,591.01
L000129,2024-02-01,CAM0098,CH07,Mid-Market,Australia,Lead,2001.81
L000130,2024-12-22,CAM0158,CH05,Enterprise,Germany,Opportunity,1198.96
L000131,2026-08-24,CAM0206,CH06,SMB,Germany,SQL,3205.32
L000132,2024-12-22,CAM0225,CH06,SMB,UK,MQL,2397.07
L000133,2026-07-15,CAM0040,CH02,Mid-Market,US,Lead,3093.37
L000134,2026-08-05,CAM0071,CH04,Enterprise,Singapore,Lead,707.21
L000135,2026-04-27,CAM0027,CH01,Enterprise,US,SQL,4305.94
L000136,2025-11-03,CAM0264,CH03,SMB,US,MQL,2326.51
L000137,2026-03-28,CAM0177,CH07,SMB,Singapore,Lead,1989.65
L000138,2024-12-17,CAM0182,CH04,Mid-Market,Germany,MQL,2339.82
L000139,2026-07-25,CAM0026,CH03,SMB,UK,Lead,1170.47
L000140,2024-12-14,CAM0223,CH05,Mid-Market,Singapore,Lead,2367.59
L000141,2024-09-17,CAM0297,CH07,Mid-Market,Australia,SQL,3469.14
L000142,2026-03-01,CAM0200,CH07,SMB,Germany,Opportunity,820.28
L000143,2025-10-02,CAM0109,CH04,SMB,Germany,SQL,191.83
L000144,2025-07-13,CAM0233,CH04,Mid-Market,US,Lead,989.24
L000145,2024-12-29,CAM0241,CH01,SMB,Singapore,Lead,179.48
L000146,2024-08-06,CAM0029,CH03,Enterprise,Germany,Lead,1072.56
L000147,2024-05-08,CAM0183,CH07,Enterprise,Australia,Opportunity,1974.95
L000148,2026-07-10,CAM0148,CH04,Mid-Market,Germany,MQL,1597.88
L000149,2025-02-26,CAM0006,CH04,Mid-Market,Australia,SQL,3012.59
L000150,2024-10-27,CAM0161,CH05,Mid-Market,Australia,Opportunity,2481.56
L000151,2025-08-12,CAM0230,CH02,SMB,Germany,Opportunity,1787.84
L000152,2025-11-08,CAM0223,CH05,Enterprise,Germany,Opportunity,3646.82
L000153,2024-10-12,CAM0128,CH05,Mid-Market,US,MQL,594.51
L000154,2025-05-13,CAM0246,CH01,Mid-Market,UK,SQL,941.62
L000155,2026-08-14,CAM0254,CH01,Enterprise,US,MQL,2647.76
L000156,2026-02-13,CAM0224,CH06,SMB,Singapore,Lead,1173.49
L000157,2024-05-12,CAM0241,CH01,Enterprise,UK,Lead,1184.49
L000158,2024-07-04,CAM0284,CH04,Enterprise,Germany,Lead,1167.22
L000159,2025-05-11,CAM0070,CH02,Mid-Market,Germany,Lead,4652.5
L000160,2024-08-09,CAM0274,CH01,Mid-Market,US,Lead,1315.65
L000161,2025-10-05,CAM0268,CH02,Enterprise,Germany,SQL,2073.59
L000162,2025-12-14,CAM0090,CH02,Mid-Market,US,Lead,3318.66
L000163,2024-01-17,CAM0023,CH02,Enterprise,Australia,Opportunity,1740.82
L000164,2025-07-28,CAM0025,CH03,Enterprise,Australia,Customer,1039.27
L000165,2024-08-17,CAM0047,CH07,Enterprise,Australia,Opportunity,614.73
L000166,2025-12-20,CAM0172,CH05,Enterprise,Australia,Customer,307.18
L000167,2026-02-19,CAM0099,CH05,Enterprise,Singapore,Customer,1891.61
L000168,2025-06-10,CAM0273,CH05,SMB,US,Lead,3368.28
L000169,2026-02-18,CAM0108,CH01,Mid-Market,Germany,Lead,2441.21
L000170,2024-04-14,CAM0252,CH07,Mid-Market,Singapore,Lead,3385.59
L000171,2024-09-29,CAM0010,CH04,Mid-Market,UK,Customer,2735.81
L000172,2025-11-30,CAM0212,CH06,Mid-Market,US,Opportunity,1827.8
L000173,2025-07-23,CAM0259,CH06,SMB,Australia,Lead,4051.61
L000174,2024-07-25,CAM0035,CH06,Enterprise,Singapore,MQL,1809.1
L000175,2025-03-25,CAM0234,CH07,Enterprise,US,Opportunity,988.15
L000176,2024-02-22,CAM0010,CH04,Mid-Market,Singapore,SQL,143.96
L000177,2025-08-29,CAM0123,CH05,SMB,UK,Lead,785.33
L000178,2026-05-26,CAM0138,CH06,SMB,Germany,MQL,2726.73
L000179,2025-09-19,CAM0068,CH06,SMB,Singapore,Opportunity,1221.42
L000180,2026-03-24,CAM0233,CH04,SMB,UK,Lead,2864.2
L000181,2024-06-06,CAM0242,CH02,SMB,Germany,MQL,3098.45
L000182,2024-12-30,CAM0286,CH05,Mid-Market,UK,Customer,1099.67
L000183,2025-09-25,CAM0186,CH05,SMB,Australia,MQL,1218.04
L000184,2025-03-28,CAM0030,CH06,Enterprise,Australia,Lead,1714.77
L000185,2026-02-06,CAM0264,CH03,SMB,Australia,Opportunity,1068.27
L000186,2026-06-30,CAM0171,CH03,SMB,UK,MQL,1615.87
L000187,2026-03-11,CAM0239,CH05,SMB,US,MQL,1170.56
L000188,2024-09-25,CAM0191,CH02,SMB,Germany,Customer,2457.29
L000189,2024-08-02,CAM0025,CH03,Mid-Market,Germany,Lead,2218.05
L000190,2024-11-14,CAM0026,CH03,Mid-Market,US,Lead,157.98
L000191,2025-10-01,CAM0002,CH06,Mid-Market,Germany,Customer,3355.55
L000192,2026-03-26,CAM0030,CH06,Enterprise,Singapore,MQL,384.16
L000193,2025-03-06,CAM0127,CH07,SMB,UK,MQL,79.8
L000194,2025-11-21,CAM0054,CH01,SMB,US,SQL,2421.29
L000195,2025-07-21,CAM0084,CH07,SMB,Singapore,Lead,1333.09
L000196,2024-09-14,CAM0238,CH02,Enterprise,Germany,Lead,465.56
L000197,2025-03-15,CAM0051,CH03,Enterprise,US,MQL,2532.65
L000198,2025-05-07,CAM0251,CH06,Mid-Market,Germany,SQL,998.06
L000199,2026-04-04,CAM0189,CH03,Mid-Market,Australia,MQL,2049.71
L000200,2025-02-24,CAM0227,CH06,Mid-Market,Germany,MQL,43.02
L000201,2024-11-15,CAM0102,CH01,Mid-Market,Australia,MQL,899.71
L000202,2025-12-11,CAM0037,CH01,SMB,Australia,Customer,1171.13
L000203,2025-07-13,CAM0078,CH04,SMB,Australia,MQL,1298.71
L000204,2025-07-08,CAM0187,CH03,Mid-Market,Germany,MQL,600.83
L000205,2024-11-24,CAM0241,CH01,Mid-Market,UK,SQL,1830.32
L000206,2025-07-31,CAM0089,CH01,Enterprise,Australia,Opportunity,2838.92
L000207,2025-11-18,CAM0282,CH03,SMB,UK,SQL,5047.28
L000208,2024-05-06,CAM0048,CH06,Enterprise,UK,SQL,2244.14
L000209,2025-07-14,CAM0148,CH04,SMB,US,Opportunity,2694.19
L000210,2026-06-16,CAM0245,CH05,SMB,Australia,SQL,2950.24
L000211,2026-06-18,CAM0182,CH04,Mid-Market,US,Opportunity,3367.28
L000212,2025-10-15,CAM0095,CH07,SMB,Singapore,Lead,279.76
L000213,2025-06-27,CAM0227,CH06,Mid-Market,US,SQL,827.57
L000214,2026-08-03,CAM0246,CH01,SMB,UK,MQL,3012.64
L000215,2025-08-11,CAM0058,CH04,SMB,Singapore,Lead,221.54
L000216,2025-08-10,CAM0191,CH02,Enterprise,Germany,MQL,1998.74
L000217,2025-12-06,CAM0042,CH02,Enterprise,UK,Lead,2062.75
L000218,2025-05-02,CAM0255,CH03,Mid-Market,Singapore,Lead,1967.83
L000219,2025-04-11,CAM0284,CH04,Mid-Market,UK,Lead,2480.1
L000220,2024-09-19,CAM0276,CH01,SMB,Australia,MQL,910.24
L000221,2026-06-02,CAM0097,CH06,Mid-Market,US,SQL,958.52
L000222,2024-04-20,CAM0212,CH06,SMB,UK,SQL,1822.55
L000223,2024-08-05,CAM0182,CH04,Enterprise,Australia,Opportunity,1482.35
L000224,2024-05-19,CAM0129,CH01,Mid-Market,US,MQL,807.46
L000225,2026-05-06,CAM0101,CH06,Enterprise,Germany,MQL,1138.22
L000226,2024-07-16,CAM0263,CH04,Mid-Market,Singapore,MQL,380.05
L000227,2024-12-25,CAM0067,CH07,SMB,Singapore,Opportunity,2218.71
L000228,2025-07-18,CAM0287,CH05,Mid-Market,Singapore,Lead,654.71
L000229,2024-02-20,CAM0292,CH02,SMB,Australia,SQL,2658.36
L000230,2025-01-28,CAM0052,CH02,SMB,Australia,Opportunity,1921.82
L000231,2024-07-12,CAM0007,CH02,SMB,UK,SQL,944.35
L000232,2025-11-03,CAM0059,CH01,Mid-Market,UK,MQL,1258.93
L000233,2026-01-10,CAM0026,CH03,Enterprise,UK,Opportunity,3615.91
L000234,2024-05-09,CAM0225,CH06,SMB,Germany,MQL,1460.1
L000235,2026-06-09,CAM0026,CH03,Enterprise,UK,Lead,1410.84
L000236,2026-07-25,CAM0123,CH05,Enterprise,Singapore,Lead,4066.18
L000237,2024-01-15,CAM0108,CH01,Enterprise,Singapore,Lead,3148.98
L000238,2026-08-15,CAM0243,CH04,SMB,Australia,MQL,2884.61
L000239,2024-11-16,CAM0186,CH05,Mid-Market,Germany,Opportunity,861.92
L000240,2024-01-03,CAM0012,CH07,Mid-Market,UK,Lead,37.73
L000241,2025-04-24,CAM0157,CH02,Enterprise,US,MQL,1633.93
L000242,2026-07-16,CAM0209,CH03,Mid-Market,Germany,Opportunity,1823.05
L000243,2024-04-17,CAM0035,CH06,SMB,Singapore,Customer,3089.53
L000244,2025-03-17,CAM0253,CH02,Mid-Market,Australia,MQL,935.6
L000245,2024-01-22,CAM0154,CH03,Enterprise,Singapore,Lead,1057.22
L000246,2024-08-22,CAM0076,CH04,Mid-Market,US,Lead,2661.09
L000247,2024-05-04,CAM0246,CH01,Mid-Market,Australia,Opportunity,2061.21
L000248,2024-06-01,CAM0151,CH04,Mid-Market,Australia,Opportunity,382.65
L000249,2025-04-06,CAM0020,CH02,Enterprise,US,Customer,2019.16
L000250,2025-01-10,CAM0298,CH06,SMB,UK,Lead,3903.39
L000251,2024-04-29,CAM0194,CH07,Enterprise,UK,Customer,57.77
L000252,2026-07-01,CAM0053,CH04,Enterprise,US,MQL,1237.74
L000253,2025-06-13,CAM0168,CH02,Mid-Market,Germany,Lead,2512.54
L000254,2025-11-19,CAM0177,CH07,SMB,Singapore,Lead,1962.48
L000255,2025-09-18,CAM0136,CH07,Mid-Market,UK,MQL,2846.78
L000256,2026-03-22,CAM0110,CH02,SMB,Germany,Lead,679.84
L000257,2024-12-14,CAM0196,CH02,SMB,Australia,Opportunity,1746.3
L000258,2026-02-16,CAM0008,CH02,Enterprise,UK,Lead,827.16
L000259,2025-04-07,CAM0247,CH05,SMB,Singapore,SQL,3080.6
L000260,2025-09-29,CAM0007,CH02,Enterprise,US,MQL,1683.19
L000261,2025-06-20,CAM0088,CH02,Enterprise,US,SQL,920.87
L000262,2026-04-07,CAM0268,CH02,SMB,US,Lead,97.31
L000263,2026-04-16,CAM0048,CH06,Enterprise,Australia,Opportunity,2493.98
L000264,2026-04-30,CAM0272,CH06,Mid-Market,US,SQL,1972.77
L000265,2026-05-25,CAM0124,CH03,SMB,US,SQL,615.47
L000266,2026-06-07,CAM0141,CH03,SMB,UK,MQL,4056.92
L000267,2026-08-30,CAM0106,CH07,Enterprise,Germany,Lead,1191.91
L000268,2025-02-11,CAM0149,CH01,SMB,US,SQL,2684.94
L000269,2024-07-17,CAM0223,CH05,SMB,Germany,MQL,1059.73
L000270,2026-08-28,CAM0263,CH04,SMB,US,SQL,3388.55
L000271,2026-07-23,CAM0098,CH07,SMB,Singapore,Customer,1752.47
L000272,2024-02-19,CAM0067,CH07,Enterprise,US,Customer,3231.07
L000273,2025-02-08,CAM0266,CH04,Enterprise,Singapore,Customer,855.26
L000274,2025-05-25,CAM0154,CH03,Enterprise,Singapore,Customer,1321.43
L000275,2026-07-19,CAM0091,CH06,SMB,Singapore,Lead,121.56
L000276,2024-11-14,CAM0135,CH07,SMB,Singapore,Opportunity,532.58
L000277,2024-08-31,CAM0111,CH05,Mid-Market,Germany,Customer,1371.55
L000278,2024-09-08,CAM0038,CH05,Mid-Market,US,SQL,3151.86
L000279,2024-09-29,CAM0068,CH06,Enterprise,Australia,MQL,1149.52
L000280,2024-07-20,CAM0265,CH02,Mid-Market,Australia,Lead,2376.23
L000281,2024-06-06,CAM0057,CH04,SMB,US,SQL,573.45
L000282,2025-03-24,CAM0100,CH04,Mid-Market,Australia,SQL,1972.04
L000283,2025-03-03,CAM0245,CH05,Mid-Market,UK,Opportunity,3727.02
L000284,2024-03-21,CAM0244,CH03,SMB,UK,Opportunity,981.89
L000285,2026-01-31,CAM0077,CH02,Mid-Market,US,Lead,2174.95
L000286,2026-07-20,CAM0106,CH07,Enterprise,US,Lead,2837.03
L000287,2024-03-05,CAM0167,CH05,Enterprise,Germany,MQL,2264.04
L000288,2024-10-02,CAM0100,CH04,SMB,Singapore,MQL,2954.3
L000289,2026-07-02,CAM0064,CH06,Mid-Market,Germany,MQL,2533.49
L000290,2024-03-01,CAM0093,CH07,Enterprise,Australia,Customer,1886.26
L000291,2026-08-23,CAM0216,CH01,SMB,Germany,SQL,2083.09
L000292,2024-08-09,CAM0286,CH05,SMB,Singapore,MQL,693.0
L000293,2024-08-30,CAM0016,CH02,SMB,US,SQL,2292.94
L000294,2026-02-19,CAM0145,CH07,Mid-Market,Australia,SQL,3840.11
L000295,2025-07-05,CAM0253,CH02,Enterprise,Australia,Lead,3153.84
L000296,2025-03-23,CAM0174,CH02,Mid-Market,Germany,Lead,2071.63
L000297,2024-10-23,CAM0212,CH06,Enterprise,US,Lead,3909.82
L000298,2024-04-07,CAM0093,CH07,SMB,Germany,SQL,591.35
L000299,2024-03-25,CAM0245,CH05,Enterprise,Germany,MQL,2338.58
L000300,2024-09-05,CAM0019,CH02,Enterprise,US,SQL,1898.4
L000301,2024-03-12,CAM0213,CH01,Mid-Market,US,Lead,640.12
L000302,2024-10-11,CAM0164,CH03,Mid-Market,UK,Opportunity,3025.21
L000303,2025-03-24,CAM0167,CH05,Enterprise,Singapore,MQL,2181.5
L000304,2024-12-02,CAM0264,CH03,SMB,Singapore,Opportunity,2908.35
L000305,2025-04-28,CAM0261,CH04,Mid-Market,Singapore,Customer,4336.16
L000306,2024-12-13,CAM0234,CH07,SMB,US,MQL,2606.69
L000307,2025-04-07,CAM0052,CH02,SMB,Australia,Opportunity,2139.43
L000308,2026-03-13,CAM0093,CH07,Enterprise,US,Lead,579.62
L000309,2025-04-10,CAM0130,CH04,Enterprise,UK,Lead,1509.3
L000310,2024-11-29,CAM0203,CH05,Mid-Market,Australia,SQL,295.57
L000311,2025-10-15,CAM0289,CH03,SMB,Singapore,SQL,1910.54
L000312,2024-10-10,CAM0189,CH03,Enterprise,UK,Lead,1324.22
L000313,2024-09-09,CAM0118,CH07,SMB,Australia,Opportunity,2542.03
L000314,2025-01-18,CAM0067,CH07,Enterprise,Germany,Lead,4417.02
L000315,2024-08-12,CAM0286,CH05,SMB,UK,Lead,761.91
L000316,2024-05-12,CAM0159,CH01,Enterprise,UK,MQL,2227.36
L000317,2026-05-18,CAM0267,CH02,Mid-Market,Australia,Lead,1684.93
L000318,2025-09-12,CAM0155,CH05,Enterprise,US,Lead,1249.6
L000319,2024-07-21,CAM0016,CH02,Enterprise,Germany,MQL,1776.56
L000320,2025-07-17,CAM0143,CH01,Mid-Market,Germany,Opportunity,2186.66
L000321,2024-03-11,CAM0020,CH02,Enterprise,US,SQL,2302.72
L000322,2026-03-09,CAM0047,CH07,Mid-Market,Germany,Lead,4187.02
L000323,2025-10-18,CAM0072,CH04,Mid-Market,US,MQL,1181.29
L000324,2024-08-29,CAM0195,CH04,Mid-Market,UK,SQL,3148.5
L000325,2025-05-31,CAM0162,CH07,Mid-Market,Australia,SQL,1093.58
L000326,2025-08-20,CAM0258,CH05,Enterprise,US,MQL,2475.31
L000327,2026-05-24,CAM0298,CH06,Mid-Market,UK,SQL,2760.39
L000328,2024-03-04,CAM0296,CH03,Mid-Market,US,Lead,3645.11
L000329,2025-04-25,CAM0033,CH01,Enterprise,UK,Lead,1989.88
L000330,2026-03-05,CAM0137,CH02,SMB,UK,Lead,1422.28
L000331,2026-08-16,CAM0149,CH01,Enterprise,UK,Lead,3350.05
L000332,2025-02-21,CAM0230,CH02,SMB,US,Lead,1435.57
L000333,2026-08-09,CAM0136,CH07,Mid-Market,Germany,SQL,477.25
L000334,2026-06-12,CAM0014,CH01,Mid-Market,Germany,MQL,1927.96
L000335,2025-10-19,CAM0140,CH07,Enterprise,UK,MQL,883.28
L000336,2026-06-03,CAM0254,CH01,Enterprise,Germany,MQL,1842.01
L000337,2025-10-06,CAM0206,CH06,Mid-Market,US,Lead,640.95
L000338,2025-02-05,CAM0095,CH07,Mid-Market,Germany,SQL,1434.17
L000339,2025-09-04,CAM0271,CH02,Mid-Market,Singapore,SQL,388.34
L000340,2024-04-03,CAM0068,CH06,SMB,Germany,Customer,3012.4
L000341,2025-10-21,CAM0192,CH05,SMB,US,Opportunity,2228.19
L000342,2024-06-18,CAM0220,CH03,SMB,Australia,MQL,2145.86
L000343,2024-01-31,CAM0231,CH05,SMB,Australia,Opportunity,666.45
L000344,2024-07-24,CAM0237,CH01,Enterprise,Germany,SQL,2374.76
L000345,2024-10-06,CAM0084,CH07,Mid-Market,Germany,SQL,534.71
L000346,2026-05-25,CAM0255,CH03,SMB,Singapore,SQL,305.7
L000347,2024-10-10,CAM0169,CH05,Mid-Market,UK,SQL,2752.82
L000348,2024-07-17,CAM0027,CH01,Mid-Market,Singapore,MQL,1361.45
L000349,2024-12-12,CAM0210,CH03,SMB,Germany,Lead,3157.62
L000350,2025-05-23,CAM0088,CH02,SMB,Singapore,MQL,1554.26
L000351,2024-01-22,CAM0159,CH01,SMB,UK,MQL,891.33
L000352,2024-04-05,CAM0235,CH02,Enterprise,US,Lead,333.01
L000353,2024-10-06,CAM0121,CH02,SMB,US,Lead,1972.03
L000354,2024-11-08,CAM0290,CH04,Enterprise,US,MQL,1183.41
