AdRowID,Date,CampaignID,ChannelID,Impressions,Clicks,SpendLocal,Currency
AD0000059,2026-07-02,CAM0284,CH04,63517,8083,14683.37,GBP
AD0000060,2025-05-09,CAM0267,CH02,138984,1705,2684.1,GBP
AD0000061,2025-06-20,CAM0177,CH07,92324,2234,14434.77,EUR
AD0000062,2025-01-06,CAM0167,CH05,123142,13015,9637.22,EUR
AD0000063,2024-08-20,CAM0173,CH06,101147,4135,3428.11,GBP
AD0000064,2024-01-08,CAM0251,CH06,87999,5695,42218.3,USD
AD0000065,2025-03-06,CAM0073,CH05,90693,1266,1877.09,USD
AD0000066,2024-05-04,CAM0118,CH07,141868,2918,19240.88,GBP
AD0000067,2026-03-08,CAM0127,CH07,4323,129,629.44,GBP
AD0000068,2026-08-16,CAM0286,CH05,29735,333,2417.47,EUR
AD0000069,2025-05-07,CAM0110,CH02,2105,46,63.87,EUR
AD0000070,2026-07-11,CAM0053,CH04,6628,171,610.97,USD
AD0000071,2024-02-23,CAM0124,CH03,14766,215,1222.32,GBP
AD0000072,2026-02-02,CAM0131,CH06,116061,1738,12418.24,EUR
AD0000073,2026-04-22,CAM0299,CH02,52894,1592,11773.65,EUR
AD0000074,2026-08-01,CAM0077,CH02,57042,2233,16528.32,GBP
AD0000075,2025-01-28,CAM0203,CH05,140151,4169,23865.1,EUR
AD0000076,2025-02-28,CAM0150,CH02,7726,42,298.85,GBP
AD0000077,2026-04-11,CAM0125,CH01,77026,2171,5547.08,EUR
AD0000078,2025-07-23,CAM0267,CH02,54308,4147,22894.75,EUR
AD0000079,2025-05-03,CAM0095,CH07,23341,523,1720.77,USD
AD0000080,2025-04-11,CAM0258,CH05,41744,391,2834.92,GBP
AD0000081,2025-11-24,CAM0050,CH04,23403,1718,11582.35,USD
AD0000082,2026-07-26,CAM0015,CH06,100047,3740,25435.26,AUD
AD0000083,2026-01-09,CAM0129,CH01,56372,1365,1715.57,GBP
AD0000084,2025-02-19,CAM0052,CH02,64640,254,1316.41,AUD
AD0000085,2025-11-09,CAM0211,CH01,73752,6076,15728.61,USD
AD0000086,2025-09-30,CAM0110,CH02,3691,141,783.99,AUD
AD0000087,2026-05-14,CAM0204,CH06,117101,7443,6272.39,EUR
AD0000088,2025-10-04,CAM0260,CH03,42188,1257,932.05,USD
AD0000089,2025-07-11,CAM0111,CH05,60476,3796,14977.42,AUD
AD0000090,2024-11-02,CAM0107,CH01,12176,227,1798.58,GBP
AD0000091,2024-04-01,CAM0028,CH01,23839,797,5702.85,EUR
AD0000092,2024-02-11,CAM0201,CH03,64417,2825,7725.89,USD
AD0000093,2024-09-02,CAM0231,CH05,109932,2400,9515.1,AUD
AD0000094,2026-05-15,CAM0213,CH01,130115,5059,35216.99,USD
AD0000095,2024-03-18,CAM0012,CH07,14363,316,1320.73,EUR
AD0000096,2024-12-09,CAM0217,CH06,107151,2713,9611.34,EUR
AD0000097,2025-02-02,CAM0083,CH05,8866,146,266.42,EUR
AD0000098,2024-03-19,CAM0133,CH06,11131,216,1432.71,USD
AD0000099,2026-06-14,CAM0120,CH06,117288,6112,6013.78,EUR
AD0000100,2025-02-03,CAM0138,CH06,25474,427,2474.15,GBP
AD0000101,2024-05-08,CAM0203,CH05,127581,2066,2696.91,EUR
AD0000102,2025-07-08,CAM0049,CH02,104042,6343,49856.34,AUD
AD0000103,2025-07-29,CAM0272,CH06,94133,3575,20009.73,AUD
AD0000104,2025-01-09,CAM0128,CH05,39652,3598,16017.85,GBP
AD0000105,2024-09-10,CAM0208,CH06,133299,11497,43455.6,GBP
AD0000106,2024-12-27,CAM0010,CH04,87767,767,5092.96,GBP
AD0000107,2026-06-04,CAM0184,CH07,35440,2446,4747.79,AUD
AD0000108,2026-03-05,CAM0095,CH07,8264,149,107.49,GBP
AD0000109,2024-01-07,CAM0245,CH05,125232,3991,17333.54,USD
AD0000110,2024-07-28,CAM0247,CH05,49838,2349,10908.66,AUD
AD0000111,2024-10-13,CAM0031,CH03,130984,1476,10083.67,USD
AD0000112,2024-04-26,CAM0223,CH05,116233,8153,36545.61,EUR
AD0000113,2026-05-14,CAM0232,CH06,94272,3973,15681.82,AUD
AD0000114,2024-01-06,CAM0024,CH04,83284,7156,32894.37,GBP
AD0000115,2024-05-25,CAM0086,CH07,108684,6756,14273.54,USD
AD0000116,2025-03-19,CAM0271,CH02,106416,2381,2421.57,GBP
AD0000117,2025-10-09,CAM0031,CH03,20691,207,1025.11,EUR
AD0000118,2026-01-16,CAM0115,CH06,22707,525,1832.91,GBP
AD0000119,2025-10-30,CAM0168,CH02,22951,684,502.87,USD
AD0000120,2026-03-15,CAM0090,CH02,102656,3464,22112.55,GBP
AD0000121,2024-12-14,CAM0170,CH02,56370,2258,10661.75,GBP
AD0000122,2025-12-22,CAM0086,CH07,109902,982,6450.7,GBP
AD0000123,2025-02-12,CAM0150,CH02,31981,1231,4684.83,EUR
AD0000124,2026-03-08,CAM0179,CH02,107590,2058,10121.13,USD
AD0000125,2025-11-13,CAM0152,CH03,50521,2135,11194.31,AUD
AD0000126,2026-02-14,CAM0205,CH02,12063,1114,6395.41,AUD
AD0000127,2024-04-05,CAM0282,CH03,95992,1506,9762.69,GBP
AD0000128,2024-05-12,CAM0255,CH03,13674,219,330.65,AUD
AD0000129,2026-07-09,CAM0013,CH03,24725,816,2006.21,EUR
AD0000130,2026-01-20,CAM0298,CH06,3936,119,925.69,EUR
AD0000131,2025-01-18,CAM0293,CH05,115197,9230,73333.19,EUR
AD0000132,2024-10-24,CAM0126,CH04,144738,8945,17433.0,AUD
AD0000133,2024-11-21,CAM0139,CH06,45119,3703,18409.76,AUD
AD0000134,2024-07-21,CAM0254,CH01,84817,1894,9314.92,USD
AD0000135,2026-05-18,CAM0230,CH02,9505,619,1655.38,EUR
AD0000136,2025-04-17,CAM0298,CH06,134524,3242,20835.94,EUR
AD0000137,2025-08-21,CAM0060,CH05,42064,1755,2441.55,AUD
AD0000138,2024-07-16,CAM0060,CH05,149178,2623,3191.25,EUR
AD0000139,2026-08-10,CAM0300,CH01,47313,2162,4955.62,GBP
AD0000140,2025-12-26,CAM0212,CH06,118995,12854,37384.16,EUR
AD0000141,2024-06-16,CAM0109,CH04,32126,2292,8920.25,USD
AD0000142,2026-08-12,CAM0273,CH05,131260,1972,1851.92,AUD
AD0000143,2024-03-21,CAM0191,CH02,145936,975,3333.11,USD
AD0000144,2026-06-26,CAM0144,CH02,71741,1940,9938.71,AUD
AD0000145,2026-05-20,CAM0172,CH05,92389,4548,25275.92,GBP
AD0000146,2026-05-16,CAM0122,CH02,108741,6254,30004.46,GBP
AD0000147,2026-04-14,CAM0116,CH02,89915,1195,4248.66,GBP
AD0000148,2025-11-15,CAM0008,CH02,962,66,307.73,GBP
AD0000149,2024-03-22,CAM0058,CH04,17960,814,5126.38,AUD
AD0000150,2024-11-10,CAM0280,CH01,141431,310,678.82,EUR
AD0000151,2025-06-09,CAM0096,CH02,128640,2838,7287.7,USD
AD0000152,2024-05-18,CAM0103,CH06,5416,584,1036.89,USD
AD0000153,2026-01-31,CAM0113,CH04,67751,2519,7340.19,GBP
AD0000154,2025-09-06,CAM0086,CH07,12361,533,2261.21,GBP
AD0000155,2024-06-26,CAM0076,CH04,16709,785,2836.79,EUR
AD0000156,2025-04-13,CAM0187,CH03,68202,3005,6855.6,EUR
AD0000157,2025-12-18,CAM0147,CH02,44510,922,1493.68,GBP
AD0000158,2026-04-03,CAM0066,CH04,68685,5727,42117.48,USD
AD0000159,2024-05-11,CAM0138,CH06,66164,2530,14690.23,AUD
AD0000160,2025-07-10,CAM0143,CH01,126335,3696,21379.96,EUR
AD0000161,2025-06-12,CAM0055,CH01,35969,829,1979.84,USD
AD0000162,2025-03-28,CAM0138,CH06,84684,1953,12009.12,AUD
AD0000163,2024-06-22,CAM0050,CH04,50482,1827,6916.88,EUR
AD0000164,2025-01-07,CAM0108,CH01,138332,12842,11169.75,GBP
AD0000165,2024-03-17,CAM0267,CH02,79497,1973,8137.45,GBP
AD0000166,2026-04-29,CAM0087,CH05,20835,385,977.6,USD
AD0000167,2026-08-22,CAM0050,CH04,122410,839,1745.38,USD
AD0000168,2026-03-16,CAM0067,CH07,66492,1790,11829.87,EUR
AD0000169,2025-01-25,CAM0017,CH02,59774,666,4135.42,USD
AD0000170,2024-04-09,CAM0243,CH04,140110,3415,23709.16,EUR
AD0000171,2025-07-16,CAM0258,CH05,63908,1772,4347.31,GBP
AD0000172,2024-05-29,CAM0116,CH02,141327,5239,28156.8,EUR
AD0000173,2024-12-30,CAM0180,CH02,80145,5134,27348.17,USD
AD0000174,2026-05-02,CAM0057,CH04,122854,1816,7461.5,USD
AD0000175,2025-06-27,CAM0096,CH02,11394,31,60.71,GBP
AD0000176,2024-03-23,CAM0189,CH03,7318,95,295.84,AUD
AD0000177,2026-07-24,CAM0216,CH01,99750,6347,9182.19,EUR
AD0000178,2024-09-26,CAM0245,CH05,122692,2112,16757.08,GBP
AD0000179,2024-05-23,CAM0115,CH06,12098,496,3225.94,GBP
AD0000180,2024-04-18,CAM0132,CH01,52038,3133,14785.17,EUR
AD0000181,2026-05-03,CAM0158,CH05,61150,1509,2278.05,USD
AD0000182,2026-05-11,CAM0168,CH02,82647,5691,19272.34,GBP
AD0000183,2025-07-13,CAM0259,CH06,109373,7746,8108.98,GBP
AD0000184,2024-04-02,CAM0124,CH03,18508,1282,8291.35,USD
AD0000185,2026-06-05,CAM0168,CH02,110404,2944,8346.26,GBP
AD0000186,2026-06-25,CAM0010,CH04,35947,2018,11048.87,USD
AD0000187,2024-11-06,CAM0173,CH06,3565,534,692.48,AUD
AD0000188,2025-08-04,CAM0125,CH01,23744,707,3752.37,EUR
AD0000189,2024-10-06,CAM0151,CH04,88409,704,5186.17,USD
AD0000190,2024-05-10,CAM0150,CH02,117174,5603,14881.55,GBP
AD0000191,2024-05-04,CAM0074,CH04,3343,116,478.53,USD
AD0000192,2024-12-30,CAM0056,CH07,71749,4921,12251.49,USD
AD0000193,2026-01-17,CAM0049,CH02,87942,4501,29009.92,USD
AD0000194,2025-11-21,CAM0283,CH06,93663,9568,19531.22,AUD
AD0000195,2024-01-18,CAM0241,CH01,116074,1410,5598.88,USD
AD0000196,2025-03-22,CAM0220,CH03,135006,4150,24318.19,EUR
AD0000197,2024-02-06,CAM0123,CH05,98468,3346,6091.65,AUD
AD0000198,2026-07-05,CAM0258,CH05,121285,3955,26681.78,USD
AD0000199,2026-04-18,CAM0139,CH06,62683,3617,10444.41,AUD
AD0000200,2025-09-09,CAM0237,CH01,78465,2431,7052.39,EUR
AD0000201,2025-01-31,CAM0153,CH06,84187,878,6495.93,AUD
AD0000202,2025-01-19,CAM0208,CH06,36840,1307,6043.2,USD
AD0000203,2025-08-28,CAM0021,CH01,82744,1696,11551.84,USD
AD0000204,2024-12-09,CAM0078,CH04,107821,9563,54137.8,USD
AD0000205,2024-05-29,CAM0133,CH06,107614,1294,7233.28,AUD
AD0000206,2025-12-10,CAM0265,CH02,138446,1951,7281.52,GBP
AD0000207,2025-03-08,CAM0299,CH02,60025,2126,3478.87,USD
AD0000208,2025-12-14,CAM0102,CH01,99764,2229,1931.67,GBP
AD0000209,2025-10-24,CAM0271,CH02,112669,5147,4934.87,EUR
AD0000210,2024-06-25,CAM0191,CH02,60715,3414,7513.48,AUD
AD0000211,2024-03-19,CAM0184,CH07,116538,2117,15977.78,EUR
AD0000212,2025-10-16,CAM0052,CH02,62197,4407,30494.21,GBP
AD0000213,2026-05-24,CAM0177,CH07,129569,5004,20029.53,EUR
AD0000214,2025-06-17,CAM0168,CH02,73590,3170,1994.98,USD
AD0000215,2025-12-07,CAM0039,CH04,104835,9327,63268.77,EUR
AD0000216,2026-05-09,CAM0007,CH02,98965,911,2783.16,GBP
AD0000217,2024-02-25,CAM0008,CH02,136676,12739,15140.77,GBP
AD0000218,2024-08-23,CAM0041,CH04,96140,3675,6759.04,EUR
AD0000219,2024-02-28,CAM0176,CH05,116964,3096,18628.84,USD
AD0000220,2024-04-16,CAM0106,CH07,112968,1772,13554.99,GBP
AD0000221,2024-10-02,CAM0053,CH04,70340,1231,2781.03,GBP
AD0000222,2025-07-09,CAM0037,CH01,36045,2491,1564.25,AUD
AD0000223,2026-01-21,CAM0053,CH04,1142,69,519.59,GBP
AD0000224,2024-12-06,CAM0129,CH01,91683,1013,3440.49,EUR
AD0000225,2026-07-02,CAM0002,CH06,45056,1887,7449.34,EUR
AD0000226,2025-09-16,CAM0294,CH03,21599,215,1013.81,EUR
AD0000227,2024-12-10,CAM0293,CH05,38373,1101,2124.83,GBP
AD0000228,2026-02-03,CAM0112,CH06,136206,4355,32734.11,GBP
AD0000229,2025-07-25,CAM0209,CH03,40441,1661,7971.47,AUD
AD0000230,2025-02-01,CAM0221,CH01,32154,1319,2980.15,AUD
AD0000231,2026-08-08,CAM0003,CH07,133108,3732,29049.97,EUR
AD0000232,2026-04-25,CAM0097,CH06,4443,91,173.89,GBP
AD0000233,2024-10-23,CAM0068,CH06,148016,4346,32113.58,EUR
AD0000234,2024-06-16,CAM0022,CH04,92830,2252,13973.58,AUD
AD0000235,2025-11-12,CAM0230,CH02,49814,3071,8529.17,GBP
AD0000236,2025-06-07,CAM0219,CH04,140155,4900,18384.12,AUD
AD0000237,2025-11-18,CAM0295,CH06,36073,1294,5234.32,AUD
AD0000238,2024-03-24,CAM0108,CH01,106702,7294,29070.72,AUD
AD0000239,2024-11-09,CAM0099,CH05,89460,3665,21175.17,EUR
AD0000240,2025-08-29,CAM0108,CH01,117111,10266,24185.95,USD
AD0000241,2024-08-21,CAM0092,CH02,83208,6122,31075.31,USD
AD0000242,2025-03-03,CAM0267,CH02,34726,868,555.51,GBP
AD0000243,2024-09-16,CAM0105,CH02,101714,2708,2914.95,USD
AD0000244,2024-02-25,CAM0123,CH05,147149,1045,4358.58,GBP
AD0000245,2025-02-26,CAM0125,CH01,59039,559,2319.28,GBP
AD0000246,2024-06-04,CAM0143,CH01,6626,513,3911.34,EUR
AD0000247,2025-02-19,CAM0242,CH02,15062,1333,3589.22,USD
AD0000248,2026-08-07,CAM0235,CH02,115647,12704,7150.57,AUD
AD0000249,2024-06-18,CAM0168,CH02,22742,262,2037.75,USD
AD0000250,2025-07-21,CAM0163,CH01,43941,2597,4215.53,USD
AD0000251,2026-05-14,CAM0204,CH06,133830,10184,67869.33,EUR
AD0000252,2026-07-31,CAM0250,CH01,120240,6980,37081.42,EUR
AD0000253,2025-04-17,CAM0090,CH02,95363,8889,36453.63,AUD
AD0000254,2025-11-27,CAM0021,CH01,21519,627,4151.6,EUR
AD0000255,2024-10-25,CAM0114,CH05,109122,9818,38600.57,EUR
AD0000256,2026-04-02,CAM0113,CH04,7023,715,1136.44,EUR
AD0000257,2026-02-02,CAM0167,CH05,136148,1325,2624.95,EUR
AD0000258,2025-01-23,CAM0212,CH06,130853,1441,5589.66,GBP
AD0000259,2025-10-19,CAM0062,CH03,17548,346,1343.56,GBP
AD0000260,2024-09-20,CAM0022,CH04,24451,764,2929.32,AUD
AD0000261,2025-05-08,CAM0145,CH07,135803,6685,4545.19,AUD
AD0000262,2025-12-08,CAM0031,CH03,31370,1963,3625.62,AUD
AD0000263,2025-03-18,CAM0122,CH02,22523,694,772.85,EUR
AD0000264,2024-02-24,CAM0219,CH04,82431,3490,16787.76,GBP
AD0000265,2024-07-07,CAM0126,CH04,112568,3263,11661.86,EUR
AD0000266,2024-07-16,CAM0073,CH05,137303,3206,25403.85,USD
AD0000267,2026-01-17,CAM0184,CH07,119528,2468,6050.27,AUD
AD0000268,2025-06-18,CAM0094,CH01,94938,5306,10560.72,AUD
AD0000269,2024-09-18,CAM0261,CH04,95823,3085,15158.05,AUD
AD0000270,2024-01-09,CAM0188,CH01,12662,1707,4105.51,EUR
AD0000271,2024-07-15,CAM0235,CH02,57804,2420,11087.71,GBP
AD0000272,2024-03-21,CAM0080,CH07,143063,7911,7492.27,AUD
AD0000273,2024-03-26,CAM0238,CH02,39974,753,2386.52,AUD
AD0000274,2025-03-07,CAM0267,CH02,41136,2389,6421.2,GBP
AD0000275,2025-12-20,CAM0101,CH06,127320,6901,13158.77,AUD
AD0000276,2024-10-28,CAM0016,CH02,64831,2260,2934.68,USD
AD0000277,2025-03-26,CAM0163,CH01,30217,653,1458.3,GBP
AD0000278,2026-04-11,CAM0149,CH01,125217,4494,33418.54,USD
AD0000279,2026-06-15,CAM0090,CH02,6072,334,493.77,USD
AD0000280,2025-12-10,CAM0118,CH07,23371,1583,4329.46,GBP
AD0000281,2026-07-07,CAM0106,CH07,106244,5003,6261.79,GBP
AD0000282,2026-08-15,CAM0293,CH05,132231,7728,39686.04,USD
AD0000283,2024-03-12,CAM0035,CH06,23019,976,952.9,EUR
AD0000284,2026-05-17,CAM0087,CH05,82837,5011,6377.27,GBP
AD0000285,2024-03-07,CAM0268,CH02,53507,3080,20171.34,EUR
AD0000286,2025-12-14,CAM0038,CH05,144104,13111,22353.15,EUR
AD0000287,2024-03-02,CAM0023,CH02,23607,904,4576.92,EUR
AD0000288,2024-07-05,CAM0178,CH03,147335,11210,87793.22,EUR
AD0000289,2025-12-24,CAM0278,CH06,65479,1506,1897.22,GBP
AD0000290,2024-04-10,CAM0181,CH01,113634,5986,12969.4,EUR
AD0000291,2025-01-26,CAM0028,CH01,37245,915,3546.69,AUD
AD0000292,2025-06-04,CAM0034,CH01,14140,204,109.16,USD
AD0000293,2024-04-22,CAM0068,CH06,27880,1921,6918.89,GBP
AD0000294,2025-10-15,CAM0034,CH01,112436,4852,30978.3,AUD
AD0000295,2025-02-18,CAM0181,CH01,146763,2505,2005.74,AUD
AD0000296,2025-04-15,CAM0016,CH02,122942,373,948.8,EUR
AD0000297,2025-10-31,CAM0239,CH05,98147,1699,11274.69,GBP
AD0000298,2026-07-08,CAM0159,CH01,127044,2527,18402.95,USD
AD0000299,2025-08-11,CAM0167,CH05,48872,2292,4046.03,USD
AD0000300,2024-10-22,CAM0162,CH07,74225,753,2184.41,AUD
AD0000301,2024-10-04,CAM0044,CH06,108563,2145,10821.62,AUD
AD0000302,2025-06-10,CAM0270,CH07,117498,9860,23683.33,USD
AD0000303,2026-01-20,CAM0074,CH04,41174,734,577.57,EUR
AD0000304,2025-12-24,CAM0071,CH04,148911,2899,12678.38,EUR
AD0000305,2024-09-18,CAM0082,CH03,111741,4260,4241.04,EUR
AD0000306,2026-03-07,CAM0233,CH04,1983,31,129.74,GBP
AD0000307,2025-04-28,CAM0060,CH05,23512,1927,1983.17,USD
AD0000308,2025-05-01,CAM0069,CH04,38685,2514,12329.78,GBP
AD0000309,2024-04-15,CAM0235,CH02,88003,8205,14930.87,EUR
AD0000310,2025-06-15,CAM0081,CH02,39229,519,2757.46,USD
AD0000311,2025-09-07,CAM0139,CH06,131546,5997,41790.45,GBP
AD0000312,2025-01-06,CAM0030,CH06,52580,1365,4736.17,USD
AD0000313,2026-07-01,CAM0007,CH02,31837,999,2108.01,GBP
AD0000314,2025-05-08,CAM0151,CH04,124433,3965,10562.01,USD
AD0000315,2026-03-06,CAM0036,CH02,72292,160,585.98,USD
AD0000316,2025-06-01,CAM0259,CH06,64366,3298,21090.87,GBP
AD0000317,2025-10-31,CAM0101,CH06,15367,271,1987.92,GBP
AD0000318,2024-07-04,CAM0207,CH07,50251,3285,25312.48,AUD
AD0000319,2024-03-01,CAM0118,CH07,67345,831,2561.34,EUR
AD0000320,2024-12-29,CAM0162,CH07,70585,957,2252.6,AUD
AD0000321,2025-07-05,CAM0178,CH03,69834,5962,45782.81,USD
AD0000322,2024-12-29,CAM0100,CH04,142714,2898,10155.64,GBP
AD0000323,2026-06-29,CAM0047,CH07,114185,5501,22456.1,GBP
AD0000324,2026-02-09,CAM0206,CH06,32096,1587,3625.65,USD
AD0000325,2024-04-25,CAM0186,CH05,112653,1999,2999.31,AUD
AD0000326,2024-05-15,CAM0267,CH02,70833,829,4550.15,AUD
AD0000327,2024-04-07,CAM0257,CH07,15153,565,2623.37,EUR
AD0000328,2026-06-02,CAM0144,CH02,9047,1126,5673.92,USD
AD0000329,2024-12-24,CAM0166,CH02,50880,5771,21976.18,GBP
AD0000330,2026-03-21,CAM0029,CH03,113794,2035,6325.82,USD
AD0000331,2024-02-10,CAM0228,CH02,148570,1820,2052.11,USD
AD0000332,2025-01-24,CAM0118,CH07,121342,12711,13467.38,GBP
AD0000333,2024-03-31,CAM0273,CH05,105781,3207,16428.9,AUD
AD0000334,2026-08-12,CAM0188,CH01,136223,2831,12718.03,GBP
AD0000335,2025-07-11,CAM0153,CH06,144819,7458,31729.12,EUR
AD0000336,2024-09-24,CAM0116,CH02,69163,2046,6907.83,AUD
AD0000337,2024-05-30,CAM0250,CH01,86162,5007,7875.01,EUR
AD0000338,2024-09-05,CAM0188,CH01,17680,98,448.25,EUR
AD0000339,2024-12-13,CAM0252,CH07,71462,3066,3886.27,AUD
AD0000340,2026-02-07,CAM0122,CH02,122973,369,1328.18,USD
AD0000341,2024-07-10,CAM0084,CH07,18619,662,448.51,EUR
AD0000342,2025-10-03,CAM0251,CH06,141086,3889,19455.42,EUR
AD0000343,2025-07-17,CAM0218,CH07,132229,5751,21167.93,AUD
AD0000344,2025-12-21,CAM0074,CH04,109558,3531,20382.04,EUR
AD0000345,2024-04-18,CAM0030,CH06,46962,1414,9801.52,GBP
AD0000346,2025-04-16,CAM0114,CH05,107206,4107,14697.77,GBP
AD0000347,2024-08-21,CAM0075,CH05,117064,2562,5415.46,EUR
AD0000348,2025-09-27,CAM0152,CH03,111282,12577,38854.34,USD
AD0000349,2025-01-20,CAM0105,CH02,79588,1473,10248.91,GBP
AD0000350,2026-07-27,CAM0114,CH05,86734,6926,47726.74,USD
AD0000351,2026-07-15,CAM0041,CH04,147797,2345,3174.15,USD
AD0000352,2024-11-12,CAM0190,CH06,62600,2565,5402.73,EUR
AD0000353,2025-12-01,CAM0181,CH01,32109,1994,7478.51,AUD
AD0000354,2025-07-20,CAM0068,CH06,90999,3189,6582.53,EUR
AD0000355,2025-02-02,CAM0110,CH02,26867,1324,7003.44,AUD
AD0000356,2026-02-24,CAM0111,CH05,104753,7036,26881.65,GBP
AD0000357,2026-04-06,CAM0215,CH02,145569,16054,71736.02,GBP
AD0000358,2024-04-22,CAM0185,CH06,9574,263,1857.9,EUR
AD0000359,2025-02-14,CAM0100,CH04,33344,722,3311.32,EUR
AD0000360,2024-01-02,CAM0071,CH04,129163,11130,16880.36,EUR
AD0000361,2025-03-05,CAM0268,CH02,134273,9551,63400.28,USD
AD0000362,2026-01-12,CAM0198,CH06,61198,1301,8152.32,AUD
AD0000363,2026-07-07,CAM0137,CH02,103353,3306,18371.22,AUD
AD0000364,2024-11-26,CAM0187,CH03,46735,3096,2238.2,EUR
AD0000365,2026-04-30,CAM0057,CH04,83033,3765,15168.27,USD
AD0000366,2025-04-28,CAM0105,CH02,63317,2451,17582.22,AUD
AD0000367,2024-01-08,CAM0279,CH07,21648,535,1768.21,USD
AD0000368,2026-03-06,CAM0261,CH04,77267,9110,25765.67,GBP
AD0000369,2025-12-29,CAM0080,CH07,68990,1739,6478.99,GBP
AD0000370,2024-10-01,CAM0123,CH05,16573,719,2807.5,USD
AD0000371,2024-10-10,CAM0195,CH04,47551,1818,11955.39,USD
AD0000372,2024-12-10,CAM0191,CH02,134015,11404,13649.14,USD
