RevenueID,OpportunityID,LeadID,RevenueDate,RevenueAmount
REV000257,OP000426,L001823,2026-08-30,1331.31
REV000258,OP000427,L001824,2025-10-31,3749.33
REV000259,OP000428,L001825,2025-02-05,2127.99
REV000260,OP000429,L001833,2025-10-15,7896.94
REV000261,OP000430,L001845,2025-10-10,19772.81
REV000262,OP000431,L001852,2025-12-14,2953.62
REV000263,OP000433,L001860,2026-01-22,5013.08
REV000264,OP000434,L001865,2025-03-17,2534.38
REV000265,OP000436,L001879,2026-07-09,19520.48
REV000266,OP000437,L001885,2024-05-28,6632.24
REV000267,OP000440,L001899,2025-02-18,10733.97
REV000268,OP000442,L001906,2026-06-15,4628.36
REV000269,OP000444,L001930,2024-09-07,982.14
REV000270,OP000445,L001941,2024-07-01,33644.31
REV000271,OP000447,L001953,2024-05-12,3092.18
REV000272,OP000450,L001966,2025-06-28,1879.91
REV000273,OP000451,L001967,2026-09-18,3444.42
REV000274,OP000456,L001993,2024-12-29,3757.89
REV000275,OP000457,L001994,2024-03-12,4434.74
REV000276,OP000458,L001995,2024-11-18,1912.48
REV000277,OP000460,L001998,2026-02-08,13884.19
REV000278,OP000461,L002007,2026-03-30,26104.73
REV000279,OP000462,L002009,2024-04-02,1617.51
REV000280,OP000463,L002012,2026-03-31,4273.73
REV000281,OP000465,L002018,2026-01-05,11415.33
REV000282,OP000466,L002026,2025-03-16,4010.43
REV000283,OP000468,L002033,2024-05-09,2057.1
REV000284,OP000469,L002034,2026-05-07,954.39
REV000285,OP000470,L002037,2026-04-10,1935.74
REV000286,OP000472,L002039,2025-01-20,1486.59
REV000287,OP000474,L002048,2026-08-19,637.73
REV000288,OP000475,L002049,2025-01-15,3141.92
REV000289,OP000476,L002051,2026-04-01,2983.3
REV000290,OP000478,L002053,2025-10-06,2297.56
REV000291,OP000480,L002057,2025-10-12,276.84
REV000292,OP000481,L002058,2025-12-15,735.73
REV000293,OP000482,L002061,2026-04-28,1433.42
REV000294,OP000483,L002066,2024-11-19,835.23
REV000295,OP000486,L002076,2024-08-25,2089.16
REV000296,OP000489,L002085,2026-03-01,4205.63
REV000297,OP000493,L002105,2026-05-02,2075.38
REV000298,OP000494,L002108,2025-06-25,5234.13
REV000299,OP000496,L002130,2025-05-04,3114.28
REV000300,OP000497,L002144,2024-03-30,3679.88
REV000301,OP000500,L002152,2026-01-27,1482.16
REV000302,OP000502,L002167,2026-07-12,3897.95
REV000303,OP000504,L002171,2026-04-30,1083.75
REV000304,OP000505,L002173,2024-04-05,2469.94
REV000305,OP000507,L002181,2024-11-28,9494.27
REV000306,OP000510,L002192,2024-02-23,2194.25
REV000307,OP000511,L002199,2024-11-20,3158.55
REV000308,OP000512,L002205,2026-04-12,2782.59
REV000309,OP000513,L002208,2026-06-16,1888.5
REV000310,OP000514,L002209,2025-04-25,2598.27
REV000311,OP000516,L002217,2026-01-15,5912.35
REV000312,OP000517,L002228,2024-07-04,7755.85
REV000313,OP000519,L002238,2026-03-14,1891.98
REV000314,OP000520,L002241,2025-01-26,1655.89
REV000315,OP000523,L002250,2024-09-23,2637.14
REV000316,OP000524,L002253,2025-06-15,1852.35
REV000317,OP000525,L002254,2025-03-06,1361.67
REV000318,OP000526,L002259,2026-05-11,1680.77
REV000319,OP000527,L002260,2026-02-15,3027.67
REV000320,OP000529,L002267,2025-01-26,10037.66
REV000321,OP000530,L002268,2025-12-30,3139.57
REV000322,OP000531,L002269,2026-09-14,2091.19
REV000323,OP000534,L002273,2024-07-24,2733.99
REV000324,OP000536,L002275,2026-08-23,12543.29
REV000325,OP000537,L002276,2026-03-11,735.42
REV000326,OP000538,L002280,2025-09-10,3829.06
REV000327,OP000539,L002286,2025-11-19,12003.7
REV000328,OP000540,L002291,2026-05-23,707.86
REV000329,OP000541,L002298,2026-05-10,2840.22
REV000330,OP000544,L002306,2024-11-09,1989.24
REV000331,OP000545,L002310,2025-07-16,1809.52
REV000332,OP000546,L002312,2025-07-18,250.0
REV000333,OP000547,L002314,2025-12-04,2296.24
REV000334,OP000552,L002345,2024-06-26,4518.36
REV000335,OP000553,L002346,2024-02-22,4478.12
REV000336,OP000554,L002347,2026-10-09,10411.81
REV000337,OP000555,L002351,2026-08-01,1671.31
REV000338,OP000557,L002353,2026-06-30,26527.57
REV000339,OP000558,L002363,2024-10-01,1165.29
REV000340,OP000559,L002367,2026-04-09,1805.36
REV000341,OP000561,L002370,2025-04-20,10686.34
REV000342,OP000563,L002380,2025-07-09,2071.42
REV000343,OP000564,L002382,2024-02-28,2437.16
REV000344,OP000565,L002384,2024-10-20,4625.6
REV000345,OP000567,L002391,2024-11-01,3983.18
REV000346,OP000568,L002394,2026-07-03,979.45
REV000347,OP000569,L002395,2026-04-07,1185.9
REV000348,OP000570,L002397,2024-09-04,7176.13
REV000349,OP000572,L002408,2026-06-19,11694.55
REV000350,OP000573,L002422,2026-10-10,2348.14
REV000351,OP000574,L002424,2026-07-17,6288.83
REV000352,OP000576,L002440,2025-06-26,1851.64
REV000353,OP000579,L002457,2024-11-22,4832.83
REV000354,OP000581,L002465,2026-03-26,8689.28
REV000355,OP000582,L002466,2025-11-25,866.44
REV000356,OP000584,L002480,2024-05-14,3022.4
REV000357,OP000586,L002489,2024-12-24,4465.0
REV000358,OP000587,L002490,2026-04-09,560.04
REV000359,OP000592,L002508,2024-03-11,5156.29
REV000360,OP000596,L002528,2024-08-04,16575.08
REV000361,OP000597,L002530,2024-10-09,8890.67
REV000362,OP000598,L002548,2026-06-14,948.0
REV000363,OP000600,L002551,2024-08-16,19171.94
REV000364,OP000601,L002552,2024-04-29,1567.16
REV000365,OP000602,L002555,2024-11-25,3477.16
REV000366,OP000608,L002584,2026-01-26,1005.53
REV000367,OP000610,L002589,2024-10-24,472.52
REV000368,OP000611,L002590,2024-03-01,5067.24
REV000369,OP000612,L002598,2024-11-11,20175.94
REV000370,OP000613,L002599,2025-09-24,1686.99
REV000371,OP000614,L002605,2024-02-10,1229.86
REV000372,OP000616,L002609,2024-10-15,4780.69
REV000373,OP000619,L002614,2024-07-10,1491.23
REV000374,OP000623,L002628,2025-01-27,1530.08
REV000375,OP000626,L002656,2026-08-11,3191.33
REV000376,OP000629,L002688,2024-08-21,4367.59
REV000377,OP000630,L002689,2024-04-07,4832.46
REV000378,OP000631,L002690,2026-03-11,716.05
REV000379,OP000633,L002696,2025-11-25,6204.52
REV000380,OP000634,L002697,2026-01-25,625.49
REV000381,OP000635,L002708,2026-09-12,4119.63
REV000382,OP000636,L002713,2025-07-23,2541.85
REV000383,OP000638,L002717,2025-08-01,3967.78
REV000384,OP000640,L002734,2024-09-27,1927.05
REV000385,OP000641,L002742,2024-07-01,1935.36
REV000386,OP000642,L002744,2025-07-05,3783.65
REV000387,OP000643,L002745,2025-10-15,2997.05
REV000388,OP000644,L002747,2024-12-25,843.62
REV000389,OP000646,L002758,2025-04-08,1175.9
REV000390,OP000648,L002762,2025-12-06,5249.19
REV000391,OP000650,L002772,2025-12-07,3157.74
REV000392,OP000651,L002779,2024-06-20,1866.55
REV000393,OP000652,L002783,2024-08-19,6124.99
REV000394,OP000653,L002791,2025-09-16,993.6
REV000395,OP000654,L002797,2024-02-15,2122.25
REV000396,OP000657,L002815,2024-07-16,32827.86
REV000397,OP000658,L002816,2024-04-26,1088.44
REV000398,OP000660,L002819,2026-04-26,3266.98
REV000399,OP000661,L002823,2024-12-21,250.0
REV000400,OP000662,L002826,2024-07-11,2703.12
REV000401,OP000666,L002842,2025-11-26,1097.52
REV000402,OP000668,L002857,2026-06-16,2446.3
REV000403,OP000670,L002870,2024-02-12,1411.24
REV000404,OP000671,L002873,2024-11-28,9702.19
REV000405,OP000673,L002879,2025-02-04,3307.15
REV000406,OP000674,L002881,2025-06-01,1387.6
REV000407,OP000678,L002891,2025-11-06,250.0
REV000408,OP000681,L002897,2025-07-15,4940.43
REV000409,OP000682,L002901,2024-08-27,1181.69
REV000410,OP000686,L002923,2024-06-27,2148.17
REV000411,OP000689,L002934,2025-03-13,3122.96
REV000412,OP000693,L002944,2024-06-30,5661.72
REV000413,OP000695,L002954,2026-08-06,12712.14
REV000414,OP000696,L002957,2025-08-19,8786.53
REV000415,OP000697,L002964,2025-09-02,3303.18
REV000416,OP000698,L002968,2026-01-29,11513.44
REV000417,OP000699,L002975,2024-02-10,483.11
REV000418,OP000700,L002986,2024-06-03,1310.97
REV000419,OP000701,L002990,2025-08-15,24140.5
REV000420,OP000703,L002995,2026-10-08,1290.33
REV000421,OP000705,L003002,2025-09-09,1069.33
REV000422,OP000709,L003020,2025-11-03,3741.17
REV000423,OP000710,L003023,2026-08-04,9210.33
REV000424,OP000711,L003037,2024-05-19,1378.73
REV000425,OP000713,L003047,2024-03-25,4079.34
REV000426,OP000714,L003052,2024-07-18,8315.79
REV000427,OP000715,L003056,2026-03-12,1755.33
REV000428,OP000716,L003072,2024-08-21,14095.95
REV000429,OP000717,L003076,2025-10-13,2600.13
REV000430,OP000719,L003091,2025-01-09,706.67
REV000431,OP000720,L003095,2026-08-11,6787.79
REV000432,OP000721,L003097,2025-12-06,4995.4
REV000433,OP000726,L003106,2026-02-26,2742.35
REV000434,OP000731,L003114,2025-04-19,5221.31
REV000435,OP000733,L003132,2025-09-26,2372.39
REV000436,OP000734,L003148,2025-03-12,464.83
REV000437,OP000735,L003149,2026-07-10,924.23
REV000438,OP000736,L003150,2024-11-02,1261.11
REV000439,OP000737,L003152,2026-06-06,6168.07
REV000440,OP000740,L003181,2024-05-22,2554.95
REV000441,OP000741,L003182,2025-02-01,6811.58
REV000442,OP000744,L003190,2026-01-09,2974.06
REV000443,OP000746,L003209,2026-02-25,17618.3
REV000444,OP000748,L003214,2025-09-09,3842.74
REV000445,OP000749,L003215,2024-08-17,1182.54
REV000446,OP000752,L003223,2025-01-07,328.72
REV000447,OP000753,L003224,2026-01-08,11482.68
REV000448,OP000754,L003225,2026-03-17,334.31
REV000449,OP000756,L003236,2025-03-15,3165.9
REV000450,OP000757,L003244,2026-08-27,572.88
REV000451,OP000758,L003250,2025-05-23,3435.43
REV000452,OP000759,L003255,2024-02-23,7617.41
REV000453,OP000762,L003273,2025-05-04,17737.32
REV000454,OP000764,L003279,2025-10-05,3704.56
REV000455,OP000765,L003288,2024-10-29,10201.55
REV000456,OP000766,L003296,2026-02-13,5271.31
REV000457,OP000767,L003302,2024-10-27,4448.51
REV000458,OP000768,L003314,2024-05-15,3247.48
REV000459,OP000769,L003327,2024-08-20,11172.34
REV000460,OP000771,L003332,2025-11-28,6431.38
REV000461,OP000772,L003335,2026-02-09,1626.05
REV000462,OP000773,L003345,2025-09-01,1018.45
REV000463,OP000775,L003368,2025-01-10,10377.47
REV000464,OP000776,L003374,2025-04-16,6529.19
REV000465,OP000778,L003389,2026-01-20,4112.04
REV000466,OP000780,L003398,2025-06-03,13306.1
REV000467,OP000781,L003416,2025-11-11,2916.42
REV000468,OP000782,L003423,2024-02-19,18728.94
REV000469,OP000783,L003437,2024-08-24,627.16
REV000470,OP000785,L003440,2025-09-20,4059.47
REV000471,OP000786,L003456,2025-12-20,13803.88
REV000472,OP000787,L003463,2024-03-17,7382.6
REV000473,OP000788,L003467,2026-08-30,814.53
REV000474,OP000791,L003477,2024-12-22,9462.81
REV000475,OP000792,L003480,2024-02-05,1383.11
REV000476,OP000793,L003481,2024-08-11,713.29
REV000477,OP000794,L003486,2024-03-19,828.02
REV000478,OP000796,L003488,2025-06-26,3925.3
REV000479,OP000797,L003492,2024-05-26,2286.72
REV000480,OP000801,L003510,2024-02-21,2068.43
REV000481,OP000806,L003531,2024-08-13,2145.61
REV000482,OP000808,L003541,2025-06-04,2815.31
REV000483,OP000809,L003542,2024-11-27,4169.42
REV000484,OP000810,L003547,2026-01-13,2380.1
REV000485,OP000813,L003553,2026-04-23,933.08
REV000486,OP000816,L003567,2025-01-17,4409.24
REV000487,OP000817,L003572,2024-03-04,15304.29
REV000488,OP000819,L003586,2024-11-11,2331.48
REV000489,OP000821,L003605,2024-06-19,4098.42
REV000490,OP000822,L003612,2024-05-21,16392.7
REV000491,OP000823,L003619,2024-02-08,1359.82
REV000492,OP000824,L003620,2025-07-28,1473.1
REV000493,OP000826,L003633,2025-03-26,8858.11
REV000494,OP000827,L003634,2024-08-02,1273.75
REV000495,OP000829,L003645,2024-12-11,1375.05
REV000496,OP000832,L003675,2026-09-13,2304.89
REV000497,OP000834,L003686,2026-05-26,998.94
REV000498,OP000836,L003688,2026-04-29,5512.36
REV000499,OP000837,L003693,2025-10-07,2633.56
REV000500,OP000838,L003695,2026-06-25,2825.6
REV000501,OP000845,L003730,2025-07-29,9341.44
REV000502,OP000848,L003750,2024-08-16,538.58
REV000503,OP000852,L003759,2025-09-09,986.73
REV000504,OP000854,L003774,2024-11-07,2197.99
REV000505,OP000855,L003777,2026-01-13,9763.52
REV000506,OP000859,L003800,2026-03-21,26091.74
REV000507,OP000861,L003806,2025-11-13,3689.39
REV000508,OP000863,L003816,2026-08-14,2996.34
REV000509,OP000865,L003819,2024-12-12,2289.9
REV000510,OP000866,L003824,2024-09-10,3249.15
REV000511,OP000867,L003825,2025-01-18,4150.37
REV000512,OP000868,L003827,2025-05-30,1559.33
REV000513,OP000869,L003832,2024-09-24,4223.2
REV000514,OP000870,L003836,2024-10-03,5114.47
REV000515,OP000872,L003838,2025-03-07,1064.68
REV000516,OP000873,L003855,2025-11-30,892.52
REV000517,OP000874,L003858,2024-10-28,4392.77
REV000518,OP000875,L003861,2025-09-11,3601.12
REV000519,OP000877,L003863,2025-07-18,32986.07
REV000520,OP000879,L003868,2025-01-14,13224.18
REV000521,OP000881,L003872,2025-09-15,1217.66
REV000522,OP000882,L003875,2026-01-19,1303.23
REV000523,OP000883,L003877,2024-02-26,6592.16
REV000524,OP000885,L003882,2026-07-23,2476.23
REV000525,OP000887,L003889,2024-12-30,2492.96
REV000526,OP000888,L003891,2026-01-03,3061.45
REV000527,OP000889,L003892,2024-07-13,966.29
REV000528,OP000890,L003897,2024-02-21,1236.15
REV000529,OP000892,L003904,2024-07-26,3312.73
REV000530,OP000893,L003905,2024-06-02,1016.61
REV000531,OP000894,L003911,2025-03-25,2816.56
REV000532,OP000895,L003915,2025-11-30,3821.07
REV000533,OP000897,L003925,2025-05-25,4599.21
REV000534,OP000898,L003927,2024-05-05,6841.28
REV000535,OP000899,L003928,2025-09-20,2763.36
REV000536,OP000900,L003930,2024-05-28,1237.13
REV000537,OP000903,L003958,2024-02-08,3223.81
REV000538,OP000904,L003959,2026-04-18,1434.53
